Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/27/22,@,GSW,L,98,102,40,15,8,2,5/11,0/4,5/8,56,17.6%,46,107.1,43,7.4%,19,18.2%,71,60.0%,96,13.2%,25,7.9%,87,2.7%,51,1.1%
04/24/22,vs.,GSW,W,126,121,35,21,6,4,5/11,1/3,10/13,77,23.7%,62,123.5,74,18.2%,46,10.8%,,100.0%,86,8.7%,55,13.3%,89,2.9%,61,1.3%
04/21/22,vs.,GSW,L,113,118,34,18,12,4,7/13,1/1,3/4,65,20.6%,57,120.0,70,16.7%,42,12.1%,59,71.4%,99,20.0%,84,20.8%,80,1.8%,,0.0%
04/18/22,@,GSW,L,106,126,25,7,5,3,3/9,1/4,0/0,55,17.5%,22,77.8,73,17.6%,49,9.5%,61,66.7%,80,6.9%,40,10.5%,82,2.1%,,0.0%
04/16/22,@,GSW,L,107,123,26,8,5,0,3/10,0/3,2/3,50,16.7%,20,72.7,,0.0%,,0.0%,91,33.3%,89,9.7%,26,8.0%,,0.0%,,0.0%
04/07/22,vs.,MEM,W,122,109,34,22,5,2,7/11,3/5,5/5,73,21.2%,90,169.2,43,8.0%,6,30.3%,57,71.4%,65,4.3%,47,11.8%,,0.0%,,0.0%
04/05/22,vs.,SAS,L,97,116,35,18,13,2,8/16,0/3,2/4,80,23.2%,34,100.0,47,9.1%,45,10.3%,85,37.5%,67,4.8%,95,28.1%,89,2.9%,52,1.2%
04/03/22,@,LAL,W,129,118,37,24,8,3,9/14,3/5,3/4,55,17.5%,80,150.0,56,11.1%,,0.0%,59,66.7%,81,7.1%,75,18.2%,68,1.3%,,0.0%
04/01/22,vs.,MIN,L,130,136,38,24,5,3,9/11,4/6,2/2,26,12.4%,95,200.0,51,9.7%,21,18.2%,,100.0%,,0.0%,58,14.3%,,0.0%,,0.0%
03/30/22,@,IND,W,125,118,36,10,8,4,4/7,2/4,0/0,21,11.3%,77,142.9,61,12.1%,16,21.1%,51,75.0%,,0.0%,77,18.6%,67,1.2%,,0.0%
03/28/22,@,CHA,W,113,109,33,21,7,3,9/16,1/3,2/4,64,19.3%,55,116.7,61,12.5%,,0.0%,51,77.8%,98,16.1%,17,5.4%,72,1.5%,76,2.4%
03/26/22,vs.,OKC,W,113,107,35,20,9,1,8/17,2/3,2/2,66,19.6%,50,111.1,25,3.7%,57,6.1%,51,75.0%,79,6.7%,88,22.6%,74,1.6%,,0.0%
03/24/22,vs.,PHX,L,130,140,33,21,6,0,10/16,0/1,1/1,65,19.4%,68,131.3,,0.0%,36,12.9%,72,50.0%,97,15.0%,66,15.8%,,0.0%,,0.0%
03/22/22,vs.,LAC,W,127,115,30,16,7,6,5/13,1/3,5/5,83,24.3%,47,106.7,88,25.0%,,0.0%,84,40.0%,93,11.5%,38,10.0%,76,1.7%,,0.0%
