Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,vs.,GSW,L,90,103,39,19,14,2,6/8,4/5,3/3,34,11.4%,96,211.1,50,8.0%,16,30.0%,,100.0%,63,8.6%,71,23.9%,56,1.3%,80,2.3%
06/13/22,@,GSW,L,94,104,33,9,9,1,3/6,2/3,1/2,38,12.1%,58,128.6,46,7.1%,25,23.5%,64,66.7%,35,3.2%,80,27.6%,,0.0%,,0.0%
06/10/22,vs.,GSW,L,97,107,28,8,6,4,2/6,2/6,2/2,46,14.1%,46,114.3,88,25.0%,49,11.1%,,100.0%,,0.0%,58,20.0%,65,1.8%,,0.0%
06/08/22,vs.,GSW,W,116,100,30,11,8,6,5/7,1/2,0/2,37,12.0%,66,137.5,90,26.1%,,0.0%,,100.0%,72,11.1%,54,18.5%,66,1.8%,69,1.4%
06/05/22,@,GSW,L,88,107,28,2,8,1,1/4,0/0,0/0,22,9.4%,12,50.0,43,6.2%,12,33.3%,,100.0%,51,6.2%,64,21.4%,64,1.8%,,0.0%
06/02/22,@,GSW,W,120,108,33,26,6,3,9/12,6/8,2/3,57,16.2%,88,200.0,72,15.0%,37,16.7%,,100.0%,34,3.1%,43,15.2%,,0.0%,68,1.4%
05/29/22,@,MIA,W,100,96,44,5,14,3,2/9,1/6,0/0,24,9.6%,13,55.6,57,9.7%,,0.0%,,100.0%,42,4.5%,73,25.0%,71,2.4%,63,1.0%
05/27/22,vs.,MIA,L,103,111,33,3,9,5,1/8,1/6,0/0,69,18.3%,11,37.5,90,26.3%,26,23.1%,,100.0%,55,6.9%,87,31.8%,,0.0%,,0.0%
05/25/22,@,MIA,W,93,80,39,16,7,5,5/8,1/3,5/7,54,15.8%,70,145.5,84,20.8%,56,8.0%,54,80.0%,,0.0%,38,13.7%,71,2.4%,66,1.3%
05/23/22,vs.,MIA,W,102,82,33,5,13,3,1/2,1/1,2/2,7,5.5%,82,166.7,65,12.5%,,0.0%,,100.0%,34,3.0%,76,25.6%,95,6.5%,,0.0%
05/21/22,vs.,MIA,L,103,109,42,20,14,3,7/14,3/5,3/3,69,18.1%,61,133.3,69,13.6%,34,18.2%,50,85.7%,53,6.5%,82,28.6%,83,3.8%,,0.0%
05/19/22,@,MIA,W,127,102,33,10,3,3,4/4,2/2,0/0,27,10.1%,99,250.0,63,12.0%,7,42.9%,56,75.0%,,0.0%,14,6.9%,63,1.7%,71,1.4%
05/15/22,vs.,MIL,W,109,81,40,6,10,6,2/7,0/2,2/2,34,11.4%,19,75.0,86,22.2%,,0.0%,,100.0%,31,2.2%,61,20.5%,56,1.3%,,0.0%
05/13/22,@,MIL,W,108,95,38,2,10,3,1/6,0/4,0/0,27,10.1%,11,33.3,59,10.7%,48,11.8%,93,0.0%,43,4.8%,51,17.5%,92,5.5%,65,1.2%
05/11/22,vs.,MIL,L,107,110,41,8,8,6,4/7,0/2,0/0,33,11.2%,46,114.3,81,20.0%,51,10.5%,56,75.0%,32,2.8%,50,17.1%,56,1.2%,91,3.5%
05/09/22,@,MIL,W,116,108,42,30,8,3,11/14,5/7,3/4,43,13.2%,88,200.0,57,10.0%,55,8.3%,,100.0%,,0.0%,52,18.2%,55,1.2%,,0.0%
05/07/22,@,MIL,L,101,103,39,22,16,5,9/17,4/7,0/0,59,16.7%,59,129.4,92,27.8%,,0.0%,49,88.9%,53,6.4%,76,25.5%,71,2.3%,,0.0%
05/03/22,vs.,MIL,W,109,86,37,11,11,3,4/9,1/5,2/2,42,13.1%,43,110.0,63,12.0%,53,9.5%,,100.0%,,0.0%,91,34.5%,62,1.6%,97,5.0%
05/01/22,vs.,MIL,L,89,101,36,12,10,3,4/11,4/9,0/0,48,14.4%,42,109.1,72,15.0%,39,16.0%,,100.0%,,0.0%,76,25.6%,74,2.7%,65,1.1%
04/25/22,@,BKN,W,116,112,26,13,6,1,5/9,3/5,0/0,48,14.4%,70,144.4,40,5.3%,48,11.8%,54,80.0%,67,9.5%,52,18.2%,,0.0%,,0.0%
04/23/22,@,BKN,W,109,103,28,3,3,3,1/2,1/2,0/0,11,6.6%,72,150.0,63,12.0%,21,25.0%,,100.0%,42,4.5%,19,9.1%,83,3.8%,,0.0%
04/20/22,vs.,BKN,W,114,107,32,16,6,2,6/10,3/6,1/2,37,12.0%,79,160.0,57,10.0%,,0.0%,51,83.3%,40,4.2%,54,18.5%,65,1.8%,86,2.8%
04/17/22,vs.,BKN,W,115,114,41,20,15,2,8/13,2/2,2/2,45,13.9%,68,142.9,46,6.9%,59,7.1%,77,50.0%,85,15.0%,79,27.3%,,0.0%,63,1.0%
04/10/22,@,MEM,W,139,110,24,13,6,2,6/8,1/1,0/0,43,15.5%,84,162.5,54,10.0%,21,22.2%,59,66.7%,,0.0%,35,14.3%,58,1.7%,,0.0%
04/06/22,@,CHI,W,117,94,30,17,10,2,7/7,3/3,0/0,8,7.7%,99,242.9,50,9.1%,,0.0%,57,71.4%,77,13.3%,60,20.7%,61,1.9%,85,2.8%
04/03/22,vs.,WAS,W,144,102,30,10,8,6,4/9,2/6,0/0,45,15.9%,43,111.1,80,20.0%,,0.0%,,100.0%,34,4.3%,64,21.9%,59,1.8%,68,1.6%
04/01/22,vs.,IND,W,128,123,35,17,10,6,7/8,2/2,1/1,24,11.9%,98,212.5,84,20.7%,52,10.5%,57,71.4%,76,13.0%,68,23.1%,53,1.5%,,0.0%
03/30/22,vs.,MIA,L,98,106,34,6,15,4,2/6,0/2,2/2,13,9.4%,27,100.0,78,18.2%,,0.0%,75,50.0%,68,11.1%,92,34.5%,55,1.6%,81,2.5%
03/23/22,vs.,UTA,W,125,97,31,9,6,3,3/5,3/5,0/0,15,9.8%,90,180.0,58,11.1%,33,16.7%,,100.0%,37,5.0%,38,14.7%,90,5.1%,,0.0%
03/21/22,@,OKC,W,132,123,34,3,5,7,0/1,0/1,3/4,10,8.6%,27,100.0,84,20.6%,,0.0%,,,,0.0%,39,15.2%,84,4.1%,93,3.9%
03/20/22,@,DEN,W,124,104,24,6,5,3,2/5,2/4,0/0,25,12.2%,50,120.0,67,13.6%,,0.0%,,100.0%,,0.0%,48,17.4%,64,2.2%,,0.0%
03/18/22,@,SAC,W,126,97,22,6,9,2,3/9,0/1,0/0,74,21.7%,12,66.7,68,14.3%,53,10.0%,59,66.7%,35,4.5%,96,38.9%,,0.0%,77,2.2%
03/16/22,@,GSW,W,110,88,32,6,5,1,2/5,1/3,1/2,20,11.0%,27,100.0,32,4.0%,14,26.7%,,100.0%,,0.0%,23,10.8%,,0.0%,,0.0%
03/13/22,vs.,DAL,L,92,95,33,17,6,2,6/10,1/3,4/4,32,13.5%,79,154.5,53,9.5%,,0.0%,59,66.7%,27,2.9%,56,20.0%,81,3.7%,99,6.8%
03/11/22,vs.,DET,W,114,103,30,6,7,1,3/8,0/4,0/0,15,10.0%,16,75.0,34,4.5%,,0.0%,,100.0%,27,3.0%,53,18.8%,,0.0%,,0.0%
03/09/22,@,CHA,W,115,101,34,10,10,3,4/8,2/4,0/0,17,10.5%,55,125.0,53,9.4%,48,11.8%,,100.0%,26,2.9%,56,20.0%,,0.0%,92,3.7%
03/06/22,vs.,BKN,W,126,120,30,13,7,4,4/7,3/6,2/2,24,11.9%,84,162.5,76,17.4%,,0.0%,,100.0%,36,4.8%,70,24.0%,56,1.7%,66,1.5%
03/03/22,vs.,MEM,W,120,107,40,21,15,5,8/16,4/8,1/1,64,19.7%,61,131.3,71,15.2%,50,11.4%,51,75.0%,86,16.7%,60,20.5%,68,2.4%,,0.0%
03/01/22,vs.,ATL,W,107,98,34,8,4,3,3/7,2/4,0/0,19,11.0%,45,114.3,62,12.0%,46,12.5%,,100.0%,48,6.9%,13,6.9%,96,6.9%,,0.0%
02/26/22,@,DET,W,113,104,37,8,5,3,4/6,0/0,0/0,10,8.5%,61,133.3,57,10.3%,40,14.3%,51,75.0%,27,2.9%,23,10.8%,73,2.9%,,0.0%
02/24/22,@,BKN,W,129,106,32,11,13,2,5/10,1/6,0/0,47,16.2%,42,110.0,45,7.4%,15,26.1%,,100.0%,54,8.0%,88,32.4%,76,3.1%,85,2.8%
02/16/22,vs.,DET,L,111,112,34,19,7,7,8/10,2/3,1/2,55,17.6%,88,172.7,94,30.4%,36,16.0%,,100.0%,,0.0%,60,20.6%,73,2.9%,64,1.4%
02/15/22,@,PHI,W,135,87,20,6,9,2,2/6,2/5,0/0,38,14.6%,27,100.0,54,10.0%,,0.0%,,100.0%,,0.0%,96,38.9%,,0.0%,,0.0%
02/13/22,vs.,ATL,W,105,95,24,8,6,0,3/3,2/2,0/0,1,2.7%,100,266.7,,0.0%,,0.0%,,100.0%,,0.0%,56,19.4%,64,2.2%,,0.0%
02/11/22,vs.,DEN,W,108,102,30,9,11,3,3/8,1/4,2/2,25,12.2%,27,100.0,71,15.0%,,0.0%,59,66.7%,63,9.8%,69,23.3%,91,5.4%,,0.0%
02/08/22,@,BKN,W,126,91,22,9,5,7,3/8,1/5,2/2,91,28.1%,27,100.0,94,30.4%,40,14.8%,59,66.7%,42,5.9%,28,12.5%,85,4.3%,75,2.1%
02/06/22,@,ORL,W,116,83,29,13,11,4,6/11,1/5,0/0,47,16.2%,49,118.2,76,17.4%,,0.0%,75,50.0%,77,13.3%,69,23.3%,61,1.9%,64,1.4%
02/04/22,@,DET,W,102,93,19,4,10,2,2/2,0/0,0/0,13,9.3%,92,200.0,62,12.5%,16,25.0%,95,0.0%,85,15.8%,81,28.0%,,0.0%,78,2.3%
02/02/22,vs.,CHA,W,113,107,33,6,12,1,2/7,2/5,0/0,15,10.0%,22,85.7,31,3.7%,43,13.3%,,100.0%,29,3.4%,92,34.4%,,0.0%,62,1.3%
01/31/22,vs.,MIA,W,122,92,32,14,9,2,4/9,2/5,4/6,60,18.8%,47,116.7,45,7.7%,40,14.8%,51,75.0%,51,7.4%,50,17.9%,77,3.3%,,0.0%
01/29/22,@,NOP,W,107,97,24,8,6,3,3/6,2/2,0/0,33,13.7%,61,133.3,73,16.7%,40,14.3%,,100.0%,,0.0%,70,24.0%,63,2.0%,,0.0%
01/28/22,@,ATL,L,92,108,16,1,3,0,0/3,0/1,1/2,16,10.3%,5,25.0,,0.0%,,0.0%,,,40,5.6%,22,10.5%,93,5.9%,,0.0%
01/25/22,vs.,SAC,W,128,75,23,3,8,2,1/9,1/2,0/0,47,16.1%,6,33.3,53,9.5%,,0.0%,,100.0%,61,9.4%,43,16.1%,63,2.1%,,0.0%
01/23/22,@,WAS,W,116,87,35,7,8,1,3/10,1/4,0/0,25,12.0%,15,70.0,32,3.8%,,0.0%,59,66.7%,39,5.3%,42,15.8%,,0.0%,,0.0%
01/21/22,vs.,POR,L,105,109,27,6,4,3,3/6,0/3,0/0,22,11.5%,27,100.0,71,15.0%,,0.0%,,100.0%,,0.0%,56,20.0%,96,7.0%,,0.0%
01/19/22,vs.,CHA,L,102,111,32,13,10,4,5/7,2/4,1/1,28,12.7%,91,185.7,76,17.4%,21,22.2%,46,80.0%,51,7.4%,69,23.3%,,0.0%,,0.0%
01/17/22,vs.,NOP,W,104,92,25,12,7,4,5/9,2/5,0/0,48,16.4%,61,133.3,91,26.7%,,0.0%,46,80.0%,31,3.8%,70,24.0%,,0.0%,71,1.8%
01/15/22,vs.,CHI,W,114,112,30,15,8,1,7/11,1/3,0/0,36,14.3%,66,136.4,34,4.8%,53,10.0%,57,71.4%,73,12.1%,27,12.0%,59,1.8%,,0.0%
01/14/22,@,PHI,L,99,111,17,5,2,2,2/5,1/3,0/0,45,15.8%,27,100.0,88,25.0%,33,16.7%,,100.0%,,0.0%,32,13.3%,76,3.1%,,0.0%
01/12/22,@,IND,W,119,100,28,8,4,4,4/8,0/3,0/0,42,15.3%,27,100.0,78,18.2%,,0.0%,75,50.0%,35,4.5%,31,13.0%,,0.0%,,0.0%
01/10/22,vs.,IND,W,101,98,23,3,7,1,1/3,1/2,0/0,11,8.9%,27,100.0,45,7.7%,4,40.0%,,100.0%,34,4.3%,70,24.0%,,0.0%,71,1.8%
