Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,vs.,ATL,L,114,130,35,9,6,8,4/12,1/6,0/0,67,20.3%,16,75.0,94,30.8%,63,6.2%,75,50.0%,26,2.6%,34,13.8%,52,1.4%,,0.0%
04/08/22,@,TOR,L,115,117,33,17,2,3,7/12,0/2,3/3,60,18.8%,61,130.8,65,13.0%,61,7.4%,73,57.1%,,0.0%,8,4.9%,,0.0%,63,1.4%
04/05/22,@,BKN,L,105,118,36,14,11,5,5/11,0/2,4/4,48,16.3%,40,107.7,80,20.0%,62,6.7%,70,60.0%,85,15.6%,34,13.8%,53,1.5%,,0.0%
04/03/22,vs.,MIN,L,132,139,33,14,15,4,5/7,0/1,4/4,57,18.1%,80,155.6,73,16.0%,8,33.3%,87,40.0%,96,23.1%,88,32.0%,55,1.6%,,0.0%
03/28/22,vs.,SAS,L,120,123,29,12,7,3,3/10,2/5,4/4,78,22.9%,27,100.0,73,15.8%,16,25.0%,,100.0%,59,9.1%,26,11.8%,74,3.0%,,0.0%
03/26/22,@,POR,W,115,98,26,27,7,3,10/15,2/3,5/8,92,28.8%,74,150.0,79,18.8%,64,5.9%,59,70.0%,68,11.1%,35,14.3%,58,1.7%,,0.0%
03/25/22,@,POR,W,125,106,21,4,6,5,1/3,0/0,2/3,77,22.6%,27,100.0,94,31.2%,2,50.0%,,100.0%,59,9.1%,56,20.0%,,0.0%,92,3.8%
03/23/22,@,DAL,L,91,110,22,14,11,2,6/12,1/3,1/2,80,23.5%,40,107.7,80,20.0%,,0.0%,59,66.7%,86,16.7%,97,41.2%,,0.0%,93,3.9%
03/21/22,vs.,WAS,W,115,97,25,7,7,3,2/7,1/2,2/2,80,23.5%,23,87.5,73,16.7%,16,25.0%,75,50.0%,63,10.0%,43,16.0%,86,4.3%,74,2.0%
03/20/22,vs.,MEM,L,98,122,23,12,9,3,5/7,0/2,2/3,53,17.3%,74,150.0,84,21.4%,24,21.1%,46,80.0%,54,8.0%,85,30.4%,,0.0%,71,1.8%
03/18/22,vs.,IND,L,118,121,21,15,4,0,4/9,0/3,7/8,89,27.0%,47,115.4,,0.0%,40,14.8%,51,75.0%,66,10.5%,7,3.8%,95,6.5%,,0.0%
03/16/22,vs.,PHX,L,112,129,26,5,3,3,2/5,0/0,1/2,40,15.0%,21,83.3,67,13.6%,,0.0%,95,0.0%,89,17.6%,0,0.0%,,0.0%,98,6.0%
03/13/22,@,NOP,L,105,130,15,9,4,1,4/6,1/1,0/0,60,18.8%,74,150.0,54,10.0%,,0.0%,93,25.0%,59,9.1%,40,15.4%,,0.0%,,0.0%
03/11/22,vs.,DAL,L,100,113,20,6,6,1,3/9,0/2,0/0,72,21.3%,12,66.7,43,7.1%,25,20.0%,,100.0%,39,5.3%,80,27.8%,,0.0%,76,2.1%
03/09/22,vs.,LAL,W,139,130,40,21,14,2,9/20,1/3,2/2,80,23.4%,27,100.0,40,6.2%,43,13.6%,59,66.7%,83,15.2%,68,23.1%,68,2.5%,76,2.1%
03/07/22,@,MIA,L,106,123,30,13,8,3,5/11,0/1,3/6,87,26.2%,26,92.9,73,16.7%,48,12.1%,87,40.0%,66,10.3%,56,20.0%,58,1.7%,,0.0%
03/06/22,vs.,MEM,W,123,112,22,6,1,4,2/4,0/1,2/4,39,14.7%,27,100.0,87,23.5%,,0.0%,75,50.0%,49,7.1%,0,0.0%,85,4.3%,,0.0%
03/04/22,@,DEN,L,101,116,20,11,9,1,5/9,0/2,1/4,89,27.3%,27,100.0,50,9.1%,59,8.3%,94,20.0%,71,11.8%,96,38.9%,68,2.5%,78,2.3%
03/02/22,vs.,UTA,L,127,132,18,5,4,1,0/6,0/4,5/6,87,26.2%,10,55.6,48,8.3%,55,9.5%,,,42,5.9%,68,23.1%,,0.0%,96,5.0%
03/01/22,vs.,LAC,L,100,113,16,7,6,1,3/12,1/3,0/0,95,32.5%,11,58.3,62,12.5%,60,7.7%,89,33.3%,79,14.3%,53,18.8%,95,6.7%,96,5.0%
02/27/22,vs.,LAC,L,98,99,16,15,3,0,5/8,1/3,4/6,94,31.1%,66,136.4,,0.0%,32,17.4%,70,60.0%,37,5.0%,11,6.2%,,0.0%,,0.0%
02/25/22,@,ORL,L,111,119,18,6,6,4,2/5,0/1,2/2,89,27.4%,27,100.0,95,33.3%,7,34.8%,75,50.0%,66,10.5%,56,20.0%,93,5.9%,79,2.4%
02/17/22,@,LAC,L,111,142,11,4,2,2,2/5,0/1,0/0,90,27.8%,18,80.0,92,28.6%,14,26.7%,75,50.0%,49,7.1%,35,14.3%,88,4.8%,,0.0%
02/16/22,@,PHX,L,121,124,28,19,14,3,7/11,3/4,2/2,49,16.7%,81,158.3,71,15.0%,60,8.0%,73,57.1%,47,6.7%,88,32.3%,59,1.8%,83,2.7%
02/14/22,@,UTA,L,101,135,16,9,3,2,3/6,0/2,3/5,92,29.2%,44,112.5,88,25.0%,28,19.0%,89,33.3%,40,5.6%,40,15.4%,,0.0%,84,2.8%
02/10/22,vs.,TOR,L,120,139,21,0,4,4,0/3,0/0,0/2,44,15.7%,1,0.0,87,23.5%,16,25.0%,,,39,5.3%,26,11.8%,64,2.2%,,0.0%
02/08/22,@,NOP,L,97,110,28,11,9,2,5/10,0/2,1/2,61,18.8%,27,100.0,68,14.3%,14,27.6%,70,60.0%,40,5.6%,76,25.9%,80,3.6%,,0.0%
02/06/22,vs.,NOP,L,107,120,25,5,6,4,2/6,1/5,0/0,22,11.7%,21,83.3,88,25.0%,,0.0%,,100.0%,47,6.7%,26,11.5%,83,3.9%,69,1.7%
02/04/22,@,SAS,L,106,131,25,16,1,1,6/12,1/3,3/3,85,25.5%,54,123.1,45,7.7%,40,14.3%,75,50.0%,39,5.3%,0,0.0%,84,4.1%,71,1.8%
02/02/22,vs.,CLE,W,115,104,24,9,8,3,2/4,0/0,5/6,74,21.8%,58,128.6,73,16.7%,8,33.3%,75,50.0%,58,8.7%,40,15.4%,65,2.2%,,0.0%
01/31/22,vs.,GSW,L,108,122,12,2,4,1,0/2,0/0,2/4,80,23.4%,8,50.0,58,11.1%,4,40.0%,,,,0.0%,96,40.0%,,0.0%,,0.0%
01/28/22,vs.,POR,L,110,125,11,4,3,0,1/2,0/0,2/2,39,14.8%,61,133.3,,0.0%,16,25.0%,95,0.0%,79,14.3%,89,33.3%,,0.0%,92,3.7%
01/25/22,vs.,SAS,L,104,134,13,11,4,0,5/9,0/0,1/2,95,32.4%,42,110.0,,0.0%,29,18.2%,87,40.0%,86,16.7%,13,7.1%,95,6.7%,,0.0%
01/21/22,@,GSW,L,103,105,14,5,6,2,2/6,0/1,1/2,94,31.2%,15,71.4,78,18.2%,25,20.0%,95,0.0%,79,14.3%,79,27.3%,,0.0%,,0.0%
01/19/22,@,UTA,W,116,111,16,7,2,2,2/6,1/1,2/2,87,26.4%,27,100.0,73,16.7%,24,21.1%,75,50.0%,42,5.9%,18,9.1%,79,3.4%,,0.0%
01/16/22,@,SAC,W,118,112,15,6,0,2,2/4,0/1,2/3,88,26.6%,50,120.0,85,22.2%,7,35.3%,75,50.0%,,0.0%,0,0.0%,78,3.3%,,0.0%
01/14/22,@,SAC,L,114,126,14,9,4,2,4/6,0/2,1/2,90,27.8%,58,128.6,98,40.0%,25,20.0%,95,0.0%,77,13.3%,28,12.5%,77,3.2%,,0.0%
12/31/21,vs.,MIA,L,110,120,7,6,1,1,1/1,1/1,3/4,84,25.0%,92,200.0,99,50.0%,21,22.2%,95,0.0%,,0.0%,72,25.0%,97,7.7%,,0.0%
12/28/21,vs.,LAL,L,123,132,15,10,2,0,5/8,0/0,0/1,67,20.3%,55,125.0,,0.0%,43,13.3%,70,60.0%,56,8.3%,0,0.0%,74,3.0%,,0.0%
12/27/21,@,CHA,L,99,123,21,5,6,3,2/5,0/0,1/2,75,22.0%,21,83.3,93,30.0%,6,36.4%,75,50.0%,85,15.8%,39,15.0%,89,5.0%,,0.0%
12/23/21,@,IND,L,106,118,20,10,8,3,5/9,0/0,0/0,83,24.4%,43,111.1,99,50.0%,56,9.1%,94,20.0%,90,18.2%,50,18.2%,86,4.3%,77,2.2%
12/22/21,@,MIL,L,106,126,24,10,8,4,4/6,0/0,2/4,80,23.6%,55,125.0,94,30.8%,10,30.8%,75,50.0%,73,12.5%,64,21.7%,,0.0%,,0.0%
