Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/05/22,@,MIN,L,121,135,40,38,3,3,11/25,9/17,7/7,90,30.8%,80,140.7,39,14.3%,46,10.7%,46,63.6%,,0.0%,52,9.7%,,0.0%,,0.0%
03/02/22,@,PHX,L,90,120,28,11,0,6,4/10,3/4,0/0,67,23.9%,53,110.0,97,50.0%,10,25.0%,52,50.0%,,0.0%,0,0.0%,,0.0%,59,1.5%
02/27/22,vs.,DEN,L,92,124,29,16,2,4,5/18,1/9,5/7,98,36.8%,26,76.2,73,26.7%,42,12.0%,68,40.0%,,0.0%,47,9.1%,,0.0%,,0.0%
02/24/22,vs.,GSW,L,95,132,29,24,3,3,7/14,4/7,6/6,82,27.6%,84,150.0,60,21.4%,17,21.6%,29,85.7%,77,4.0%,39,7.7%,,0.0%,,0.0%
02/16/22,@,MEM,W,123,119,34,31,3,6,11/18,5/10,4/4,91,31.2%,90,163.2,76,28.6%,39,12.5%,85,18.2%,,0.0%,47,9.1%,,0.0%,53,1.3%
02/14/22,@,MIL,W,122,107,35,31,2,6,12/24,7/16,0/0,89,30.1%,72,129.2,72,26.1%,59,7.5%,68,41.7%,,0.0%,26,5.3%,,0.0%,49,1.1%
02/12/22,vs.,NYK,W,112,103,37,30,5,8,11/23,6/12,2/3,93,32.1%,67,125.0,90,38.1%,59,7.4%,51,54.5%,70,3.1%,43,8.3%,,0.0%,,0.0%
02/09/22,vs.,LAL,W,107,105,38,29,0,5,11/23,5/11,2/2,94,33.3%,64,120.8,64,22.7%,46,10.7%,80,27.3%,,0.0%,0,0.0%,,0.0%,,0.0%
02/08/22,vs.,ORL,L,95,113,38,19,5,5,7/17,3/9,2/3,64,23.3%,50,105.6,67,23.8%,50,9.5%,66,42.9%,65,2.3%,47,9.1%,,0.0%,49,1.1%
02/05/22,vs.,MIL,L,108,137,28,19,1,3,7/17,5/13,0/0,95,33.6%,54,111.8,65,23.1%,14,23.3%,49,57.1%,70,3.1%,0,0.0%,,0.0%,60,1.6%
02/04/22,vs.,OKC,L,93,96,37,17,5,4,6/14,1/6,4/5,60,22.5%,50,106.3,46,16.7%,33,14.6%,86,16.7%,64,2.1%,47,9.1%,,0.0%,71,2.2%
02/02/22,@,LAL,L,94,99,36,19,2,3,7/18,3/10,2/3,60,22.5%,39,100.0,39,14.3%,67,5.0%,66,42.9%,64,2.1%,17,3.3%,,0.0%,49,1.1%
01/31/22,@,OKC,L,81,98,34,8,5,2,3/16,2/12,0/0,77,26.1%,11,50.0,29,10.5%,45,11.1%,38,66.7%,,0.0%,73,14.3%,,0.0%,,0.0%
01/30/22,@,CHI,L,116,130,33,21,3,6,7/18,5/10,2/3,94,33.3%,53,110.5,74,27.3%,54,8.7%,79,28.6%,,0.0%,61,11.5%,,0.0%,58,1.4%
01/28/22,@,HOU,W,125,110,35,27,3,6,11/17,5/9,0/0,83,27.8%,89,158.8,74,27.3%,36,13.6%,85,18.2%,,0.0%,52,9.7%,,0.0%,53,1.3%
01/26/22,vs.,DAL,L,112,132,36,22,2,7,9/14,4/7,0/0,69,24.3%,88,157.1,87,35.0%,26,16.7%,51,55.6%,,0.0%,35,6.9%,,0.0%,,0.0%
01/25/22,vs.,MIN,L,107,109,34,17,4,7,5/18,4/13,3/3,93,32.4%,32,85.0,87,35.0%,17,21.8%,31,80.0%,,0.0%,56,10.3%,,0.0%,,0.0%
01/23/22,@,TOR,W,114,105,37,19,3,5,6/17,5/8,2/2,78,26.4%,54,111.8,51,17.9%,10,25.5%,38,66.7%,,0.0%,36,7.0%,,0.0%,49,1.1%
01/21/22,@,BOS,W,109,105,38,21,2,4,8/17,4/8,1/2,52,21.0%,66,123.5,51,18.2%,,0.0%,52,50.0%,,0.0%,27,5.6%,,0.0%,75,2.5%
01/19/22,@,MIA,L,92,104,38,27,3,7,9/18,6/14,3/4,80,27.0%,80,142.1,83,33.3%,39,12.8%,66,44.4%,,0.0%,43,8.3%,82,1.4%,49,1.1%
01/17/22,@,ORL,W,98,88,35,13,2,7,4/11,0/5,5/5,55,21.5%,39,100.0,73,26.9%,46,10.8%,89,0.0%,,0.0%,24,5.0%,,0.0%,,0.0%
