Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/05/22,@,PHX,L,110,121,36,21,13,1,10/18,0/2,1/2,71,21.1%,42,110.5,40,6.2%,50,11.4%,46,80.0%,27,3.0%,87,31.6%,51,1.3%,59,1.2%
04/03/22,vs.,DEN,L,118,129,35,28,9,8,11/25,0/0,6/6,97,34.6%,40,107.7,95,32.0%,61,7.1%,57,72.7%,28,3.1%,81,28.0%,87,4.5%,81,2.5%
04/01/22,vs.,NOP,L,111,114,37,23,12,6,8/17,1/2,6/9,88,26.7%,42,109.5,86,23.1%,57,8.7%,51,75.0%,,0.0%,97,42.3%,,0.0%,58,1.2%
02/16/22,vs.,UTA,W,106,101,17,17,2,2,7/9,1/1,2/2,78,22.9%,87,170.0,88,25.0%,,0.0%,42,85.7%,49,7.1%,16,8.3%,96,7.1%,85,2.9%
02/12/22,@,GSW,L,115,117,35,16,7,4,5/13,0/1,6/10,72,21.2%,27,94.1,73,16.7%,,0.0%,46,80.0%,44,6.1%,38,14.7%,86,4.3%,,0.0%
02/09/22,@,POR,L,105,107,41,17,7,6,8/11,0/1,1/4,51,16.9%,61,130.8,86,23.1%,40,14.3%,,100.0%,,0.0%,44,16.7%,94,6.2%,59,1.2%
02/08/22,vs.,MIL,L,116,131,37,22,9,4,8/10,0/0,6/10,35,14.1%,87,169.2,73,16.0%,60,7.7%,51,75.0%,70,11.4%,34,13.9%,81,3.7%,57,1.1%
02/05/22,vs.,NYK,W,122,115,41,28,17,3,13/19,0/0,2/5,65,19.8%,68,140.0,54,10.0%,53,10.0%,75,53.8%,79,14.3%,65,22.2%,87,4.5%,87,3.0%
02/03/22,@,LAC,L,110,111,38,28,17,2,11/23,0/2,6/7,90,28.0%,44,112.0,53,9.5%,65,4.3%,69,63.6%,83,15.0%,84,30.0%,72,2.9%,79,2.4%
02/02/22,vs.,POR,W,99,94,37,30,15,2,10/18,0/0,10/14,93,29.8%,50,120.0,68,14.3%,48,12.0%,46,80.0%,56,8.3%,75,25.5%,82,3.8%,,0.0%
01/30/22,@,ATL,L,121,129,38,27,5,4,10/20,1/3,6/9,92,29.2%,44,112.5,68,14.3%,50,11.5%,70,60.0%,46,6.5%,23,10.7%,52,1.4%,77,2.2%
