Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/20/21,vs.,ATL,L,96,103,36,5,8,13,2/4,0/0,1/2,12,16.2%,36,100.0,96,54.2%,25,16.0%,,100.0%,68,3.0%,91,19.4%,,0.0%,58,1.3%
06/18/21,@,ATL,W,104,99,25,6,9,5,2/6,0/0,2/4,20,19.4%,21,75.0,49,29.4%,22,16.7%,31,50.0%,92,6.9%,98,25.9%,87,1.8%,,0.0%
06/16/21,vs.,ATL,L,106,109,38,8,4,9,2/4,0/0,4/14,23,20.5%,20,72.7,54,31.0%,44,11.8%,31,50.0%,,0.0%,54,10.5%,77,1.3%,55,1.2%
06/14/21,@,ATL,L,100,103,36,11,12,9,5/10,0/0,1/5,19,18.5%,34,91.7,66,37.5%,,0.0%,25,60.0%,95,8.3%,82,16.7%,95,2.5%,,0.0%
06/11/21,@,ATL,W,127,111,34,18,4,7,7/11,0/0,4/8,47,25.7%,57,120.0,44,28.0%,27,15.4%,28,57.1%,95,8.7%,30,6.7%,,0.0%,59,1.3%
06/08/21,vs.,ATL,W,118,102,35,4,3,7,2/3,0/0,0/2,5,11.5%,36,100.0,33,21.2%,8,23.5%,,100.0%,,0.0%,53,10.3%,83,1.5%,83,2.7%
06/06/21,vs.,ATL,L,124,128,37,17,4,10,7/7,0/0,3/10,31,21.8%,81,141.7,55,31.2%,6,24.4%,40,42.9%,,0.0%,65,12.5%,80,1.4%,92,4.3%
06/02/21,vs.,WAS,W,129,112,39,19,10,11,7/11,0/0,5/8,36,23.1%,75,135.7,57,33.3%,17,19.0%,16,71.4%,90,6.7%,95,23.3%,97,2.7%,49,1.1%
05/31/21,@,WAS,L,114,122,25,13,12,3,4/5,0/0,5/11,17,18.2%,70,130.0,20,15.8%,56,8.3%,54,25.0%,97,10.7%,96,25.0%,,0.0%,64,1.5%
05/29/21,@,WAS,W,132,103,30,14,5,9,7/10,0/0,0/3,34,22.5%,66,127.3,45,28.1%,38,12.9%,28,57.1%,81,5.0%,45,8.8%,,0.0%,64,1.4%
05/26/21,vs.,WAS,W,120,95,29,22,9,8,11/15,0/0,0/0,67,30.5%,85,146.7,57,33.3%,49,10.3%,54,27.3%,96,10.0%,90,19.4%,84,1.6%,87,3.1%
05/23/21,vs.,WAS,W,125,118,38,6,15,15,3/9,0/1,0/6,31,21.9%,7,50.0,80,42.9%,52,9.5%,46,33.3%,100,18.9%,94,21.9%,79,1.4%,46,1.0%
05/14/21,vs.,ORL,W,122,97,26,13,4,9,5/8,0/0,3/3,28,20.3%,84,144.4,89,47.4%,,0.0%,28,60.0%,79,4.3%,25,6.1%,91,1.8%,60,1.7%
05/13/21,@,MIA,L,94,106,26,8,1,6,3/6,0/0,2/2,25,20.0%,55,114.3,72,37.5%,58,10.0%,22,66.7%,80,4.5%,0,0.0%,,0.0%,,0.0%
05/11/21,@,IND,L,94,103,37,20,8,7,9/16,0/0,2/3,75,30.4%,60,117.6,71,36.8%,19,20.8%,53,33.3%,63,2.5%,82,18.2%,,0.0%,73,2.5%
05/07/21,vs.,NOP,W,109,107,34,8,9,10,4/8,0/0,0/0,20,18.6%,34,100.0,75,38.5%,42,13.8%,65,25.0%,99,12.1%,57,11.9%,,0.0%,74,2.6%
05/05/21,@,HOU,W,135,115,24,10,3,3,5/8,0/0,0/0,8,14.2%,66,125.0,17,15.0%,,0.0%,48,40.0%,,0.0%,50,10.7%,,0.0%,,0.0%
05/03/21,@,CHI,W,106,94,33,15,6,5,6/7,0/0,3/5,16,17.1%,93,166.7,26,19.2%,31,16.7%,33,50.0%,,0.0%,76,16.2%,,0.0%,91,4.3%
05/02/21,@,SAS,W,113,111,35,5,6,5,2/6,0/0,1/5,10,15.3%,11,62.5,30,20.8%,62,9.1%,33,50.0%,72,3.3%,67,14.3%,,0.0%,77,2.8%
04/30/21,vs.,ATL,W,126,104,27,18,6,5,8/10,0/0,2/2,20,18.8%,92,163.6,52,29.4%,,0.0%,52,37.5%,99,12.9%,33,7.7%,91,1.9%,57,1.6%
04/28/21,vs.,ATL,W,127,83,16,8,4,6,4/5,0/0,0/2,50,25.0%,74,133.3,88,46.2%,53,11.1%,33,50.0%,92,7.1%,71,15.0%,,0.0%,95,5.6%
04/26/21,vs.,OKC,W,121,90,23,10,3,4,5/7,0/0,0/0,30,20.8%,82,142.9,36,23.5%,21,20.0%,48,40.0%,,0.0%,24,5.9%,100,5.3%,97,6.2%
04/16/21,vs.,LAC,W,106,103,36,12,9,6,5/9,0/0,2/5,18,18.0%,50,109.1,43,26.1%,24,19.4%,28,60.0%,85,5.1%,81,17.6%,98,3.1%,68,2.3%
04/14/21,vs.,BKN,W,123,117,35,17,4,9,6/10,0/0,5/8,43,23.4%,63,121.4,72,37.5%,76,5.4%,53,33.3%,71,3.2%,44,9.7%,84,1.4%,88,3.8%
04/12/21,@,DAL,W,113,95,24,8,6,7,3/6,0/0,2/6,59,26.5%,28,88.9,71,36.8%,70,7.4%,83,0.0%,99,12.5%,80,17.4%,,0.0%,63,2.0%
04/10/21,@,OKC,W,117,93,28,13,3,3,5/9,0/0,3/5,19,18.1%,60,118.2,14,13.6%,,0.0%,83,0.0%,71,3.2%,44,9.5%,,0.0%,,0.0%
04/09/21,@,NOP,L,94,101,34,10,9,6,3/6,0/0,4/9,40,22.8%,34,100.0,58,31.6%,3,33.3%,22,66.7%,,0.0%,79,17.1%,83,1.4%,98,6.3%
04/06/21,@,BOS,W,106,96,36,12,4,6,4/7,0/0,4/8,31,21.1%,50,109.1,33,22.2%,47,12.5%,83,0.0%,,0.0%,77,16.7%,,0.0%,89,3.9%
