Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,PHX,L,109,115,44,21,5,11,8/18,2/5,3/3,87,28.6%,50,110.5,97,34.4%,13,21.4%,69,62.5%,,0.0%,79,19.2%,,0.0%,50,1.0%
04/26/22,@,PHX,L,97,112,41,22,5,5,7/18,1/4,7/11,93,31.5%,34,95.7,85,23.8%,22,17.2%,87,42.9%,,0.0%,65,15.2%,,0.0%,52,1.1%
04/24/22,vs.,PHX,W,118,103,36,30,4,5,11/22,1/5,7/10,91,30.5%,53,115.4,91,27.8%,64,3.8%,77,54.5%,50,2.8%,28,8.3%,,0.0%,,0.0%
04/22/22,vs.,PHX,L,111,114,37,34,7,2,11/19,3/6,9/10,86,27.4%,84,154.5,55,10.5%,52,8.9%,86,45.5%,,0.0%,85,21.2%,74,1.4%,,0.0%
04/19/22,@,PHX,W,125,114,37,37,11,9,13/21,3/3,8/8,92,31.3%,84,154.2,95,32.1%,35,14.0%,71,61.5%,80,6.9%,92,23.7%,71,1.3%,54,1.1%
04/17/22,@,PHX,L,99,110,39,18,5,4,6/17,1/2,5/5,78,24.2%,33,94.7,74,18.2%,14,20.8%,61,66.7%,45,2.0%,55,13.3%,,0.0%,49,1.0%
04/15/22,@,LAC,W,105,101,42,30,6,6,14/21,0/0,2/4,85,27.3%,69,130.4,83,23.1%,58,7.4%,97,14.3%,,0.0%,58,14.3%,,0.0%,,0.0%
04/13/22,vs.,SAS,W,113,103,30,27,5,5,11/19,0/2,5/6,98,36.2%,61,122.7,98,35.7%,53,8.5%,77,54.5%,62,3.8%,30,8.6%,,0.0%,,0.0%
04/05/22,@,SAC,W,123,109,34,17,7,8,5/15,1/3,6/8,91,28.7%,30,89.5,91,26.7%,51,8.5%,67,60.0%,,0.0%,91,24.1%,,0.0%,,0.0%
04/03/22,@,LAC,L,100,119,35,15,8,4,3/11,1/2,8/8,89,27.2%,34,100.0,79,19.0%,8,27.3%,59,66.7%,,0.0%,84,21.1%,,0.0%,,0.0%
04/01/22,@,LAL,W,114,111,35,29,8,7,10/17,0/2,9/9,98,35.9%,74,138.1,95,33.3%,23,17.9%,90,30.0%,,0.0%,94,26.9%,91,3.1%,55,1.3%
03/30/22,@,POR,W,117,107,28,19,6,6,4/12,0/2,11/13,96,32.8%,51,111.8,95,31.6%,60,5.0%,72,50.0%,67,4.8%,88,22.7%,,0.0%,64,1.6%
03/27/22,vs.,LAL,W,116,108,26,26,7,5,10/16,0/2,6/7,99,38.0%,73,136.8,94,31.2%,60,4.9%,84,40.0%,69,5.0%,93,26.1%,,0.0%,,0.0%
03/06/22,@,DEN,L,130,138,40,35,5,9,11/22,2/5,11/13,99,38.6%,67,129.6,98,37.5%,31,14.7%,82,45.5%,,0.0%,68,16.7%,69,1.4%,,0.0%
03/04/22,vs.,UTA,W,124,90,30,29,8,6,11/16,1/3,6/6,98,35.0%,84,152.6,93,30.0%,17,20.4%,82,45.5%,63,4.2%,80,19.4%,,0.0%,60,1.4%
03/02/22,vs.,SAC,W,125,95,32,33,5,6,15/19,2/3,1/2,93,30.0%,91,173.7,92,28.6%,34,13.3%,86,33.3%,,0.0%,58,14.3%,,0.0%,,0.0%
02/27/22,@,LAL,W,123,95,31,19,5,8,8/18,0/2,3/6,97,34.0%,31,90.5,97,34.8%,41,11.3%,85,37.5%,57,3.4%,45,11.4%,,0.0%,78,2.6%
02/25/22,@,PHX,W,117,102,34,28,5,7,9/17,0/2,10/11,94,30.9%,65,127.3,98,38.9%,61,4.0%,86,33.3%,,0.0%,68,16.7%,,0.0%,,0.0%
02/17/22,vs.,DAL,L,118,125,35,12,5,8,6/21,0/4,0/1,93,29.8%,14,57.1,93,29.6%,61,4.0%,86,33.3%,51,2.8%,56,13.8%,,0.0%,52,1.2%
02/15/22,vs.,MEM,L,109,121,34,18,4,4,8/18,1/3,1/1,94,30.4%,33,94.7,72,16.0%,34,13.3%,85,37.5%,59,3.6%,35,9.4%,,0.0%,,0.0%
02/14/22,vs.,TOR,W,120,90,29,10,11,8,4/7,0/2,2/3,80,23.3%,62,125.0,95,32.0%,30,14.8%,91,25.0%,,0.0%,89,23.1%,91,3.1%,66,1.7%
02/12/22,vs.,SAS,L,114,124,35,22,2,2,9/19,1/5,3/3,92,29.2%,49,110.0,44,8.3%,34,13.3%,86,33.3%,,0.0%,21,6.5%,,0.0%,,0.0%
02/10/22,vs.,MIA,L,97,112,33,15,3,1,6/12,1/3,2/3,77,22.4%,54,115.4,36,6.2%,7,29.4%,72,50.0%,52,2.9%,21,6.7%,73,1.6%,,0.0%
02/08/22,vs.,HOU,W,110,97,34,26,2,2,11/17,1/3,3/4,91,28.8%,73,136.8,54,10.5%,13,22.2%,82,45.5%,,0.0%,20,6.1%,96,4.5%,,0.0%
02/06/22,@,HOU,W,120,107,36,33,3,12,12/21,3/5,6/9,100,40.9%,69,132.0,100,70.6%,37,12.7%,70,58.3%,,0.0%,33,9.1%,73,1.5%,91,3.9%
02/04/22,@,DEN,W,113,105,38,23,4,12,8/19,0/3,7/7,96,33.3%,46,104.5,99,44.4%,61,3.7%,72,50.0%,,0.0%,49,12.1%,90,2.9%,54,1.2%
02/01/22,@,DET,W,111,101,32,26,3,4,8/18,1/1,9/10,94,31.3%,52,113.0,87,23.5%,,0.0%,85,37.5%,,0.0%,37,9.7%,77,1.8%,57,1.3%
01/20/22,@,NYK,W,102,91,27,15,5,6,4/10,1/1,6/8,96,32.7%,54,115.4,95,33.3%,25,16.7%,72,50.0%,,0.0%,68,16.7%,,0.0%,67,1.8%
01/17/22,@,BOS,L,92,104,35,15,10,6,6/19,0/4,3/3,93,29.9%,21,75.0,91,26.1%,61,4.3%,86,33.3%,75,5.9%,93,25.8%,,0.0%,56,1.3%
01/15/22,@,BKN,L,105,120,34,22,4,8,8/21,2/6,4/6,97,33.8%,31,91.7,95,33.3%,61,3.7%,72,50.0%,51,2.8%,46,11.5%,75,1.6%,,0.0%
