Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,@,BOS,L,81,109,37,15,10,0,6/12,1/6,2/2,52,15.5%,48,115.4,,0.0%,40,15.4%,64,66.7%,68,9.8%,35,13.3%,84,3.9%,,0.0%
05/13/22,vs.,BOS,L,95,108,19,6,3,0,3/6,0/2,0/0,52,15.4%,27,100.0,,0.0%,37,16.7%,64,66.7%,,0.0%,51,17.6%,,0.0%,83,2.6%
05/11/22,@,BOS,W,110,107,20,2,3,2,1/4,0/2,0/0,24,9.6%,12,50.0,68,13.3%,,0.0%,,100.0%,42,4.5%,11,5.9%,,0.0%,,0.0%
05/09/22,vs.,BOS,L,108,116,29,17,7,0,6/11,0/1,5/6,68,18.1%,53,121.4,,0.0%,56,8.0%,51,83.3%,70,10.3%,16,8.3%,67,1.9%,,0.0%
05/07/22,vs.,BOS,W,103,101,29,13,10,2,5/10,0/0,3/3,63,17.4%,50,118.2,57,10.0%,55,8.3%,87,40.0%,60,8.3%,56,18.9%,,0.0%,87,2.9%
05/03/22,@,BOS,L,86,109,25,2,6,0,1/2,0/0,0/0,8,5.7%,27,100.0,,0.0%,12,33.3%,93,0.0%,60,8.3%,51,17.4%,95,6.7%,,0.0%
05/01/22,@,BOS,W,101,89,28,6,10,0,3/7,0/2,0/0,24,9.6%,24,85.7,,0.0%,,0.0%,88,33.3%,72,11.1%,52,18.2%,91,5.2%,71,1.5%
04/27/22,vs.,CHI,W,116,100,29,12,5,0,4/8,0/0,4/4,51,14.9%,51,120.0,,0.0%,52,10.0%,77,50.0%,38,3.8%,35,13.3%,82,3.6%,,0.0%
04/24/22,@,CHI,W,119,95,22,2,5,2,1/4,0/2,0/0,43,13.3%,12,50.0,57,10.0%,15,30.8%,,100.0%,46,5.3%,27,11.1%,71,2.4%,95,4.1%
04/22/22,@,CHI,W,111,81,25,9,2,1,4/9,1/2,0/0,61,17.0%,27,100.0,40,5.3%,,0.0%,92,25.0%,,0.0%,15,7.4%,86,4.5%,,0.0%
04/20/22,vs.,CHI,L,110,114,35,25,6,1,9/16,3/6,4/4,58,16.5%,71,147.1,39,5.0%,,0.0%,,100.0%,36,3.3%,19,9.1%,58,1.5%,,0.0%
04/17/22,vs.,CHI,W,93,86,32,18,5,0,7/14,1/5,3/4,70,18.4%,51,120.0,,0.0%,42,14.3%,50,85.7%,35,3.2%,14,7.1%,76,2.9%,,0.0%
04/08/22,@,DET,W,131,101,21,17,4,0,7/11,3/4,0/0,53,17.3%,79,154.5,,0.0%,50,11.1%,42,85.7%,34,4.3%,14,7.4%,65,2.2%,,0.0%
04/07/22,vs.,BOS,W,127,121,24,15,7,0,7/16,1/4,0/0,82,24.1%,26,93.8,,0.0%,,0.0%,57,71.4%,72,12.0%,44,16.7%,63,2.0%,,0.0%
04/05/22,@,CHI,W,127,106,29,28,7,0,9/14,1/4,9/9,68,20.4%,80,155.6,,0.0%,62,6.9%,,100.0%,30,3.6%,53,18.8%,90,5.2%,85,2.8%
04/03/22,vs.,DAL,L,112,118,22,14,3,0,6/13,2/4,0/0,74,21.9%,40,107.7,,0.0%,,0.0%,44,83.3%,35,4.5%,23,11.1%,,0.0%,94,4.2%
03/31/22,@,BKN,W,120,119,21,5,3,0,2/7,0/3,1/2,57,18.0%,12,62.5,,0.0%,21,22.2%,,100.0%,,0.0%,31,13.0%,66,2.3%,,0.0%
03/29/22,@,PHI,W,118,116,24,17,3,0,6/14,4/9,1/1,67,20.1%,53,121.4,,0.0%,40,14.8%,44,83.3%,29,3.4%,15,8.0%,,0.0%,,0.0%
03/26/22,@,MEM,L,102,127,22,10,6,0,4/9,2/5,0/0,30,13.2%,43,111.1,,0.0%,,0.0%,51,75.0%,54,8.0%,40,15.4%,60,1.9%,91,3.5%
03/24/22,vs.,WAS,W,114,102,28,13,2,2,5/11,0/4,3/4,84,25.0%,27,100.0,58,11.1%,28,19.4%,70,60.0%,32,4.0%,7,3.6%,59,1.8%,,0.0%
03/22/22,vs.,CHI,W,126,98,24,10,6,2,4/9,2/4,0/0,63,19.4%,43,111.1,50,9.1%,28,19.0%,51,75.0%,63,10.0%,23,11.1%,83,4.0%,,0.0%
03/19/22,@,MIN,L,119,138,20,15,4,1,6/10,0/2,3/3,65,20.0%,66,136.4,50,9.1%,,0.0%,75,50.0%,72,12.0%,9,5.3%,88,4.7%,,0.0%
03/16/22,@,SAC,W,135,126,15,3,2,0,1/4,1/3,0/0,17,10.5%,16,75.0,,0.0%,,0.0%,95,0.0%,,0.0%,35,14.3%,,0.0%,,0.0%
03/14/22,@,UTA,W,117,111,15,6,1,1,1/4,1/3,3/4,71,21.2%,27,100.0,62,12.5%,40,14.3%,,100.0%,47,6.7%,0,0.0%,,0.0%,87,3.0%
10/19/21,vs.,BKN,W,127,104,28,8,5,0,3/9,2/4,0/0,17,10.6%,24,88.9,,0.0%,,0.0%,,100.0%,42,5.7%,33,13.6%,92,5.7%,64,1.4%
