Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,BKN,L,126,134,36,21,3,6,8/23,5/14,0/0,89,26.9%,34,91.3,85,21.4%,50,8.2%,47,87.5%,,0.0%,66,13.0%,,0.0%,74,2.2%
04/09/22,@,PHI,L,120,133,28,12,2,1,3/8,2/5,4/4,59,18.2%,59,120.0,32,5.3%,10,25.0%,,100.0%,73,4.0%,23,4.8%,,0.0%,,0.0%
04/05/22,vs.,PHI,L,122,131,38,25,11,5,11/19,3/10,0/0,70,20.6%,69,131.6,82,19.2%,43,10.0%,68,63.6%,88,7.1%,86,18.8%,77,1.4%,49,1.0%
04/03/22,vs.,DET,L,117,121,32,19,9,4,8/17,3/12,0/0,83,24.4%,52,111.8,78,17.4%,16,20.0%,54,75.0%,,0.0%,96,25.7%,79,1.4%,,0.0%
04/01/22,@,BOS,L,123,128,37,6,5,7,2/10,2/7,0/0,74,21.6%,15,60.0,89,23.3%,6,28.6%,,100.0%,96,11.1%,40,8.0%,,0.0%,54,1.2%
03/30/22,vs.,DEN,L,118,125,37,20,2,4,7/14,5/11,1/1,52,16.8%,77,142.9,74,16.7%,34,12.9%,59,71.4%,,0.0%,19,3.8%,,0.0%,,0.0%
03/28/22,vs.,ATL,L,123,132,38,26,4,5,10/15,5/7,1/2,67,19.9%,88,162.5,80,18.5%,22,17.1%,50,80.0%,65,3.0%,50,10.0%,78,1.4%,51,1.1%
03/26/22,@,TOR,L,91,131,32,14,3,3,5/12,4/8,0/0,58,17.9%,56,116.7,73,15.8%,49,8.3%,,100.0%,70,3.6%,46,9.1%,,0.0%,,0.0%
03/24/22,@,MEM,L,103,133,27,11,5,2,5/12,1/2,0/0,66,19.7%,34,91.7,50,9.5%,51,7.7%,86,40.0%,69,3.4%,78,16.0%,96,3.6%,63,1.5%
03/23/22,vs.,SAC,L,109,110,37,25,3,7,10/18,5/8,0/0,86,25.9%,75,138.9,95,29.2%,20,18.2%,60,70.0%,61,2.6%,35,7.1%,80,1.5%,95,4.7%
03/20/22,vs.,POR,W,129,98,20,9,3,2,2/9,2/9,3/3,84,25.0%,32,90.0,61,12.5%,,0.0%,74,50.0%,,0.0%,69,13.6%,,0.0%,95,4.8%
03/18/22,@,HOU,W,121,118,29,15,4,3,4/19,3/11,4/5,98,33.6%,21,71.4,61,12.5%,25,16.3%,,100.0%,65,3.0%,57,11.1%,,0.0%,,0.0%
03/15/22,vs.,MEM,L,102,135,27,14,7,2,6/13,0/2,2/2,73,21.2%,49,107.7,65,13.3%,19,19.4%,74,50.0%,81,5.3%,76,15.6%,,0.0%,58,1.4%
03/13/22,@,ATL,L,128,131,39,25,4,5,9/20,2/7,5/6,88,26.3%,54,113.6,74,16.7%,50,8.0%,88,33.3%,,0.0%,70,14.3%,,0.0%,49,1.1%
03/12/22,@,SAS,W,119,108,36,17,5,6,7/18,3/12,0/0,92,28.5%,36,94.4,86,22.2%,32,13.3%,85,42.9%,,0.0%,50,10.0%,,0.0%,55,1.3%
03/08/22,vs.,CLE,L,124,127,38,14,2,8,5/6,4/4,0/0,27,12.2%,98,233.3,88,22.9%,6,28.6%,,100.0%,,0.0%,25,5.3%,76,1.2%,51,1.2%
03/06/22,@,WAS,L,123,133,40,19,8,7,8/17,2/7,1/1,75,21.9%,52,111.8,89,23.3%,58,5.1%,74,50.0%,,0.0%,94,23.3%,,0.0%,,0.0%
03/04/22,@,DET,L,106,111,38,16,7,9,7/20,1/10,1/1,86,25.5%,26,80.0,98,37.5%,40,11.3%,91,28.6%,73,3.9%,61,11.9%,,0.0%,49,1.0%
03/02/22,@,ORL,W,122,114,44,17,6,3,6/17,4/12,1/1,72,21.2%,36,100.0,58,11.5%,13,22.7%,74,50.0%,77,4.5%,48,9.3%,,0.0%,70,1.9%
02/28/22,@,ORL,L,103,119,34,18,1,6,7/13,3/6,1/1,73,21.2%,75,138.5,96,31.6%,,0.0%,95,14.3%,,0.0%,14,2.9%,,0.0%,,0.0%
02/27/22,vs.,BOS,W,128,107,38,19,5,4,7/14,2/7,3/3,66,19.6%,73,135.7,61,12.1%,37,12.1%,85,42.9%,,0.0%,67,13.2%,,0.0%,77,2.4%
02/25/22,vs.,OKC,L,125,129,43,29,7,5,12/21,5/9,0/0,76,22.0%,75,138.1,77,17.2%,32,13.6%,54,75.0%,,0.0%,79,16.3%,75,1.1%,49,1.0%
02/16/22,vs.,WAS,W,113,108,39,15,5,7,5/12,1/5,4/4,68,20.1%,49,107.1,82,19.4%,57,5.7%,86,40.0%,,0.0%,59,11.4%,76,1.2%,,0.0%
02/15/22,@,MIL,L,119,128,37,36,2,4,14/20,8/12,0/0,82,23.8%,93,180.0,74,16.7%,29,14.6%,68,64.3%,,0.0%,33,6.7%,,0.0%,51,1.2%
02/13/22,vs.,MIN,L,120,129,40,13,8,1,6/19,1/13,0/0,66,19.7%,20,68.4,24,3.1%,44,9.8%,88,33.3%,74,4.1%,81,17.1%,78,1.4%,49,1.0%
02/11/22,vs.,CLE,L,113,120,40,16,9,8,6/17,4/10,0/1,66,19.6%,35,94.1,94,27.6%,58,5.0%,61,66.7%,60,2.4%,95,25.0%,,0.0%,,0.0%
02/05/22,vs.,OKC,W,113,103,20,9,3,0,3/6,3/6,0/0,45,15.6%,79,150.0,,0.0%,2,40.0%,,100.0%,84,5.9%,57,11.1%,,0.0%,72,2.1%
02/03/22,@,GSW,L,114,126,27,6,2,1,2/8,2/6,0/0,41,14.9%,22,75.0,30,5.0%,37,11.8%,,100.0%,,0.0%,44,8.7%,,0.0%,,0.0%
02/02/22,vs.,BKN,W,112,101,27,18,1,0,7/16,3/9,1/1,84,24.6%,53,112.5,,0.0%,35,12.5%,72,57.1%,70,3.6%,0,0.0%,,0.0%,,0.0%
01/31/22,@,NYK,L,96,116,28,11,5,0,4/13,3/12,0/0,74,21.7%,29,84.6,,0.0%,26,15.4%,,100.0%,,0.0%,85,18.5%,85,1.8%,66,1.7%
01/29/22,@,PHI,L,101,103,23,2,8,3,1/8,0/7,0/0,81,23.5%,8,25.0,85,21.4%,10,25.0%,,100.0%,88,7.1%,99,31.6%,,0.0%,71,2.0%
01/26/22,@,ATL,L,104,121,30,8,8,4,3/12,1/8,1/1,75,21.8%,17,66.7,85,21.1%,19,19.4%,,100.0%,93,8.6%,85,18.5%,,0.0%,,0.0%
01/25/22,@,BOS,L,75,128,24,11,5,1,4/14,3/9,0/0,88,26.3%,25,78.6,47,9.1%,34,12.9%,74,50.0%,84,5.9%,48,9.4%,,0.0%,67,1.7%
01/22/22,@,MIL,L,127,133,29,6,7,2,2/10,2/7,0/0,50,16.4%,15,60.0,37,6.7%,49,8.3%,95,0.0%,88,7.1%,83,17.9%,,0.0%,,0.0%
01/19/22,vs.,DET,L,131,133,19,2,1,2,0/2,0/2,2/2,35,14.0%,17,66.7,61,12.5%,4,33.3%,,,,0.0%,0,0.0%,,0.0%,,0.0%
01/16/22,vs.,HOU,L,112,118,30,27,5,2,9/16,5/9,4/5,88,26.4%,79,150.0,61,12.5%,25,16.2%,54,77.8%,,0.0%,94,23.8%,,0.0%,98,5.7%
01/14/22,vs.,HOU,W,126,114,32,19,6,1,5/13,4/10,5/6,47,16.0%,66,126.7,25,3.6%,,0.0%,,100.0%,65,3.0%,60,11.8%,,0.0%,54,1.2%
01/12/22,vs.,LAL,W,125,116,29,10,4,1,4/8,2/5,0/0,20,11.0%,63,125.0,29,4.8%,32,13.3%,,100.0%,69,3.4%,50,9.7%,,0.0%,,0.0%
01/10/22,vs.,CLE,L,108,109,23,19,3,3,7/11,5/8,0/0,48,16.1%,91,172.7,78,17.6%,,0.0%,59,71.4%,,0.0%,60,11.5%,87,1.9%,87,3.2%
01/09/22,@,POR,L,88,103,29,10,7,2,4/13,2/8,0/0,78,22.7%,24,76.9,71,15.4%,31,13.8%,54,75.0%,69,3.4%,79,16.7%,,0.0%,86,3.1%
01/07/22,@,DEN,L,111,121,27,7,2,2,2/9,2/7,1/1,50,16.7%,25,77.8,50,9.5%,20,18.2%,,100.0%,,0.0%,46,9.1%,86,1.9%,85,3.0%
01/05/22,vs.,ATL,L,102,108,29,11,6,1,3/8,2/5,3/4,39,14.6%,61,122.2,29,4.8%,42,10.5%,61,66.7%,,0.0%,91,21.4%,,0.0%,,0.0%
01/04/22,@,LAL,L,114,122,33,26,5,2,8/18,7/13,3/3,81,23.6%,74,136.8,47,9.1%,,0.0%,47,87.5%,71,3.7%,65,12.9%,80,1.5%,60,1.4%
01/02/22,vs.,MIA,W,115,113,33,26,6,3,9/18,7/14,1/1,79,22.9%,78,144.4,67,14.3%,56,6.2%,,100.0%,,0.0%,73,14.6%,,0.0%,,0.0%
12/31/21,vs.,DAL,L,96,112,26,8,0,3,3/7,1/4,1/1,53,17.0%,54,114.3,78,17.6%,15,21.1%,61,66.7%,,0.0%,0,0.0%,,0.0%,69,1.8%
12/29/21,vs.,DAL,W,95,94,23,3,1,1,1/5,1/4,0/0,41,14.9%,15,60.0,39,7.1%,6,28.6%,,100.0%,,0.0%,23,4.8%,,0.0%,,0.0%
12/28/21,vs.,OKC,W,117,111,25,21,2,0,7/14,3/7,4/4,84,24.6%,69,131.3,,0.0%,54,6.9%,59,71.4%,69,3.4%,15,3.0%,87,2.0%,,0.0%
12/26/21,vs.,MEM,L,102,127,24,2,2,1,0/3,0/2,2/2,17,10.2%,11,50.0,33,5.6%,20,18.2%,,,,0.0%,35,7.1%,,0.0%,,0.0%
12/22/21,vs.,LAC,L,89,105,43,16,6,3,5/22,5/18,1/2,75,21.7%,22,72.7,55,10.7%,,0.0%,50,80.0%,87,6.7%,40,7.9%,91,2.5%,49,1.0%
12/20/21,@,GSW,L,98,113,40,18,5,2,6/15,6/13,0/0,67,19.9%,59,120.0,46,8.7%,8,27.0%,48,83.3%,,0.0%,70,13.9%,,0.0%,94,4.3%
12/19/21,vs.,SAS,W,121,114,40,29,3,4,10/18,7/9,2/2,73,21.4%,84,152.6,74,16.7%,58,5.1%,74,50.0%,60,2.4%,27,5.6%,,0.0%,50,1.1%
12/17/21,vs.,MEM,L,105,124,37,15,1,1,5/10,4/6,1/1,31,13.1%,79,150.0,26,4.0%,9,26.1%,50,80.0%,,0.0%,14,2.5%,,0.0%,89,3.4%
12/15/21,vs.,WAS,W,119,105,29,15,1,1,4/10,4/7,3/3,50,16.4%,73,136.4,26,4.2%,45,9.5%,,100.0%,,0.0%,22,4.5%,,0.0%,64,1.6%
12/13/21,@,TOR,L,101,124,22,9,1,2,3/10,3/9,0/0,69,20.3%,32,90.0,67,14.3%,23,16.7%,61,66.7%,,0.0%,0,0.0%,,0.0%,67,1.7%
12/11/21,@,CLE,L,103,117,28,21,5,0,7/13,4/10,3/3,73,21.4%,79,150.0,,0.0%,16,20.0%,72,57.1%,69,3.4%,53,10.3%,97,3.8%,84,2.9%
12/10/21,@,CHA,L,123,124,31,15,5,1,6/19,2/10,1/1,81,23.7%,25,78.9,26,4.2%,57,5.4%,61,66.7%,,0.0%,87,20.0%,,0.0%,80,2.6%
12/08/21,vs.,ORL,W,142,130,18,5,1,1,2/13,1/10,0/0,96,31.2%,9,38.5,37,6.7%,,0.0%,,100.0%,,0.0%,30,6.2%,,0.0%,,0.0%
12/04/21,vs.,LAC,W,104,99,20,10,3,2,2/6,1/5,5/5,70,20.6%,63,125.0,79,18.2%,19,19.0%,74,50.0%,,0.0%,66,13.0%,91,2.5%,92,3.9%
12/01/21,@,LAC,W,124,115,22,4,4,2,2/7,0/3,0/0,67,19.8%,14,57.1,55,11.1%,6,28.6%,74,50.0%,93,8.7%,22,4.5%,,0.0%,,0.0%
11/30/21,vs.,LAL,L,92,117,32,5,2,5,1/7,1/6,2/3,46,15.7%,17,62.5,90,25.0%,46,9.1%,,100.0%,,0.0%,34,6.9%,,0.0%,,0.0%
11/28/21,@,MEM,L,101,128,29,14,6,1,5/17,1/9,3/3,75,21.7%,25,77.8,36,6.2%,,0.0%,50,80.0%,60,2.4%,78,16.1%,,0.0%,,0.0%
11/26/21,@,LAL,W,141,137,40,25,4,6,8/21,3/13,6/7,85,25.3%,47,104.2,82,19.4%,,0.0%,68,62.5%,61,2.6%,50,10.0%,,0.0%,72,2.1%
11/24/21,vs.,POR,W,125,121,30,22,4,0,6/15,5/11,5/6,84,25.0%,68,129.4,,0.0%,22,17.1%,48,83.3%,,0.0%,63,12.5%,82,1.6%,,0.0%
11/22/21,vs.,PHI,L,94,102,31,21,9,2,7/15,5/11,2/2,81,23.6%,69,131.3,67,14.3%,37,11.8%,72,57.1%,62,2.8%,95,24.2%,,0.0%,,0.0%
11/20/21,vs.,UTA,L,105,123,30,16,3,3,6/13,3/8,1/1,75,21.7%,62,123.1,80,18.8%,32,13.3%,74,50.0%,,0.0%,50,10.0%,,0.0%,,0.0%
11/19/21,vs.,TOR,L,89,108,24,10,1,2,3/13,3/12,1/2,89,27.3%,21,71.4,71,15.4%,55,6.7%,61,66.7%,68,3.3%,0,0.0%,,0.0%,,0.0%
11/17/21,@,MIN,L,97,107,29,16,3,2,5/17,5/14,1/2,74,21.5%,32,88.9,55,11.1%,,0.0%,50,80.0%,63,2.9%,41,8.3%,,0.0%,,0.0%
11/15/21,@,DET,W,129,107,24,22,2,2,8/14,6/10,0/0,86,25.4%,85,157.1,61,12.5%,31,13.8%,68,62.5%,74,4.2%,16,3.4%,,0.0%,68,1.8%
11/12/21,@,OKC,L,103,105,25,14,1,5,5/12,4/9,0/0,81,23.7%,56,116.7,98,35.7%,53,7.1%,69,60.0%,,0.0%,17,3.6%,,0.0%,,0.0%
11/10/21,@,SAS,L,117,136,31,6,1,2,3/12,0/7,0/0,61,18.6%,11,50.0,39,7.1%,51,7.7%,61,66.7%,,0.0%,16,3.3%,,0.0%,60,1.4%
11/08/21,vs.,PHX,L,104,109,30,14,6,2,5/16,3/11,1/2,81,23.6%,31,87.5,65,13.3%,39,11.4%,69,60.0%,64,2.9%,85,18.5%,84,1.7%,,0.0%
11/07/21,vs.,IND,L,91,94,32,14,4,1,5/15,4/11,0/0,69,20.4%,35,93.3,37,6.7%,54,6.9%,50,80.0%,82,5.6%,30,6.2%,84,1.8%,93,4.2%
11/05/21,vs.,CHA,W,140,110,27,23,3,4,8/16,7/15,0/0,84,25.0%,78,143.8,89,23.5%,37,12.1%,47,87.5%,,0.0%,69,13.6%,,0.0%,,0.0%
11/03/21,vs.,NOP,W,112,99,23,11,5,0,4/13,2/10,1/2,89,27.1%,25,78.6,,0.0%,,0.0%,74,50.0%,94,9.5%,57,11.1%,,0.0%,72,2.1%
11/02/21,@,UTA,L,113,119,30,19,5,3,6/10,5/7,2/2,48,16.2%,91,172.7,67,14.3%,,0.0%,88,33.3%,67,3.2%,60,11.8%,,0.0%,59,1.4%
10/31/21,@,DAL,L,99,105,30,11,8,1,4/13,3/12,0/0,66,19.7%,29,84.6,29,4.8%,16,20.0%,54,75.0%,61,2.6%,86,18.8%,,0.0%,56,1.3%
10/29/21,@,NOP,W,113,109,30,20,6,1,6/11,3/7,5/5,72,21.1%,84,153.8,33,5.6%,28,14.8%,61,66.7%,,0.0%,81,17.1%,,0.0%,86,3.1%
10/27/21,@,PHX,W,110,107,27,26,5,1,8/17,7/11,3/3,95,30.2%,78,144.4,39,7.1%,15,21.1%,47,87.5%,,0.0%,83,17.9%,96,3.4%,86,3.2%
10/24/21,vs.,GSW,L,107,119,25,6,4,3,2/11,2/10,0/0,77,22.5%,14,54.5,74,16.7%,28,14.8%,,100.0%,74,4.2%,62,12.0%,,0.0%,,0.0%
10/22/21,vs.,UTA,L,101,110,26,24,7,1,9/21,6/15,0/0,97,31.9%,54,114.3,47,9.1%,20,18.2%,54,77.8%,82,5.6%,83,17.9%,,0.0%,,0.0%
10/20/21,@,POR,W,124,121,31,17,6,2,5/9,4/7,3/4,39,14.6%,84,154.5,47,9.1%,,0.0%,69,60.0%,,0.0%,92,22.2%,,0.0%,,0.0%
