Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/27/22,@,BOS,W,111,103,12,5,3,0,2/4,1/1,0/0,61,19.4%,63,125.0,,0.0%,1,50.0%,,100.0%,96,14.3%,33,9.1%,,0.0%,,0.0%
05/25/22,vs.,BOS,L,80,93,14,7,6,1,3/7,1/3,0/0,64,20.3%,35,100.0,78,20.0%,,0.0%,61,66.7%,71,5.3%,99,45.5%,,0.0%,,0.0%
05/23/22,@,BOS,L,82,102,16,12,6,0,5/9,2/4,0/1,69,21.4%,70,133.3,,0.0%,,0.0%,71,60.0%,93,11.8%,84,21.1%,,0.0%,,0.0%
05/21/22,@,BOS,W,109,103,10,8,3,0,3/4,1/2,1/1,60,19.0%,95,200.0,,0.0%,8,25.0%,61,66.7%,92,11.1%,0,0.0%,,0.0%,96,4.8%
05/19/22,vs.,BOS,L,102,127,11,0,1,0,0/4,0/0,0/0,50,16.7%,1,0.0,,0.0%,,0.0%,,,,0.0%,80,20.0%,,0.0%,,0.0%
05/17/22,vs.,BOS,W,118,107,13,5,1,0,2/4,1/2,0/0,23,10.7%,63,125.0,,0.0%,,0.0%,,100.0%,,0.0%,58,14.3%,,0.0%,,0.0%
05/12/22,@,PHI,W,99,90,5,0,1,0,0/0,0/0,0/0,0,0.0%,0,,,0.0%,,,,,,0.0%,98,33.3%,100,10.0%,100,11.1%
05/10/22,vs.,PHI,W,120,85,4,2,0,0,1/2,0/1,0/0,,16.7%,,100.0,,0.0%,,0.0%,,100.0%,,0.0%,,0.0%,,0.0%,,11.1%
05/08/22,@,PHI,L,108,116,0,0,0,0,0/0,0/0,0/0,,0.0%,,,,,,,,,,0.0%,,,,0.0%,,0.0%
05/06/22,@,PHI,L,79,99,2,0,1,0,0/1,0/0,0/0,,33.3%,,0.0,,,,0.0%,,,,33.3%,,0.0%,,0.0%,,0.0%
05/04/22,vs.,PHI,W,119,103,12,3,2,0,1/4,1/2,0/0,40,14.6%,20,75.0,,0.0%,,0.0%,,100.0%,,0.0%,70,16.7%,,0.0%,,0.0%
