Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,vs.,DAL,L,90,123,18,7,5,2,2/5,1/3,2/2,46,15.5%,54,116.7,74,18.2%,,0.0%,78,50.0%,86,8.7%,86,21.4%,,0.0%,,0.0%
05/12/22,@,DAL,L,86,113,20,5,3,1,1/5,1/3,2/2,38,14.0%,24,83.3,43,7.7%,,0.0%,,100.0%,74,5.9%,40,10.5%,,0.0%,,0.0%
05/10/22,vs.,DAL,W,110,80,25,12,2,1,5/8,1/4,1/2,46,15.6%,70,133.3,37,6.2%,14,21.1%,51,80.0%,63,4.0%,0,0.0%,83,2.2%,86,3.3%
05/08/22,@,DAL,L,101,111,30,11,5,2,4/10,3/7,0/0,36,13.2%,49,110.0,55,10.5%,,0.0%,,100.0%,56,3.1%,57,13.8%,,0.0%,,0.0%
05/06/22,@,DAL,L,94,103,16,6,2,2,1/4,1/3,3/3,47,15.7%,57,120.0,92,28.6%,,0.0%,,100.0%,,0.0%,47,11.8%,,0.0%,,0.0%
05/04/22,vs.,DAL,W,129,109,17,9,2,2,3/6,1/4,2/2,81,25.8%,67,128.6,61,12.5%,10,23.5%,,100.0%,,0.0%,47,11.8%,,0.0%,,0.0%
05/02/22,vs.,DAL,W,121,114,24,17,5,1,6/10,3/6,2/2,64,19.8%,84,154.5,33,5.0%,18,19.0%,,100.0%,74,5.9%,58,14.3%,,0.0%,,0.0%
04/28/22,@,NOP,W,115,109,24,13,2,1,4/7,2/3,3/3,49,16.0%,78,144.4,34,5.3%,,0.0%,54,75.0%,76,6.2%,13,4.8%,,0.0%,71,2.0%
04/26/22,vs.,NOP,W,112,97,37,8,9,5,3/8,1/5,1/1,39,14.2%,35,100.0,70,16.7%,21,17.4%,61,66.7%,50,2.8%,80,19.5%,,0.0%,,0.0%
04/24/22,@,NOP,L,103,118,32,13,5,3,4/12,3/7,2/2,62,19.5%,35,100.0,60,12.0%,,0.0%,,100.0%,,0.0%,74,17.4%,,0.0%,,0.0%
04/22/22,@,NOP,W,114,111,27,8,1,0,3/7,2/5,0/2,30,12.5%,35,100.0,,0.0%,37,13.3%,,100.0%,,0.0%,13,4.3%,,0.0%,,0.0%
04/19/22,vs.,NOP,L,114,125,19,11,4,0,4/10,1/6,2/4,70,21.8%,30,91.7,,0.0%,54,8.3%,78,50.0%,,0.0%,96,28.6%,,0.0%,91,3.6%
04/17/22,vs.,NOP,W,110,99,23,13,1,0,5/6,1/2,2/3,49,16.0%,94,185.7,,0.0%,7,26.7%,71,60.0%,71,5.3%,0,0.0%,,0.0%,,0.0%
