Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/15/22,vs.,MEM,L,102,135,18,5,3,0,2/6,1/2,0/0,29,12.8%,28,83.3,,0.0%,,0.0%,74,50.0%,78,4.8%,50,10.0%,,0.0%,,0.0%
03/12/22,@,SAS,W,119,108,34,15,8,1,5/9,3/5,2/2,26,12.2%,79,150.0,27,4.3%,42,10.5%,50,80.0%,62,2.8%,83,17.5%,,0.0%,,0.0%
03/08/22,vs.,CLE,L,124,127,16,11,2,1,4/13,1/3,2/2,96,31.2%,29,84.6,51,10.0%,,0.0%,74,50.0%,81,5.3%,27,5.6%,,0.0%,79,2.5%
02/28/22,@,ORL,L,103,119,15,7,4,1,3/6,1/2,0/0,93,29.4%,56,116.7,82,20.0%,2,40.0%,88,33.3%,92,8.3%,87,20.0%,,0.0%,84,2.9%
02/27/22,vs.,BOS,W,128,107,26,11,4,1,4/11,1/3,2/2,81,23.7%,34,91.7,30,5.0%,28,14.8%,74,50.0%,75,4.3%,69,13.6%,,0.0%,89,3.5%
02/13/22,vs.,MIN,L,120,129,4,2,1,0,1/2,0/1,0/0,,31.8%,,100.0,,0.0%,,57.1%,,100.0%,,33.3%,,0.0%,,0.0%,,0.0%
02/11/22,vs.,CLE,L,113,120,37,18,4,3,5/12,4/7,4/5,50,16.7%,67,128.6,60,12.0%,34,12.9%,50,80.0%,61,2.6%,48,9.4%,,0.0%,50,1.1%
02/08/22,@,ATL,L,112,133,31,23,2,3,8/15,2/5,5/5,84,25.0%,73,135.3,78,17.6%,16,20.5%,54,75.0%,82,5.4%,0,0.0%,82,1.6%,55,1.3%
02/06/22,@,CLE,L,85,98,36,22,5,2,7/12,2/5,6/6,71,20.8%,85,157.1,59,11.8%,35,12.5%,91,28.6%,,0.0%,54,10.5%,79,1.4%,56,1.3%
02/04/22,vs.,CHI,L,115,122,24,12,2,3,5/11,2/3,0/0,76,22.2%,50,109.1,90,25.0%,49,8.3%,69,60.0%,,0.0%,67,13.3%,,0.0%,,0.0%
02/02/22,vs.,ORL,L,118,119,32,11,7,1,3/11,2/2,3/3,48,16.2%,34,91.7,25,3.7%,50,8.0%,61,66.7%,,0.0%,87,20.0%,,0.0%,,0.0%
01/31/22,vs.,LAC,W,122,116,30,8,5,2,3/11,0/1,2/2,69,20.5%,17,66.7,44,8.3%,52,7.4%,88,33.3%,71,3.7%,60,11.8%,81,1.5%,85,3.0%
01/29/22,@,DAL,L,105,132,22,12,3,2,5/11,0/3,2/2,92,28.3%,36,100.0,79,18.2%,26,15.4%,50,80.0%,78,4.8%,57,11.1%,,0.0%,,0.0%
01/28/22,@,OKC,W,113,110,31,5,7,2,2/9,1/3,0/0,34,13.7%,14,55.6,59,11.8%,43,10.0%,,100.0%,66,3.1%,84,18.2%,,0.0%,58,1.4%
01/26/22,vs.,CHA,L,126,158,22,11,4,0,3/8,1/3,4/4,54,17.2%,51,110.0,,0.0%,43,10.0%,61,66.7%,75,4.3%,83,17.6%,,0.0%,67,1.7%
01/24/22,@,NOP,L,113,117,27,14,4,3,4/10,2/5,4/4,60,18.4%,56,116.7,80,18.8%,,0.0%,74,50.0%,,0.0%,82,17.4%,87,1.9%,61,1.5%
01/22/22,@,PHX,L,103,113,31,17,4,4,7/15,3/6,0/1,91,28.0%,54,113.3,93,26.7%,15,21.6%,59,71.4%,,0.0%,59,11.4%,,0.0%,63,1.5%
01/20/22,@,GSW,W,121,117,38,27,7,3,10/16,2/3,5/5,70,20.7%,79,150.0,67,14.3%,,0.0%,95,10.0%,81,5.3%,61,11.9%,,0.0%,87,3.3%
01/19/22,@,LAL,W,111,104,32,11,5,3,4/13,2/4,1/1,70,20.7%,29,84.6,60,12.0%,54,6.9%,74,50.0%,95,10.0%,28,5.9%,81,1.6%,60,1.4%
01/17/22,@,LAC,L,133,139,34,24,7,6,10/14,2/5,2/2,70,20.7%,86,160.0,84,20.7%,40,11.1%,86,40.0%,85,6.1%,69,13.8%,,0.0%,89,3.4%
01/14/22,vs.,PHX,L,94,112,24,7,3,1,2/8,0/4,3/4,72,21.1%,20,70.0,34,5.9%,23,16.7%,74,50.0%,75,4.3%,37,7.4%,,0.0%,89,3.5%
01/08/22,vs.,UTA,W,125,113,19,9,3,0,2/6,1/3,4/6,65,19.5%,36,100.0,,0.0%,,0.0%,,100.0%,,0.0%,74,15.0%,93,2.9%,78,2.4%
12/29/21,vs.,CHA,L,108,116,23,11,0,4,5/7,1/1,0/0,59,18.2%,85,157.1,96,30.8%,6,30.0%,50,80.0%,,0.0%,0,0.0%,,0.0%,69,1.8%
12/26/21,@,CHI,L,105,113,33,16,5,1,7/14,2/4,0/2,75,21.7%,49,106.7,28,4.5%,20,18.2%,72,57.1%,61,2.7%,84,18.2%,,0.0%,81,2.6%
12/23/21,vs.,HOU,W,118,106,37,18,2,4,7/15,3/11,1/2,68,20.2%,53,112.5,71,15.4%,37,11.8%,47,85.7%,66,3.1%,15,3.1%,,0.0%,,0.0%
12/21/21,@,MIA,L,96,125,19,17,4,2,5/7,3/4,4/5,67,20.0%,94,188.9,96,33.3%,,0.0%,50,80.0%,79,5.0%,83,17.6%,,0.0%,96,5.0%
12/16/21,vs.,DET,W,122,113,29,15,9,4,5/11,2/4,3/4,72,21.0%,55,115.4,67,14.3%,54,6.9%,69,60.0%,97,12.0%,94,24.0%,,0.0%,,0.0%
12/15/21,@,MIL,L,99,114,26,10,3,0,4/9,2/7,0/0,53,17.0%,52,111.1,,0.0%,15,21.1%,54,75.0%,,0.0%,55,10.7%,85,1.8%,,0.0%
12/13/21,vs.,GSW,L,100,102,22,3,4,1,1/6,1/3,0/0,58,18.0%,11,50.0,37,6.7%,4,33.3%,,100.0%,,0.0%,87,20.0%,,0.0%,,0.0%
12/10/21,vs.,DAL,W,106,93,25,8,4,2,2/10,0/5,4/4,72,21.1%,17,66.7,65,13.3%,,0.0%,,100.0%,68,3.3%,66,13.0%,,0.0%,68,1.8%
12/08/21,vs.,NYK,W,122,102,30,23,3,6,9/11,2/2,3/4,70,20.6%,92,176.9,92,26.1%,53,7.1%,61,66.7%,,0.0%,55,10.7%,,0.0%,61,1.5%
12/06/21,vs.,WAS,W,116,110,25,13,5,1,4/7,1/3,4/4,46,15.8%,78,144.4,29,4.8%,,0.0%,92,25.0%,99,14.3%,60,11.8%,,0.0%,99,7.0%
