Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/26/22,@,POR,W,115,98,24,13,6,0,5/8,2/4,1/2,60,18.8%,72,144.4,,0.0%,6,38.1%,,100.0%,,0.0%,79,27.3%,65,2.2%,91,3.6%
03/25/22,@,POR,W,125,106,27,10,11,5,3/7,0/3,4/4,68,20.5%,43,111.1,87,23.8%,57,8.7%,59,66.7%,,0.0%,88,32.1%,60,1.9%,71,1.8%
03/23/22,@,DAL,L,91,110,27,12,10,1,4/10,1/5,3/5,76,22.4%,27,100.0,45,7.7%,60,7.7%,93,25.0%,,0.0%,92,34.6%,,0.0%,70,1.7%
03/21/22,vs.,WAS,W,115,97,36,39,10,2,14/18,8/9,3/3,69,20.7%,98,205.3,54,10.0%,63,6.5%,50,78.6%,,0.0%,72,25.0%,52,1.4%,62,1.3%
03/20/22,vs.,MEM,L,98,122,21,12,7,1,4/8,2/6,2/3,65,19.8%,61,133.3,58,11.1%,24,21.1%,,100.0%,,0.0%,78,26.9%,63,2.0%,,0.0%
03/18/22,vs.,IND,L,118,121,34,32,13,7,11/14,4/6,6/8,92,28.9%,90,177.8,95,33.3%,29,18.2%,69,63.6%,31,3.8%,84,30.0%,83,3.9%,82,2.6%
03/16/22,vs.,PHX,L,112,129,27,18,9,1,5/12,2/7,6/9,92,28.8%,40,105.9,39,5.9%,37,15.8%,70,60.0%,31,3.7%,89,33.3%,,0.0%,,0.0%
03/13/22,@,NOP,L,105,130,26,8,12,4,3/9,0/2,2/2,72,21.3%,18,80.0,91,26.7%,37,15.4%,59,66.7%,59,9.1%,95,37.5%,58,1.7%,,0.0%
03/06/22,vs.,MEM,W,123,112,37,28,13,1,8/12,4/7,8/11,55,17.6%,85,164.7,32,4.0%,63,6.2%,69,62.5%,42,5.9%,77,26.2%,68,2.5%,57,1.1%
03/04/22,@,DEN,L,101,116,31,22,10,5,7/12,0/2,8/8,79,23.2%,67,137.5,93,29.4%,64,6.1%,42,85.7%,29,3.4%,77,26.5%,54,1.5%,,0.0%
03/02/22,vs.,UTA,L,127,132,43,24,10,5,8/13,4/7,4/8,61,18.8%,70,141.2,79,18.5%,64,5.7%,51,75.0%,59,9.1%,52,18.4%,50,1.2%,94,4.3%
03/01/22,vs.,LAC,L,100,113,30,17,8,1,7/11,2/4,1/2,34,13.9%,70,141.7,39,5.9%,,0.0%,57,71.4%,27,3.0%,60,20.6%,87,4.5%,,0.0%
02/27/22,vs.,LAC,L,98,99,32,15,7,1,6/12,1/2,2/4,56,17.9%,40,107.1,37,5.6%,,0.0%,59,66.7%,40,5.4%,52,18.5%,,0.0%,,0.0%
02/25/22,@,ORL,L,111,119,28,21,11,1,8/14,2/5,3/13,94,30.9%,42,110.5,35,5.0%,28,19.0%,69,62.5%,67,10.7%,72,25.0%,,0.0%,,0.0%
02/17/22,@,LAC,L,111,142,25,13,7,1,5/10,1/2,2/4,69,20.7%,41,108.3,39,5.9%,59,8.3%,70,60.0%,35,4.5%,70,24.0%,,0.0%,90,3.4%
02/14/22,@,UTA,L,101,135,27,12,9,4,5/9,2/4,0/0,52,16.9%,61,133.3,85,22.2%,53,10.0%,46,80.0%,33,4.2%,68,23.1%,59,1.8%,,0.0%
02/10/22,vs.,TOR,L,120,139,32,17,11,6,6/12,1/6,4/6,80,23.4%,45,113.3,90,26.1%,52,10.8%,75,50.0%,72,12.0%,81,28.6%,71,2.7%,,0.0%
02/08/22,@,NOP,L,97,110,33,19,9,1,5/15,3/8,6/10,90,28.0%,27,95.0,36,5.3%,55,9.5%,70,60.0%,48,6.9%,65,22.2%,57,1.7%,62,1.3%
02/06/22,vs.,NOP,L,107,120,35,22,8,3,8/15,3/6,3/4,79,23.1%,60,129.4,68,14.3%,50,11.1%,69,62.5%,30,3.6%,72,25.0%,56,1.7%,,0.0%
02/04/22,@,SAS,L,106,131,31,13,11,1,5/10,1/2,2/6,69,20.7%,27,100.0,40,6.2%,28,19.4%,87,40.0%,61,9.4%,84,29.6%,73,2.9%,,0.0%
02/02/22,vs.,CLE,W,115,104,34,21,7,4,7/14,3/7,4/5,76,22.4%,61,131.3,78,18.2%,64,5.9%,73,57.1%,31,3.7%,52,18.5%,,0.0%,82,2.6%
01/31/22,vs.,GSW,L,108,122,34,24,13,2,8/16,5/9,3/4,90,27.6%,61,133.3,66,13.3%,14,27.9%,41,87.5%,42,5.9%,93,35.5%,54,1.5%,81,2.6%
01/28/22,vs.,POR,L,110,125,37,21,15,3,9/17,1/6,2/3,73,21.6%,47,116.7,73,16.7%,50,11.4%,41,88.9%,27,3.0%,92,34.4%,73,2.9%,,0.0%
01/25/22,vs.,SAS,L,104,134,24,15,7,0,6/11,2/5,1/4,68,20.5%,47,115.4,,0.0%,36,16.0%,44,83.3%,52,7.7%,67,22.7%,,0.0%,,0.0%
01/21/22,@,GSW,L,103,105,34,19,15,4,7/13,3/5,2/2,67,20.1%,66,135.7,85,22.2%,45,12.9%,57,71.4%,26,2.8%,97,41.9%,76,3.1%,82,2.6%
01/19/22,@,UTA,W,116,111,32,10,15,4,4/11,2/5,0/2,67,20.3%,21,83.3,78,18.2%,43,13.3%,75,50.0%,39,5.3%,87,31.4%,53,1.5%,,0.0%
01/16/22,@,SAC,W,118,112,33,23,14,3,8/15,3/7,4/7,85,25.3%,58,127.8,67,13.6%,37,15.4%,51,75.0%,,0.0%,94,36.4%,54,1.5%,82,2.6%
01/14/22,@,SAC,L,114,126,26,26,8,0,8/15,4/7,6/6,82,24.2%,79,152.9,,0.0%,45,12.9%,41,87.5%,,0.0%,94,36.4%,61,2.0%,88,3.1%
01/12/22,@,SAS,W,128,124,32,23,11,1,9/17,2/4,3/4,86,26.0%,53,121.1,34,4.5%,37,15.4%,59,66.7%,35,4.5%,65,22.2%,51,1.4%,83,2.7%
01/10/22,vs.,PHI,L,91,111,36,14,6,2,5/12,1/5,3/4,56,17.8%,27,100.0,57,10.5%,,0.0%,70,60.0%,,0.0%,33,13.5%,,0.0%,61,1.3%
01/09/22,vs.,MIN,L,123,141,28,22,8,3,8/16,4/6,2/4,72,21.4%,60,129.4,79,18.8%,,0.0%,41,87.5%,46,6.5%,22,10.3%,73,2.9%,,0.0%
01/07/22,vs.,DAL,L,106,130,24,20,3,1,8/13,1/5,3/7,94,30.6%,55,125.0,54,10.0%,62,6.7%,69,62.5%,,0.0%,35,14.3%,61,2.0%,75,2.0%
01/05/22,@,WAS,W,114,111,34,22,11,1,8/12,0/2,6/6,52,17.1%,80,157.1,34,4.8%,43,13.8%,75,50.0%,44,6.2%,54,18.9%,,0.0%,91,3.5%
01/01/22,vs.,DEN,L,111,124,8,0,1,0,0/4,0/3,0/0,65,20.0%,1,0.0,,0.0%,,0.0%,,,,0.0%,89,33.3%,,0.0%,,0.0%
12/31/21,vs.,MIA,L,110,120,34,18,8,4,8/14,1/4,1/3,72,21.3%,50,120.0,73,16.7%,33,17.1%,69,62.5%,27,2.9%,53,18.8%,53,1.5%,59,1.2%
12/28/21,vs.,LAL,L,123,132,33,22,6,3,8/12,3/4,3/6,79,23.2%,73,146.7,71,15.0%,29,18.2%,51,75.0%,,0.0%,53,18.8%,53,1.5%,94,4.2%
12/27/21,@,CHA,L,99,123,26,16,9,3,5/9,2/4,4/6,76,22.3%,61,133.3,84,21.4%,25,20.7%,46,80.0%,66,10.3%,72,25.0%,,0.0%,,0.0%
12/23/21,@,IND,L,106,118,31,22,8,2,5/11,3/6,9/11,83,24.6%,60,129.4,53,9.5%,,0.0%,70,60.0%,54,8.0%,64,21.7%,,0.0%,,0.0%
12/22/21,@,MIL,L,106,126,28,20,11,0,6/13,0/6,8/11,87,26.1%,43,111.1,,0.0%,52,10.8%,75,50.0%,46,6.5%,60,20.5%,53,1.5%,,0.0%
12/20/21,@,CHI,L,118,133,29,23,11,1,8/14,1/3,6/9,83,24.6%,58,127.8,36,5.3%,64,6.1%,51,75.0%,56,8.3%,89,33.3%,,0.0%,,0.0%
12/18/21,@,DET,W,116,107,30,21,8,1,9/19,2/6,1/2,90,27.7%,39,105.0,33,4.3%,55,9.8%,86,44.4%,71,11.5%,52,18.5%,57,1.7%,62,1.4%
12/13/21,@,ATL,W,132,126,25,12,5,3,4/13,0/6,4/4,84,25.0%,18,80.0,77,17.6%,,0.0%,75,50.0%,30,3.6%,50,18.2%,,0.0%,68,1.6%
12/11/21,@,MEM,L,106,113,37,22,11,3,7/12,1/3,7/14,85,25.3%,47,115.8,62,12.5%,40,14.3%,57,71.4%,51,7.4%,56,19.4%,,0.0%,80,2.4%
12/10/21,vs.,MIL,L,114,123,32,21,13,1,9/19,3/7,0/0,89,27.0%,42,110.5,40,6.2%,19,24.4%,41,88.9%,56,8.3%,89,33.3%,,0.0%,,0.0%
12/08/21,vs.,BKN,W,114,104,34,12,15,3,5/16,1/6,1/2,80,23.3%,15,70.6,67,13.6%,64,5.7%,46,80.0%,67,10.7%,72,24.4%,86,4.3%,62,1.3%
12/05/21,vs.,NOP,W,118,108,32,23,8,2,7/13,5/6,4/8,85,25.4%,66,135.3,54,10.0%,50,11.4%,57,71.4%,58,8.7%,28,12.1%,73,2.9%,,0.0%
12/03/21,vs.,ORL,W,118,116,34,20,14,4,8/19,2/6,2/2,83,24.4%,27,100.0,80,19.0%,,0.0%,69,62.5%,37,5.0%,87,31.4%,52,1.4%,60,1.2%
12/01/21,@,OKC,W,114,110,9,0,0,0,0/1,0/1,0/0,3,5.0%,1,0.0,,0.0%,,0.0%,,,,0.0%,0,0.0%,93,5.9%,,0.0%
11/29/21,vs.,OKC,W,102,89,31,24,21,0,9/17,3/6,3/4,77,22.7%,57,126.3,,0.0%,48,11.8%,41,88.9%,58,8.6%,98,42.5%,89,4.9%,62,1.3%
11/27/21,vs.,CHA,W,146,143,41,33,16,3,13/19,2/3,5/7,74,21.7%,74,150.0,57,10.3%,65,5.0%,59,69.2%,77,13.3%,84,30.0%,68,2.4%,,0.0%
11/24/21,vs.,CHI,W,118,113,32,16,10,6,6/14,2/3,2/2,79,23.3%,40,106.7,90,26.1%,64,5.9%,59,66.7%,71,11.5%,64,21.9%,75,3.1%,,0.0%
11/22/21,@,BOS,L,90,108,24,4,9,3,2/6,0/2,0/0,41,15.1%,12,66.7,91,27.3%,46,12.5%,75,50.0%,,0.0%,95,37.5%,62,2.0%,,0.0%
11/20/21,@,NYK,L,99,106,37,18,12,3,6/11,1/3,5/7,69,20.8%,58,128.6,62,12.5%,10,32.4%,,100.0%,27,2.9%,77,26.3%,73,2.9%,,0.0%
11/17/21,@,OKC,L,89,101,29,10,14,0,4/16,0/4,2/6,79,23.3%,10,52.6,,0.0%,,0.0%,,100.0%,38,5.1%,88,32.4%,55,1.6%,,0.0%
11/15/21,@,MEM,L,102,136,26,11,3,4,4/9,1/4,2/2,73,21.5%,42,110.0,92,28.6%,40,14.3%,95,0.0%,,0.0%,20,10.0%,,0.0%,,0.0%
11/14/21,vs.,PHX,L,89,115,27,17,8,1,7/12,1/5,2/4,76,22.3%,61,130.8,43,7.1%,14,27.6%,42,85.7%,47,6.7%,62,21.4%,,0.0%,,0.0%
11/12/21,vs.,POR,L,92,104,37,8,15,1,4/15,0/6,0/1,55,17.6%,10,53.3,34,4.5%,,0.0%,95,0.0%,35,4.5%,72,25.0%,51,1.4%,,0.0%
11/10/21,vs.,DET,L,104,112,37,20,9,3,7/14,3/6,3/6,54,17.4%,48,117.6,62,12.5%,,0.0%,57,71.4%,26,2.7%,32,13.3%,,0.0%,,0.0%
11/07/21,@,GSW,L,107,120,24,4,1,1,2/5,0/1,0/1,35,14.0%,18,80.0,43,7.1%,6,37.5%,75,50.0%,,0.0%,9,5.6%,,0.0%,99,7.0%
