Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,PHX,L,109,115,33,16,3,1,7/16,1/5,1/1,70,25.0%,44,100.0,14,4.3%,31,15.8%,87,14.3%,67,3.2%,51,9.5%,,0.0%,,0.0%
04/26/22,@,PHX,L,97,112,40,21,8,5,7/22,1/8,6/7,88,29.4%,33,84.0,64,22.7%,57,7.0%,81,28.6%,61,2.3%,83,17.6%,91,2.7%,,0.0%
04/24/22,vs.,PHX,W,118,103,36,18,9,2,8/21,2/9,0/0,84,27.8%,35,85.7,27,10.0%,50,9.1%,54,50.0%,96,12.5%,79,16.7%,,0.0%,53,1.3%
04/22/22,vs.,PHX,L,111,114,41,30,4,7,11/23,4/11,4/8,94,33.7%,56,111.1,87,33.3%,60,6.5%,82,27.3%,,0.0%,62,11.8%,76,1.3%,65,2.2%
04/19/22,@,PHX,W,125,114,38,23,8,9,7/18,6/10,3/4,83,27.4%,61,115.0,82,30.0%,41,11.8%,52,57.1%,84,5.9%,78,15.8%,76,1.3%,,0.0%
04/17/22,@,PHX,L,99,110,43,25,8,6,9/25,3/8,4/6,88,29.4%,38,89.3,69,25.0%,50,9.4%,67,44.4%,82,5.5%,79,16.7%,77,1.4%,49,0.9%
04/15/22,@,LAC,W,105,101,41,19,2,3,9/24,1/7,0/2,80,27.0%,27,76.0,30,11.1%,56,7.5%,67,44.4%,,0.0%,24,4.8%,73,1.2%,,0.0%
04/13/22,vs.,SAS,W,113,103,39,32,6,7,12/23,3/5,5/5,96,35.2%,73,128.0,75,26.9%,38,12.9%,82,25.0%,,0.0%,68,12.8%,74,1.2%,,0.0%
04/10/22,vs.,GSW,L,107,128,6,0,1,1,0/2,0/2,0/0,24,15.6%,1,0.0,46,16.7%,,0.0%,,,,0.0%,89,20.0%,,0.0%,,0.0%
04/09/22,@,MEM,L,114,141,29,16,1,4,6/17,2/6,2/6,87,29.3%,27,80.0,66,23.5%,68,4.5%,72,33.3%,,0.0%,24,4.8%,,0.0%,55,1.3%
04/07/22,vs.,POR,W,127,94,29,23,4,7,9/19,5/10,0/2,96,35.1%,58,115.0,83,33.3%,39,12.8%,38,66.7%,,0.0%,94,22.2%,,0.0%,93,4.5%
04/05/22,@,SAC,W,123,109,31,23,4,5,10/19,1/5,2/3,89,30.3%,58,115.0,67,23.8%,54,8.7%,78,30.0%,70,3.1%,73,14.3%,,0.0%,96,5.3%
04/03/22,@,LAC,L,100,119,37,19,3,4,7/18,3/5,2/4,71,25.0%,39,95.0,59,21.1%,54,8.9%,66,42.9%,65,2.4%,27,5.4%,,0.0%,71,2.2%
04/01/22,@,LAL,W,114,111,41,32,7,4,12/23,4/8,4/4,90,30.8%,70,128.0,46,16.7%,33,14.3%,52,50.0%,89,6.7%,76,14.7%,,0.0%,71,2.2%
03/30/22,@,POR,W,117,107,37,25,3,4,9/16,3/6,4/8,86,28.9%,67,125.0,49,17.4%,26,16.7%,66,44.4%,,0.0%,52,9.7%,,0.0%,,0.0%
