Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/26/22,@,MIA,L,94,97,19,2,8,0,1/2,0/0,0/0,19,8.8%,27,100.0,,0.0%,2,57.1%,,100.0%,77,11.8%,79,27.3%,72,2.4%,82,2.5%
04/24/22,vs.,MIA,L,86,110,21,2,7,0,1/4,0/0,0/0,23,9.5%,12,50.0,,0.0%,,0.0%,93,0.0%,71,10.5%,52,18.2%,,0.0%,,0.0%
04/15/22,@,CLE,W,107,101,13,7,8,0,3/3,0/0,1/2,29,10.6%,86,175.0,,0.0%,,0.0%,88,33.3%,97,23.5%,86,30.8%,,0.0%,,0.0%
04/13/22,vs.,CHA,W,132,103,29,15,17,3,6/9,0/0,3/6,57,16.2%,65,136.4,59,11.1%,54,8.7%,64,66.7%,82,13.8%,92,35.3%,90,5.1%,86,2.8%
04/10/22,@,HOU,W,130,114,23,18,12,0,7/10,0/0,4/4,56,17.9%,74,150.0,,0.0%,,0.0%,73,57.1%,99,30.0%,77,26.1%,85,4.2%,71,1.8%
04/08/22,@,MIA,L,109,113,27,17,14,0,8/11,0/0,1/3,42,15.3%,70,141.7,,0.0%,,0.0%,69,62.5%,98,26.1%,96,40.0%,,0.0%,,0.0%
04/06/22,vs.,WAS,W,118,103,25,19,7,0,9/11,0/0,1/2,35,14.0%,81,158.3,,0.0%,,0.0%,41,88.9%,49,7.1%,67,22.7%,,0.0%,99,7.0%
04/05/22,@,TOR,L,108,118,33,10,14,0,5/8,0/0,0/1,9,8.0%,55,125.0,,0.0%,,0.0%,46,80.0%,58,8.6%,76,25.6%,,0.0%,83,2.7%
04/02/22,vs.,BKN,W,122,115,30,9,12,1,4/6,0/0,1/4,13,9.3%,44,112.5,35,5.0%,,0.0%,51,75.0%,76,12.9%,64,21.9%,53,1.5%,83,2.7%
03/31/22,vs.,CLE,W,131,107,23,12,14,2,5/9,0/0,2/5,59,18.4%,41,109.1,62,12.5%,,0.0%,70,60.0%,98,27.3%,78,26.9%,94,6.2%,91,3.5%
03/30/22,@,OKC,W,136,118,20,4,11,1,1/2,0/0,2/2,11,8.9%,61,133.3,33,4.3%,16,25.0%,,100.0%,,0.0%,99,47.4%,67,2.4%,,0.0%
03/28/22,@,IND,W,132,123,31,22,15,3,11/17,0/0,0/0,71,21.1%,60,129.4,77,17.6%,46,12.5%,46,81.8%,86,16.7%,97,41.7%,,0.0%,,0.0%
03/25/22,vs.,GSW,W,121,110,31,19,13,1,9/11,0/0,1/2,36,14.3%,88,172.7,33,4.3%,25,20.0%,50,77.8%,89,17.9%,66,22.6%,55,1.6%,64,1.4%
03/23/22,@,DET,L,101,122,17,1,9,0,0/5,0/0,1/2,57,17.9%,5,16.7,,0.0%,40,14.3%,,,78,13.6%,89,33.3%,,0.0%,,0.0%
03/22/22,@,NYK,W,117,111,29,2,6,2,1/1,0/0,0/0,1,2.4%,92,200.0,45,7.4%,,0.0%,,100.0%,37,5.0%,13,7.1%,57,1.7%,,0.0%
03/20/22,vs.,NOP,L,112,117,31,14,10,0,7/10,0/0,0/2,29,13.0%,58,127.3,,0.0%,52,10.5%,57,71.4%,63,10.0%,66,22.6%,55,1.6%,,0.0%
03/18/22,vs.,MEM,W,120,105,28,18,7,2,9/10,0/0,0/0,30,13.1%,90,180.0,57,10.5%,46,12.5%,41,88.9%,59,9.1%,40,15.4%,59,1.8%,68,1.6%
03/16/22,@,CHA,L,106,116,31,17,15,1,7/14,0/0,3/3,61,18.9%,45,113.3,37,5.6%,61,7.1%,57,71.4%,92,19.4%,81,28.0%,,0.0%,62,1.4%
03/14/22,vs.,POR,W,122,113,28,8,16,0,4/12,0/0,0/0,31,13.3%,12,66.7,,0.0%,,0.0%,,100.0%,72,11.9%,84,30.0%,80,3.6%,62,1.3%
03/13/22,vs.,IND,W,131,128,22,10,6,3,5/5,0/0,0/0,16,10.2%,92,200.0,88,25.0%,,0.0%,46,80.0%,44,6.2%,77,26.3%,66,2.3%,99,6.8%
03/11/22,vs.,LAC,W,112,106,26,14,11,2,7/9,0/0,0/0,45,15.8%,80,155.6,62,12.5%,21,22.2%,42,85.7%,94,21.7%,47,17.2%,83,3.9%,70,1.8%
03/09/22,@,MIL,L,115,124,20,11,9,0,5/5,0/0,1/5,25,12.2%,80,157.1,,0.0%,29,18.2%,,100.0%,77,13.3%,72,25.0%,,0.0%,,0.0%
03/07/22,@,DET,L,110,113,33,9,12,1,4/6,0/0,1/2,7,7.4%,58,128.6,34,4.5%,,0.0%,,100.0%,70,11.4%,60,20.6%,76,3.2%,,0.0%
03/04/22,@,WAS,W,117,114,23,12,12,0,5/9,0/0,2/4,53,17.2%,41,109.1,,0.0%,,0.0%,87,40.0%,97,25.8%,61,21.1%,95,6.5%,,0.0%
03/03/22,vs.,CHI,W,130,124,33,12,11,3,5/5,0/0,2/2,7,7.4%,92,200.0,58,11.1%,,0.0%,46,80.0%,31,3.8%,86,31.0%,,0.0%,,0.0%
03/01/22,@,BOS,L,98,107,30,5,11,0,2/4,0/0,1/4,14,9.7%,21,83.3,,0.0%,33,16.7%,,100.0%,61,9.4%,86,30.8%,,0.0%,68,1.6%
02/26/22,vs.,TOR,W,127,100,18,8,9,0,4/5,0/0,0/0,12,9.0%,82,160.0,,0.0%,,0.0%,51,75.0%,79,14.3%,88,31.8%,90,5.3%,81,2.6%
02/24/22,@,CHI,L,108,112,29,14,17,0,7/11,0/0,0/0,22,11.6%,58,127.3,,0.0%,,0.0%,57,71.4%,85,15.8%,89,33.3%,79,3.4%,,0.0%
02/16/22,@,ORL,W,130,109,23,8,9,1,3/5,0/0,2/4,25,12.0%,45,114.3,36,5.3%,,0.0%,59,66.7%,79,14.3%,70,24.0%,86,4.3%,,0.0%
02/15/22,vs.,CLE,W,124,116,31,5,7,3,2/5,0/0,1/2,29,13.1%,21,83.3,58,11.1%,19,23.5%,,100.0%,35,4.5%,70,24.0%,78,3.3%,,0.0%
02/13/22,@,BOS,L,95,105,31,8,17,0,3/4,0/0,2/2,4,6.2%,82,160.0,,0.0%,21,22.2%,,100.0%,40,5.6%,98,45.2%,54,1.6%,,0.0%
02/11/22,vs.,SAS,L,121,136,21,13,11,0,6/6,0/0,1/2,34,13.9%,91,185.7,,0.0%,4,40.0%,44,83.3%,85,16.0%,94,36.8%,61,2.0%,,0.0%
02/08/22,vs.,IND,W,133,112,21,6,12,3,3/4,0/0,0/2,14,9.8%,50,120.0,67,13.6%,,0.0%,,100.0%,89,17.6%,88,32.0%,,0.0%,98,5.9%
02/06/22,@,DAL,L,94,103,20,8,9,0,4/8,0/0,0/0,52,17.0%,27,100.0,,0.0%,21,22.2%,75,50.0%,77,13.3%,47,17.2%,64,2.2%,,0.0%
02/04/22,@,TOR,L,114,125,19,8,9,0,4/7,0/0,0/0,22,11.6%,45,114.3,,0.0%,,0.0%,,100.0%,96,23.5%,83,29.4%,71,2.8%,,0.0%
02/03/22,vs.,PHX,W,124,115,25,6,12,4,2/4,0/0,2/2,20,11.2%,50,120.0,78,18.2%,,0.0%,75,50.0%,34,4.3%,98,44.0%,61,2.0%,,0.0%
01/31/22,vs.,TOR,L,100,106,23,6,8,1,3/4,0/0,0/0,11,8.8%,74,150.0,42,6.7%,21,22.2%,59,66.7%,36,4.8%,85,30.4%,66,2.3%,,0.0%
01/30/22,vs.,LAL,W,129,121,24,15,9,3,6/8,0/0,3/7,44,15.6%,66,136.4,73,15.8%,,0.0%,,100.0%,99,29.4%,32,13.3%,,0.0%,,0.0%
01/28/22,vs.,BOS,W,108,92,23,6,7,0,3/5,0/0,0/2,15,9.8%,27,100.0,,0.0%,,0.0%,89,33.3%,68,11.1%,43,16.0%,88,4.7%,,0.0%
01/26/22,vs.,SAC,W,121,104,21,8,8,1,4/4,0/0,0/0,5,6.4%,92,200.0,36,5.3%,,0.0%,51,75.0%,86,16.7%,80,27.8%,71,2.8%,,0.0%
01/23/22,@,CHA,W,113,91,26,7,8,0,3/7,0/0,1/2,30,13.2%,23,87.5,,0.0%,43,13.3%,,100.0%,,0.0%,89,33.3%,66,2.3%,91,3.5%
01/21/22,vs.,MIA,W,110,108,26,6,6,2,3/3,0/0,0/0,3,4.9%,92,200.0,54,10.0%,,0.0%,,100.0%,52,7.7%,52,18.5%,,0.0%,,0.0%
01/07/22,@,LAL,L,118,134,23,9,11,0,4/9,0/0,1/5,46,16.1%,20,81.8,,0.0%,,0.0%,,100.0%,72,12.0%,95,38.1%,,0.0%,71,1.8%
01/05/22,@,SAC,W,108,102,26,11,14,2,5/9,0/0,1/4,65,19.8%,27,100.0,57,10.5%,57,8.7%,70,60.0%,85,15.8%,95,37.9%,59,1.8%,70,1.7%
01/03/22,@,POR,L,131,136,32,22,11,1,10/10,0/0,2/5,11,8.7%,92,200.0,32,4.0%,,0.0%,,100.0%,72,12.0%,60,20.7%,,0.0%,,0.0%
12/31/21,@,CLE,W,121,118,40,18,23,2,9/17,0/0,0/0,53,17.2%,40,105.9,43,6.9%,,0.0%,74,55.6%,97,24.4%,95,37.9%,92,5.6%,57,1.1%
12/29/21,@,CHI,L,117,131,30,18,15,3,7/14,0/0,4/4,69,20.7%,44,112.5,71,15.0%,,0.0%,73,57.1%,79,14.3%,99,47.4%,,0.0%,,0.0%
12/27/21,vs.,CHI,L,118,130,26,8,16,3,4/8,0/0,0/2,49,16.4%,24,88.9,79,18.8%,55,9.5%,75,50.0%,92,19.4%,89,33.3%,58,1.7%,,0.0%
12/25/21,@,NYK,L,87,101,28,6,9,1,2/7,0/0,2/6,54,17.5%,11,60.0,42,6.7%,56,9.1%,75,50.0%,70,11.4%,40,15.4%,82,3.8%,,0.0%
12/17/21,vs.,DEN,L,115,133,24,15,11,1,7/10,0/0,1/5,45,15.9%,55,125.0,37,5.6%,,0.0%,57,71.4%,85,16.0%,94,36.8%,95,6.7%,,0.0%
12/15/21,@,ORL,W,111,99,27,7,11,4,3/7,0/0,1/1,32,13.6%,27,100.0,73,16.7%,,0.0%,59,66.7%,58,8.7%,77,26.5%,81,3.6%,69,1.7%
12/13/21,vs.,HOU,L,126,132,32,12,16,1,5/8,0/0,2/4,29,13.0%,50,120.0,33,4.3%,53,10.0%,70,60.0%,66,10.3%,97,40.6%,76,3.1%,61,1.3%
12/10/21,vs.,BKN,L,105,113,34,14,16,1,7/11,0/0,0/0,16,10.3%,58,127.3,36,5.3%,52,10.5%,42,85.7%,65,10.2%,83,29.4%,74,3.0%,77,2.2%
12/06/21,@,MIN,W,121,110,30,9,16,4,3/7,0/0,3/4,34,14.0%,27,100.0,78,18.2%,55,9.5%,,100.0%,83,15.2%,81,28.2%,93,5.9%,62,1.3%
12/05/21,vs.,CHA,L,127,130,31,8,14,0,4/7,0/0,0/2,16,10.3%,27,100.0,,0.0%,43,13.3%,51,75.0%,88,17.2%,72,25.0%,,0.0%,,0.0%
