Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/03/22,vs.,NYK,L,88,118,3,0,0,0,0/1,0/0,0/0,,16.7%,,0.0,,0.0%,,0.0%,,,,0.0%,,0.0%,,0.0%,,0.0%
04/01/22,vs.,TOR,L,89,102,27,8,4,3,3/10,1/4,1/1,51,25.9%,21,80.0,34,23.1%,8,26.7%,52,33.3%,,0.0%,76,16.0%,,0.0%,,0.0%
03/30/22,@,WAS,L,110,127,25,12,5,4,4/11,0/2,4/4,47,25.0%,31,92.3,36,23.5%,74,6.5%,65,25.0%,66,3.0%,87,20.0%,91,2.0%,60,1.6%
03/28/22,@,CLE,L,101,107,24,11,1,4,4/8,1/4,2/2,46,24.5%,66,122.2,25,20.0%,33,16.0%,65,25.0%,85,5.6%,0,0.0%,,0.0%,64,2.0%
03/26/22,vs.,SAC,L,110,114,33,14,7,9,5/16,2/7,2/2,76,31.6%,23,82.4,79,40.9%,47,12.5%,72,20.0%,,0.0%,86,19.4%,,0.0%,,0.0%
03/23/22,@,OKC,L,102,118,30,17,5,11,5/9,2/5,5/8,55,26.7%,75,130.8,89,47.8%,57,10.3%,47,40.0%,,0.0%,75,15.6%,,0.0%,,0.0%
03/22/22,vs.,GSW,W,94,90,29,14,5,5,5/12,3/6,1/1,32,21.6%,59,116.7,52,29.4%,,0.0%,18,80.0%,,0.0%,73,15.2%,,0.0%,,0.0%
03/20/22,vs.,OKC,W,90,85,28,6,2,7,1/7,1/4,3/4,32,21.3%,13,66.7,60,33.3%,42,13.8%,85,0.0%,,0.0%,21,5.4%,,0.0%,,0.0%
03/17/22,vs.,DET,L,120,134,33,12,5,7,4/14,2/5,2/2,49,25.3%,21,80.0,46,26.9%,22,19.0%,19,75.0%,,0.0%,75,15.6%,82,1.4%,43,1.2%
03/15/22,vs.,BKN,L,108,150,25,19,4,7,5/11,3/6,6/9,69,29.7%,71,126.7,84,43.8%,55,10.5%,27,60.0%,,0.0%,68,14.3%,,0.0%,,0.0%
