Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
11/07/21,@,NYK,W,126,109,13,8,1,4,4/8,0/3,0/0,94,30.0%,36,100.0,100,50.0%,,0.0%,74,50.0%,,0.0%,41,8.3%,,0.0%,,0.0%
11/05/21,@,TOR,W,102,101,32,9,5,2,4/17,1/5,0/0,90,27.3%,14,52.9,51,10.0%,29,14.6%,92,25.0%,94,9.4%,28,5.7%,,0.0%,57,1.3%
11/03/21,vs.,POR,W,107,104,33,21,3,2,8/13,2/4,3/3,84,25.0%,79,150.0,59,11.8%,6,28.6%,68,62.5%,,0.0%,41,8.3%,,0.0%,,0.0%
11/01/21,@,CHA,W,113,110,36,17,7,2,5/17,1/5,6/8,87,26.1%,27,81.0,47,9.1%,49,8.3%,95,0.0%,90,7.5%,32,6.4%,,0.0%,74,2.2%
10/30/21,@,PHX,L,92,101,19,10,1,0,4/7,0/2,2/3,96,31.4%,63,125.0,,0.0%,2,44.4%,92,25.0%,,0.0%,25,5.3%,,0.0%,,0.0%
10/29/21,@,LAL,L,101,113,32,9,3,3,2/9,0/2,5/6,71,20.8%,22,75.0,74,16.7%,20,18.8%,74,50.0%,62,2.8%,41,8.3%,,0.0%,81,2.6%
10/27/21,@,LAC,W,92,79,36,26,7,1,12/19,0/3,2/3,88,26.5%,68,130.0,36,6.2%,13,22.2%,74,50.0%,93,8.8%,49,9.5%,,0.0%,90,3.5%
10/25/21,@,DEN,W,99,87,25,14,3,2,4/11,3/5,3/4,92,28.6%,49,107.7,65,13.3%,53,7.1%,74,50.0%,,0.0%,53,10.3%,,0.0%,,0.0%
10/23/21,vs.,ATL,W,101,95,28,12,1,5,5/14,0/2,2/4,99,35.3%,22,75.0,95,29.4%,29,14.6%,86,40.0%,,0.0%,14,2.6%,,0.0%,,0.0%
10/22/21,vs.,CHA,L,112,123,35,33,4,1,13/21,2/7,5/5,92,28.5%,78,143.5,29,4.8%,32,13.3%,69,61.5%,69,3.4%,50,9.7%,,0.0%,79,2.5%
10/20/21,@,MEM,L,121,132,29,17,1,1,7/12,2/5,1/3,56,17.6%,69,130.8,29,4.8%,49,8.3%,59,71.4%,70,3.6%,0,0.0%,,0.0%,,0.0%
