Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
12/31/21,@,LAL,L,106,139,32,18,4,7,5/14,1/7,7/9,75,31.4%,35,100.0,60,33.3%,48,12.2%,85,0.0%,,0.0%,78,16.7%,,0.0%,,0.0%
12/29/21,vs.,UTA,L,105,120,37,32,6,4,10/23,5/14,7/10,88,35.9%,56,114.3,38,25.0%,74,6.6%,61,30.0%,,0.0%,73,15.2%,,0.0%,42,1.2%
12/27/21,vs.,DAL,L,117,132,36,26,2,5,5/15,3/8,13/14,85,34.1%,67,123.8,44,26.3%,25,17.9%,72,20.0%,,0.0%,30,6.9%,78,1.3%,,0.0%
12/21/21,@,NOP,L,97,111,40,39,2,7,13/24,6/11,7/8,94,39.6%,81,139.3,75,38.9%,83,3.3%,60,30.8%,,0.0%,25,6.2%,,0.0%,49,1.3%
12/19/21,@,MEM,W,105,100,38,32,5,5,9/19,3/9,11/12,78,32.2%,85,145.5,44,26.3%,25,17.9%,52,33.3%,,0.0%,64,13.2%,,0.0%,,0.0%
12/17/21,vs.,CHA,W,125,116,37,43,4,8,12/19,6/11,13/14,92,38.1%,94,165.4,66,34.8%,62,9.4%,76,16.7%,71,3.3%,37,8.1%,,0.0%,42,1.2%
12/15/21,vs.,MEM,L,103,113,38,21,5,4,6/21,5/11,4/4,77,31.8%,30,91.3,21,17.4%,52,11.1%,52,33.3%,60,2.6%,52,11.1%,79,1.4%,42,1.2%
12/14/21,vs.,PHX,L,107,111,47,31,2,10,11/31,5/16,4/5,92,38.1%,33,93.9,72,37.0%,58,10.0%,51,36.4%,,0.0%,19,4.9%,75,1.2%,,0.0%
12/12/21,vs.,MIN,L,111,116,37,24,11,6,5/17,3/14,11/15,85,34.4%,35,100.0,43,26.1%,32,16.1%,47,40.0%,96,9.1%,86,19.4%,,0.0%,,0.0%
11/29/21,@,UTA,L,107,129,31,11,6,5,4/12,1/4,2/2,41,23.6%,25,84.6,33,22.7%,49,12.1%,32,50.0%,,0.0%,91,22.2%,86,1.6%,,0.0%
11/26/21,@,GSW,L,103,118,38,16,0,6,5/15,2/7,4/4,57,27.1%,33,94.1,38,25.0%,27,17.4%,47,40.0%,,0.0%,0,0.0%,,0.0%,42,1.2%
11/24/21,@,SAC,L,121,125,40,32,6,10,7/18,3/12,15/16,70,30.0%,76,133.3,60,32.3%,73,6.7%,62,28.6%,81,4.8%,45,9.7%,,0.0%,,0.0%
11/23/21,vs.,DEN,W,119,100,31,25,3,5,9/13,5/8,2/2,41,23.5%,96,178.6,38,25.0%,75,6.2%,52,33.3%,,0.0%,56,11.5%,,0.0%,56,1.5%
11/20/21,vs.,PHI,W,118,111,37,39,0,7,10/21,5/13,14/14,97,42.5%,84,144.4,52,29.2%,50,11.8%,83,10.0%,,0.0%,0,0.0%,99,4.4%,,0.0%
