Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/16/22,vs.,MIL,L,126,135,37,21,4,7,8/23,3/11,2/2,90,37.0%,30,91.3,46,26.9%,9,26.5%,50,37.5%,,0.0%,51,10.5%,,0.0%,67,2.2%
03/14/22,vs.,CHI,W,112,103,42,34,6,6,13/25,3/8,5/6,84,33.9%,65,121.4,43,26.1%,48,12.3%,50,38.5%,62,2.7%,52,11.1%,,0.0%,37,1.0%
03/12/22,@,UTA,L,125,134,41,41,3,11,15/32,5/11,6/6,97,43.1%,60,117.1,84,44.0%,79,4.9%,64,26.7%,,0.0%,38,8.3%,75,1.1%,66,2.1%
03/09/22,vs.,DEN,L,100,106,37,29,5,10,12/23,4/6,1/1,88,35.6%,71,126.1,89,47.6%,55,10.5%,46,41.7%,64,2.9%,63,12.9%,,0.0%,47,1.2%
03/07/22,vs.,NYK,L,115,131,41,24,6,7,10/18,1/4,3/8,65,29.0%,56,114.3,49,28.0%,38,14.8%,61,30.0%,63,2.8%,60,12.5%,,0.0%,37,1.1%
03/05/22,@,DAL,L,113,114,40,44,2,6,18/31,3/4,5/6,89,36.2%,76,133.3,43,26.1%,83,2.8%,76,16.7%,,0.0%,20,5.3%,,0.0%,36,1.0%
03/03/22,@,SAS,W,115,112,39,26,6,9,10/20,2/5,4/5,51,25.8%,61,118.2,76,39.1%,,0.0%,32,50.0%,,0.0%,77,16.2%,75,1.2%,83,3.2%
03/02/22,@,NOP,L,95,125,37,25,2,3,9/18,1/6,6/9,59,27.6%,56,113.6,14,14.3%,66,8.5%,44,44.4%,,0.0%,30,6.9%,,0.0%,,0.0%
02/28/22,@,OKC,W,131,110,41,29,4,10,10/20,1/5,8/14,75,31.3%,54,111.5,57,31.2%,83,3.2%,72,20.0%,,0.0%,51,10.5%,76,1.3%,64,2.0%
02/26/22,@,DEN,L,110,115,40,26,5,10,10/19,1/5,5/5,62,28.4%,67,123.8,74,38.5%,54,10.9%,61,30.0%,,0.0%,55,11.4%,77,1.3%,,0.0%
02/24/22,vs.,DEN,L,110,128,36,20,1,4,9/18,1/3,1/2,63,28.7%,46,105.3,18,16.0%,28,17.0%,52,33.3%,,0.0%,15,3.8%,95,2.8%,,0.0%
02/16/22,@,CHI,L,118,125,41,33,6,9,14/26,2/5,3/4,94,39.8%,61,117.9,72,37.5%,43,13.5%,85,7.1%,,0.0%,73,15.0%,,0.0%,66,2.2%
02/14/22,@,BKN,L,85,109,33,26,2,3,9/18,2/5,6/7,71,30.4%,67,123.8,25,20.0%,66,8.3%,82,11.1%,60,2.6%,15,3.8%,,0.0%,,0.0%
02/12/22,@,WAS,W,123,110,38,26,2,4,10/21,0/4,6/7,89,36.4%,50,108.3,17,15.4%,55,10.7%,72,20.0%,,0.0%,21,5.4%,,0.0%,,0.0%
02/09/22,vs.,MIN,W,132,119,36,27,8,3,10/20,2/4,5/5,44,24.2%,67,122.7,11,12.0%,,0.0%,47,40.0%,,0.0%,89,21.1%,95,2.7%,,0.0%
02/08/22,vs.,MIN,L,114,134,35,29,7,6,11/22,4/6,3/4,87,34.9%,71,126.1,60,33.3%,28,17.2%,51,36.4%,76,3.8%,73,15.0%,,0.0%,43,1.2%
01/19/22,vs.,DET,L,131,133,37,27,6,8,10/19,0/2,7/8,78,32.0%,67,122.7,66,34.8%,70,7.3%,83,10.0%,,0.0%,86,19.4%,,0.0%,41,1.2%
01/16/22,vs.,HOU,L,112,118,26,14,3,4,6/12,1/2,1/3,70,30.0%,49,107.7,31,22.2%,29,16.7%,85,0.0%,,0.0%,78,16.7%,,0.0%,,0.0%
01/14/22,vs.,HOU,W,126,114,34,27,6,8,11/18,2/4,3/6,71,30.2%,79,135.0,56,30.8%,34,15.4%,51,36.4%,,0.0%,64,13.2%,,0.0%,70,2.3%
01/12/22,vs.,LAL,W,125,116,37,29,4,4,11/21,0/2,7/9,78,32.0%,58,116.0,16,14.8%,54,10.9%,44,45.5%,68,3.1%,28,6.5%,,0.0%,,0.0%
