Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/13/22,@,GSW,L,96,110,11,8,2,1,3/6,2/3,0/0,80,27.1%,76,133.3,45,16.7%,32,15.4%,42,66.7%,90,8.3%,39,7.1%,,0.0%,92,4.2%
05/11/22,vs.,GSW,W,134,95,16,10,2,4,4/9,2/5,0/0,47,20.5%,56,111.1,77,28.6%,,0.0%,,100.0%,82,5.6%,39,7.1%,96,3.8%,94,4.5%
05/09/22,@,GSW,L,98,101,9,0,1,0,0/3,0/2,0/0,39,19.0%,1,0.0,,0.0%,10,25.0%,,,,0.0%,32,5.9%,,0.0%,,0.0%
05/07/22,@,GSW,L,112,142,23,7,4,3,3/10,1/6,0/0,61,22.6%,21,70.0,50,17.6%,27,16.7%,,100.0%,88,7.4%,72,14.3%,,0.0%,,0.0%
05/03/22,vs.,GSW,W,106,101,26,3,8,1,1/5,1/4,0/0,22,14.8%,17,60.0,15,5.3%,2,44.4%,,100.0%,95,10.7%,87,18.5%,98,5.7%,84,3.3%
05/01/22,vs.,GSW,L,116,117,25,14,7,1,5/8,3/6,1/1,15,12.5%,86,155.6,15,5.3%,41,11.8%,34,80.0%,88,7.4%,72,14.3%,88,2.2%,93,4.4%
04/23/22,@,MIN,L,118,119,7,0,2,1,0/4,0/3,0/0,67,23.9%,1,0.0,87,33.3%,24,18.2%,,,,0.0%,98,28.6%,,0.0%,92,4.3%
04/21/22,@,MIN,W,104,95,7,0,2,0,0/2,0/2,0/0,44,20.0%,1,0.0,,0.0%,4,33.3%,,,,0.0%,99,33.3%,,0.0%,,0.0%
04/19/22,vs.,MIN,W,124,96,13,6,2,2,2/5,2/5,0/0,39,18.8%,64,120.0,52,18.2%,27,16.7%,,100.0%,,0.0%,79,16.7%,,0.0%,,0.0%
04/16/22,vs.,MIN,L,117,130,14,2,1,1,1/4,0/3,0/0,14,11.8%,14,50.0,38,14.3%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,79,2.9%
04/10/22,vs.,BOS,L,110,139,21,12,3,4,4/12,3/8,1/2,74,25.4%,37,92.3,88,36.4%,61,6.9%,33,75.0%,71,3.2%,59,11.1%,92,2.3%,,0.0%
04/09/22,vs.,NOP,W,141,114,16,12,1,2,5/10,2/6,0/0,79,26.8%,62,120.0,33,11.8%,22,18.2%,31,80.0%,,0.0%,33,6.7%,,0.0%,74,2.4%
04/07/22,@,DEN,L,109,122,23,9,2,3,3/9,2/5,1/2,61,22.6%,36,90.0,53,18.8%,26,16.7%,,100.0%,77,4.0%,31,6.2%,93,2.6%,,0.0%
04/05/22,@,UTA,L,115,121,28,11,10,4,3/6,1/2,4/4,27,16.1%,77,137.5,83,33.3%,49,10.0%,38,66.7%,71,3.2%,97,26.5%,86,1.7%,,0.0%
04/01/22,vs.,PHX,W,122,114,29,17,6,3,4/13,3/8,6/6,68,24.1%,50,106.3,39,14.3%,29,15.8%,33,75.0%,67,2.6%,87,18.5%,86,1.7%,53,1.3%
03/30/22,@,SAS,W,112,111,24,16,4,0,6/12,4/8,0/0,41,19.1%,73,133.3,,0.0%,50,9.5%,29,83.3%,,0.0%,95,23.5%,,0.0%,,0.0%
03/28/22,vs.,GSW,W,123,95,21,21,6,2,8/13,5/9,0/0,63,23.1%,90,161.5,37,13.3%,55,8.3%,33,75.0%,81,4.8%,98,27.8%,,0.0%,,0.0%
03/26/22,vs.,MIL,W,127,102,22,24,3,2,8/11,6/9,2/4,70,24.5%,96,200.0,43,15.4%,28,16.0%,46,62.5%,82,5.0%,47,9.1%,,0.0%,97,5.9%
03/24/22,vs.,IND,W,133,103,21,19,6,2,6/13,5/9,2/2,91,31.4%,76,135.7,39,14.3%,22,18.8%,38,66.7%,82,5.0%,92,20.8%,,0.0%,,0.0%
03/23/22,vs.,BKN,W,132,120,27,23,4,1,8/12,6/9,1/1,31,17.1%,96,191.7,14,4.5%,10,25.0%,28,87.5%,,0.0%,80,16.0%,,0.0%,,0.0%
