Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,vs.,DAL,L,90,123,17,5,4,2,2/5,0/0,1/4,89,25.7%,18,71.4,97,40.0%,29,21.1%,77,50.0%,44,5.0%,79,27.3%,,0.0%,85,2.7%
05/12/22,@,DAL,L,86,113,30,21,11,1,10/16,0/0,1/4,86,24.2%,55,123.5,54,9.1%,46,12.5%,63,70.0%,65,9.1%,91,34.6%,,0.0%,,0.0%
05/10/22,vs.,DAL,W,110,80,22,20,9,2,9/13,0/0,2/2,92,28.3%,68,142.9,70,14.3%,57,7.7%,64,66.7%,87,15.8%,84,30.0%,,0.0%,,0.0%
05/08/22,@,DAL,L,101,111,33,14,11,2,7/12,0/0,0/2,80,21.2%,41,107.7,56,9.5%,21,25.8%,61,71.4%,94,20.7%,38,13.8%,79,3.2%,,0.0%
05/06/22,@,DAL,L,94,103,33,16,11,0,6/12,0/0,4/4,67,17.9%,46,114.3,,0.0%,,0.0%,64,66.7%,85,14.8%,43,15.2%,,0.0%,,0.0%
05/04/22,vs.,DAL,W,129,109,18,9,3,0,3/6,0/0,3/4,87,24.4%,44,112.5,,0.0%,16,30.0%,64,66.7%,60,8.3%,35,13.3%,,0.0%,,0.0%
05/02/22,vs.,DAL,W,121,114,33,25,8,0,12/20,0/0,1/1,80,21.2%,55,125.0,,0.0%,,0.0%,56,75.0%,67,9.4%,30,12.1%,63,1.7%,,0.0%
04/28/22,@,NOP,W,115,109,40,22,7,4,10/12,0/0,2/2,45,13.8%,84,169.2,67,12.9%,,0.0%,49,90.0%,42,4.5%,66,22.2%,58,1.5%,67,1.3%
04/26/22,vs.,NOP,W,112,97,35,19,9,3,8/13,0/2,3/5,80,21.3%,58,126.7,63,12.0%,33,18.8%,50,87.5%,75,11.5%,38,13.9%,,0.0%,,0.0%
04/24/22,@,NOP,L,103,118,33,23,8,1,11/14,0/0,1/2,73,19.4%,77,153.3,49,7.7%,40,15.4%,53,81.8%,53,6.5%,30,12.1%,60,1.5%,,0.0%
04/22/22,@,NOP,W,114,111,35,28,17,1,13/20,1/1,1/1,85,23.2%,66,140.0,37,4.8%,60,6.1%,56,76.9%,53,6.7%,95,37.9%,63,1.7%,95,4.2%
04/19/22,vs.,NOP,L,114,125,27,10,9,4,4/6,0/0,2/2,22,9.3%,68,142.9,75,16.7%,,0.0%,,100.0%,64,8.8%,57,19.2%,,0.0%,,0.0%
04/17/22,vs.,NOP,W,110,99,34,21,9,2,10/15,1/1,0/0,72,18.9%,66,140.0,54,9.1%,56,8.0%,49,90.0%,60,8.3%,34,13.0%,91,5.2%,,0.0%
04/08/22,@,UTA,W,111,105,34,19,10,4,9/18,1/2,0/0,74,21.7%,40,105.6,68,14.3%,64,6.1%,,100.0%,77,13.3%,40,15.4%,71,2.7%,61,1.3%
04/05/22,vs.,LAL,W,121,110,27,22,13,2,10/14,0/0,2/2,62,19.2%,73,146.7,53,9.5%,60,8.0%,41,90.0%,79,13.8%,86,30.8%,60,1.9%,,0.0%
04/01/22,@,MEM,L,114,122,25,9,12,1,4/8,0/0,1/3,54,17.5%,27,100.0,35,5.0%,25,20.0%,51,75.0%,,0.0%,96,39.3%,,0.0%,,0.0%
03/30/22,@,GSW,W,107,103,35,16,16,0,7/17,0/0,2/2,82,24.1%,24,88.9,,0.0%,19,23.8%,73,57.1%,55,8.1%,81,28.2%,,0.0%,,0.0%
03/27/22,vs.,PHI,W,114,104,31,14,12,2,5/8,0/0,4/6,51,16.9%,58,127.3,48,8.3%,56,9.1%,46,80.0%,34,4.3%,81,28.6%,,0.0%,67,1.5%
03/24/22,@,DEN,W,140,130,33,16,7,0,8/14,0/0,0/0,45,15.8%,45,114.3,,0.0%,57,8.7%,41,87.5%,66,10.5%,72,25.0%,,0.0%,63,1.4%
03/23/22,@,MIN,W,125,116,35,35,14,3,15/24,1/1,4/4,93,30.0%,66,134.6,71,15.0%,46,12.5%,42,86.7%,95,21.9%,52,18.4%,51,1.4%,60,1.2%
03/20/22,@,SAC,W,127,124,27,12,10,2,5/6,0/0,2/2,40,15.0%,88,171.4,61,11.8%,21,22.2%,87,40.0%,31,3.8%,92,34.6%,,0.0%,,0.0%
03/18/22,vs.,CHI,W,129,102,24,20,12,1,8/11,0/1,4/4,62,19.1%,79,153.8,42,6.7%,,0.0%,51,75.0%,83,15.0%,89,33.3%,,0.0%,,0.0%
03/16/22,@,HOU,W,129,112,31,23,11,0,10/19,0/0,3/4,83,24.7%,42,109.5,,0.0%,,0.0%,75,50.0%,94,21.4%,17,8.6%,53,1.5%,,0.0%
03/15/22,@,NOP,W,131,115,23,18,5,2,7/11,0/0,4/4,79,23.1%,68,138.5,58,11.1%,59,8.3%,42,85.7%,37,5.0%,44,16.7%,,0.0%,73,1.9%
03/13/22,vs.,LAL,W,140,111,27,23,16,2,11/14,0/1,1/1,59,18.4%,85,164.3,43,7.1%,,0.0%,86,45.5%,92,20.0%,95,37.9%,,0.0%,65,1.5%
03/11/22,vs.,TOR,L,112,117,30,16,7,2,8/11,0/1,0/0,43,15.4%,72,145.5,53,9.5%,55,9.5%,69,62.5%,32,4.0%,56,19.4%,,0.0%,,0.0%
03/09/22,@,MIA,W,111,90,30,19,10,1,9/10,0/0,1/1,13,9.3%,92,190.0,34,4.5%,,0.0%,41,88.9%,51,7.4%,69,23.5%,,0.0%,,0.0%
03/08/22,@,ORL,W,102,99,36,21,19,1,10/19,0/0,1/1,74,21.7%,42,110.5,37,5.6%,33,16.7%,41,90.0%,59,9.1%,92,34.9%,,0.0%,,0.0%
03/06/22,@,MIL,L,122,132,33,30,8,2,14/19,1/1,1/2,79,23.2%,74,150.0,54,10.0%,48,12.1%,41,92.9%,29,3.3%,76,25.9%,,0.0%,64,1.4%
03/04/22,vs.,NYK,W,115,114,34,8,3,1,4/10,0/1,0/0,21,11.3%,18,80.0,32,4.2%,,0.0%,,100.0%,,0.0%,16,8.3%,51,1.4%,,0.0%
03/02/22,vs.,POR,W,120,90,26,18,8,1,9/12,0/0,0/0,45,15.8%,74,150.0,39,5.9%,50,11.1%,,100.0%,68,11.1%,67,22.7%,,0.0%,70,1.8%
02/27/22,vs.,UTA,L,114,118,34,23,7,2,11/15,1/1,0/0,58,18.1%,79,153.3,48,8.3%,60,8.0%,46,81.8%,78,13.6%,9,5.6%,73,2.9%,65,1.4%
02/25/22,vs.,NOP,L,102,117,32,20,5,1,9/12,1/1,1/2,46,15.9%,79,153.8,37,5.6%,56,9.1%,50,77.8%,31,3.8%,26,11.8%,85,4.2%,65,1.4%
02/24/22,@,OKC,W,124,104,30,6,8,1,3/5,0/0,0/1,32,13.6%,50,120.0,31,3.7%,2,55.6%,,100.0%,,0.0%,81,28.6%,58,1.7%,87,3.0%
02/16/22,vs.,HOU,W,124,121,27,23,9,0,9/15,0/0,5/6,84,25.0%,58,127.8,,0.0%,48,11.8%,59,66.7%,46,6.5%,81,28.0%,59,1.8%,,0.0%
02/15/22,vs.,LAC,W,103,96,30,12,12,1,6/16,0/1,0/0,69,20.7%,16,75.0,33,4.3%,62,6.9%,,100.0%,63,10.0%,63,21.6%,55,1.6%,64,1.4%
02/12/22,vs.,ORL,W,132,105,25,17,10,1,8/11,0/0,1/2,37,14.4%,70,141.7,34,4.8%,,0.0%,,100.0%,54,8.0%,84,29.6%,,0.0%,,0.0%
