Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/26/22,@,MIA,L,94,97,43,35,11,2,11/21,3/7,10/11,92,31.3%,72,134.6,59,11.8%,35,14.0%,86,45.5%,51,2.9%,80,20.0%,,0.0%,87,3.3%
04/24/22,vs.,MIA,L,86,110,30,24,3,1,9/13,4/6,2/4,72,22.5%,87,160.0,52,10.0%,58,7.4%,61,66.7%,60,3.6%,15,5.9%,,0.0%,,0.0%
04/22/22,vs.,MIA,W,111,110,32,17,0,0,7/13,2/6,1/2,80,24.6%,59,121.4,,0.0%,7,25.8%,59,71.4%,,0.0%,0,0.0%,,0.0%,,0.0%
04/19/22,@,MIA,L,105,115,35,14,2,0,5/14,1/5,3/3,54,17.1%,31,93.3,,0.0%,,0.0%,51,80.0%,,0.0%,18,6.5%,77,1.6%,,0.0%
04/17/22,@,MIA,L,91,115,35,14,3,0,6/8,2/2,0/0,18,9.9%,91,175.0,,0.0%,7,26.7%,49,83.3%,,0.0%,22,7.1%,,0.0%,63,1.3%
04/15/22,@,CLE,W,107,101,28,10,5,0,5/14,0/5,0/0,71,22.2%,19,71.4,,0.0%,32,14.3%,51,80.0%,57,3.3%,58,14.3%,,0.0%,,0.0%
04/13/22,vs.,CHA,W,132,103,30,22,7,2,9/16,2/3,2/2,57,17.8%,73,137.5,45,8.0%,,0.0%,46,88.9%,62,3.7%,45,11.4%,,0.0%,,0.0%
04/10/22,@,HOU,W,130,114,33,22,2,0,7/13,4/4,4/5,62,18.7%,79,146.7,,0.0%,31,14.3%,44,85.7%,,0.0%,18,5.7%,,0.0%,,0.0%
04/08/22,@,MIA,L,109,113,25,2,1,0,1/7,0/2,0/0,49,16.4%,8,28.6,,0.0%,6,30.0%,95,0.0%,,0.0%,15,5.0%,,0.0%,,0.0%
04/06/22,vs.,WAS,W,118,103,27,10,4,1,3/13,2/4,2/3,82,23.8%,19,71.4,29,4.8%,55,6.9%,59,66.7%,,0.0%,72,17.4%,81,2.1%,64,1.6%
04/05/22,@,TOR,L,108,118,37,20,6,2,8/17,0/2,4/4,70,20.3%,46,105.3,39,6.9%,58,5.7%,43,87.5%,83,7.7%,14,4.4%,67,1.2%,,0.0%
04/02/22,vs.,BKN,W,122,115,27,15,10,2,4/7,1/2,6/8,43,15.4%,73,136.4,59,11.8%,,0.0%,,100.0%,61,3.8%,97,31.0%,,0.0%,,0.0%
03/31/22,vs.,CLE,W,131,107,21,5,1,2,2/10,1/5,0/0,72,20.8%,11,50.0,59,11.8%,48,9.1%,,100.0%,,0.0%,14,4.5%,,0.0%,,0.0%
03/30/22,@,OKC,W,136,118,30,19,5,0,7/13,1/4,4/4,73,21.2%,72,135.7,,0.0%,31,14.3%,70,57.1%,,0.0%,63,15.2%,74,1.6%,,0.0%
03/25/22,vs.,GSW,W,121,110,34,11,3,3,5/13,0/3,1/3,71,20.7%,23,78.6,59,11.5%,56,6.5%,84,40.0%,,0.0%,29,8.3%,,0.0%,91,4.0%
03/23/22,@,DET,L,101,122,26,15,3,1,5/10,1/4,4/4,67,19.8%,62,125.0,47,9.1%,49,8.7%,47,80.0%,,0.0%,58,14.3%,,0.0%,,0.0%
03/22/22,@,NYK,W,117,111,32,10,5,2,4/9,1/2,1/2,44,15.5%,34,100.0,43,8.0%,21,18.2%,,100.0%,,0.0%,56,13.8%,74,1.6%,59,1.4%
03/20/22,vs.,NOP,L,112,117,25,11,2,1,5/10,1/4,0/0,34,13.7%,49,110.0,39,7.1%,,0.0%,47,80.0%,,0.0%,23,7.1%,78,1.8%,85,3.2%
03/18/22,vs.,MEM,W,120,105,30,14,5,3,5/13,1/3,3/4,86,25.4%,32,93.3,64,13.0%,39,11.8%,67,60.0%,61,3.8%,62,14.8%,75,1.6%,61,1.5%
