Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,NOP,L,103,113,34,16,9,5,5/19,1/5,5/5,73,32.7%,20,76.2,31,22.7%,63,7.8%,86,0.0%,62,2.4%,89,22.6%,83,1.4%,,0.0%
04/10/22,@,DAL,L,120,130,32,17,1,7,5/15,1/6,6/6,73,30.7%,33,94.4,55,30.4%,64,8.7%,72,20.0%,,0.0%,13,3.4%,,0.0%,90,4.0%
03/30/22,vs.,MEM,L,111,112,38,33,13,3,12/20,6/9,3/3,68,29.5%,91,157.1,16,15.0%,18,20.4%,32,50.0%,86,5.7%,98,29.7%,,0.0%,,0.0%
03/28/22,@,HOU,W,123,120,38,33,7,11,11/18,2/5,9/12,74,31.1%,84,143.5,84,44.0%,73,6.8%,75,18.2%,,0.0%,74,15.2%,93,2.3%,66,2.1%
03/26/22,@,NOP,W,107,103,40,15,10,13,4/19,0/5,7/8,81,33.0%,15,68.2,86,44.8%,73,6.7%,65,25.0%,58,2.4%,83,18.2%,,0.0%,83,3.3%
03/23/22,@,POR,W,133,96,30,28,6,7,10/14,3/5,5/6,53,26.3%,96,175.0,55,30.4%,58,10.0%,61,30.0%,69,3.2%,78,16.7%,,0.0%,49,1.3%
03/20/22,@,GSW,W,110,108,34,19,6,8,8/24,2/6,1/1,90,37.2%,21,79.2,81,42.1%,72,6.9%,65,25.0%,59,2.6%,66,13.5%,,0.0%,,0.0%
03/18/22,vs.,NOP,L,91,124,34,17,9,5,7/18,3/8,0/1,72,30.5%,33,94.4,60,33.3%,16,21.3%,30,57.1%,,0.0%,92,22.9%,79,1.4%,49,1.3%
03/16/22,vs.,OKC,W,122,120,36,26,9,12,7/18,4/8,8/8,77,31.9%,61,118.2,82,42.9%,57,10.3%,30,57.1%,83,5.0%,89,20.7%,,0.0%,92,4.4%
03/14/22,vs.,MIN,L,139,149,36,30,4,12,10/20,1/5,9/10,91,37.9%,63,120.0,85,44.4%,39,14.5%,61,30.0%,,0.0%,65,13.3%,79,1.4%,38,1.1%
03/11/22,vs.,UTA,W,104,102,37,24,9,4,8/22,0/4,8/12,88,36.2%,26,85.7,45,26.7%,50,11.8%,85,0.0%,,0.0%,64,13.0%,,0.0%,96,5.3%
03/09/22,vs.,TOR,L,104,119,34,25,9,12,9/17,1/3,6/6,89,36.4%,68,125.0,99,66.7%,71,7.1%,85,0.0%,64,2.9%,97,27.6%,,0.0%,76,2.6%
03/07/22,vs.,LAL,W,117,110,38,26,9,8,12/20,1/5,1/2,79,32.6%,74,130.0,59,32.0%,17,20.7%,76,16.7%,,0.0%,91,22.0%,77,1.3%,84,3.4%
03/05/22,@,CHA,L,117,123,35,25,9,10,9/21,0/3,7/8,87,34.9%,50,108.7,89,47.6%,72,6.9%,70,22.2%,59,2.5%,87,20.0%,,0.0%,87,3.6%
03/03/22,vs.,SAC,L,112,115,35,29,12,7,12/22,2/4,3/4,91,37.3%,64,120.8,67,35.0%,32,16.1%,65,25.0%,64,2.9%,100,35.5%,,0.0%,72,2.4%
02/28/22,@,MEM,L,105,118,35,20,3,8,8/20,1/4,3/3,78,32.1%,34,95.2,66,34.8%,69,7.7%,65,25.0%,59,2.5%,25,6.2%,79,1.4%,73,2.5%
02/25/22,@,WAS,W,157,153,43,31,13,14,12/20,1/3,6/6,83,33.5%,79,134.8,84,43.8%,27,17.4%,65,25.0%,86,5.7%,96,27.0%,,0.0%,,0.0%
02/16/22,@,OKC,W,114,106,36,18,7,8,8/18,1/3,1/1,45,24.4%,35,100.0,56,30.8%,80,4.5%,65,25.0%,81,4.7%,40,8.5%,,0.0%,39,1.1%
02/14/22,@,CHI,L,109,120,36,19,6,11,7/16,0/1,5/7,82,33.3%,35,100.0,87,45.8%,69,7.7%,79,14.3%,,0.0%,80,17.2%,,0.0%,75,2.6%
02/12/22,@,NOP,W,124,114,35,31,7,12,13/22,2/4,3/3,94,39.7%,79,134.8,94,52.2%,82,3.4%,78,15.4%,,0.0%,90,21.2%,,0.0%,78,2.7%
02/11/22,@,ATL,W,136,121,32,32,10,15,11/18,2/5,8/9,88,35.6%,85,145.5,98,60.0%,82,3.5%,51,36.4%,74,3.6%,94,24.3%,,0.0%,95,5.0%
02/09/22,@,CLE,L,92,105,34,16,6,9,7/17,0/1,2/2,62,28.2%,28,88.9,79,40.9%,66,8.3%,79,14.3%,80,4.5%,68,14.3%,,0.0%,,0.0%
02/04/22,vs.,HOU,W,131,106,35,19,7,11,9/16,1/4,0/0,49,25.3%,62,118.8,66,34.4%,79,4.8%,52,33.3%,74,3.6%,83,18.2%,,0.0%,94,4.8%
02/01/22,vs.,GSW,L,120,124,38,27,9,9,12/21,1/3,2/3,92,38.4%,67,122.7,60,33.3%,22,19.0%,76,16.7%,76,3.8%,84,18.6%,75,1.2%,72,2.4%
01/28/22,vs.,CHI,W,131,122,37,29,9,12,12/24,2/4,3/4,97,42.8%,54,111.5,89,48.0%,41,14.1%,65,25.0%,,0.0%,98,29.0%,,0.0%,87,3.6%
01/26/22,vs.,MEM,L,110,118,39,16,10,11,5/17,0/3,6/7,70,30.1%,21,80.0,79,40.7%,55,10.7%,72,20.0%,96,8.9%,68,13.9%,,0.0%,66,2.2%
01/25/22,@,HOU,W,134,104,24,19,5,10,8/15,1/5,2/2,87,35.6%,62,118.8,90,50.0%,61,9.5%,32,50.0%,,0.0%,67,13.8%,,0.0%,95,5.1%
01/23/22,vs.,PHI,L,109,115,38,19,9,12,6/14,0/2,7/10,79,32.4%,35,100.0,76,40.0%,39,14.5%,32,50.0%,89,6.2%,86,19.4%,,0.0%,42,1.2%
01/21/22,vs.,BKN,L,102,117,37,25,12,10,8/20,1/3,8/8,83,33.5%,45,104.2,90,50.0%,82,3.4%,81,12.5%,95,8.7%,87,20.0%,,0.0%,40,1.1%
01/19/22,vs.,OKC,W,118,96,30,23,10,14,11/20,1/6,0/0,90,37.0%,57,115.0,97,56.0%,82,3.7%,75,18.2%,97,10.3%,91,21.9%,,0.0%,90,4.1%
01/17/22,vs.,PHX,L,107,121,32,18,8,4,7/16,2/5,2/2,55,26.7%,54,112.5,21,17.4%,58,10.0%,85,0.0%,,0.0%,94,24.1%,,0.0%,,0.0%
01/15/22,vs.,LAC,W,101,94,36,18,7,9,8/17,0/3,2/2,71,30.4%,35,100.0,82,42.9%,50,11.8%,85,0.0%,63,2.8%,74,15.4%,,0.0%,86,3.6%
01/14/22,vs.,CLE,L,109,114,36,30,14,8,14/23,1/4,1/3,87,35.3%,68,125.0,85,44.4%,73,6.7%,85,0.0%,81,4.8%,71,14.6%,,0.0%,,0.0%
01/12/22,vs.,HOU,L,124,128,37,32,10,11,12/26,4/9,4/7,87,35.2%,56,114.3,89,47.8%,,0.0%,65,25.0%,90,6.5%,78,16.7%,,0.0%,83,3.3%
01/10/22,@,NYK,L,96,111,30,24,4,5,11/19,1/5,1/1,80,32.9%,71,126.3,48,27.8%,47,12.5%,83,9.1%,86,5.7%,14,3.7%,86,1.6%,78,2.7%
01/09/22,@,BKN,L,119,121,40,19,9,12,7/22,1/6,4/4,79,32.3%,23,82.6,87,46.2%,60,9.7%,62,28.6%,,0.0%,82,17.9%,75,1.2%,65,2.1%
01/07/22,@,PHI,L,100,119,36,27,5,9,10/23,3/6,4/5,97,42.3%,49,108.0,90,50.0%,29,16.9%,85,0.0%,58,2.4%,27,6.5%,79,1.4%,86,3.6%
01/05/22,@,BOS,W,99,97,33,22,9,12,11/21,0/2,0/0,98,43.7%,46,104.8,97,57.1%,45,12.9%,85,0.0%,91,6.9%,90,21.2%,,0.0%,91,4.2%
12/23/21,@,LAL,W,138,110,32,9,6,13,3/16,1/5,2/2,66,29.2%,10,52.9,94,52.0%,,0.0%,22,66.7%,86,5.7%,22,5.6%,95,2.7%,76,2.6%
12/20/21,@,LAC,W,116,92,31,24,12,13,10/22,4/6,0/0,82,33.3%,51,109.1,90,50.0%,72,6.9%,61,30.0%,91,7.1%,99,31.0%,,0.0%,93,4.6%
12/19/21,@,SAC,L,114,121,35,25,7,9,11/17,0/0,3/4,75,31.5%,76,131.6,79,40.9%,68,7.8%,85,0.0%,,0.0%,87,20.0%,,0.0%,45,1.2%
12/17/21,@,UTA,W,128,126,37,16,11,11,6/16,1/6,3/6,62,28.3%,25,84.2,60,32.4%,68,7.8%,52,33.3%,94,8.1%,83,18.4%,75,1.2%,68,2.2%
