Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/27/22,@,MIL,L,100,116,43,11,2,7,5/10,0/0,1/2,49,16.2%,35,100.0,83,22.6%,40,12.5%,96,20.0%,,0.0%,14,5.1%,,0.0%,84,3.0%
04/24/22,vs.,MIL,L,95,119,41,23,5,3,8/20,0/5,7/8,80,25.0%,34,95.8,65,14.3%,64,4.3%,54,75.0%,,0.0%,43,11.1%,,0.0%,51,1.1%
04/22/22,vs.,MIL,L,81,111,32,11,5,4,4/9,0/0,3/5,78,24.2%,35,100.0,84,23.5%,17,19.4%,94,25.0%,,0.0%,79,19.2%,,0.0%,66,1.6%
04/20/22,@,MIL,W,114,110,44,41,7,4,16/31,0/2,9/9,99,38.0%,55,117.1,69,16.0%,63,5.3%,98,12.5%,,0.0%,74,17.5%,67,1.1%,49,1.0%
04/17/22,@,MIL,L,86,93,43,18,8,6,6/25,0/2,6/6,94,31.9%,15,64.3,86,25.0%,52,9.0%,96,16.7%,44,1.7%,58,14.0%,,0.0%,83,2.9%
04/08/22,vs.,CHA,L,117,133,30,17,1,1,7/13,0/1,3/4,91,28.6%,52,113.3,34,5.9%,8,27.8%,57,71.4%,,0.0%,18,5.9%,,0.0%,,0.0%
04/06/22,vs.,BOS,L,94,117,33,16,2,5,6/16,1/1,3/4,94,30.6%,29,88.9,93,29.4%,48,9.1%,93,16.7%,,0.0%,18,5.9%,,0.0%,81,2.8%
04/05/22,vs.,MIL,L,106,127,37,40,3,6,16/26,0/2,8/8,99,36.5%,77,142.9,95,33.3%,38,12.3%,90,31.2%,66,4.5%,11,3.4%,,0.0%,50,1.1%
04/02/22,vs.,MIA,L,109,127,38,26,1,2,6/18,1/4,13/13,93,29.7%,48,108.3,46,8.7%,,0.0%,72,50.0%,,0.0%,12,4.2%,,0.0%,55,1.3%
03/31/22,vs.,LAC,W,135,130,43,50,5,6,17/26,2/2,14/15,98,35.9%,83,151.5,84,21.4%,58,5.6%,90,29.4%,,0.0%,63,15.2%,,0.0%,49,1.0%
03/29/22,@,WAS,W,107,94,36,32,7,4,12/26,1/1,7/7,99,38.2%,50,110.3,80,20.0%,62,3.4%,72,50.0%,,0.0%,71,17.1%,,0.0%,79,2.6%
03/28/22,@,NYK,L,104,109,41,37,6,7,12/26,1/1,12/12,100,41.0%,62,123.3,98,36.8%,43,11.0%,93,16.7%,,0.0%,61,14.6%,,0.0%,,0.0%
03/26/22,@,CLE,W,98,94,35,20,5,2,8/17,0/1,4/5,94,31.1%,46,105.3,54,10.5%,24,17.4%,91,25.0%,,0.0%,74,17.9%,,0.0%,,0.0%
03/22/22,@,MIL,L,98,126,36,21,4,2,10/22,1/4,0/0,94,31.3%,33,95.5,51,10.0%,61,4.3%,94,10.0%,51,2.8%,53,13.0%,72,1.5%,57,1.3%
03/21/22,vs.,TOR,W,113,99,35,26,5,1,11/14,1/4,3/5,71,20.5%,87,162.5,32,5.3%,56,6.7%,82,45.5%,,0.0%,53,12.8%,96,4.3%,58,1.4%
03/18/22,@,PHX,L,102,129,34,19,1,2,6/14,0/1,7/8,88,26.3%,46,105.6,59,11.8%,46,9.8%,93,16.7%,,0.0%,12,4.2%,,0.0%,,0.0%
03/16/22,@,UTA,L,110,125,35,25,5,7,10/20,2/2,3/4,98,34.6%,52,113.6,97,35.0%,30,14.8%,72,50.0%,,0.0%,56,13.8%,,0.0%,,0.0%
03/14/22,@,SAC,L,103,112,40,21,7,6,7/17,0/0,7/7,88,26.7%,46,105.0,88,25.0%,51,8.3%,90,28.6%,48,2.3%,75,18.2%,,0.0%,,0.0%
03/12/22,vs.,CLE,W,101,91,40,25,4,6,9/25,0/2,7/7,99,37.8%,32,92.6,87,23.1%,48,9.2%,94,11.1%,50,2.6%,26,7.7%,,0.0%,51,1.2%
03/09/22,@,DET,W,114,108,41,36,8,4,12/25,0/1,12/13,99,39.0%,55,116.1,76,17.4%,58,6.0%,91,25.0%,,0.0%,88,22.9%,,0.0%,75,2.3%
03/07/22,@,PHI,L,106,121,39,23,11,8,6/17,0/2,11/12,95,32.1%,34,100.0,94,30.8%,45,10.2%,93,16.7%,69,4.9%,90,23.7%,,0.0%,,0.0%
03/04/22,vs.,MIL,L,112,118,39,29,3,5,11/30,2/3,5/5,99,37.6%,33,93.5,80,19.2%,58,6.0%,86,36.4%,,0.0%,33,9.1%,66,1.2%,50,1.1%
03/03/22,@,ATL,L,124,130,39,22,7,8,10/20,0/1,2/2,96,33.3%,46,104.8,90,25.8%,31,14.3%,93,20.0%,55,3.2%,77,18.8%,,0.0%,76,2.4%
02/28/22,@,MIA,L,99,112,34,18,7,3,7/16,0/2,4/5,94,30.4%,34,100.0,67,14.3%,34,13.3%,95,0.0%,,0.0%,80,20.0%,71,1.5%,91,4.1%
02/26/22,vs.,MEM,L,110,116,42,31,7,3,10/29,2/2,9/10,98,35.5%,31,91.2,61,12.5%,62,2.8%,93,20.0%,48,2.3%,49,12.5%,66,1.1%,70,2.0%
02/24/22,vs.,ATL,W,112,108,37,37,6,3,15/21,2/3,5/7,94,31.2%,84,154.2,73,16.7%,54,7.5%,94,13.3%,53,2.9%,46,11.6%,,0.0%,51,1.2%
02/16/22,vs.,SAC,W,125,118,41,38,6,6,16/27,1/1,5/5,98,35.2%,68,131.0,88,25.0%,41,11.6%,93,18.8%,49,2.5%,54,13.2%,,0.0%,49,1.0%
02/14/22,vs.,SAS,W,120,109,35,40,3,7,16/24,0/0,8/8,99,40.0%,80,148.1,97,35.0%,48,9.4%,93,18.8%,,0.0%,35,9.4%,,0.0%,,0.0%
02/12/22,vs.,OKC,W,106,101,40,38,6,5,12/24,0/1,14/16,99,39.4%,58,118.8,91,26.3%,58,5.6%,93,16.7%,49,2.4%,46,11.6%,,0.0%,50,1.1%
02/11/22,vs.,MIN,W,134,122,38,35,6,6,14/22,0/1,7/7,96,32.7%,74,140.0,80,19.4%,,0.0%,94,7.1%,,0.0%,63,15.0%,,0.0%,52,1.2%
02/09/22,@,CHA,W,121,109,38,36,5,4,13/19,3/4,7/10,98,34.8%,88,163.6,85,22.2%,21,18.2%,92,23.1%,,0.0%,49,12.2%,,0.0%,,0.0%
02/07/22,vs.,PHX,L,124,127,36,38,5,4,16/27,0/1,6/8,99,38.3%,68,131.0,95,33.3%,46,9.7%,85,37.5%,69,5.0%,46,11.5%,,0.0%,77,2.5%
02/06/22,vs.,PHI,L,108,119,41,45,9,7,18/30,0/2,9/11,100,46.4%,66,128.6,98,38.9%,53,7.7%,91,27.8%,56,3.3%,91,25.0%,,0.0%,52,1.2%
02/04/22,@,IND,W,122,115,39,31,5,7,11/26,0/4,9/9,100,41.8%,45,103.3,88,24.1%,28,15.8%,91,27.3%,51,2.8%,43,11.1%,68,1.3%,50,1.1%
02/03/22,@,TOR,L,120,127,45,28,6,7,7/17,0/1,14/14,93,30.3%,55,116.7,88,25.0%,34,13.3%,83,42.9%,,0.0%,38,10.0%,,0.0%,71,2.0%
02/01/22,vs.,ORL,W,126,115,37,29,10,5,12/20,2/3,3/4,87,26.1%,74,138.1,83,20.8%,61,4.3%,91,25.0%,85,8.1%,68,16.2%,69,1.4%,74,2.3%
01/30/22,vs.,POR,W,130,116,34,23,4,10,9/13,1/1,4/4,87,26.0%,88,164.3,94,31.2%,59,5.1%,94,11.1%,,0.0%,62,14.8%,,0.0%,80,2.7%
01/28/22,@,SAS,L,122,131,37,32,6,7,13/22,1/1,5/5,97,34.2%,69,133.3,94,30.4%,61,3.7%,92,23.1%,,0.0%,68,16.7%,,0.0%,,0.0%
01/26/22,vs.,TOR,W,111,105,37,29,7,7,11/18,1/3,6/7,97,33.5%,74,138.1,92,26.9%,30,15.1%,86,36.4%,93,11.5%,42,10.7%,,0.0%,,0.0%
01/23/22,@,ORL,L,95,114,38,41,5,3,15/21,0/0,11/13,97,34.2%,83,151.9,87,23.1%,47,9.5%,95,0.0%,53,2.9%,20,6.2%,,0.0%,73,2.2%
01/21/22,@,MIL,L,90,94,38,35,6,3,9/18,0/3,17/18,96,32.7%,67,129.6,79,18.8%,61,3.6%,82,44.4%,49,2.4%,49,12.5%,,0.0%,,0.0%
01/19/22,vs.,CLE,W,117,104,36,30,2,7,14/24,0/0,2/5,99,39.4%,58,120.0,93,29.2%,37,12.7%,94,14.3%,,0.0%,23,7.1%,90,3.0%,54,1.2%
01/17/22,@,MEM,L,106,119,33,24,0,5,10/24,0/1,4/4,100,40.1%,33,96.0,93,29.4%,36,13.1%,93,20.0%,,0.0%,0,0.0%,,0.0%,,0.0%
01/15/22,@,BOS,L,112,114,37,23,8,7,7/20,0/0,9/9,99,38.3%,33,95.8,88,24.1%,56,6.8%,95,0.0%,56,3.3%,75,17.9%,68,1.3%,,0.0%
01/14/22,vs.,GSW,L,96,138,29,17,2,7,5/10,0/0,7/7,86,25.4%,76,141.7,99,43.8%,56,6.5%,84,40.0%,,0.0%,23,6.9%,,0.0%,64,1.6%
01/12/22,vs.,BKN,L,112,138,32,19,4,1,7/16,0/0,5/7,91,28.7%,34,100.0,34,5.9%,48,9.3%,95,0.0%,76,6.1%,31,8.7%,,0.0%,57,1.3%
01/11/22,vs.,DET,W,133,87,27,20,12,7,8/13,0/0,4/5,95,31.5%,69,133.3,98,36.8%,31,14.6%,91,25.0%,86,8.3%,96,28.6%,,0.0%,,0.0%
01/09/22,@,DAL,L,99,113,33,20,4,8,9/16,0/1,2/4,94,30.6%,50,111.1,99,42.1%,60,4.5%,92,22.2%,,0.0%,53,12.9%,73,1.5%,,0.0%
01/07/22,vs.,WAS,W,130,122,31,15,5,8,5/16,0/1,5/6,96,32.5%,23,78.9,95,32.0%,28,15.4%,84,40.0%,79,6.7%,38,10.0%,71,1.5%,,0.0%
01/03/22,vs.,ORL,W,102,98,36,29,3,2,11/24,0/2,7/13,99,38.6%,34,100.0,51,10.0%,48,9.4%,93,18.2%,52,2.9%,16,5.3%,,0.0%,53,1.2%
01/01/22,@,WAS,W,120,119,35,28,9,5,10/22,1/1,7/10,99,39.5%,47,107.7,88,23.8%,37,12.5%,94,10.0%,76,6.1%,67,16.1%,,0.0%,,0.0%
12/31/21,@,IND,W,108,106,35,28,3,6,8/24,1/3,11/12,100,41.3%,32,93.3,91,26.1%,51,8.5%,94,12.5%,75,5.9%,9,2.6%,,0.0%,88,3.5%
12/29/21,vs.,ATL,W,131,117,36,20,4,8,8/18,0/0,4/4,89,27.4%,34,100.0,90,25.8%,,0.0%,85,37.5%,,0.0%,41,10.5%,68,1.3%,,0.0%
12/27/21,@,ATL,W,130,118,38,35,5,10,14/20,2/2,5/8,97,33.7%,84,152.2,98,38.5%,43,10.7%,83,42.9%,56,3.3%,25,7.3%,,0.0%,,0.0%
