Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,vs.,GSW,L,90,103,16,2,1,2,1/6,0/2,0/0,54,21.4%,11,33.3,77,28.6%,37,13.3%,,100.0%,,0.0%,28,5.3%,,0.0%,,0.0%
06/13/22,@,GSW,L,94,104,21,1,1,3,0/4,0/3,1/2,19,14.1%,10,20.0,54,20.0%,,0.0%,,,,0.0%,24,4.5%,,0.0%,65,2.2%
06/10/22,vs.,GSW,L,97,107,36,16,1,1,4/12,3/5,5/5,44,20.0%,60,114.3,15,5.3%,23,18.8%,36,75.0%,,0.0%,16,2.9%,,0.0%,52,1.2%
06/08/22,vs.,GSW,W,116,100,24,7,1,2,3/9,0/3,1/1,42,19.4%,28,77.8,30,11.1%,48,9.5%,73,33.3%,,0.0%,28,5.3%,89,2.3%,63,1.9%
06/05/22,@,GSW,L,88,107,25,8,4,2,3/11,2/4,0/0,67,24.1%,22,72.7,54,20.0%,15,21.4%,42,66.7%,73,3.8%,72,14.3%,97,4.1%,61,1.7%
06/02/22,@,GSW,W,120,108,32,21,1,3,6/11,5/8,4/4,42,19.4%,89,161.5,33,12.0%,35,14.3%,33,83.3%,,0.0%,17,3.3%,,0.0%,,0.0%
05/29/22,@,MIA,W,100,96,19,8,3,1,3/7,2/3,0/0,60,22.6%,60,114.3,23,9.1%,7,31.6%,42,66.7%,77,4.8%,69,13.3%,94,2.9%,,0.0%
05/27/22,vs.,MIA,L,103,111,33,22,3,5,7/13,4/7,4/5,51,21.0%,83,146.7,85,31.2%,,0.0%,32,85.7%,,0.0%,50,9.1%,85,1.8%,92,4.3%
05/25/22,@,MIA,W,93,80,29,14,1,5,6/8,0/2,2/3,55,21.6%,86,155.6,81,29.4%,11,24.0%,42,66.7%,,0.0%,15,2.7%,81,1.6%,85,3.4%
05/23/22,vs.,MIA,W,102,82,34,13,8,5,4/11,1/7,4/6,66,23.6%,41,92.9,81,29.4%,43,11.4%,54,50.0%,,0.0%,77,15.6%,,0.0%,90,4.1%
05/21/22,vs.,MIA,L,103,109,14,0,2,1,0/2,0/0,0/0,7,8.3%,1,0.0,30,11.1%,,0.0%,,,90,8.3%,37,6.7%,99,7.1%,,0.0%
05/17/22,@,MIA,L,107,118,29,3,0,4,1/4,0/1,1/2,17,12.9%,17,60.0,66,23.5%,13,22.2%,90,0.0%,,0.0%,0,0.0%,84,1.8%,,0.0%
05/15/22,vs.,MIL,W,109,81,18,3,2,1,1/10,1/6,0/0,70,25.0%,10,30.0,23,9.1%,,0.0%,,100.0%,,0.0%,58,11.1%,,0.0%,73,2.5%
05/13/22,@,MIL,W,108,95,30,9,5,2,3/9,1/5,2/2,31,16.4%,38,90.0,26,9.5%,,0.0%,73,33.3%,86,6.7%,54,10.0%,,0.0%,83,3.1%
05/11/22,vs.,MIL,L,107,110,32,9,5,6,4/5,1/2,0/0,14,11.9%,94,180.0,68,24.0%,39,12.5%,54,50.0%,,0.0%,75,14.7%,95,3.2%,,0.0%
05/09/22,@,MIL,W,116,108,34,11,4,3,4/6,1/3,2/2,10,9.6%,88,157.1,27,10.0%,,0.0%,36,75.0%,69,3.4%,31,5.4%,79,1.4%,,0.0%
05/07/22,@,MIL,L,101,103,21,14,2,0,3/6,2/3,6/8,42,19.6%,80,140.0,,0.0%,,0.0%,42,66.7%,,0.0%,36,6.5%,,0.0%,65,2.2%
05/03/22,vs.,MIL,W,109,86,28,0,4,5,0/6,0/4,0/0,36,17.5%,1,0.0,64,22.7%,22,19.0%,,,76,4.5%,44,8.0%,,0.0%,60,1.7%
05/01/22,vs.,MIL,L,89,101,16,10,4,1,2/6,2/3,4/4,69,24.4%,68,125.0,45,16.7%,16,21.1%,,100.0%,,0.0%,89,20.0%,,0.0%,,0.0%
04/25/22,@,BKN,W,116,112,27,9,6,2,4/10,0/4,1/1,25,15.3%,38,90.0,30,11.1%,,0.0%,36,75.0%,,0.0%,93,23.1%,,0.0%,,0.0%
04/23/22,@,BKN,W,109,103,14,2,6,1,1/3,0/2,0/0,27,15.5%,19,66.7,27,10.0%,13,22.2%,90,0.0%,,0.0%,100,41.7%,,0.0%,85,3.4%
