Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/13/22,@,GSW,L,96,110,44,25,7,2,9/16,4/7,3/4,46,15.7%,74,138.9,46,8.3%,,0.0%,66,66.7%,61,1.8%,45,8.5%,73,1.0%,,0.0%
05/11/22,vs.,GSW,W,134,95,24,21,1,2,6/12,4/6,5/5,57,18.2%,79,150.0,49,9.1%,,0.0%,,100.0%,,0.0%,24,4.5%,,0.0%,68,1.5%
05/09/22,@,GSW,L,98,101,37,5,1,6,2/7,1/3,0/0,29,11.8%,22,71.4,85,20.7%,47,9.5%,79,50.0%,,0.0%,15,2.5%,,0.0%,89,3.4%
05/07/22,@,GSW,L,112,142,30,16,3,2,5/10,4/7,2/3,44,15.2%,78,145.5,59,11.1%,47,9.5%,,100.0%,68,3.0%,54,10.5%,,0.0%,66,1.4%
05/03/22,vs.,GSW,W,106,101,32,5,6,1,2/7,1/4,0/0,29,11.5%,22,71.4,30,4.5%,16,22.2%,79,50.0%,64,2.6%,54,10.5%,,0.0%,,0.0%
05/01/22,vs.,GSW,L,116,117,32,9,1,1,3/10,1/5,2/3,35,13.2%,28,81.8,29,4.2%,49,8.7%,66,66.7%,65,2.7%,0,0.0%,,0.0%,78,2.3%
04/29/22,@,MIN,W,114,106,43,23,7,1,9/15,5/9,0/0,47,15.9%,84,153.3,26,3.3%,9,29.4%,58,77.8%,82,4.7%,61,11.6%,74,1.2%,51,0.9%
04/26/22,vs.,MIN,W,111,109,45,25,4,1,9/20,3/8,4/4,52,16.8%,57,119.0,27,3.6%,45,10.3%,50,88.9%,,0.0%,36,7.1%,97,3.5%,72,1.7%
04/23/22,@,MIN,L,118,119,35,34,2,4,11/18,8/12,4/5,70,21.2%,91,178.9,80,17.4%,43,11.1%,50,90.9%,,0.0%,36,7.1%,,0.0%,57,1.2%
04/21/22,@,MIN,W,104,95,40,26,6,2,8/19,7/15,3/4,64,19.4%,60,123.8,49,9.1%,60,5.3%,,100.0%,,0.0%,58,10.9%,90,2.5%,52,1.0%
04/19/22,vs.,MIN,W,124,96,31,16,4,4,5/10,1/4,5/5,51,16.7%,68,133.3,76,16.7%,,0.0%,54,80.0%,,0.0%,72,13.8%,,0.0%,,0.0%
04/16/22,vs.,MIN,L,117,130,33,17,3,1,6/15,3/8,2/2,57,18.2%,47,106.3,28,4.0%,57,6.5%,66,66.7%,,0.0%,54,10.3%,82,1.6%,,0.0%
04/09/22,vs.,NOP,W,141,114,20,18,1,1,6/7,4/4,2/2,45,15.6%,98,225.0,36,6.2%,8,26.7%,,100.0%,,0.0%,23,4.8%,,0.0%,,0.0%
04/07/22,@,DEN,L,109,122,22,14,2,2,5/11,2/2,2/2,79,22.9%,56,116.7,67,14.3%,,0.0%,50,80.0%,,0.0%,70,14.3%,,0.0%,98,6.2%
04/05/22,@,UTA,L,115,121,37,23,7,2,8/21,3/8,4/4,90,27.5%,36,100.0,50,9.5%,37,12.0%,74,50.0%,75,4.3%,50,10.0%,,0.0%,97,5.5%
03/30/22,@,SAS,W,112,111,33,16,3,3,5/11,3/5,3/3,50,16.4%,70,133.3,64,13.0%,50,8.0%,50,80.0%,,0.0%,48,9.4%,82,1.6%,,0.0%
03/28/22,vs.,GSW,W,123,95,27,22,2,3,7/15,5/6,3/4,76,22.2%,74,137.5,70,15.0%,,0.0%,,100.0%,,0.0%,38,7.7%,,0.0%,86,3.2%
03/26/22,vs.,MIL,W,127,102,28,20,3,5,9/18,2/6,0/0,84,25.0%,52,111.1,93,26.3%,,0.0%,61,66.7%,,0.0%,40,7.9%,,0.0%,84,2.9%
03/24/22,vs.,IND,W,133,103,24,30,5,5,12/15,5/7,1/1,83,24.2%,95,200.0,95,29.4%,54,6.9%,61,66.7%,74,4.2%,69,13.8%,89,2.2%,,0.0%
03/23/22,vs.,BKN,W,132,120,32,23,4,5,8/17,6/10,1/1,88,26.2%,73,135.3,86,21.7%,19,19.0%,68,62.5%,64,2.9%,48,9.4%,,0.0%,54,1.2%
03/20/22,@,HOU,W,122,98,32,24,5,7,8/13,3/6,5/5,81,23.6%,86,160.0,96,31.8%,57,5.7%,74,50.0%,,0.0%,30,6.2%,,0.0%,93,4.1%
03/18/22,@,ATL,L,105,120,31,15,5,3,5/14,3/9,2/2,77,22.4%,36,100.0,67,14.3%,37,11.8%,69,60.0%,87,6.5%,57,11.1%,,0.0%,56,1.3%
03/15/22,@,IND,W,135,102,23,21,4,6,7/12,4/7,3/4,88,26.2%,87,161.5,92,26.1%,20,18.8%,47,85.7%,,0.0%,62,12.1%,86,1.9%,88,3.3%
03/13/22,@,OKC,W,125,118,31,21,8,2,7/15,3/5,4/4,63,19.0%,63,123.5,44,8.3%,,0.0%,47,85.7%,93,8.8%,59,11.4%,,0.0%,55,1.3%
03/11/22,vs.,NYK,W,118,114,28,12,5,1,4/15,2/6,2/4,80,23.2%,21,70.6,32,5.3%,,0.0%,74,50.0%,86,6.2%,50,9.7%,,0.0%,83,2.8%
03/08/22,vs.,NOP,W,132,111,23,22,4,5,8/15,5/8,1/1,89,27.1%,79,146.7,88,22.7%,56,6.2%,68,62.5%,,0.0%,69,13.6%,,0.0%,,0.0%
03/06/22,@,HOU,L,112,123,36,28,2,3,11/22,4/9,2/2,82,23.9%,61,121.7,60,12.0%,58,4.8%,50,81.8%,,0.0%,30,6.2%,77,1.4%,75,2.3%
03/05/22,vs.,ORL,W,124,96,24,24,6,2,10/15,3/6,1/1,81,23.6%,86,160.0,79,18.2%,,0.0%,69,60.0%,,0.0%,85,18.5%,,0.0%,,0.0%
03/03/22,@,BOS,L,107,120,34,17,7,1,6/14,5/10,0/0,48,16.2%,61,121.4,28,4.5%,,0.0%,48,83.3%,,0.0%,94,24.1%,,0.0%,58,1.4%
02/28/22,vs.,SAS,W,118,105,29,8,3,6,3/11,1/5,1/2,72,21.0%,17,66.7,90,24.0%,,0.0%,88,33.3%,,0.0%,50,10.0%,,0.0%,,0.0%
02/26/22,@,CHI,W,116,110,28,12,2,5,4/18,1/7,3/3,93,29.3%,17,63.2,89,23.8%,,0.0%,74,50.0%,,0.0%,44,8.7%,,0.0%,60,1.4%
02/24/22,@,MIN,L,114,119,29,14,3,0,5/15,2/8,2/2,69,20.3%,31,87.5,,0.0%,35,12.5%,50,80.0%,61,2.7%,33,6.7%,,0.0%,55,1.3%
02/16/22,vs.,POR,L,119,123,36,30,5,1,9/19,7/12,5/5,83,24.4%,77,142.9,32,5.3%,45,9.5%,73,55.6%,61,2.6%,48,9.4%,,0.0%,51,1.2%
02/15/22,@,NOP,W,121,109,30,11,6,4,3/11,2/6,3/3,72,21.1%,34,91.7,74,16.0%,32,13.3%,61,66.7%,87,6.7%,65,12.9%,,0.0%,59,1.4%
02/12/22,@,CHA,W,125,118,32,25,4,5,7/13,4/7,7/7,88,26.5%,89,166.7,86,21.7%,5,32.6%,47,85.7%,,0.0%,43,8.6%,78,1.4%,96,4.9%
02/10/22,@,DET,W,132,107,28,22,6,2,7/11,3/4,5/6,66,19.7%,85,157.1,61,12.5%,51,7.7%,47,85.7%,,0.0%,86,18.8%,,0.0%,,0.0%
02/08/22,vs.,LAC,W,135,109,26,5,4,4,2/9,0/5,1/1,50,16.4%,14,55.6,71,15.4%,48,8.7%,74,50.0%,88,6.9%,49,9.5%,,0.0%,84,2.9%
02/05/22,@,ORL,W,135,115,26,7,8,3,3/12,1/6,0/0,55,17.4%,15,58.3,58,11.5%,,0.0%,,100.0%,64,2.9%,93,23.1%,,0.0%,61,1.4%
02/02/22,@,NYK,W,120,108,34,13,7,2,4/18,4/11,1/1,77,22.4%,22,72.2,46,8.7%,42,10.5%,,100.0%,59,2.3%,67,13.2%,93,2.9%,76,2.4%
01/31/22,@,PHI,L,119,122,39,31,7,1,11/20,5/9,4/4,74,21.5%,79,147.6,25,3.8%,58,5.0%,85,45.5%,59,2.3%,70,13.9%,,0.0%,87,3.2%
01/29/22,vs.,WAS,W,115,95,29,19,1,4,8/17,2/7,1/1,87,26.1%,52,111.8,81,19.0%,41,10.8%,68,62.5%,63,2.9%,0,0.0%,85,1.8%,,0.0%
01/28/22,vs.,UTA,W,119,109,30,17,2,3,6/13,2/4,3/4,76,22.0%,61,121.4,66,13.6%,54,6.9%,61,66.7%,,0.0%,16,3.3%,,0.0%,63,1.5%
01/26/22,@,SAS,W,118,110,33,20,3,3,7/15,1/2,5/5,81,23.8%,58,117.6,64,13.0%,42,10.5%,85,42.9%,64,2.9%,27,5.6%,,0.0%,54,1.2%
01/17/22,vs.,CHI,W,119,106,29,25,3,4,10/17,3/7,2/3,84,25.0%,75,138.9,79,18.2%,,0.0%,50,80.0%,79,5.0%,33,6.7%,,0.0%,64,1.6%
01/14/22,vs.,DAL,L,85,112,29,16,6,0,7/15,1/4,1/1,75,21.8%,49,106.7,,0.0%,,0.0%,85,42.9%,65,3.0%,78,16.1%,82,1.6%,,0.0%
01/13/22,vs.,MIN,W,116,108,32,21,3,2,5/12,2/8,9/9,86,25.6%,69,131.3,47,9.1%,19,19.5%,94,20.0%,,0.0%,40,7.9%,,0.0%,96,5.0%
01/11/22,vs.,GSW,W,116,108,32,11,3,4,3/14,3/8,2/3,82,24.1%,22,73.3,74,16.7%,26,15.8%,61,66.7%,61,2.6%,28,5.7%,,0.0%,,0.0%
01/09/22,@,LAL,W,127,119,26,23,3,3,9/14,5/8,0/1,65,19.5%,88,164.3,82,20.0%,50,8.0%,46,88.9%,,0.0%,55,10.7%,,0.0%,95,4.7%
01/08/22,@,LAC,W,123,108,29,23,7,4,9/15,5/8,0/0,82,24.0%,84,153.3,79,18.2%,22,17.1%,73,55.6%,,0.0%,86,18.9%,82,1.6%,82,2.7%
01/04/22,@,CLE,W,110,106,35,11,5,7,4/10,3/6,0/0,50,16.5%,51,110.0,90,24.1%,51,7.7%,54,75.0%,65,3.0%,40,7.9%,93,2.7%,55,1.3%
01/03/22,@,BKN,W,118,104,37,29,8,2,12/23,5/11,0/1,81,23.6%,65,126.1,39,7.1%,46,9.3%,54,75.0%,61,2.7%,76,15.6%,,0.0%,74,2.2%
12/31/21,vs.,SAS,W,118,105,31,17,4,3,8/20,1/7,0/1,88,26.3%,30,85.0,61,12.5%,44,9.8%,54,75.0%,,0.0%,56,10.8%,79,1.4%,55,1.3%
12/29/21,vs.,LAL,W,104,99,35,20,4,2,6/18,3/10,5/5,89,26.9%,36,100.0,61,12.5%,45,9.5%,61,66.7%,,0.0%,60,11.8%,79,1.4%,55,1.3%
12/27/21,@,PHX,W,114,113,37,32,6,3,12/22,6/11,2/2,83,24.4%,75,139.1,60,12.0%,32,13.6%,46,91.7%,,0.0%,79,16.7%,77,1.3%,50,1.1%
12/26/21,@,SAC,W,127,102,32,28,4,2,11/19,4/6,2/2,69,20.4%,79,147.4,44,8.3%,56,6.1%,50,81.8%,,0.0%,67,13.3%,,0.0%,78,2.5%
12/23/21,@,GSW,L,104,113,30,12,2,1,4/11,3/7,1/1,31,13.1%,50,109.1,27,4.3%,45,9.5%,,100.0%,,0.0%,38,7.7%,85,1.8%,54,1.2%
12/20/21,vs.,OKC,L,99,102,36,25,7,2,10/20,5/9,0/0,68,20.2%,63,125.0,55,11.1%,57,5.6%,50,80.0%,75,4.3%,50,9.8%,,0.0%,51,1.1%
12/19/21,vs.,POR,L,100,105,33,9,2,2,4/12,1/8,0/0,48,16.2%,22,75.0,54,10.5%,50,8.0%,54,75.0%,,0.0%,16,3.2%,83,1.7%,56,1.3%
12/17/21,@,SAC,W,124,105,26,24,2,1,9/16,4/5,2/2,84,25.0%,76,141.2,39,7.1%,37,12.1%,61,66.7%,,0.0%,19,3.8%,,0.0%,63,1.5%
12/15/21,@,POR,W,113,103,30,23,6,4,8/13,5/8,2/2,68,20.1%,88,164.3,90,25.0%,,0.0%,68,62.5%,72,3.8%,78,16.1%,,0.0%,,0.0%
12/13/21,vs.,PHI,W,126,91,21,5,8,6,2/7,1/3,0/0,68,20.2%,21,71.4,98,35.3%,,0.0%,74,50.0%,,0.0%,97,26.1%,90,2.3%,73,2.1%
12/11/21,vs.,HOU,W,113,106,31,19,4,2,7/17,3/9,2/2,89,26.9%,48,105.6,67,14.3%,,0.0%,91,28.6%,,0.0%,57,11.1%,,0.0%,62,1.5%
12/09/21,vs.,LAL,W,108,95,31,23,3,3,9/20,5/11,0/0,87,26.0%,55,115.0,78,17.6%,58,5.1%,61,66.7%,,0.0%,62,12.0%,86,1.9%,81,2.7%
12/08/21,vs.,DAL,L,96,104,34,14,2,3,5/15,1/3,3/3,76,22.1%,31,87.5,73,15.8%,57,5.9%,69,60.0%,,0.0%,32,6.5%,,0.0%,81,2.6%
12/06/21,@,MIA,W,105,90,31,21,8,2,7/15,3/8,4/4,78,22.7%,63,123.5,59,11.8%,39,11.4%,59,71.4%,63,2.9%,92,22.2%,86,1.9%,81,2.6%
12/04/21,@,DAL,W,97,90,34,29,9,2,12/20,4/6,1/1,84,24.7%,78,145.0,59,11.8%,29,14.6%,72,58.3%,69,3.4%,82,17.4%,78,1.4%,53,1.2%
12/02/21,vs.,OKC,W,152,79,18,2,4,3,1/6,0/2,0/0,77,22.4%,8,33.3,82,20.0%,37,11.8%,95,0.0%,,0.0%,69,13.6%,94,2.9%,97,5.3%
11/30/21,@,TOR,W,98,91,33,23,7,2,8/16,5/9,2/3,72,21.0%,73,135.3,59,11.8%,15,21.6%,47,87.5%,79,4.9%,67,13.2%,80,1.5%,,0.0%
11/28/21,vs.,SAC,W,128,101,26,18,5,2,7/12,4/7,0/0,56,17.6%,79,150.0,47,9.1%,25,16.0%,59,71.4%,,0.0%,53,10.3%,81,1.6%,,0.0%
11/26/21,vs.,ATL,L,100,132,24,9,2,1,4/12,1/4,0/0,70,20.7%,22,75.0,51,10.0%,49,8.3%,54,75.0%,,0.0%,79,16.7%,89,2.2%,89,3.4%
11/24/21,vs.,TOR,L,113,126,34,20,4,1,7/11,4/6,2/2,43,15.3%,89,166.7,30,5.0%,22,17.4%,47,85.7%,,0.0%,50,10.0%,,0.0%,57,1.3%
11/22/21,@,UTA,W,119,118,34,28,4,4,12/20,4/8,0/0,79,23.2%,75,140.0,85,21.1%,43,10.3%,54,75.0%,,0.0%,41,8.3%,,0.0%,77,2.4%
11/20/21,@,MIN,L,95,138,25,21,5,0,6/12,4/7,5/6,68,20.2%,79,150.0,,0.0%,,0.0%,48,83.3%,93,8.7%,63,12.5%,,0.0%,,0.0%
11/18/21,vs.,LAC,W,120,108,29,16,5,2,7/11,2/3,0/0,57,17.7%,78,145.5,41,7.7%,48,8.7%,85,42.9%,75,4.3%,73,14.8%,85,1.8%,63,1.5%
11/15/21,vs.,HOU,W,136,102,25,12,5,3,4/9,1/5,3/3,74,21.6%,59,120.0,64,13.0%,12,24.0%,,100.0%,,0.0%,79,16.7%,,0.0%,67,1.7%
11/13/21,@,NOP,L,101,112,31,14,3,1,6/11,2/5,0/0,39,14.7%,66,127.3,26,4.2%,,0.0%,74,50.0%,68,3.3%,41,8.3%,,0.0%,,0.0%
11/12/21,vs.,PHX,L,94,119,24,9,8,1,4/13,1/4,0/0,74,21.6%,20,69.2,44,8.3%,,0.0%,74,50.0%,68,3.3%,95,25.0%,97,3.9%,,0.0%
11/10/21,vs.,CHA,L,108,118,21,2,1,0,1/10,0/7,0/0,65,19.4%,8,20.0,,0.0%,45,9.5%,,100.0%,,0.0%,19,4.0%,,0.0%,,0.0%
11/08/21,vs.,MIN,W,125,118,41,13,3,5,5/13,0/6,3/3,50,16.5%,35,92.9,74,16.1%,55,6.7%,,100.0%,62,2.8%,22,4.4%,,0.0%,50,1.1%
11/05/21,@,WAS,L,87,115,22,10,0,0,4/8,1/4,1/1,25,12.0%,63,125.0,,0.0%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
11/03/21,vs.,DEN,W,108,106,29,16,2,3,6/14,3/7,1/1,86,25.9%,54,114.3,74,16.7%,55,6.7%,74,50.0%,,0.0%,37,7.4%,,0.0%,67,1.7%
11/01/21,vs.,DEN,W,106,97,32,11,6,2,5/11,1/5,0/0,54,17.1%,36,100.0,41,7.7%,25,16.0%,69,60.0%,70,3.6%,76,15.6%,,0.0%,,0.0%
10/30/21,vs.,MIA,L,103,129,26,17,2,2,6/13,5/10,0/0,76,22.0%,69,130.8,79,18.2%,26,15.4%,,100.0%,69,3.4%,24,5.0%,,0.0%,67,1.7%
10/28/21,@,GSW,W,104,101,38,19,6,2,7/16,5/11,0/0,69,20.3%,58,118.8,54,10.5%,22,17.1%,59,71.4%,60,2.5%,63,12.5%,,0.0%,51,1.2%
10/27/21,@,POR,L,96,116,23,19,3,1,7/12,4/7,1/1,72,21.1%,86,158.3,41,7.7%,23,16.7%,59,71.4%,,0.0%,62,12.0%,88,2.1%,68,1.8%
10/24/21,@,LAL,L,118,121,31,17,5,4,7/15,2/7,1/1,59,18.2%,54,113.3,71,15.4%,55,6.5%,59,71.4%,,0.0%,70,14.3%,,0.0%,76,2.4%
10/23/21,@,LAC,W,120,114,31,19,6,2,7/15,4/10,1/2,75,21.7%,58,118.8,47,9.1%,55,6.7%,47,85.7%,,0.0%,81,17.1%,80,1.5%,,0.0%
10/20/21,vs.,CLE,W,132,121,30,22,3,3,8/16,2/6,4/4,86,25.7%,61,122.2,64,13.0%,26,15.4%,54,75.0%,69,3.4%,38,7.7%,,0.0%,81,2.6%
