Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,vs.,DAL,L,90,123,37,11,3,2,3/14,0/4,5/6,90,27.3%,20,64.7,59,11.1%,21,19.0%,66,66.7%,63,2.5%,38,7.4%,,0.0%,62,1.3%
05/12/22,@,DAL,L,86,113,39,19,8,3,6/17,0/4,7/7,99,35.3%,34,90.5,75,15.8%,12,26.7%,95,16.7%,91,6.7%,81,16.2%,77,1.3%,57,1.2%
05/10/22,vs.,DAL,W,110,80,35,28,7,2,11/20,3/7,3/4,95,30.3%,64,127.3,49,9.1%,49,8.7%,89,36.4%,71,3.3%,85,17.6%,,0.0%,82,2.6%
05/08/22,@,DAL,L,101,111,43,35,4,7,10/22,3/6,12/13,99,34.5%,65,129.6,95,30.4%,31,14.9%,86,40.0%,62,2.3%,36,7.0%,74,1.2%,,0.0%
05/06/22,@,DAL,L,94,103,40,18,2,6,6/13,4/6,2/4,89,25.9%,58,120.0,90,24.0%,15,23.8%,66,66.7%,,0.0%,25,4.9%,,0.0%,,0.0%
05/04/22,vs.,DAL,W,129,109,36,30,4,4,11/19,5/8,3/3,94,29.7%,79,150.0,75,16.0%,48,9.1%,89,36.4%,79,4.3%,48,9.4%,81,1.6%,,0.0%
05/02/22,vs.,DAL,W,121,114,38,23,9,8,7/20,1/5,8/8,98,32.8%,38,95.8,95,29.6%,63,3.5%,96,14.3%,93,7.7%,84,17.1%,78,1.4%,,0.0%
04/28/22,@,NOP,W,115,109,32,13,5,3,5/12,1/6,2/2,80,23.9%,38,100.0,66,12.5%,38,12.5%,94,20.0%,,0.0%,86,17.9%,,0.0%,,0.0%
04/19/22,vs.,NOP,L,114,125,24,31,2,1,12/19,7/11,0/0,97,32.5%,87,163.2,54,10.0%,44,10.8%,79,50.0%,75,3.8%,22,4.2%,,0.0%,,0.0%
04/17/22,vs.,NOP,W,110,99,41,25,4,8,8/19,4/8,5/6,91,27.4%,57,119.0,94,27.6%,62,4.4%,51,87.5%,,0.0%,30,5.9%,,0.0%,59,1.2%
04/08/22,@,UTA,W,111,105,38,33,4,3,13/25,2/4,5/5,95,30.2%,61,122.2,55,11.1%,60,3.8%,74,53.8%,,0.0%,45,8.9%,,0.0%,,0.0%
04/05/22,vs.,LAL,W,121,110,30,32,7,4,12/22,6/9,2/2,94,29.9%,75,139.1,79,18.2%,59,4.7%,54,75.0%,,0.0%,91,21.4%,,0.0%,59,1.4%
04/01/22,@,MEM,L,114,122,37,41,4,4,17/28,3/6,4/5,98,33.7%,77,141.4,79,18.2%,43,10.3%,72,58.8%,,0.0%,44,8.7%,,0.0%,,0.0%
03/30/22,@,GSW,W,107,103,37,22,5,2,5/21,2/8,10/12,91,28.2%,27,81.5,43,8.0%,,0.0%,69,60.0%,,0.0%,63,12.5%,,0.0%,,0.0%
03/27/22,vs.,PHI,W,114,104,35,35,2,2,13/22,3/5,6/8,97,32.5%,79,145.8,46,8.7%,37,12.0%,84,46.2%,71,3.7%,14,2.7%,,0.0%,,0.0%
03/24/22,@,DEN,W,140,130,39,49,4,10,16/25,2/5,15/17,100,40.0%,86,158.1,98,35.7%,57,5.9%,74,50.0%,,0.0%,73,14.8%,78,1.4%,90,3.5%
03/23/22,@,MIN,W,125,116,35,28,3,7,7/15,1/4,13/16,95,31.1%,70,133.3,94,28.0%,51,7.8%,91,28.6%,,0.0%,36,7.3%,,0.0%,53,1.2%
03/20/22,@,SAC,W,127,124,37,31,7,5,11/21,2/5,7/7,97,32.7%,68,129.2,89,23.8%,41,10.9%,88,36.4%,,0.0%,87,20.0%,,0.0%,52,1.2%
03/18/22,vs.,CHI,W,129,102,32,28,4,3,10/18,1/3,7/7,97,32.4%,70,133.3,67,14.3%,35,12.5%,91,30.0%,74,4.2%,41,8.3%,,0.0%,,0.0%
03/16/22,@,HOU,W,129,112,36,36,4,4,15/24,5/12,1/1,93,29.0%,79,150.0,70,14.8%,37,11.8%,84,46.7%,,0.0%,62,12.1%,79,1.4%,,0.0%
03/15/22,@,NOP,W,131,115,30,27,5,8,11/20,4/9,1/1,99,36.2%,73,135.0,99,40.0%,49,8.5%,85,45.5%,,0.0%,87,19.2%,,0.0%,86,3.1%
03/13/22,vs.,LAL,W,140,111,32,30,2,10,12/25,4/10,2/2,99,35.8%,59,120.0,94,28.6%,54,6.9%,74,50.0%,,0.0%,32,6.5%,,0.0%,96,4.9%
03/11/22,vs.,TOR,L,112,117,37,22,3,7,9/18,3/7,1/2,91,27.9%,56,115.8,94,28.0%,35,12.5%,88,33.3%,,0.0%,41,8.3%,76,1.3%,51,1.2%
03/09/22,@,MIA,W,111,90,33,23,8,9,7/12,4/7,5/5,84,25.0%,88,164.3,94,28.1%,43,10.0%,95,14.3%,71,3.7%,77,15.8%,94,3.0%,79,2.5%
02/27/22,vs.,UTA,L,114,118,40,30,7,7,12/24,4/8,2/4,99,36.3%,55,115.4,92,25.9%,44,9.8%,88,33.3%,,0.0%,91,21.2%,,0.0%,77,2.4%
02/25/22,vs.,NOP,L,102,117,37,30,3,5,10/24,2/8,8/8,100,39.9%,49,107.1,95,29.4%,37,11.9%,94,20.0%,,0.0%,43,8.6%,91,2.5%,52,1.2%
02/24/22,@,OKC,W,124,104,38,25,5,12,9/16,1/4,6/6,96,31.5%,69,131.6,99,41.4%,29,14.3%,93,22.2%,,0.0%,65,12.8%,,0.0%,99,6.7%
02/16/22,vs.,HOU,W,124,121,43,24,3,8,7/22,1/5,9/9,96,31.2%,34,92.3,94,27.6%,45,9.5%,85,42.9%,,0.0%,30,6.1%,89,2.1%,85,3.0%
02/15/22,vs.,LAC,W,103,96,36,26,3,4,11/19,3/6,1/2,91,28.0%,68,130.0,79,18.2%,23,17.0%,85,45.5%,82,5.4%,14,2.4%,78,1.4%,90,3.6%
02/12/22,vs.,ORL,W,132,105,29,26,5,5,10/23,3/8,3/3,98,34.1%,50,108.3,86,21.7%,,0.0%,69,60.0%,68,3.3%,63,12.5%,83,1.6%,,0.0%
02/10/22,vs.,MIL,W,131,107,33,17,4,7,6/19,2/8,3/3,96,31.2%,30,85.0,89,23.3%,49,8.3%,74,50.0%,70,3.6%,48,9.4%,,0.0%,56,1.3%
02/08/22,@,PHI,W,114,109,37,35,4,3,11/23,3/8,10/11,95,30.6%,63,125.0,64,13.0%,,0.0%,68,63.6%,,0.0%,53,10.3%,,0.0%,52,1.2%
02/07/22,@,CHI,W,127,124,38,38,4,5,14/21,5/8,5/6,91,28.0%,86,158.3,84,20.8%,59,4.3%,68,64.3%,,0.0%,50,10.0%,,0.0%,53,1.2%
02/05/22,@,WAS,W,95,80,30,11,7,5,5/14,1/6,0/0,81,23.6%,25,78.6,86,21.7%,56,6.1%,86,40.0%,64,2.9%,79,16.7%,,0.0%,,0.0%
02/03/22,@,ATL,L,115,124,38,32,0,3,13/27,1/8,5/7,99,36.3%,49,106.7,60,12.0%,55,6.6%,84,46.2%,,0.0%,0,0.0%,,0.0%,52,1.2%
02/01/22,vs.,BKN,W,121,111,41,35,6,2,13/23,3/8,6/7,95,30.6%,73,134.6,44,8.3%,53,7.3%,93,23.1%,69,3.4%,67,13.2%,,0.0%,50,1.1%
01/30/22,vs.,SAS,W,115,110,38,28,4,1,12/24,4/9,0/0,92,28.7%,56,116.7,26,4.2%,37,12.0%,86,41.7%,,0.0%,50,10.0%,,0.0%,51,1.1%
01/28/22,vs.,MIN,W,134,124,38,29,3,9,10/26,4/10,5/6,99,35.1%,36,100.0,99,39.1%,60,3.3%,50,80.0%,,0.0%,37,7.5%,,0.0%,51,1.1%
01/26/22,@,UTA,W,105,97,40,43,12,4,16/28,2/6,9/11,100,41.2%,73,134.4,85,21.1%,49,8.6%,92,25.0%,66,3.1%,96,25.6%,,0.0%,52,1.2%
01/24/22,vs.,UTA,W,115,109,38,33,7,3,14/34,3/12,2/3,100,39.2%,34,91.7,67,14.3%,50,8.2%,72,57.1%,79,4.9%,82,17.2%,93,2.9%,73,2.2%
01/22/22,vs.,IND,W,113,103,39,11,7,3,5/23,0/6,1/1,93,28.9%,11,47.8,51,9.7%,39,11.5%,69,60.0%,60,2.4%,70,13.9%,93,2.8%,74,2.2%
01/20/22,@,DAL,W,109,101,38,28,5,6,11/25,1/8,5/5,98,34.8%,47,103.7,95,30.0%,54,7.0%,68,63.6%,,0.0%,70,13.9%,,0.0%,,0.0%
01/17/22,@,SAS,W,121,107,35,48,5,6,18/33,5/13,7/8,100,42.6%,70,133.3,96,33.3%,,0.0%,74,50.0%,,0.0%,73,14.7%,,0.0%,90,3.7%
01/16/22,@,DET,W,135,108,30,30,4,4,11/18,1/5,7/10,98,34.0%,69,130.4,78,17.4%,60,4.1%,92,27.3%,75,4.3%,66,13.0%,,0.0%,,0.0%
01/14/22,@,IND,W,112,94,35,35,4,3,11/25,6/13,7/8,97,32.9%,63,125.0,74,16.7%,53,7.1%,68,63.6%,61,2.7%,26,5.4%,79,1.4%,,0.0%
01/11/22,@,TOR,W,99,95,36,16,5,3,4/13,2/7,6/8,84,25.0%,35,94.1,67,14.3%,28,15.0%,54,75.0%,66,3.1%,54,10.5%,,0.0%,54,1.2%
01/08/22,vs.,MIA,L,100,123,33,26,4,3,5/15,3/5,13/13,100,38.2%,58,118.2,78,17.6%,20,18.2%,86,40.0%,,0.0%,53,10.3%,,0.0%,83,2.8%
01/06/22,vs.,LAC,W,106,89,33,11,10,4,5/22,0/7,1/2,98,33.8%,11,47.8,79,18.2%,52,7.4%,95,0.0%,87,6.7%,90,20.6%,,0.0%,,0.0%
01/04/22,@,NOP,W,123,110,32,33,9,4,12/24,3/6,6/6,99,36.8%,66,126.9,79,18.2%,60,3.8%,86,41.7%,73,4.0%,93,22.9%,,0.0%,,0.0%
01/02/22,@,CHA,W,133,99,29,24,7,3,9/19,3/9,3/3,95,31.0%,59,120.0,61,12.5%,32,13.6%,73,55.6%,,0.0%,94,24.1%,,0.0%,,0.0%
12/31/21,@,BOS,L,108,123,38,22,6,4,7/26,1/5,7/7,98,34.4%,24,75.9,74,16.7%,56,6.2%,91,28.6%,,0.0%,84,18.2%,,0.0%,73,2.2%
12/29/21,vs.,OKC,W,115,97,36,38,7,5,12/24,6/12,8/10,98,33.3%,69,131.0,93,26.3%,60,3.4%,72,58.3%,66,3.1%,67,13.3%,92,2.6%,,0.0%
12/27/21,vs.,MEM,L,113,114,37,30,2,4,10/20,3/6,7/9,93,29.1%,63,125.0,81,19.0%,37,12.0%,50,80.0%,,0.0%,30,6.2%,92,2.7%,76,2.3%
12/25/21,vs.,GSW,L,107,116,40,13,3,3,5/19,1/5,2/2,87,25.9%,20,68.4,55,11.1%,46,9.3%,86,40.0%,61,2.6%,26,5.4%,,0.0%,77,2.4%
12/23/21,vs.,OKC,W,113,101,35,30,7,7,12/23,4/7,2/2,96,31.5%,69,130.4,95,29.2%,52,7.5%,88,33.3%,84,5.9%,63,12.2%,78,1.4%,77,2.4%
12/21/21,@,LAL,W,108,90,32,24,9,7,8/16,6/11,2/2,97,31.9%,79,150.0,97,35.0%,15,21.7%,88,37.5%,67,3.2%,92,21.6%,,0.0%,59,1.4%
12/19/21,vs.,CHA,W,137,106,26,16,6,5,6/15,4/8,0/0,90,27.4%,49,106.7,82,19.2%,57,5.9%,74,50.0%,,0.0%,70,14.3%,,0.0%,65,1.6%
11/30/21,vs.,GSW,W,104,96,15,10,2,1,4/9,0/2,2/2,92,28.4%,36,100.0,47,9.1%,45,9.5%,74,50.0%,86,6.2%,38,7.7%,,0.0%,,0.0%
11/27/21,@,BKN,W,113,107,32,30,1,4,9/17,4/5,8/8,98,33.1%,77,142.9,82,20.0%,37,12.2%,88,33.3%,,0.0%,22,4.5%,,0.0%,58,1.4%
11/26/21,@,NYK,W,118,97,35,32,1,3,14/27,4/9,0/0,99,37.5%,58,118.5,66,13.6%,42,10.5%,85,42.9%,,0.0%,14,2.4%,77,1.4%,56,1.3%
11/24/21,@,CLE,W,120,115,39,35,4,3,14/21,2/3,5/6,91,28.0%,79,145.8,66,13.6%,26,15.4%,74,50.0%,64,2.9%,37,7.5%,,0.0%,50,1.1%
11/22/21,@,SAS,W,115,111,34,23,3,4,7/17,4/7,5/6,97,32.7%,55,115.0,74,16.7%,25,16.3%,85,42.9%,70,3.6%,30,6.2%,,0.0%,,0.0%
11/21/21,vs.,DEN,W,126,97,28,17,4,7,7/12,2/5,1/1,84,24.6%,77,141.7,98,36.8%,55,6.7%,85,42.9%,,0.0%,62,12.1%,,0.0%,66,1.6%
