Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,NOP,L,103,113,37,23,2,3,7/15,7/13,2/2,58,18.3%,76,143.8,73,15.0%,56,6.7%,,100.0%,,0.0%,33,6.5%,,0.0%,,0.0%
04/10/22,@,DAL,L,120,130,32,15,4,3,4/11,3/8,4/4,72,21.1%,55,115.4,73,15.8%,32,13.3%,54,75.0%,66,3.1%,53,10.3%,,0.0%,59,1.4%
04/07/22,@,MIN,L,121,127,30,18,2,0,6/14,4/8,2/2,65,19.6%,59,120.0,,0.0%,52,7.4%,48,83.3%,,0.0%,32,6.5%,,0.0%,84,2.9%
04/05/22,@,DEN,W,116,97,34,20,8,4,7/14,4/6,2/2,69,20.3%,70,133.3,74,16.7%,56,6.2%,72,57.1%,69,3.4%,79,16.3%,77,1.3%,55,1.3%
04/03/22,vs.,POR,W,113,92,30,8,6,5,2/7,1/5,3/4,47,15.9%,32,88.9,89,23.8%,,0.0%,,100.0%,,0.0%,91,21.4%,,0.0%,98,6.1%
04/01/22,vs.,POR,W,130,111,27,22,4,3,9/15,4/8,0/0,76,22.1%,79,146.7,70,15.0%,52,7.4%,46,88.9%,78,4.8%,57,11.1%,,0.0%,,0.0%
03/30/22,vs.,MEM,L,111,112,34,19,1,1,7/14,3/8,2/2,52,16.9%,66,126.7,30,5.0%,,0.0%,,100.0%,,0.0%,15,3.1%,,0.0%,59,1.4%
03/28/22,@,HOU,W,123,120,34,9,8,2,3/13,0/3,3/3,52,16.9%,17,64.3,37,6.5%,55,6.7%,61,66.7%,92,8.1%,63,12.2%,,0.0%,51,1.1%
03/23/22,@,POR,W,133,96,24,16,4,5,4/10,4/5,4/4,65,19.5%,70,133.3,88,22.7%,,0.0%,,100.0%,74,4.2%,50,9.7%,,0.0%,86,3.1%
03/20/22,@,GSW,W,110,108,33,9,6,1,2/11,2/7,3/4,56,17.5%,22,75.0,29,4.8%,28,14.8%,,100.0%,79,4.9%,56,10.8%,,0.0%,92,3.9%
03/18/22,vs.,NOP,L,91,124,31,18,2,1,6/12,3/6,3/4,52,16.9%,67,128.6,37,6.7%,,0.0%,48,83.3%,,0.0%,35,7.1%,,0.0%,59,1.4%
03/16/22,vs.,OKC,W,122,120,32,3,1,3,1/6,1/4,0/0,12,8.9%,11,50.0,51,10.0%,,0.0%,,100.0%,,0.0%,19,4.0%,,0.0%,,0.0%
03/14/22,vs.,MIN,L,139,149,31,17,3,3,6/12,2/6,3/3,59,18.1%,69,130.8,55,10.7%,31,13.8%,61,66.7%,72,3.8%,40,8.0%,99,4.8%,79,2.5%
03/12/22,vs.,IND,L,108,119,37,19,7,3,8/20,3/6,0/0,74,21.5%,36,95.0,64,13.0%,58,5.0%,68,62.5%,77,4.4%,70,13.9%,,0.0%,50,1.1%
