Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/13/22,@,GSW,L,96,110,39,30,4,1,11/28,7/15,1/2,93,29.0%,46,103.4,40,6.7%,63,3.7%,74,63.6%,74,3.7%,23,4.3%,74,1.2%,88,3.2%
05/11/22,vs.,GSW,W,134,95,24,12,4,4,5/13,1/4,1/2,69,20.9%,30,85.7,76,16.7%,,0.0%,54,80.0%,71,3.3%,71,13.6%,,0.0%,67,1.5%
05/09/22,@,GSW,L,98,101,39,12,5,8,5/19,2/9,0/0,91,27.4%,20,63.2,94,27.6%,29,15.7%,75,60.0%,,0.0%,61,11.6%,76,1.3%,,0.0%
05/03/22,vs.,GSW,W,106,101,3,0,0,0,0/3,0/1,0/0,,42.9%,,0.0,,0.0%,,0.0%,,,,0.0%,,0.0%,,0.0%,,14.3%
05/01/22,vs.,GSW,L,116,117,30,8,2,3,3/13,2/8,0/0,60,18.4%,19,61.5,66,12.5%,53,7.1%,,100.0%,,0.0%,31,6.1%,,0.0%,62,1.3%
04/29/22,@,MIN,W,114,106,32,23,3,2,9/19,5/6,0/0,81,24.0%,59,121.1,57,10.5%,59,5.6%,66,66.7%,92,7.4%,20,3.6%,,0.0%,63,1.3%
04/26/22,vs.,MIN,W,111,109,36,8,4,4,3/18,1/10,1/2,76,22.7%,13,42.1,74,15.4%,49,8.9%,90,33.3%,62,2.3%,46,8.8%,,0.0%,52,1.0%
04/23/22,@,MIN,L,118,119,34,24,2,1,10/20,3/4,1/2,92,28.2%,52,114.3,33,5.0%,22,18.2%,65,70.0%,74,3.4%,20,3.6%,82,1.6%,61,1.3%
04/21/22,@,MIN,W,104,95,37,11,4,2,4/14,1/6,2/4,72,21.5%,24,73.3,52,9.5%,27,16.2%,94,25.0%,67,2.9%,36,7.1%,,0.0%,56,1.2%
04/19/22,vs.,MIN,W,124,96,26,9,1,4,3/11,0/5,3/3,86,25.4%,25,75.0,82,19.0%,22,18.8%,66,66.7%,,0.0%,21,3.8%,,0.0%,68,1.6%
04/16/22,vs.,MIN,L,117,130,35,24,1,1,7/14,3/4,7/10,75,22.4%,63,126.3,32,4.8%,28,15.8%,,100.0%,,0.0%,17,3.0%,,0.0%,,0.0%
04/09/22,vs.,NOP,W,141,114,24,23,3,5,9/16,3/5,2/2,86,25.8%,78,143.8,94,27.8%,,0.0%,61,66.7%,,0.0%,55,10.7%,,0.0%,,0.0%
04/07/22,@,DEN,L,109,122,26,12,1,2,6/15,0/2,0/0,93,28.9%,26,80.0,55,11.1%,37,12.1%,74,50.0%,,0.0%,27,5.6%,88,2.0%,68,1.8%
04/01/22,vs.,PHX,W,122,114,35,30,4,7,11/28,1/5,7/7,99,35.9%,36,100.0,96,30.4%,56,6.1%,85,45.5%,79,4.9%,18,3.7%,,0.0%,,0.0%
03/30/22,@,SAS,W,112,111,31,21,6,4,9/17,2/6,1/4,97,32.1%,52,110.5,79,18.2%,48,8.9%,95,11.1%,88,7.1%,73,14.8%,,0.0%,,0.0%
03/28/22,vs.,GSW,W,123,95,22,21,2,0,9/15,1/3,2/4,93,29.5%,69,131.3,,0.0%,37,12.1%,88,33.3%,73,4.0%,21,4.3%,,0.0%,69,1.8%
03/26/22,vs.,MIL,W,127,102,24,19,3,1,9/17,0/3,1/2,87,26.2%,52,111.8,32,5.3%,56,6.1%,85,44.4%,71,3.7%,37,7.4%,,0.0%,,0.0%
03/23/22,vs.,BKN,W,132,120,34,21,3,2,7/21,2/7,5/5,89,26.8%,31,87.5,44,8.3%,,0.0%,59,71.4%,78,4.7%,18,3.7%,80,1.5%,52,1.2%
03/20/22,@,HOU,W,122,98,25,20,4,1,8/18,2/5,2/2,97,32.5%,48,105.3,36,6.2%,58,5.1%,92,25.0%,72,3.8%,60,11.5%,,0.0%,96,5.0%
03/18/22,@,ATL,L,105,120,26,11,4,1,5/13,1/4,0/0,69,20.3%,29,84.6,34,5.9%,51,7.7%,69,60.0%,71,3.7%,50,10.0%,86,1.9%,64,1.6%
03/15/22,@,IND,W,135,102,24,10,1,4,3/11,0/4,4/6,82,23.9%,21,71.4,66,13.8%,56,6.2%,61,66.7%,,0.0%,15,3.1%,85,1.8%,62,1.5%
03/13/22,@,OKC,W,125,118,26,15,2,4,6/14,1/3,2/2,87,26.2%,36,100.0,82,20.0%,57,5.9%,88,33.3%,88,6.9%,0,0.0%,,0.0%,63,1.5%
01/08/22,@,LAC,W,123,108,7,2,1,0,1/3,0/0,0/0,84,25.0%,11,50.0,,0.0%,,0.0%,95,0.0%,97,12.5%,0,0.0%,,0.0%,98,6.2%
