Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/20/22,vs.,PHX,L,124,127,31,18,12,6,5/8,1/1,7/9,67,20.3%,84,163.6,95,33.3%,40,14.3%,46,80.0%,44,6.2%,95,38.5%,,0.0%,86,2.9%
03/18/22,vs.,BOS,L,97,126,37,30,20,5,12/20,1/1,5/7,94,30.4%,61,130.4,92,27.8%,37,15.7%,59,66.7%,90,18.2%,89,33.3%,51,1.4%,59,1.2%
03/16/22,vs.,MIL,L,126,135,39,22,4,7,6/13,0/2,10/13,84,25.0%,47,115.8,90,25.9%,46,12.8%,59,66.7%,25,2.6%,20,9.7%,50,1.3%,57,1.1%
03/14/22,vs.,CHI,W,112,103,38,22,7,4,6/15,0/1,10/10,89,27.0%,42,110.0,73,16.7%,33,17.0%,44,83.3%,,0.0%,50,17.9%,,0.0%,58,1.1%
03/07/22,vs.,NYK,L,115,131,37,19,13,5,6/13,0/2,7/9,84,25.0%,43,111.8,84,20.8%,40,14.6%,59,66.7%,44,6.1%,80,27.8%,,0.0%,,0.0%
03/05/22,@,DAL,L,113,114,32,15,10,6,7/10,0/0,1/5,75,22.2%,55,125.0,91,27.3%,16,25.0%,42,85.7%,48,6.9%,80,27.6%,,0.0%,,0.0%
03/03/22,@,SAS,W,115,112,28,12,12,6,5/8,0/0,2/2,73,21.6%,61,133.3,98,40.0%,14,27.6%,70,60.0%,28,3.2%,93,35.5%,,0.0%,,0.0%
03/02/22,@,NOP,L,95,125,33,15,14,7,6/16,0/2,3/3,93,29.9%,24,88.2,97,36.8%,45,13.0%,94,16.7%,91,18.9%,81,28.0%,,0.0%,61,1.3%
02/28/22,@,OKC,W,131,110,31,14,16,7,7/8,0/0,0/0,82,24.0%,88,175.0,91,26.9%,4,43.2%,93,28.6%,94,21.7%,94,36.0%,,0.0%,61,1.3%
02/26/22,@,DEN,L,110,115,33,14,16,7,6/14,0/2,2/5,82,24.0%,23,87.5,96,35.0%,64,5.4%,59,66.7%,76,12.9%,92,34.4%,56,1.6%,61,1.3%
02/24/22,vs.,DEN,L,110,128,37,33,14,5,15/23,2/3,1/1,91,28.5%,72,143.5,86,22.7%,36,16.3%,59,66.7%,76,12.9%,94,37.0%,52,1.4%,58,1.2%
02/16/22,@,CHI,L,118,125,37,22,12,8,10/15,0/0,2/2,82,24.1%,67,137.5,94,30.8%,40,14.6%,75,50.0%,86,16.1%,66,22.6%,,0.0%,79,2.4%
02/14/22,@,BKN,L,85,109,26,9,9,2,4/11,0/2,1/3,82,24.2%,16,75.0,62,12.5%,25,20.0%,75,50.0%,29,3.4%,94,36.4%,63,2.1%,68,1.6%
02/12/22,@,WAS,W,123,110,34,16,11,7,7/9,0/0,2/2,61,18.8%,82,160.0,94,30.4%,37,15.4%,57,71.4%,36,4.8%,72,25.0%,,0.0%,,0.0%
02/09/22,vs.,MIN,W,132,119,33,22,14,5,10/19,0/1,2/3,92,29.3%,42,110.0,87,23.8%,33,16.7%,75,50.0%,86,16.1%,81,28.1%,,0.0%,59,1.2%
02/06/22,@,CLE,L,85,98,26,9,11,4,4/8,0/0,1/2,83,24.6%,27,100.0,98,40.0%,12,28.6%,75,50.0%,68,11.1%,85,30.4%,,0.0%,,0.0%
01/29/22,@,DAL,L,105,132,29,21,15,8,8/10,1/2,4/5,86,25.8%,88,175.0,99,47.1%,29,18.2%,69,62.5%,68,11.1%,97,42.3%,55,1.6%,,0.0%
01/28/22,@,OKC,W,113,110,44,24,18,10,9/16,0/2,6/9,87,26.2%,50,120.0,97,35.7%,32,17.9%,86,44.4%,89,17.4%,72,24.4%,67,2.4%,73,1.9%
01/19/22,@,LAL,W,111,104,35,20,12,10,9/12,2/2,0/0,56,17.9%,85,166.7,98,41.7%,62,6.9%,50,77.8%,78,13.5%,56,19.4%,52,1.4%,,0.0%
01/17/22,@,LAC,L,133,139,34,19,11,7,7/14,0/1,5/7,83,24.4%,43,111.8,87,23.3%,43,14.0%,73,57.1%,82,14.7%,56,20.0%,73,2.9%,,0.0%
01/14/22,vs.,PHX,L,94,112,37,14,14,6,4/10,1/3,5/6,59,18.4%,40,107.7,86,23.1%,46,12.5%,,100.0%,,0.0%,95,38.2%,,0.0%,58,1.1%
01/12/22,vs.,BOS,L,100,119,32,17,6,6,7/11,0/2,3/5,67,20.1%,61,130.8,95,33.3%,62,6.9%,57,71.4%,42,5.9%,40,15.4%,,0.0%,84,2.8%
01/10/22,@,BOS,L,98,101,45,11,23,10,3/12,0/0,5/6,76,22.3%,16,73.3,97,37.0%,32,17.4%,59,66.7%,86,16.3%,94,36.6%,,0.0%,57,1.0%
01/08/22,vs.,UTA,W,125,113,38,42,6,3,18/22,3/4,3/4,81,23.8%,91,182.6,73,15.8%,37,15.4%,41,88.9%,30,3.6%,34,13.9%,51,1.4%,59,1.2%
01/05/22,vs.,BKN,L,121,129,38,32,12,10,10/14,1/1,11/13,90,27.8%,87,168.4,99,43.5%,25,20.4%,41,90.0%,42,5.7%,86,31.0%,,0.0%,,0.0%
01/04/22,@,NYK,L,94,104,39,15,8,4,5/9,0/3,5/12,71,21.2%,27,100.0,80,19.0%,33,16.7%,46,80.0%,25,2.5%,71,24.1%,,0.0%,,0.0%
01/02/22,@,CLE,L,104,108,39,32,13,7,10/16,3/4,9/10,91,28.1%,79,152.4,95,33.3%,48,12.0%,75,50.0%,,0.0%,77,26.2%,51,1.3%,,0.0%
12/31/21,vs.,CHI,L,106,108,40,24,14,6,8/14,1/2,7/8,66,20.1%,70,141.2,86,23.1%,40,14.6%,69,62.5%,70,11.4%,66,22.5%,68,2.5%,57,1.0%
12/29/21,vs.,CHA,L,108,116,37,15,17,7,3/9,1/5,8/14,90,27.8%,26,93.8,93,29.2%,19,24.0%,89,33.3%,38,5.1%,97,41.9%,52,1.4%,77,2.2%
12/26/21,@,CHI,L,105,113,35,14,16,5,5/17,0/1,4/6,88,26.8%,15,70.0,80,19.2%,65,4.5%,70,60.0%,94,21.6%,85,30.4%,,0.0%,80,2.4%
12/21/21,@,MIA,L,96,125,28,12,4,4,4/11,0/2,4/5,76,22.4%,26,92.3,88,25.0%,43,13.3%,,100.0%,,0.0%,38,14.8%,,0.0%,,0.0%
12/16/21,vs.,DET,W,122,113,31,12,9,6,5/9,0/1,2/2,67,20.3%,50,120.0,92,28.6%,23,21.4%,46,80.0%,,0.0%,88,32.1%,,0.0%,,0.0%
