Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,DAL,L,96,98,39,23,8,9,9/17,2/7,3/4,93,33.5%,66,121.1,97,42.9%,26,17.5%,90,0.0%,63,2.8%,88,18.9%,80,1.5%,,0.0%
04/25/22,@,DAL,L,77,102,32,9,2,1,4/15,0/7,1/1,87,29.2%,17,60.0,27,10.0%,16,21.1%,82,25.0%,,0.0%,44,8.0%,,0.0%,57,1.5%
04/23/22,vs.,DAL,W,100,99,38,23,6,7,7/21,2/10,7/9,95,34.8%,40,92.0,94,38.9%,66,3.5%,81,28.6%,63,2.8%,72,14.3%,,0.0%,72,2.4%
04/21/22,vs.,DAL,L,118,126,39,32,2,6,10/21,1/8,11/12,98,38.6%,67,123.1,69,25.0%,59,6.6%,90,10.0%,,0.0%,32,5.9%,78,1.4%,,0.0%
04/18/22,@,DAL,L,104,110,41,34,2,5,13/30,3/10,5/5,98,38.5%,52,106.3,69,25.0%,66,3.0%,80,30.8%,81,5.3%,0,0.0%,,0.0%,,0.0%
04/16/22,@,DAL,W,99,93,42,32,6,6,10/29,2/6,10/11,99,41.6%,40,91.4,68,24.0%,56,7.6%,80,30.0%,80,5.1%,54,10.0%,77,1.4%,50,1.1%
04/08/22,vs.,PHX,L,105,111,35,18,7,5,7/21,1/4,3/3,83,28.0%,29,81.8,78,29.4%,68,4.3%,49,57.1%,65,2.4%,92,20.7%,,0.0%,50,1.2%
04/05/22,vs.,MEM,W,121,115,41,20,9,5,6/24,1/9,7/8,89,30.1%,22,71.4,55,20.0%,69,3.2%,86,16.7%,65,2.2%,81,16.3%,,0.0%,47,1.0%
04/02/22,@,GSW,L,107,111,33,26,3,3,8/19,4/10,6/7,87,29.5%,61,118.2,60,21.4%,68,4.3%,71,37.5%,,0.0%,61,11.5%,,0.0%,76,2.6%
03/31/22,vs.,LAL,W,122,109,32,29,1,7,11/22,4/10,3/4,97,36.0%,64,120.8,83,31.8%,69,3.7%,80,27.3%,,0.0%,17,3.2%,,0.0%,55,1.3%
