Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,PHX,W,116,109,27,19,4,3,5/11,4/7,5/7,80,27.1%,76,135.7,53,18.8%,39,12.5%,47,60.0%,,0.0%,56,10.3%,,0.0%,63,1.7%
04/09/22,@,LAC,L,98,117,18,8,4,3,3/7,1/3,1/2,87,29.5%,39,100.0,79,30.0%,10,26.1%,38,66.7%,,0.0%,76,15.0%,,0.0%,76,2.6%
04/05/22,vs.,NOP,L,109,123,29,6,3,2,2/8,2/7,0/0,43,19.4%,24,75.0,22,8.3%,4,33.3%,,100.0%,,0.0%,64,12.0%,,0.0%,62,1.6%
04/03/22,vs.,GSW,L,90,109,30,14,4,4,4/13,2/9,4/4,74,25.4%,39,100.0,66,23.5%,41,12.1%,33,75.0%,,0.0%,81,16.7%,,0.0%,83,3.1%
04/01/22,@,HOU,W,122,117,30,19,9,9,5/10,3/6,6/6,74,25.4%,83,146.2,89,37.5%,45,11.1%,47,60.0%,79,4.3%,94,21.9%,96,3.2%,92,4.2%
03/30/22,@,HOU,W,121,118,29,8,8,2,3/8,2/4,0/0,20,14.7%,39,100.0,24,8.7%,9,27.3%,38,66.7%,71,3.2%,89,20.0%,87,1.7%,78,2.7%
03/28/22,@,MIA,L,100,123,32,12,3,5,4/12,4/9,0/0,55,21.5%,39,100.0,59,20.8%,38,12.9%,52,50.0%,73,3.4%,38,7.4%,,0.0%,91,4.2%
03/26/22,@,ORL,W,114,110,32,16,8,0,6/10,3/7,1/2,30,16.9%,82,145.5,,0.0%,26,16.7%,72,33.3%,94,9.1%,56,10.3%,,0.0%,57,1.4%
03/23/22,@,IND,W,110,109,31,11,6,8,3/11,2/7,3/5,78,26.5%,32,84.6,79,29.6%,44,11.4%,,100.0%,94,9.1%,62,11.8%,,0.0%,,0.0%
03/20/22,vs.,PHX,L,124,127,29,13,1,3,4/10,3/5,2/2,61,22.7%,61,118.2,46,16.7%,8,27.6%,,100.0%,,0.0%,20,4.0%,,0.0%,94,4.7%
03/18/22,vs.,BOS,L,97,126,30,3,2,8,0/6,0/5,3/4,43,19.4%,10,42.9,87,34.8%,29,15.4%,,,,0.0%,39,7.7%,,0.0%,,0.0%
03/16/22,vs.,MIL,L,126,135,30,19,4,1,7/14,4/8,1/1,35,17.8%,76,135.7,14,4.2%,58,7.7%,37,71.4%,73,3.4%,68,13.0%,,0.0%,91,4.1%
03/14/22,vs.,CHI,W,112,103,35,15,7,4,4/9,3/5,4/4,23,15.2%,77,136.4,54,19.0%,55,8.3%,,100.0%,72,3.3%,81,16.7%,,0.0%,53,1.3%
03/12/22,@,UTA,L,125,134,17,3,3,3,1/4,1/3,0/0,10,11.9%,24,75.0,46,16.7%,,0.0%,,100.0%,84,5.3%,78,15.4%,,0.0%,,0.0%
03/09/22,vs.,DEN,L,100,106,12,0,0,0,0/5,0/3,0/0,71,25.0%,1,0.0,,0.0%,26,16.7%,,,,0.0%,0,0.0%,99,4.8%,,0.0%
03/07/22,vs.,NYK,L,115,131,27,13,3,4,3/6,3/6,4/4,31,17.0%,90,162.5,62,22.2%,47,10.5%,,100.0%,,0.0%,76,15.0%,,0.0%,65,1.8%
03/05/22,@,DAL,L,113,114,34,10,8,3,3/10,3/6,1/1,21,14.8%,39,100.0,32,11.5%,26,16.7%,,100.0%,67,2.6%,94,22.6%,84,1.5%,51,1.2%
03/03/22,@,SAS,W,115,112,29,11,6,3,3/9,2/6,3/4,45,19.9%,39,100.0,39,14.3%,32,14.8%,38,66.7%,93,8.0%,81,16.7%,,0.0%,81,2.9%
03/02/22,@,NOP,L,95,125,25,7,5,4,3/9,1/5,0/0,41,19.1%,26,77.8,73,26.7%,50,9.5%,,100.0%,76,3.8%,81,16.7%,,0.0%,99,7.3%
02/28/22,@,OKC,W,131,110,22,14,5,4,5/7,4/6,0/0,36,17.9%,96,200.0,55,20.0%,17,21.1%,47,60.0%,86,5.9%,88,19.0%,,0.0%,66,1.9%
02/26/22,@,DEN,L,110,115,18,1,2,0,0/3,0/2,1/2,6,10.0%,7,25.0,,0.0%,,0.0%,,,81,4.8%,33,6.7%,,0.0%,,0.0%
02/24/22,vs.,DEN,L,110,128,21,8,2,2,3/7,2/6,0/0,47,20.2%,56,114.3,37,13.3%,6,31.6%,,100.0%,,0.0%,65,12.5%,,0.0%,,0.0%
02/16/22,@,CHI,L,118,125,29,9,3,5,2/8,1/5,4/4,48,20.3%,36,90.0,72,26.3%,58,7.7%,52,50.0%,74,3.6%,36,7.1%,,0.0%,60,1.6%
02/14/22,@,BKN,L,85,109,27,12,8,2,4/11,2/6,2/2,49,20.5%,39,100.0,33,11.8%,59,7.4%,80,25.0%,,0.0%,99,32.0%,,0.0%,99,7.6%
02/12/22,@,WAS,W,123,110,19,7,2,5,2/9,1/7,2/2,71,25.0%,22,70.0,78,29.4%,,0.0%,,100.0%,86,5.9%,24,5.0%,,0.0%,70,2.2%
02/08/22,@,LAL,W,131,116,20,8,3,3,3/7,1/4,1/2,52,21.0%,39,100.0,50,17.6%,21,19.0%,38,66.7%,96,10.0%,29,5.9%,,0.0%,68,2.0%
02/06/22,@,LAC,W,137,113,18,3,3,1,1/3,0/2,1/2,26,15.9%,24,75.0,19,7.1%,2,42.9%,,100.0%,,0.0%,71,13.6%,,0.0%,,0.0%
02/05/22,@,POR,W,137,108,19,10,2,1,4/9,2/6,0/0,28,16.7%,53,111.1,27,10.0%,,0.0%,,100.0%,,0.0%,70,13.3%,,0.0%,,0.0%
02/01/22,vs.,WAS,W,112,98,20,7,2,2,3/5,1/2,0/0,22,15.1%,79,140.0,43,15.4%,29,15.4%,72,33.3%,79,4.3%,31,6.2%,,0.0%,73,2.3%
01/30/22,vs.,DEN,L,100,136,13,7,2,0,2/3,1/2,2/2,23,15.4%,93,175.0,,0.0%,10,25.0%,,100.0%,,0.0%,89,20.0%,,0.0%,,0.0%
01/28/22,vs.,NYK,W,123,108,24,4,1,3,2/5,0/2,0/0,9,11.0%,27,80.0,42,15.0%,29,15.4%,,100.0%,,0.0%,26,5.3%,,0.0%,63,1.7%
01/26/22,@,CLE,L,99,115,27,9,5,2,4/11,1/5,0/0,70,24.6%,29,81.8,33,11.8%,9,26.7%,52,50.0%,91,7.4%,65,12.5%,,0.0%,85,3.3%
01/22/22,vs.,SAC,W,133,127,25,20,3,2,6/10,3/5,5/6,61,22.8%,87,153.8,33,11.8%,,0.0%,72,33.3%,78,4.2%,53,10.0%,,0.0%,64,1.8%
