Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/26/22,@,GSW,L,110,120,39,13,4,2,6/10,1/4,0/0,28,11.9%,68,130.0,45,8.0%,47,10.5%,49,83.3%,53,2.9%,23,7.7%,68,1.2%,79,2.5%
05/24/22,vs.,GSW,W,119,109,39,23,6,2,9/13,4/7,1/2,47,15.8%,88,164.3,43,7.7%,24,16.0%,,100.0%,,0.0%,72,17.1%,,0.0%,,0.0%
05/22/22,vs.,GSW,L,100,109,42,9,4,3,3/7,2/5,1/2,22,10.5%,50,112.5,63,13.0%,45,11.1%,,100.0%,71,5.3%,8,2.6%,,0.0%,,0.0%
05/20/22,@,GSW,L,117,126,42,10,8,2,3/6,3/6,1/4,22,10.4%,63,125.0,38,6.5%,14,21.1%,,100.0%,75,6.1%,65,15.2%,69,1.3%,,0.0%
05/18/22,@,GSW,L,87,112,34,5,7,0,2/6,1/3,0/0,17,9.6%,24,83.3,,0.0%,7,26.7%,78,50.0%,95,12.8%,12,4.0%,,0.0%,,0.0%
05/15/22,@,PHX,W,123,90,29,5,5,4,1/4,1/3,2/2,33,12.7%,35,100.0,67,14.8%,37,13.3%,,100.0%,,0.0%,49,12.5%,,0.0%,88,3.4%
05/12/22,vs.,PHX,W,113,86,25,4,5,1,1/4,1/3,1/2,16,9.4%,22,80.0,31,4.8%,,0.0%,,100.0%,66,4.5%,78,19.0%,,0.0%,70,1.9%
05/10/22,@,PHX,L,80,110,37,8,3,2,2/6,2/5,2/2,28,12.0%,52,114.3,51,9.5%,12,22.2%,,100.0%,76,6.2%,9,3.4%,,0.0%,,0.0%
05/08/22,vs.,PHX,W,111,101,38,24,8,1,8/13,8/12,0/0,27,11.4%,93,184.6,29,4.2%,,0.0%,,100.0%,96,14.3%,25,7.9%,,0.0%,58,1.2%
05/06/22,vs.,PHX,W,103,94,41,14,4,0,5/15,4/11,0/0,50,16.3%,31,93.3,,0.0%,36,13.8%,,100.0%,67,4.7%,16,6.1%,,0.0%,88,3.4%
05/04/22,@,PHX,L,109,129,20,2,1,1,1/2,0/0,0/0,3,4.9%,35,100.0,41,7.1%,,0.0%,,100.0%,,0.0%,33,9.1%,85,2.5%,,0.0%
05/02/22,@,PHX,L,114,121,40,15,6,0,5/10,2/6,3/4,37,13.6%,63,125.0,,0.0%,54,8.3%,88,40.0%,85,8.3%,25,7.9%,,0.0%,56,1.1%
04/28/22,@,UTA,W,98,96,46,18,10,5,7/13,4/9,0/0,37,13.9%,74,138.5,72,17.2%,,0.0%,47,85.7%,69,5.0%,69,16.3%,,0.0%,,0.0%
04/25/22,vs.,UTA,W,102,77,40,13,5,4,4/11,3/7,2/2,50,16.7%,47,108.3,67,14.8%,36,13.8%,54,75.0%,84,7.9%,13,4.8%,,0.0%,56,1.1%
04/23/22,@,UTA,L,99,100,40,11,4,3,4/7,3/6,0/0,19,9.9%,86,157.1,59,11.5%,40,12.5%,54,75.0%,53,2.9%,23,7.7%,69,1.3%,59,1.2%
04/21/22,@,UTA,W,126,118,47,14,8,2,6/12,2/7,0/0,26,11.3%,54,116.7,36,5.9%,53,8.7%,49,83.3%,46,2.4%,91,23.3%,,0.0%,92,3.9%
04/18/22,vs.,UTA,W,110,104,42,9,6,2,3/11,3/9,0/0,36,13.1%,23,81.8,37,6.2%,,0.0%,,100.0%,,0.0%,58,14.3%,69,1.2%,,0.0%
04/16/22,vs.,UTA,L,93,99,44,14,5,1,4/7,2/5,4/4,10,8.3%,86,155.6,31,4.8%,,0.0%,,100.0%,,0.0%,36,9.5%,85,2.4%,54,1.1%
04/10/22,vs.,SAS,W,130,120,27,16,3,1,6/7,4/5,0/0,5,7.0%,98,228.6,29,4.8%,,0.0%,,100.0%,,0.0%,35,9.4%,,0.0%,63,1.6%
04/08/22,vs.,POR,W,128,78,24,15,7,1,5/7,5/7,0/0,19,10.8%,98,214.3,31,5.0%,,0.0%,47,80.0%,96,14.3%,79,19.2%,83,2.3%,91,3.9%
04/06/22,@,DET,W,131,113,36,13,3,3,5/7,3/5,0/0,12,9.2%,94,185.7,51,10.0%,31,14.3%,,100.0%,,0.0%,9,2.5%,,0.0%,56,1.3%
04/03/22,@,MIL,W,118,112,41,11,1,6,4/9,1/6,2/2,28,12.8%,49,110.0,80,20.0%,,0.0%,,100.0%,,0.0%,9,2.1%,66,1.1%,75,2.3%
04/01/22,@,WAS,L,103,135,27,8,2,1,3/6,2/5,0/0,15,10.0%,69,133.3,39,7.1%,25,16.7%,,100.0%,63,4.2%,13,4.3%,,0.0%,65,1.7%
03/30/22,@,CLE,W,120,112,37,28,2,3,10/16,6/12,2/3,61,18.5%,88,164.7,56,10.7%,56,6.7%,42,90.0%,56,3.3%,10,3.1%,69,1.4%,,0.0%
03/29/22,vs.,LAL,W,128,110,31,8,1,0,3/6,2/4,0/0,5,7.0%,69,133.3,,0.0%,,0.0%,,100.0%,61,3.8%,0,0.0%,74,1.6%,63,1.6%
03/27/22,vs.,UTA,W,114,100,32,8,3,3,3/6,2/4,0/0,12,9.2%,69,133.3,61,12.5%,,0.0%,,100.0%,62,4.0%,0,0.0%,,0.0%,,0.0%
03/25/22,@,MIN,L,95,116,32,7,4,0,3/11,1/8,0/0,40,14.8%,16,63.6,,0.0%,47,9.5%,,100.0%,72,5.4%,21,6.7%,92,3.3%,,0.0%
03/23/22,vs.,HOU,W,110,91,35,14,5,1,6/14,2/8,0/1,47,16.0%,34,100.0,27,4.2%,,0.0%,45,83.3%,55,3.2%,42,10.8%,,0.0%,91,4.0%
03/21/22,vs.,MIN,W,110,108,36,15,7,4,6/11,3/8,0/0,33,13.6%,73,136.4,73,16.7%,,0.0%,45,83.3%,79,6.7%,49,12.5%,,0.0%,,0.0%
03/19/22,@,CHA,L,108,129,28,8,1,1,3/10,2/6,0/0,40,14.8%,23,80.0,32,5.3%,,0.0%,,100.0%,,0.0%,18,5.9%,,0.0%,64,1.6%
03/18/22,@,PHI,L,101,111,34,11,7,0,4/7,3/5,0/0,22,11.4%,85,157.1,,0.0%,3,37.5%,,100.0%,55,3.2%,85,21.4%,,0.0%,,0.0%
03/16/22,@,BKN,W,113,111,34,9,6,0,3/6,1/3,2/2,23,11.8%,66,128.6,,0.0%,10,25.0%,59,66.7%,83,7.7%,43,11.1%,,0.0%,,0.0%
03/13/22,@,BOS,W,95,92,38,19,4,3,7/11,4/7,1/2,44,15.6%,86,158.3,65,13.6%,25,16.7%,,100.0%,,0.0%,37,9.8%,67,1.3%,79,2.6%
03/09/22,vs.,NYK,L,77,107,35,9,5,2,4/9,1/4,0/0,34,13.8%,34,100.0,51,10.0%,20,19.0%,51,75.0%,83,7.7%,20,6.1%,70,1.4%,,0.0%
03/07/22,vs.,UTA,W,111,103,39,21,5,2,8/14,4/10,1/2,43,15.3%,74,140.0,46,8.7%,,0.0%,51,75.0%,90,10.0%,9,2.8%,,0.0%,51,1.2%
03/05/22,vs.,SAC,W,114,113,33,17,6,2,6/13,5/11,0/0,53,17.1%,68,130.8,44,8.3%,51,8.3%,,100.0%,,0.0%,87,22.2%,,0.0%,82,2.9%
03/03/22,vs.,GSW,W,122,113,35,18,3,2,7/9,4/5,0/0,13,9.5%,95,200.0,37,6.7%,,0.0%,44,85.7%,83,7.7%,11,3.7%,,0.0%,,0.0%
03/01/22,@,LAL,W,109,104,39,16,9,2,6/10,3/7,1/3,26,12.5%,79,145.5,39,6.9%,48,9.1%,59,66.7%,75,5.9%,83,20.6%,69,1.4%,50,1.1%
02/27/22,@,GSW,W,107,101,36,14,9,2,5/9,2/4,2/2,32,13.5%,74,140.0,44,8.3%,47,9.5%,67,60.0%,92,10.7%,63,15.0%,69,1.4%,,0.0%
02/25/22,@,UTA,L,109,114,28,7,4,1,3/5,1/3,0/0,11,8.9%,74,140.0,32,5.3%,21,18.2%,59,66.7%,54,3.1%,85,21.4%,,0.0%,,0.0%
02/17/22,@,NOP,W,125,118,37,14,3,0,5/6,4/5,0/0,2,4.9%,98,233.3,,0.0%,,0.0%,47,80.0%,,0.0%,0,0.0%,,0.0%,89,3.7%
02/15/22,@,MIA,W,107,99,36,14,5,1,5/9,4/7,0/0,20,11.1%,84,155.6,34,5.9%,37,12.5%,,100.0%,90,9.7%,18,5.9%,71,1.4%,,0.0%
02/12/22,vs.,LAC,L,97,99,39,3,2,2,1/4,0/2,1/2,9,8.5%,15,60.0,37,6.5%,9,26.7%,,100.0%,49,2.5%,10,3.3%,,0.0%,,0.0%
02/10/22,vs.,LAC,W,112,105,41,12,7,1,5/9,2/5,0/0,24,11.9%,69,133.3,25,3.4%,6,30.0%,,100.0%,61,3.8%,71,17.1%,,0.0%,88,3.6%
02/08/22,vs.,DET,W,116,86,29,11,7,3,4/6,2/3,1/1,29,12.9%,94,183.3,67,14.3%,10,25.0%,51,75.0%,71,5.3%,54,13.3%,,0.0%,85,3.2%
02/06/22,vs.,ATL,W,103,94,42,11,4,2,3/12,3/10,2/2,37,14.4%,27,84.6,39,6.9%,54,7.4%,,100.0%,48,2.3%,19,6.0%,66,1.2%,49,1.1%
02/04/22,vs.,PHI,W,107,98,39,13,2,0,5/12,3/8,0/0,35,13.9%,48,108.3,,0.0%,24,17.4%,,100.0%,,0.0%,11,3.7%,,0.0%,89,3.6%
02/02/22,vs.,OKC,L,114,120,43,3,7,4,1/7,1/5,0/0,15,10.0%,10,42.9,59,11.4%,43,10.5%,,100.0%,89,9.5%,33,9.1%,,0.0%,,0.0%
01/30/22,@,ORL,L,108,110,39,10,5,2,3/9,3/6,1/2,33,13.5%,34,100.0,41,7.4%,24,17.4%,,100.0%,75,5.9%,32,8.8%,69,1.4%,,0.0%
01/29/22,vs.,IND,W,132,105,27,5,6,1,2/5,0/2,1/1,11,9.0%,34,100.0,25,3.4%,21,18.2%,,100.0%,86,8.3%,42,10.7%,79,1.9%,,0.0%
01/26/22,@,POR,W,132,112,28,11,4,2,4/7,2/5,1/1,21,11.3%,85,157.1,47,9.1%,31,14.3%,,100.0%,63,4.2%,56,13.6%,,0.0%,64,1.6%
01/25/22,@,GSW,L,92,130,26,8,2,1,3/8,0/3,2/2,52,16.9%,29,88.9,37,6.7%,45,10.0%,86,33.3%,59,3.6%,0,0.0%,,0.0%,87,3.4%
01/23/22,vs.,MEM,W,104,91,36,9,7,4,3/8,2/5,1/2,32,13.5%,34,100.0,76,17.4%,47,9.5%,,100.0%,90,10.0%,20,6.1%,86,2.6%,78,2.6%
01/20/22,vs.,PHX,L,101,109,32,5,6,2,2/6,1/5,0/0,15,10.0%,25,83.3,50,9.5%,34,13.3%,72,50.0%,54,3.1%,62,14.8%,,0.0%,,0.0%
01/19/22,vs.,TOR,W,102,98,35,9,6,2,4/11,1/6,0/0,39,14.7%,25,81.8,44,8.3%,48,9.1%,,100.0%,,0.0%,54,13.2%,,0.0%,57,1.3%
01/17/22,vs.,OKC,W,104,102,34,17,10,2,6/11,4/7,1/2,39,14.7%,76,141.7,54,10.5%,27,16.0%,45,83.3%,89,9.5%,58,14.3%,,0.0%,75,2.4%
01/15/22,vs.,ORL,W,108,92,23,2,4,1,1/6,0/3,0/0,47,16.0%,8,33.3,33,5.6%,10,25.0%,,100.0%,88,9.1%,38,10.0%,86,2.5%,70,2.0%
01/14/22,@,MEM,W,112,85,32,13,3,2,6/12,1/5,0/0,44,15.5%,48,108.3,41,7.7%,48,9.1%,,100.0%,62,4.0%,18,5.7%,,0.0%,59,1.4%
01/12/22,@,NYK,L,85,108,34,7,3,0,2/8,0/4,3/4,40,14.9%,19,70.0,,0.0%,48,9.1%,95,0.0%,,0.0%,42,10.7%,,0.0%,57,1.4%
01/09/22,vs.,CHI,W,113,99,30,12,2,2,4/7,4/7,0/0,26,12.3%,91,171.4,46,8.7%,31,14.3%,,100.0%,63,4.2%,9,2.9%,75,1.6%,,0.0%
01/07/22,@,HOU,W,130,106,23,10,3,3,4/5,1/2,1/2,22,11.5%,89,166.7,65,13.6%,,0.0%,51,75.0%,,0.0%,48,12.0%,,0.0%,,0.0%
01/05/22,vs.,GSW,W,99,82,37,17,9,0,6/15,4/7,1/2,50,16.7%,46,106.3,,0.0%,54,7.1%,,100.0%,80,7.0%,66,15.8%,89,2.9%,,0.0%
01/03/22,vs.,DEN,W,103,89,18,10,2,0,4/5,2/3,0/0,33,13.5%,95,200.0,,0.0%,2,40.0%,,100.0%,,0.0%,68,16.7%,93,3.4%,81,2.7%
01/02/22,@,OKC,W,95,86,30,10,6,1,4/13,1/8,1/2,66,19.6%,19,71.4,31,5.0%,54,7.4%,,100.0%,54,3.1%,74,17.9%,,0.0%,60,1.4%
12/31/21,@,SAC,W,112,96,38,12,3,6,4/9,2/5,2/2,34,13.8%,58,120.0,80,20.0%,,0.0%,,100.0%,56,3.3%,14,4.8%,69,1.4%,54,1.2%
12/29/21,@,SAC,L,94,95,27,11,6,0,4/8,3/5,0/0,31,13.2%,73,137.5,,0.0%,31,14.3%,,100.0%,88,9.1%,67,16.0%,,0.0%,69,1.9%
12/27/21,@,POR,W,132,117,34,14,9,5,5/8,3/6,1/2,33,13.6%,84,155.6,67,14.3%,47,9.5%,47,80.0%,83,7.7%,85,21.2%,73,1.6%,,0.0%
12/23/21,vs.,MIL,L,95,102,39,12,3,3,3/11,2/9,4/4,48,16.3%,32,92.3,56,10.7%,,0.0%,59,66.7%,,0.0%,31,8.6%,89,2.8%,,0.0%
12/21/21,vs.,MIN,W,114,102,41,19,6,5,7/15,3/9,2/2,73,21.0%,58,118.8,76,17.2%,27,16.2%,44,85.7%,53,2.9%,49,12.5%,,0.0%,74,2.3%
12/19/21,@,MIN,L,105,111,37,23,3,3,9/13,3/5,2/2,38,14.6%,88,164.3,72,15.8%,,0.0%,43,88.9%,72,5.4%,0,0.0%,,0.0%,55,1.3%
12/15/21,vs.,LAL,L,104,107,43,10,9,2,4/10,1/5,1/2,28,12.8%,31,90.9,41,7.4%,48,9.1%,,100.0%,48,2.3%,75,17.9%,,0.0%,,0.0%
12/13/21,vs.,CHA,W,120,96,33,15,4,2,6/11,3/5,0/0,42,15.2%,73,136.4,50,9.5%,47,9.5%,45,83.3%,90,9.7%,9,2.9%,73,1.6%,,0.0%
12/12/21,@,OKC,W,103,84,29,8,6,5,3/10,2/5,0/0,55,17.6%,23,80.0,88,25.0%,51,8.3%,,100.0%,75,5.9%,54,13.3%,94,3.8%,93,4.4%
12/10/21,@,IND,L,93,106,38,4,6,1,1/3,0/1,2/2,7,7.7%,34,100.0,25,3.2%,6,30.8%,95,0.0%,50,2.7%,53,12.8%,,0.0%,52,1.2%
12/08/21,@,MEM,W,104,96,32,8,6,3,4/6,0/2,0/0,17,10.4%,69,133.3,59,11.5%,9,26.7%,,100.0%,,0.0%,61,14.7%,,0.0%,,0.0%
