Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,@,BOS,W,103,90,42,12,12,8,5/10,2/5,0/0,62,17.0%,51,120.0,91,27.6%,16,30.3%,,100.0%,65,8.9%,58,19.5%,75,2.7%,79,2.1%
06/13/22,vs.,BOS,W,104,94,35,8,8,6,3/6,0/2,2/2,58,16.4%,46,114.3,90,26.1%,36,17.4%,88,33.3%,34,3.0%,50,17.1%,,0.0%,69,1.4%
06/10/22,@,BOS,W,107,97,33,2,9,8,1/7,0/2,0/0,62,17.1%,10,28.6,94,33.3%,40,15.4%,93,0.0%,72,11.1%,23,9.7%,,0.0%,98,5.3%
06/08/22,@,BOS,L,100,116,35,2,4,3,1/4,0/2,0/0,25,9.7%,12,50.0,63,11.5%,18,28.6%,,100.0%,36,3.4%,19,8.8%,58,1.4%,,0.0%
06/05/22,vs.,BOS,W,107,88,31,9,5,7,2/3,0/1,5/7,47,14.3%,72,150.0,92,29.2%,52,10.0%,77,50.0%,,0.0%,35,13.2%,63,1.7%,69,1.4%
06/02/22,vs.,BOS,L,108,120,38,4,11,5,2/12,0/4,0/3,82,21.7%,10,30.8,74,16.1%,37,16.7%,77,50.0%,63,8.6%,70,23.5%,,0.0%,81,2.4%
05/26/22,vs.,DAL,W,120,110,31,17,6,9,6/7,1/1,4/4,70,18.4%,97,212.5,96,36.0%,24,24.0%,,100.0%,39,4.0%,34,12.9%,62,1.6%,,0.0%
05/24/22,@,DAL,L,109,119,26,10,6,6,4/8,0/2,2/5,78,20.7%,27,100.0,96,37.5%,55,8.3%,,100.0%,,0.0%,79,27.3%,84,4.1%,,0.0%
05/22/22,@,DAL,W,109,100,37,10,5,5,5/10,0/0,0/0,55,15.9%,27,100.0,80,18.5%,26,23.1%,,100.0%,34,3.0%,23,10.0%,60,1.5%,81,2.4%
05/20/22,vs.,DAL,W,126,117,28,6,6,5,2/6,1/2,1/2,79,21.2%,24,85.7,84,20.8%,15,32.0%,,100.0%,,0.0%,79,27.3%,,0.0%,,0.0%
