Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/15/22,vs.,ATL,L,101,107,37,18,8,5,6/12,1/3,5/6,69,18.3%,51,120.0,81,20.0%,,0.0%,51,83.3%,60,8.3%,46,16.1%,78,3.1%,,0.0%
04/12/22,@,BKN,L,108,115,35,19,7,2,9/13,0/0,1/2,50,14.9%,71,146.2,53,8.7%,24,24.0%,,100.0%,32,2.6%,47,16.7%,78,3.1%,,0.0%
04/10/22,vs.,MIL,W,133,115,23,18,10,1,8/13,0/0,2/4,88,26.9%,50,120.0,37,5.6%,61,7.1%,69,62.5%,85,15.8%,69,23.3%,98,8.3%,,0.0%
04/08/22,@,BKN,L,107,118,34,17,7,3,6/11,0/1,5/7,59,18.5%,53,121.4,62,12.0%,,0.0%,59,66.7%,77,13.3%,15,8.1%,70,2.6%,84,2.7%
03/28/22,vs.,ORL,W,107,101,13,6,3,1,3/3,0/0,0/2,46,16.1%,74,150.0,68,14.3%,21,22.2%,59,66.7%,59,9.1%,50,18.2%,,0.0%,,0.0%
03/26/22,vs.,CHI,L,94,98,33,9,11,4,4/13,1/2,0/0,70,20.9%,15,69.2,85,22.2%,45,12.9%,51,75.0%,61,9.4%,72,25.0%,,0.0%,62,1.4%
03/24/22,@,TOR,L,104,117,39,11,8,1,5/7,0/0,1/3,14,9.5%,67,137.5,32,4.2%,43,13.3%,46,80.0%,27,2.9%,56,19.4%,84,4.1%,,0.0%
03/21/22,vs.,LAL,L,120,131,27,13,5,2,6/11,0/1,1/1,72,21.3%,49,118.2,57,10.5%,20,23.1%,59,66.7%,37,5.0%,56,20.0%,58,1.8%,,0.0%
03/19/22,vs.,DET,W,113,109,35,12,11,6,6/12,0/0,0/2,79,23.1%,26,92.3,84,20.7%,21,22.2%,59,66.7%,52,7.7%,81,28.1%,74,3.0%,61,1.3%
03/18/22,vs.,DEN,W,119,116,39,27,11,0,11/22,0/3,5/7,79,23.0%,41,108.0,,0.0%,65,4.9%,,100.0%,78,13.6%,34,13.9%,71,2.8%,57,1.1%
