Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/05/22,vs.,CLE,W,120,115,7,2,0,2,1/2,0/1,0/0,50,16.7%,34,100.0,95,33.3%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
04/01/22,vs.,TOR,L,89,102,0,0,0,0,0/0,0/0,0/0,,,,,,,,,,,,,,,,,,
03/30/22,@,WAS,L,110,127,31,28,5,2,11/19,3/3,3/3,89,27.1%,74,140.0,59,11.8%,59,5.1%,82,45.5%,53,2.9%,40,10.3%,72,1.5%,,0.0%
03/28/22,@,CLE,L,101,107,28,10,3,6,4/8,0/2,2/2,70,20.5%,50,111.1,88,25.0%,27,16.0%,51,75.0%,,0.0%,43,11.1%,,0.0%,,0.0%
03/26/22,vs.,SAC,L,110,114,34,19,9,3,9/21,0/3,1/1,90,27.6%,31,90.5,73,16.7%,60,4.7%,82,44.4%,69,4.9%,66,15.8%,,0.0%,78,2.6%
03/23/22,@,OKC,L,102,118,22,15,3,3,6/11,1/4,2/2,81,23.6%,62,125.0,79,18.8%,53,7.7%,72,50.0%,88,9.1%,12,3.8%,,0.0%,67,1.8%
03/22/22,vs.,GSW,W,94,90,30,18,0,3,6/9,0/1,6/6,65,19.5%,88,163.6,76,17.6%,49,8.7%,59,66.7%,,0.0%,0,0.0%,75,1.6%,87,3.4%
03/20/22,vs.,OKC,W,90,85,34,11,7,4,3/12,0/3,5/5,76,21.9%,23,78.6,79,19.0%,41,11.4%,86,33.3%,90,10.0%,31,8.5%,69,1.4%,77,2.5%
03/17/22,vs.,DET,L,120,134,31,26,5,2,10/15,2/3,4/5,74,21.4%,84,152.9,54,10.5%,57,6.1%,72,50.0%,53,2.9%,37,9.7%,72,1.5%,,0.0%
03/15/22,vs.,BKN,L,108,150,28,16,1,2,5/13,2/2,4/4,79,22.9%,47,106.7,54,10.5%,39,12.1%,67,60.0%,,0.0%,15,5.0%,,0.0%,59,1.4%
03/13/22,vs.,PHI,L,114,116,35,6,7,1,2/6,0/1,2/4,21,11.3%,21,75.0,27,4.2%,39,11.8%,,100.0%,87,8.8%,26,7.7%,,0.0%,80,2.7%
03/11/22,vs.,MIN,W,118,110,32,8,6,4,3/10,0/4,2/2,52,16.9%,20,72.7,73,16.7%,52,8.0%,,100.0%,79,6.7%,47,11.8%,,0.0%,,0.0%
03/09/22,@,NOP,W,108,102,22,15,6,1,6/13,1/4,2/2,86,25.5%,47,107.1,44,8.3%,,0.0%,59,66.7%,90,10.0%,78,19.0%,,0.0%,71,2.0%
03/08/22,vs.,PHX,L,99,102,28,4,1,2,2/7,0/4,0/0,40,14.9%,14,57.1,56,11.1%,17,20.0%,95,0.0%,,0.0%,9,2.9%,,0.0%,,0.0%
03/05/22,@,MEM,L,96,124,24,15,5,6,6/9,3/4,0/0,86,25.5%,89,166.7,99,50.0%,13,23.1%,59,66.7%,,0.0%,75,18.2%,80,2.0%,,0.0%
03/04/22,@,TOR,W,103,97,33,11,7,5,5/13,1/3,0/0,66,19.6%,27,84.6,91,26.3%,36,12.9%,47,80.0%,69,5.0%,41,10.5%,70,1.4%,,0.0%
03/02/22,vs.,IND,L,114,122,36,28,6,1,10/18,4/6,4/4,65,19.3%,74,140.0,27,4.2%,,0.0%,58,70.0%,,0.0%,68,16.2%,,0.0%,74,2.3%
02/28/22,vs.,IND,W,119,103,27,15,2,3,6/10,1/2,2/2,35,14.0%,73,136.4,64,13.0%,,0.0%,,100.0%,,0.0%,38,10.0%,,0.0%,83,2.9%
02/25/22,vs.,HOU,W,119,111,29,13,8,3,4/11,1/6,4/6,78,22.5%,32,92.9,65,13.6%,37,12.5%,51,75.0%,87,8.7%,67,16.1%,,0.0%,,0.0%
02/16/22,vs.,ATL,L,109,130,29,12,3,2,5/9,1/3,1/1,29,12.9%,69,133.3,50,9.5%,41,11.1%,47,80.0%,,0.0%,49,12.5%,76,1.7%,,0.0%
02/14/22,@,DEN,L,111,121,32,26,8,4,8/16,3/7,7/8,89,26.9%,67,130.0,77,18.2%,48,9.3%,66,62.5%,88,9.1%,58,14.3%,,0.0%,77,2.5%
02/12/22,@,PHX,L,105,132,28,12,1,3,5/9,2/5,0/0,56,17.7%,69,133.3,70,15.0%,9,26.1%,47,80.0%,,0.0%,11,3.6%,,0.0%,,0.0%
02/11/22,@,UTA,L,99,114,33,9,4,3,3/8,1/3,2/2,36,14.2%,34,100.0,65,13.6%,,0.0%,95,0.0%,,0.0%,42,10.8%,72,1.5%,81,2.7%
02/08/22,@,POR,W,113,95,30,13,9,7,5/14,3/4,0/0,85,25.0%,32,92.9,95,31.8%,41,11.4%,47,80.0%,90,9.7%,54,13.2%,,0.0%,,0.0%
02/06/22,vs.,BOS,L,83,116,26,8,7,1,4/13,0/3,0/0,67,19.8%,15,61.5,44,8.3%,52,8.0%,,100.0%,57,3.4%,80,20.0%,,0.0%,,0.0%
02/05/22,vs.,MEM,L,115,135,27,15,1,3,5/9,3/5,2/2,40,14.8%,80,150.0,73,16.7%,,0.0%,47,80.0%,,0.0%,12,3.8%,,0.0%,,0.0%
02/02/22,@,IND,W,119,118,30,17,4,2,7/13,1/3,2/2,59,18.2%,76,141.7,61,12.5%,13,22.2%,57,71.4%,52,2.9%,35,9.4%,,0.0%,,0.0%
02/01/22,@,CHI,L,115,126,33,22,2,3,9/16,3/5,1/2,80,23.2%,67,129.4,60,12.0%,57,6.1%,59,66.7%,,0.0%,21,6.5%,,0.0%,59,1.4%
01/30/22,vs.,DAL,W,110,108,31,18,2,3,9/15,0/2,0/0,85,25.0%,58,120.0,72,15.8%,24,17.6%,71,55.6%,,0.0%,23,7.1%,,0.0%,61,1.5%
01/28/22,vs.,DET,W,119,103,27,24,3,0,7/12,2/3,8/8,83,24.2%,80,150.0,,0.0%,37,12.5%,70,57.1%,,0.0%,37,9.7%,,0.0%,,0.0%
01/26/22,vs.,LAC,L,102,111,34,21,3,9,9/12,2/3,1/2,61,18.6%,87,161.5,99,42.9%,55,6.9%,43,88.9%,,0.0%,33,9.1%,,0.0%,78,2.6%
01/23/22,vs.,CHI,W,114,95,38,18,4,5,7/14,0/3,4/4,68,20.0%,51,112.5,79,18.5%,58,5.9%,57,71.4%,76,6.1%,18,5.9%,71,1.4%,51,1.2%
01/21/22,vs.,LAL,L,105,116,38,15,3,3,6/9,1/1,2/2,29,12.9%,80,150.0,65,13.6%,24,17.4%,59,66.7%,,0.0%,35,9.4%,88,2.8%,,0.0%
01/19/22,@,PHI,L,110,123,34,9,11,2,3/11,1/6,2/2,45,15.8%,21,75.0,44,8.3%,,0.0%,59,66.7%,50,2.6%,99,34.6%,,0.0%,56,1.3%
01/17/22,vs.,POR,L,88,98,32,14,5,2,7/18,0/5,0/0,88,26.4%,23,77.8,61,12.5%,28,15.4%,57,71.4%,,0.0%,68,16.7%,,0.0%,57,1.4%
01/15/22,@,DAL,L,92,108,27,6,2,3,2/6,0/1,2/4,80,23.1%,21,75.0,65,13.6%,12,24.0%,95,0.0%,,0.0%,33,9.1%,79,1.9%,,0.0%
01/14/22,@,CHA,W,116,109,37,19,6,7,8/11,1/3,2/2,73,21.2%,86,158.3,88,24.1%,8,27.8%,66,62.5%,56,3.3%,46,11.6%,88,2.7%,51,1.2%
01/12/22,@,WAS,L,106,112,32,14,6,10,6/16,0/2,2/2,84,24.7%,25,82.4,99,47.6%,,0.0%,59,66.7%,80,6.8%,42,10.7%,,0.0%,54,1.2%
01/09/22,vs.,WAS,L,100,102,29,16,6,1,6/13,0/2,4/4,79,23.1%,47,106.7,41,7.7%,56,6.7%,72,50.0%,73,5.6%,64,15.4%,,0.0%,,0.0%
01/08/22,@,DET,L,92,97,28,9,3,2,4/10,1/3,0/0,55,17.5%,30,90.0,73,16.7%,21,18.2%,,100.0%,,0.0%,43,11.1%,80,1.9%,,0.0%
01/05/22,vs.,PHI,L,106,116,29,15,6,1,6/11,1/3,2/2,67,19.9%,62,125.0,29,4.8%,8,27.6%,59,66.7%,59,3.6%,84,20.8%,,0.0%,58,1.4%
01/03/22,@,CHI,L,98,102,28,22,5,3,8/13,1/2,5/5,84,24.6%,85,157.1,79,18.8%,56,6.5%,91,25.0%,61,3.8%,56,13.8%,,0.0%,63,1.6%
01/02/22,@,BOS,L,111,116,34,14,3,2,5/14,0/1,4/6,83,24.1%,25,82.4,54,10.5%,30,15.0%,84,40.0%,50,2.6%,21,6.7%,74,1.6%,53,1.2%
12/30/21,vs.,MIL,L,118,136,34,20,3,1,6/12,2/3,6/6,78,22.4%,69,133.3,26,3.8%,24,17.1%,86,33.3%,,0.0%,31,8.6%,,0.0%,,0.0%
12/28/21,vs.,MIL,L,110,127,38,38,7,3,12/20,4/8,10/10,93,30.2%,84,152.0,67,14.3%,53,7.7%,84,41.7%,54,3.0%,84,20.7%,70,1.4%,51,1.2%
12/26/21,@,MIA,L,83,93,32,13,2,1,4/11,1/1,4/5,78,22.5%,34,100.0,32,5.3%,20,19.4%,72,50.0%,61,3.8%,10,3.1%,,0.0%,83,2.9%
12/23/21,vs.,NOP,L,104,110,34,18,5,1,6/15,1/4,5/6,81,23.4%,34,100.0,26,4.0%,59,5.6%,72,50.0%,75,5.9%,31,8.6%,89,2.9%,,0.0%
12/22/21,@,ATL,W,104,98,36,25,4,1,10/24,1/6,4/5,95,32.1%,34,96.2,36,6.2%,53,7.7%,72,50.0%,49,2.5%,33,9.1%,91,3.1%,54,1.2%
12/18/21,@,BKN,W,100,93,28,14,11,6,4/14,0/2,6/6,94,30.6%,25,82.4,93,30.0%,48,9.1%,95,0.0%,,0.0%,95,27.5%,,0.0%,59,1.4%
12/17/21,vs.,MIA,L,105,115,36,27,6,4,11/23,0/3,5/6,98,35.7%,45,103.8,76,17.4%,61,3.6%,91,27.3%,77,6.2%,64,15.4%,,0.0%,56,1.3%
12/15/21,vs.,ATL,L,99,111,34,10,6,2,5/14,0/3,0/0,57,17.9%,19,71.4,64,13.3%,33,13.8%,,100.0%,69,4.9%,47,11.8%,,0.0%,54,1.2%
12/12/21,@,LAL,L,94,106,39,20,7,2,8/18,2/5,2/4,85,25.0%,34,100.0,56,11.1%,25,17.0%,85,37.5%,,0.0%,80,19.4%,,0.0%,,0.0%
12/11/21,@,LAC,L,104,106,34,20,3,3,8/10,2/2,2/3,55,17.6%,94,181.8,79,18.8%,25,16.7%,66,62.5%,57,3.4%,17,5.4%,71,1.5%,,0.0%
12/08/21,@,SAC,L,130,142,33,19,6,4,5/10,2/2,7/7,62,18.7%,79,146.2,70,15.4%,56,6.5%,93,20.0%,,0.0%,87,22.2%,,0.0%,53,1.2%
