Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/23/22,vs.,PHI,W,110,102,15,5,2,3,2/6,1/3,0/0,35,22.1%,23,83.3,63,33.3%,,0.0%,86,0.0%,98,12.5%,0,0.0%,,0.0%,,0.0%
04/20/22,vs.,PHI,L,101,104,45,12,5,9,3/13,2/10,4/4,30,20.2%,26,85.7,62,32.1%,,0.0%,54,33.3%,,0.0%,72,15.6%,,0.0%,88,3.4%
04/18/22,@,PHI,L,97,112,44,20,4,7,7/23,5/16,1/2,69,31.8%,23,83.3,48,28.0%,37,13.1%,62,28.6%,,0.0%,57,12.9%,94,2.8%,84,3.1%
04/16/22,@,PHI,L,111,131,36,18,1,6,7/12,4/7,0/0,22,17.8%,85,150.0,40,26.1%,,0.0%,31,57.1%,,0.0%,9,2.9%,93,2.6%,54,1.4%
04/05/22,vs.,ATL,W,118,108,36,12,2,9,4/21,2/12,2/3,78,32.0%,10,54.5,69,36.0%,55,10.5%,32,50.0%,,0.0%,20,5.3%,78,1.3%,39,1.1%
04/03/22,vs.,MIA,L,109,114,41,29,2,7,7/17,4/11,11/11,69,29.7%,81,138.1,52,29.2%,26,17.5%,62,28.6%,,0.0%,25,6.2%,,0.0%,82,3.1%
04/01/22,@,ORL,W,102,89,39,19,5,3,7/18,5/15,0/0,45,24.4%,47,105.6,10,11.5%,38,14.6%,30,57.1%,60,2.6%,46,10.0%,96,3.0%,97,6.0%
03/30/22,vs.,MIN,W,125,102,32,12,3,8,5/15,2/7,0/1,38,22.9%,21,80.0,48,27.6%,78,5.3%,47,40.0%,,0.0%,41,8.8%,85,1.6%,97,6.0%
03/28/22,vs.,BOS,W,115,112,40,14,5,3,4/13,3/9,3/3,26,19.8%,35,100.0,7,9.4%,16,21.1%,65,25.0%,,0.0%,64,13.2%,79,1.4%,82,3.1%
03/26/22,vs.,IND,W,131,91,17,5,2,3,2/4,1/2,0/0,8,13.5%,68,125.0,16,15.0%,,0.0%,32,50.0%,,0.0%,52,11.1%,,0.0%,,0.0%
03/24/22,vs.,CLE,W,117,104,39,10,5,8,4/9,2/5,0/0,14,16.3%,53,111.1,38,25.0%,71,7.1%,85,0.0%,62,2.7%,59,12.1%,96,2.9%,41,1.2%
03/21/22,@,CHI,L,99,113,37,19,6,9,7/22,3/12,2/2,71,30.4%,23,82.6,79,40.9%,81,3.9%,17,85.7%,84,5.1%,52,11.1%,,0.0%,71,2.4%
03/18/22,vs.,LAL,L,123,128,47,20,3,7,8/19,2/9,2/2,37,22.7%,35,100.0,25,20.0%,80,4.4%,32,50.0%,,0.0%,32,7.3%,,0.0%,90,4.0%
