Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,@,BOS,L,81,109,43,25,20,9,10/26,1/4,4/6,98,36.2%,25,86.2,99,47.4%,44,14.1%,74,60.0%,51,6.1%,81,28.0%,55,1.1%,79,2.0%
05/13/22,vs.,BOS,L,95,108,41,44,20,6,14/30,2/3,14/15,100,46.8%,53,122.2,94,33.3%,44,13.8%,93,21.4%,53,6.7%,89,33.3%,71,2.4%,64,1.1%
05/11/22,@,BOS,W,110,107,40,40,11,3,16/27,2/5,6/10,98,39.6%,59,129.0,75,16.7%,32,19.4%,85,43.8%,46,5.1%,77,25.7%,57,1.4%,64,1.1%
05/09/22,vs.,BOS,L,108,116,41,34,18,5,14/31,0/3,6/11,99,44.6%,27,94.4,87,22.7%,53,9.6%,93,14.3%,44,4.9%,95,38.5%,,0.0%,,0.0%
05/07/22,vs.,BOS,W,103,101,39,42,12,8,16/30,1/6,9/12,99,42.0%,51,120.0,99,50.0%,58,7.6%,91,31.2%,42,4.4%,66,22.2%,73,2.6%,79,2.1%
05/03/22,@,BOS,L,86,109,38,28,9,7,11/27,1/4,5/9,100,48.7%,26,93.3,98,41.2%,39,15.8%,92,27.3%,36,3.4%,62,20.6%,61,1.6%,67,1.3%
05/01/22,@,BOS,W,101,89,38,24,13,12,9/25,0/2,6/11,99,42.3%,22,80.0,100,54.5%,45,13.0%,77,55.6%,59,7.9%,70,23.3%,77,3.0%,,0.0%
04/27/22,vs.,CHI,W,116,100,30,33,9,3,11/15,0/1,11/14,95,30.4%,78,157.1,78,17.6%,54,8.9%,88,36.4%,37,3.7%,58,20.0%,,0.0%,,0.0%
04/24/22,@,CHI,W,119,95,35,32,17,7,11/21,1/2,9/12,99,41.9%,54,123.1,96,36.8%,48,11.9%,93,0.0%,63,8.6%,96,38.9%,77,2.9%,,0.0%
04/22/22,@,CHI,W,111,81,29,18,7,9,7/12,0/3,4/5,97,34.4%,58,128.6,97,39.1%,33,19.0%,86,42.9%,,0.0%,66,21.9%,68,2.0%,,0.0%
04/20/22,vs.,CHI,L,110,114,40,33,18,9,11/19,0/1,11/18,98,35.6%,50,117.9,98,42.9%,54,9.0%,88,36.4%,47,5.4%,92,35.7%,71,2.4%,64,1.1%
