Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,vs.,GSW,L,90,103,16,3,1,1,1/2,0/1,1/1,14,9.1%,79,150.0,65,14.3%,4,33.3%,,100.0%,,0.0%,15,5.9%,89,2.9%,,0.0%
06/13/22,@,GSW,L,94,104,16,3,3,1,1/2,0/1,1/1,23,10.5%,79,150.0,57,11.1%,1,50.0%,,100.0%,,0.0%,75,17.6%,99,5.7%,,0.0%
06/10/22,vs.,GSW,L,97,107,13,3,1,0,1/2,1/2,0/0,4,5.6%,79,150.0,,0.0%,,0.0%,,100.0%,,0.0%,49,12.5%,,0.0%,,0.0%
06/08/22,vs.,GSW,W,116,100,20,10,5,0,4/6,1/3,1/2,37,13.8%,76,142.9,,0.0%,28,15.4%,54,75.0%,97,15.0%,47,11.8%,,0.0%,73,2.1%
06/05/22,@,GSW,L,88,107,14,5,0,0,2/2,1/1,0/0,2,3.3%,99,250.0,,0.0%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
06/02/22,@,GSW,W,120,108,16,0,3,3,0/2,0/1,0/0,14,9.2%,1,0.0,81,21.4%,,0.0%,,,,0.0%,77,18.8%,,0.0%,,0.0%
05/29/22,@,MIA,W,100,96,30,11,6,0,5/8,0/1,1/3,35,13.0%,59,122.2,,0.0%,12,22.2%,51,80.0%,87,8.8%,28,8.3%,78,1.6%,,0.0%
05/27/22,vs.,MIA,L,103,111,17,2,2,0,0/2,0/0,2/2,12,8.6%,15,66.7,,0.0%,,0.0%,,,,0.0%,40,10.5%,,0.0%,83,2.9%
05/25/22,@,MIA,W,93,80,23,5,6,0,2/5,1/4,0/0,21,10.4%,35,100.0,,0.0%,16,20.0%,,100.0%,,0.0%,68,15.6%,,0.0%,,0.0%
05/23/22,vs.,MIA,W,102,82,29,7,4,0,1/7,1/4,4/4,42,14.8%,22,77.8,,0.0%,47,10.5%,,100.0%,80,6.9%,16,6.1%,,0.0%,,0.0%
05/21/22,vs.,MIA,L,103,109,39,10,5,0,2/6,2/4,4/4,15,9.4%,63,125.0,,0.0%,40,12.5%,,100.0%,62,3.7%,33,9.1%,73,1.4%,57,1.2%
05/19/22,@,MIA,W,127,102,31,17,4,0,4/6,2/2,7/8,32,12.7%,89,170.0,,0.0%,,0.0%,54,75.0%,64,4.3%,39,10.3%,,0.0%,,0.0%
05/17/22,@,MIA,L,107,118,35,7,1,2,2/5,1/2,2/2,20,10.3%,54,116.7,47,8.7%,8,25.0%,,100.0%,,0.0%,11,3.8%,,0.0%,61,1.3%
05/15/22,vs.,MIL,W,109,81,39,27,6,0,10/22,7/18,0/0,65,20.5%,61,122.7,,0.0%,62,5.6%,,100.0%,47,2.5%,43,10.9%,86,2.6%,,0.0%
05/13/22,@,MIL,W,108,95,27,1,5,1,0/3,0/1,1/2,16,9.5%,8,25.0,29,4.0%,19,18.2%,,,,0.0%,70,16.7%,,0.0%,89,3.4%
