Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,@,BOS,L,81,109,22,1,3,0,0/6,0/4,1/2,38,14.0%,9,14.3,,0.0%,,0.0%,,,,0.0%,52,10.0%,,0.0%,,0.0%
05/13/22,vs.,BOS,L,95,108,22,3,3,1,1/7,0/4,1/1,48,16.0%,13,42.9,49,9.1%,42,11.8%,96,0.0%,68,3.0%,52,10.0%,,0.0%,,0.0%
05/11/22,@,BOS,W,110,107,30,8,2,5,3/7,1/2,1/1,46,15.7%,52,114.3,87,21.7%,11,27.3%,,100.0%,71,3.3%,23,4.3%,85,1.9%,,0.0%
05/09/22,vs.,BOS,L,108,116,29,7,2,1,3/7,1/4,0/0,20,9.7%,38,100.0,36,5.6%,,0.0%,66,66.7%,67,2.9%,20,3.6%,,0.0%,,0.0%
05/07/22,vs.,BOS,W,103,101,25,0,4,4,0/3,0/3,0/0,17,9.4%,3,0.0,82,18.2%,25,16.7%,,,67,2.9%,60,11.5%,,0.0%,,0.0%
05/03/22,@,BOS,L,86,109,28,5,2,1,2/4,0/1,1/3,14,8.8%,38,100.0,29,4.2%,,0.0%,79,50.0%,,0.0%,40,7.7%,85,1.9%,,0.0%
05/01/22,@,BOS,W,101,89,29,11,2,1,4/8,3/6,0/0,26,11.3%,72,137.5,37,5.9%,38,12.5%,59,75.0%,,0.0%,31,6.1%,,0.0%,95,4.2%
04/27/22,vs.,CHI,W,116,100,27,13,5,1,5/10,3/6,0/0,56,17.7%,66,130.0,33,5.0%,22,18.2%,75,60.0%,,0.0%,86,17.9%,,0.0%,69,1.6%
04/24/22,@,CHI,W,119,95,28,27,2,0,10/12,6/7,1/1,38,13.9%,98,225.0,,0.0%,,0.0%,65,70.0%,,0.0%,33,6.5%,,0.0%,98,4.9%
04/22/22,@,CHI,W,111,81,25,22,6,0,8/12,5/7,1/1,51,16.7%,92,183.3,,0.0%,,0.0%,51,87.5%,,0.0%,93,22.2%,88,2.2%,73,2.0%
04/20/22,vs.,CHI,L,110,114,21,3,1,1,1/4,0/2,1/2,16,9.3%,17,60.0,38,6.2%,,0.0%,,100.0%,79,4.3%,0,0.0%,,0.0%,,0.0%
04/17/22,vs.,CHI,W,93,86,18,0,3,0,0/2,0/2,0/0,7,6.7%,3,0.0,,0.0%,7,33.3%,,,,0.0%,68,13.0%,92,2.6%,,0.0%
04/05/22,@,CHI,W,127,106,25,13,3,1,4/6,1/3,4/4,24,11.8%,94,185.7,30,5.0%,,0.0%,74,50.0%,82,5.6%,34,6.9%,97,3.9%,,0.0%
04/03/22,vs.,DAL,L,112,118,23,8,2,3,3/6,2/4,0/0,29,12.7%,70,133.3,80,18.8%,29,14.3%,,100.0%,,0.0%,49,9.5%,,0.0%,69,1.8%
03/31/22,@,BKN,W,120,119,29,5,5,0,2/4,1/3,0/0,3,5.1%,63,125.0,,0.0%,,0.0%,74,50.0%,92,8.3%,69,13.6%,,0.0%,61,1.4%
03/29/22,@,PHI,W,118,116,25,10,4,0,3/5,2/4,2/3,35,13.9%,77,142.9,,0.0%,8,26.7%,,100.0%,,0.0%,82,17.4%,,0.0%,,0.0%
03/26/22,@,MEM,L,102,127,30,7,3,1,3/6,1/3,0/0,18,10.5%,56,116.7,30,5.0%,10,25.0%,88,33.3%,,0.0%,41,8.3%,,0.0%,,0.0%
