Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,PHX,W,116,109,13,2,1,1,1/2,0/0,0/0,11,8.9%,34,100.0,44,8.3%,,0.0%,95,0.0%,,0.0%,17,5.6%,,0.0%,,0.0%
04/09/22,@,LAC,L,98,117,26,3,5,0,1/4,1/3,0/2,7,7.8%,15,60.0,,0.0%,,0.0%,,100.0%,,0.0%,84,20.8%,,0.0%,,0.0%
04/05/22,vs.,NOP,L,109,123,30,12,6,1,4/9,0/5,4/4,44,15.6%,48,109.1,29,4.8%,,0.0%,51,75.0%,65,4.3%,72,17.2%,,0.0%,,0.0%
04/03/22,vs.,GSW,L,90,109,35,18,10,1,7/17,1/8,3/3,79,23.1%,46,105.9,41,7.7%,41,11.1%,83,42.9%,83,7.5%,77,18.8%,,0.0%,55,1.3%
04/01/22,@,HOU,W,122,117,36,25,2,3,10/16,4/6,1/2,68,20.0%,79,147.1,64,13.0%,57,6.2%,58,70.0%,60,3.7%,0,0.0%,,0.0%,,0.0%
03/30/22,@,HOU,W,121,118,35,13,2,1,4/9,1/4,4/6,31,13.3%,57,118.2,25,3.6%,,0.0%,72,50.0%,53,2.9%,9,2.5%,69,1.4%,,0.0%
03/28/22,@,MIA,L,100,123,38,17,2,3,5/10,3/8,4/4,53,17.1%,76,141.7,64,13.0%,28,15.4%,,100.0%,,0.0%,20,6.1%,,0.0%,,0.0%
03/26/22,@,ORL,W,114,110,40,19,7,5,6/14,2/6,5/6,73,21.2%,58,118.8,83,20.8%,28,15.4%,59,66.7%,,0.0%,62,14.9%,,0.0%,73,2.2%
03/23/22,@,IND,W,110,109,33,11,5,1,5/11,1/4,0/1,52,16.9%,34,100.0,27,4.3%,25,16.7%,67,60.0%,,0.0%,61,14.7%,,0.0%,82,2.8%
03/20/22,vs.,PHX,L,124,127,41,21,4,3,7/16,1/5,6/8,73,21.0%,50,110.5,64,13.0%,45,10.3%,44,85.7%,49,2.6%,32,8.8%,,0.0%,,0.0%
03/18/22,vs.,BOS,L,97,126,24,0,2,1,0/5,0/2,0/0,20,11.0%,1,0.0,36,6.2%,,0.0%,,,65,4.3%,29,8.3%,,0.0%,,0.0%
03/16/22,vs.,MIL,L,126,135,22,10,3,1,3/5,1/3,3/3,18,10.7%,89,166.7,37,6.7%,25,16.7%,,100.0%,61,3.8%,33,9.1%,81,2.0%,,0.0%
03/14/22,vs.,CHI,W,112,103,37,6,6,6,2/8,0/4,2/2,50,16.5%,16,66.7,83,20.7%,30,14.8%,72,50.0%,54,3.1%,48,11.9%,87,2.7%,53,1.2%
03/12/22,@,UTA,L,125,134,35,18,4,2,7/12,2/5,2/2,40,14.9%,74,138.5,44,8.3%,52,8.0%,57,71.4%,49,2.5%,40,10.3%,,0.0%,52,1.2%
03/09/22,vs.,DEN,L,100,106,39,17,5,5,5/11,3/7,4/5,50,16.5%,68,130.8,73,16.7%,54,7.1%,,100.0%,50,2.7%,49,12.5%,,0.0%,,0.0%
03/07/22,vs.,NYK,L,115,131,38,23,3,1,7/11,3/4,6/7,45,15.7%,88,164.3,27,4.2%,54,7.4%,70,57.1%,,0.0%,32,8.8%,,0.0%,,0.0%
03/05/22,@,DAL,L,113,114,38,9,4,3,3/8,1/3,2/3,28,12.8%,51,112.5,47,8.8%,9,26.1%,59,66.7%,52,2.9%,29,8.3%,,0.0%,74,2.2%
03/03/22,@,SAS,W,115,112,39,27,5,2,6/8,4/5,11/14,64,19.3%,93,180.0,39,6.9%,9,27.0%,45,83.3%,74,5.7%,26,7.7%,67,1.2%,,0.0%
03/02/22,@,NOP,L,95,125,31,19,4,1,6/11,3/6,4/5,48,16.2%,79,146.2,33,5.6%,51,8.3%,45,83.3%,53,2.9%,26,7.7%,,0.0%,57,1.4%
02/28/22,@,OKC,W,131,110,34,23,5,2,6/12,1/3,10/11,62,18.8%,78,143.8,34,5.9%,37,12.5%,,100.0%,82,7.4%,40,10.3%,,0.0%,75,2.4%
02/26/22,@,DEN,L,110,115,38,24,5,3,7/16,1/3,9/9,66,19.6%,69,133.3,56,10.7%,59,5.6%,57,71.4%,70,5.1%,28,8.1%,,0.0%,,0.0%
02/24/22,vs.,DEN,L,110,128,34,14,7,4,4/7,1/2,5/6,50,16.5%,74,140.0,67,13.8%,28,15.4%,72,50.0%,56,3.3%,89,23.1%,,0.0%,78,2.5%
02/16/22,@,CHI,L,118,125,34,17,4,1,4/7,2/3,7/8,39,14.7%,84,154.5,25,3.6%,24,17.4%,,100.0%,,0.0%,53,12.9%,,0.0%,55,1.3%
02/14/22,@,BKN,L,85,109,30,6,7,2,3/9,0/3,0/0,41,15.1%,16,66.7,56,11.1%,21,18.2%,59,66.7%,87,8.6%,58,14.3%,,0.0%,,0.0%
02/12/22,@,WAS,W,123,110,33,21,5,2,7/9,0/1,7/9,60,18.4%,92,175.0,50,9.5%,52,8.0%,83,42.9%,66,4.5%,56,13.8%,,0.0%,61,1.5%
02/09/22,vs.,MIN,W,132,119,36,30,8,3,8/11,4/5,10/10,42,15.2%,95,200.0,54,10.3%,54,7.4%,,100.0%,,0.0%,78,19.0%,,0.0%,,0.0%
02/08/22,vs.,MIN,L,114,134,32,21,6,3,4/7,1/3,12/12,44,15.6%,92,175.0,64,13.0%,,0.0%,51,75.0%,61,3.8%,53,12.8%,,0.0%,56,1.3%
02/05/22,vs.,OKC,W,113,103,37,24,9,5,8/17,2/6,6/9,86,25.3%,53,114.3,83,20.8%,,0.0%,51,75.0%,53,2.9%,83,20.6%,,0.0%,89,3.7%
02/03/22,@,GSW,L,114,126,39,25,5,3,8/11,1/3,8/9,61,18.6%,93,178.6,56,10.7%,21,18.8%,66,62.5%,55,3.2%,35,9.4%,,0.0%,51,1.2%
02/02/22,vs.,BKN,W,112,101,29,19,7,4,6/9,3/5,4/4,66,19.6%,91,172.7,83,21.1%,13,22.2%,45,83.3%,77,6.2%,84,20.8%,,0.0%,60,1.4%
01/31/22,@,NYK,L,96,116,33,11,5,2,4/8,1/4,2/7,64,19.2%,34,100.0,56,11.1%,16,21.4%,72,50.0%,77,6.2%,23,6.9%,,0.0%,58,1.4%
01/29/22,@,PHI,L,101,103,39,16,8,5,5/16,2/7,4/6,84,24.7%,27,84.2,80,20.0%,60,4.8%,67,60.0%,52,2.9%,72,17.2%,,0.0%,,0.0%
01/26/22,@,ATL,L,104,121,36,27,9,2,7/14,3/5,10/11,77,22.3%,77,142.1,46,8.7%,59,5.4%,57,71.4%,,0.0%,91,24.2%,,0.0%,,0.0%
01/25/22,@,BOS,L,75,128,30,4,4,2,1/12,0/6,2/2,75,21.5%,8,30.8,59,11.8%,,0.0%,95,0.0%,73,5.6%,18,5.7%,,0.0%,,0.0%
01/22/22,@,MIL,L,127,133,39,29,6,3,11/18,3/6,4/6,68,19.9%,74,138.1,54,10.3%,,0.0%,56,72.7%,50,2.7%,61,14.7%,,0.0%,,0.0%
01/19/22,vs.,DET,L,131,133,34,20,2,0,4/10,1/4,11/14,74,21.4%,62,125.0,,0.0%,57,6.1%,91,25.0%,,0.0%,23,7.1%,,0.0%,,0.0%
01/16/22,vs.,HOU,L,112,118,32,12,2,3,2/7,1/5,7/7,45,15.8%,58,120.0,65,13.6%,49,8.7%,,100.0%,,0.0%,36,9.5%,,0.0%,81,2.7%
01/14/22,vs.,HOU,W,126,114,38,16,9,6,5/9,2/5,4/4,50,16.5%,79,145.5,79,18.8%,17,20.0%,47,80.0%,,0.0%,83,20.5%,,0.0%,,0.0%
01/12/22,vs.,LAL,W,125,116,38,23,7,2,9/14,3/6,2/2,40,14.9%,88,164.3,37,6.7%,,0.0%,71,55.6%,56,3.3%,45,11.4%,67,1.2%,,0.0%
01/10/22,vs.,CLE,L,108,109,24,14,3,2,3/7,3/5,5/8,42,15.3%,65,127.3,50,9.5%,,0.0%,59,66.7%,52,2.9%,31,8.7%,,0.0%,59,1.4%
01/09/22,@,POR,L,88,103,31,13,7,2,5/10,2/5,1/1,36,14.1%,67,130.0,51,10.0%,45,10.0%,47,80.0%,74,5.7%,77,18.5%,77,1.8%,59,1.4%
01/07/22,@,DEN,L,111,121,34,9,9,2,3/8,1/3,2/2,29,12.8%,34,100.0,41,7.4%,45,10.0%,59,66.7%,52,2.9%,96,28.6%,,0.0%,,0.0%
01/05/22,vs.,ATL,L,102,108,29,8,7,2,3/10,2/4,0/0,55,17.6%,23,80.0,46,8.7%,25,16.7%,59,66.7%,,0.0%,86,21.7%,,0.0%,,0.0%
01/04/22,@,LAL,L,114,122,31,14,6,5,5/9,3/6,1/3,35,13.9%,74,140.0,80,19.2%,,0.0%,,100.0%,,0.0%,77,18.8%,,0.0%,,0.0%
01/02/22,vs.,MIA,W,115,113,30,10,2,0,4/7,2/4,0/0,36,14.1%,77,142.9,,0.0%,2,44.4%,,100.0%,,0.0%,16,5.3%,89,2.9%,63,1.6%
12/31/21,vs.,DAL,L,96,112,30,11,2,1,3/9,2/4,3/4,55,17.5%,34,100.0,36,6.2%,,0.0%,59,66.7%,54,3.1%,13,4.3%,,0.0%,,0.0%
12/29/21,vs.,DAL,W,95,94,34,14,6,1,4/10,2/4,4/4,55,17.6%,55,116.7,27,4.3%,51,8.3%,51,75.0%,60,3.7%,68,16.7%,,0.0%,,0.0%
12/28/21,vs.,OKC,W,117,111,32,17,4,1,5/11,5/9,2/2,36,14.3%,76,141.7,28,4.5%,25,16.7%,,100.0%,49,2.4%,29,8.3%,68,1.3%,,0.0%
12/26/21,vs.,MEM,L,102,127,32,12,7,3,4/10,3/5,1/3,55,17.6%,48,109.1,76,17.6%,28,15.4%,51,75.0%,74,5.7%,56,13.5%,68,1.3%,57,1.4%
12/22/21,vs.,LAC,L,89,105,40,18,4,2,7/15,3/8,1/1,64,19.2%,58,120.0,54,10.5%,13,22.9%,57,71.4%,,0.0%,54,13.3%,,0.0%,50,1.1%
12/20/21,@,GSW,L,98,113,37,19,6,3,6/11,4/7,3/5,36,14.0%,79,146.2,70,15.0%,52,8.0%,,100.0%,49,2.4%,53,12.9%,,0.0%,,0.0%
12/19/21,vs.,SAS,W,121,114,40,14,7,3,4/11,1/3,5/6,41,15.0%,47,107.7,47,9.1%,,0.0%,72,50.0%,50,2.7%,66,15.8%,,0.0%,,0.0%
12/17/21,vs.,MEM,L,105,124,36,20,4,4,5/16,3/7,7/7,82,23.8%,46,105.3,72,16.0%,60,4.9%,67,60.0%,52,2.9%,26,7.5%,,0.0%,51,1.2%
12/15/21,vs.,WAS,W,119,105,32,19,5,3,6/10,1/4,6/6,58,18.1%,86,158.3,60,12.0%,53,7.7%,72,50.0%,63,4.2%,49,12.1%,,0.0%,59,1.4%
12/13/21,@,TOR,L,101,124,22,3,4,2,1/9,1/5,0/0,64,19.1%,8,33.3,64,13.3%,47,9.5%,,100.0%,,0.0%,78,19.0%,,0.0%,,0.0%
