Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,PHX,L,109,115,40,16,4,4,5/9,1/2,5/5,43,15.0%,78,145.5,63,12.9%,30,14.8%,71,60.0%,53,2.9%,49,12.5%,,0.0%,95,4.4%
04/26/22,@,PHX,L,97,112,40,4,7,0,1/5,1/3,1/2,13,8.9%,15,66.7,,0.0%,4,35.3%,,100.0%,46,2.3%,72,17.1%,87,2.7%,72,2.1%
04/24/22,vs.,PHX,W,118,103,35,13,2,3,3/7,0/1,7/8,41,14.7%,56,118.2,64,13.6%,,0.0%,61,66.7%,53,2.9%,9,3.0%,97,4.7%,80,2.6%
04/22/22,vs.,PHX,L,111,114,39,12,3,1,5/7,0/1,2/3,21,10.3%,70,133.3,28,3.8%,45,11.1%,71,60.0%,75,6.1%,0,0.0%,,0.0%,56,1.1%
04/19/22,@,PHX,W,125,114,39,14,1,3,5/8,2/3,2/4,25,10.9%,75,140.0,48,9.1%,48,10.0%,,100.0%,,0.0%,8,2.6%,,0.0%,52,1.1%
04/17/22,@,PHX,L,99,110,31,5,3,0,2/8,1/2,0/0,22,10.5%,14,62.5,,0.0%,43,11.8%,78,50.0%,81,7.1%,0,0.0%,,0.0%,59,1.2%
04/15/22,@,LAC,W,105,101,32,7,7,1,2/6,1/3,2/2,20,10.1%,35,100.0,27,3.7%,37,13.3%,,100.0%,56,3.1%,65,15.2%,75,1.5%,,0.0%
04/13/22,vs.,SAS,W,113,103,37,12,5,3,5/7,2/4,0/0,21,10.4%,90,171.4,52,10.0%,10,23.5%,51,80.0%,60,3.6%,23,7.3%,88,2.8%,78,2.4%
04/09/22,@,MEM,L,114,141,17,4,1,0,2/4,0/1,0/0,5,7.0%,34,100.0,,0.0%,,0.0%,,100.0%,65,4.3%,0,0.0%,86,2.6%,94,4.7%
04/07/22,vs.,POR,W,127,94,25,9,8,3,3/6,1/3,2/2,28,12.7%,66,128.6,65,13.6%,,0.0%,59,66.7%,98,16.7%,77,18.8%,85,2.4%,,0.0%
04/05/22,@,SAC,W,123,109,33,8,0,1,2/6,1/3,3/3,12,9.4%,53,114.3,25,3.3%,34,13.3%,,100.0%,,0.0%,0,0.0%,,0.0%,95,5.0%
04/03/22,@,LAC,L,100,119,32,13,8,2,4/9,1/3,4/6,56,17.8%,48,108.3,51,10.0%,30,14.8%,51,75.0%,89,9.4%,47,11.8%,92,3.2%,56,1.3%
04/01/22,@,LAL,W,114,111,36,12,1,1,4/9,1/5,3/4,24,11.9%,48,109.1,26,3.8%,,0.0%,,100.0%,,0.0%,0,0.0%,71,1.5%,54,1.2%
03/30/22,@,POR,W,117,107,31,2,1,5,1/6,0/1,0/0,32,13.4%,8,33.3,80,20.0%,41,11.1%,,100.0%,,0.0%,12,3.8%,77,1.8%,97,6.0%
03/27/22,vs.,LAL,W,116,108,38,16,2,2,6/14,3/7,1/2,48,16.3%,47,106.7,36,6.2%,,0.0%,45,83.3%,53,2.9%,11,3.4%,,0.0%,99,7.2%
03/26/22,vs.,SAS,L,103,107,32,4,3,0,2/11,0/5,0/1,64,19.3%,9,36.4,,0.0%,13,22.2%,72,50.0%,,0.0%,32,8.8%,,0.0%,82,2.9%
03/24/22,vs.,CHI,W,126,109,24,7,3,3,2/5,1/2,2/2,47,16.1%,55,116.7,73,16.7%,13,22.2%,72,50.0%,67,4.8%,41,10.5%,,0.0%,88,3.6%
03/21/22,@,CHA,L,103,106,19,5,2,2,1/5,1/2,2/2,46,16.0%,25,83.3,61,12.5%,34,13.3%,,100.0%,,0.0%,54,13.3%,91,3.1%,93,4.3%
03/20/22,@,ATL,W,117,112,37,11,3,2,4/6,1/2,2/3,8,8.2%,85,157.1,37,6.5%,37,12.5%,72,50.0%,,0.0%,27,7.9%,,0.0%,92,4.1%
03/18/22,@,SAS,W,124,91,26,13,7,3,5/6,1/2,2/2,42,15.3%,94,185.7,70,15.0%,41,11.1%,93,20.0%,,0.0%,80,19.4%,,0.0%,65,1.7%
03/15/22,vs.,PHX,L,115,131,32,22,5,0,7/11,3/6,5/5,53,17.1%,90,169.2,,0.0%,28,15.4%,70,57.1%,85,8.0%,46,11.5%,,0.0%,91,3.9%
03/13/22,vs.,HOU,W,130,105,30,7,3,2,3/11,0/4,1/2,77,22.2%,14,58.3,41,7.7%,10,25.0%,59,66.7%,59,3.6%,36,9.5%,,0.0%,59,1.4%
03/11/22,vs.,CHA,L,120,142,34,12,2,8,3/6,0/2,6/8,65,19.4%,58,120.0,95,32.0%,36,12.9%,86,33.3%,54,3.0%,12,4.2%,,0.0%,54,1.2%
03/09/22,vs.,ORL,L,102,108,27,15,2,3,6/10,2/2,1/2,67,19.8%,73,136.4,80,20.0%,27,16.0%,59,66.7%,56,3.3%,15,5.0%,,0.0%,,0.0%
03/08/22,@,MEM,L,111,132,24,10,4,2,4/5,0/0,2/2,8,8.2%,95,200.0,54,10.5%,,0.0%,51,75.0%,88,9.1%,36,9.5%,,0.0%,67,1.8%
03/06/22,@,DEN,L,130,138,40,7,4,2,3/9,1/3,0/0,37,14.4%,23,77.8,36,6.1%,12,24.0%,86,33.3%,,0.0%,38,10.0%,,0.0%,87,3.4%
03/04/22,vs.,UTA,W,124,90,27,2,2,4,1/4,0/2,0/0,9,8.5%,11,50.0,70,15.4%,,0.0%,,100.0%,,0.0%,18,5.9%,80,1.9%,94,4.6%
03/02/22,vs.,SAC,W,125,95,32,14,6,0,5/7,2/4,2/2,22,11.4%,92,175.0,,0.0%,10,25.0%,47,80.0%,85,8.0%,42,10.8%,96,4.6%,82,2.9%
02/27/22,@,LAL,W,123,95,31,11,6,3,4/12,0/2,3/3,70,20.4%,27,84.6,61,12.5%,36,12.9%,72,50.0%,80,6.9%,49,12.1%,,0.0%,91,3.9%
02/25/22,@,PHX,W,117,102,32,2,5,1,0/9,0/2,2/2,35,14.0%,7,20.0,26,4.0%,49,8.7%,,,87,8.8%,23,7.1%,74,1.6%,89,3.7%
02/17/22,vs.,DAL,L,118,125,33,9,6,3,3/8,0/1,3/3,57,17.9%,34,100.0,51,9.7%,7,28.6%,86,33.3%,90,10.0%,33,9.1%,,0.0%,,0.0%
02/15/22,vs.,MEM,L,109,121,30,8,4,0,3/5,0/1,2/2,11,9.1%,69,133.3,,0.0%,25,16.7%,59,66.7%,82,7.4%,11,3.6%,,0.0%,62,1.5%
02/14/22,vs.,TOR,W,120,90,26,11,1,5,5/7,1/1,0/0,49,16.3%,85,157.1,86,22.7%,39,11.8%,47,80.0%,,0.0%,9,2.7%,,0.0%,,0.0%
02/12/22,vs.,SAS,L,114,124,39,13,4,3,3/5,2/3,5/5,18,10.7%,94,185.7,47,8.8%,13,22.2%,,100.0%,55,3.2%,31,8.6%,67,1.3%,76,2.4%
02/10/22,vs.,MIA,L,97,112,29,7,3,2,2/4,0/2,3/3,33,13.5%,74,140.0,54,10.5%,4,35.3%,72,50.0%,82,7.4%,12,4.0%,98,5.4%,63,1.6%
02/08/22,vs.,HOU,W,110,97,31,10,11,3,5/11,0/3,0/0,72,20.8%,31,90.9,67,14.3%,17,20.0%,93,20.0%,98,16.1%,75,18.2%,,0.0%,92,4.2%
02/06/22,@,HOU,W,120,107,31,9,2,3,2/3,1/2,4/5,32,13.4%,93,180.0,61,12.5%,4,33.3%,72,50.0%,,0.0%,29,8.3%,,0.0%,61,1.5%
02/04/22,@,DEN,W,113,105,34,25,2,0,8/10,3/4,6/6,52,16.9%,95,192.3,,0.0%,51,8.3%,72,50.0%,,0.0%,26,7.7%,,0.0%,82,2.8%
02/01/22,@,DET,W,111,101,22,6,7,2,3/4,0/0,0/0,22,11.5%,80,150.0,64,13.3%,4,33.3%,59,66.7%,90,10.0%,75,18.2%,,0.0%,69,1.9%
01/31/22,@,CLE,L,90,93,31,3,2,4,0/7,0/3,3/3,50,16.7%,9,37.5,79,19.0%,25,16.7%,,,,0.0%,18,5.7%,76,1.7%,59,1.4%
01/29/22,vs.,BOS,L,97,107,35,11,4,4,4/11,1/5,2/2,50,16.5%,31,91.7,83,21.1%,,0.0%,72,50.0%,51,2.8%,26,7.7%,,0.0%,,0.0%
