Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,@,PHI,L,106,118,13,10,6,2,4/4,2/2,0/0,22,11.7%,99,250.0,85,22.2%,,0.0%,51,75.0%,56,8.3%,78,26.7%,,0.0%,,0.0%
04/08/22,vs.,MIL,L,101,131,27,5,12,4,1/6,1/4,2/2,34,13.9%,15,71.4,88,25.0%,,0.0%,,100.0%,83,15.2%,78,26.9%,80,3.5%,,0.0%
04/06/22,vs.,DAL,L,113,131,28,19,14,1,6/13,3/3,4/4,73,21.5%,57,126.7,50,9.1%,61,7.1%,44,83.3%,92,19.4%,80,27.8%,62,2.0%,,0.0%
04/03/22,@,IND,W,121,117,22,5,8,1,2/5,1/1,0/0,15,10.0%,27,100.0,35,5.0%,29,18.2%,,100.0%,56,8.3%,96,40.0%,67,2.4%,,0.0%
04/01/22,@,OKC,W,110,101,6,2,2,1,1/1,0/0,0/0,6,7.1%,92,200.0,88,25.0%,,0.0%,,100.0%,,0.0%,89,33.3%,,0.0%,,0.0%
03/31/22,vs.,PHI,W,102,94,27,0,12,3,0/4,0/2,0/0,21,11.4%,1,0.0,71,15.0%,37,15.4%,,,29,3.4%,98,42.9%,,0.0%,,0.0%
03/29/22,@,BKN,L,123,130,31,15,11,2,6/14,2/3,1/2,62,19.2%,27,100.0,48,8.3%,43,13.3%,,100.0%,94,21.2%,35,14.3%,80,3.6%,,0.0%
03/27/22,vs.,NYK,L,102,104,37,10,10,3,4/6,2/3,0/0,6,7.1%,85,166.7,61,11.5%,,0.0%,,100.0%,59,8.8%,42,15.8%,51,1.4%,61,1.3%
03/25/22,vs.,WAS,L,97,100,25,12,8,1,5/8,0/1,2/2,45,15.8%,61,133.3,39,5.9%,24,21.1%,46,80.0%,52,7.7%,68,23.1%,63,2.1%,,0.0%
03/23/22,vs.,ATL,W,122,101,23,8,10,0,4/7,0/0,0/0,32,13.6%,45,114.3,,0.0%,14,26.7%,51,75.0%,68,11.1%,71,24.1%,64,2.2%,71,1.8%
03/21/22,vs.,POR,L,115,119,31,8,13,1,2/6,0/1,4/4,22,11.6%,27,100.0,32,4.2%,25,20.0%,75,50.0%,73,12.1%,64,21.9%,73,2.9%,,0.0%
03/19/22,@,CLE,L,109,113,22,8,12,0,4/6,0/0,0/0,24,12.0%,61,133.3,,0.0%,33,16.7%,75,50.0%,68,11.1%,98,42.9%,,0.0%,,0.0%
03/17/22,@,ORL,W,134,120,30,16,10,1,7/10,0/1,2/3,26,12.3%,72,145.5,35,5.0%,,0.0%,57,71.4%,63,9.7%,43,16.2%,,0.0%,63,1.4%
03/15/22,@,MIA,L,98,105,22,2,8,1,0/5,0/0,2/2,59,18.5%,6,33.3,43,7.1%,19,23.5%,,,62,9.5%,80,27.8%,90,5.3%,,0.0%
03/07/22,vs.,ATL,W,113,110,10,0,2,0,0/1,0/0,0/0,4,5.9%,1,0.0,,0.0%,,0.0%,,,79,14.3%,35,14.3%,,0.0%,,0.0%
03/04/22,vs.,IND,W,111,106,27,8,13,2,4/7,0/0,0/1,47,16.2%,45,114.3,57,10.5%,12,28.6%,93,25.0%,96,24.1%,43,16.2%,56,1.6%,,0.0%
03/03/22,@,TOR,W,108,106,30,10,8,1,5/7,0/0,0/0,20,11.2%,70,142.9,35,5.0%,14,26.7%,46,80.0%,79,14.3%,32,13.3%,79,3.4%,,0.0%
03/01/22,@,WAS,L,113,116,27,9,9,1,3/9,0/0,3/4,51,16.9%,20,81.8,33,4.3%,57,8.7%,59,66.7%,88,17.2%,20,10.0%,62,2.0%,65,1.5%
02/27/22,@,CHA,W,127,126,29,7,10,2,3/8,0/0,1/2,31,13.4%,18,77.8,48,8.3%,,0.0%,89,33.3%,86,16.7%,40,15.4%,80,3.6%,64,1.4%
02/26/22,vs.,BOS,L,104,113,30,9,10,0,3/9,0/0,3/3,46,15.9%,24,90.0,,0.0%,29,18.2%,59,66.7%,77,13.3%,60,20.7%,56,1.6%,,0.0%
02/24/22,vs.,CLE,W,106,103,19,11,8,0,4/6,1/1,2/2,20,11.2%,80,157.1,,0.0%,,0.0%,51,75.0%,91,19.2%,44,16.7%,68,2.4%,,0.0%
02/16/22,@,BOS,W,112,111,29,12,6,2,6/10,0/0,0/0,28,12.7%,50,120.0,50,8.7%,,0.0%,44,83.3%,71,11.5%,39,15.0%,60,1.9%,66,1.5%
