Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/07/22,@,GSW,L,112,142,36,31,3,7,12/20,3/6,4/5,75,33.1%,80,140.9,61,31.8%,66,7.3%,86,0.0%,65,2.8%,28,8.0%,,0.0%,92,3.6%
05/03/22,vs.,GSW,W,106,101,40,47,8,8,15/31,5/12,12/13,95,43.4%,72,127.0,90,44.4%,74,4.7%,85,6.7%,81,4.3%,62,13.6%,,0.0%,83,3.1%
05/01/22,vs.,GSW,L,116,117,38,34,9,10,14/31,4/11,2/3,89,38.7%,43,103.0,99,52.6%,65,7.6%,72,21.4%,,0.0%,88,22.5%,,0.0%,82,2.9%
04/29/22,@,MIN,W,114,106,38,17,8,11,4/14,0/5,9/12,71,32.1%,31,89.5,78,37.9%,26,16.9%,86,0.0%,93,8.6%,46,11.1%,77,1.3%,37,1.1%
04/26/22,vs.,MIN,W,111,109,45,30,13,9,9/22,1/4,11/17,70,31.9%,37,100.0,62,32.1%,36,13.2%,54,33.3%,76,3.8%,93,26.2%,,0.0%,75,2.5%
04/23/22,@,MIN,L,118,119,34,11,8,15,4/13,0/2,3/3,62,30.3%,22,78.6,100,55.6%,57,8.7%,65,25.0%,,0.0%,95,26.9%,,0.0%,51,1.3%
04/21/22,@,MIN,W,104,95,41,16,10,10,5/18,1/3,5/10,80,34.8%,16,69.6,82,38.5%,20,20.3%,73,20.0%,84,5.1%,80,18.2%,98,3.9%,35,1.0%
04/19/22,vs.,MIN,W,124,96,29,23,9,10,9/16,2/4,3/4,83,35.5%,73,127.8,95,50.0%,62,8.2%,80,11.1%,72,3.4%,91,25.0%,,0.0%,57,1.4%
04/16/22,vs.,MIN,L,117,130,35,32,4,8,8/18,0/2,16/20,92,40.7%,58,114.3,79,38.1%,57,8.6%,86,0.0%,,0.0%,34,8.6%,,0.0%,41,1.2%
04/09/22,vs.,NOP,W,141,114,23,15,4,7,5/12,0/1,5/7,92,38.6%,35,100.0,71,36.8%,24,18.2%,72,20.0%,98,11.8%,34,7.7%,,0.0%,,0.0%
03/18/22,@,ATL,L,105,120,33,29,3,4,11/23,0/1,7/9,97,42.5%,49,107.4,38,25.0%,26,17.6%,75,18.2%,66,3.0%,28,6.7%,,0.0%,,0.0%
03/13/22,@,OKC,W,125,118,33,17,5,10,7/14,0/2,3/5,55,26.7%,47,106.3,76,40.0%,45,13.0%,62,28.6%,59,2.6%,51,10.5%,,0.0%,,0.0%
03/11/22,vs.,NYK,W,118,114,38,37,4,8,14/32,1/3,8/10,96,40.8%,35,100.0,81,42.1%,79,4.8%,79,14.3%,56,2.1%,30,7.0%,76,1.3%,64,1.9%
03/08/22,vs.,NOP,W,132,111,27,24,8,8,8/13,2/4,6/7,71,30.3%,92,160.0,66,34.8%,58,10.0%,65,25.0%,76,3.8%,99,31.8%,91,2.0%,81,3.0%
03/06/22,@,HOU,L,112,123,35,22,4,6,7/19,0/2,8/8,86,34.7%,34,95.7,43,26.1%,31,16.4%,79,14.3%,,0.0%,44,9.4%,,0.0%,69,2.3%
03/05/22,vs.,ORL,W,124,96,28,25,4,7,9/17,3/6,4/7,95,40.5%,68,125.0,80,41.2%,50,11.8%,70,22.2%,,0.0%,76,16.0%,,0.0%,59,1.6%
03/03/22,@,BOS,L,107,120,37,38,4,7,13/29,4/12,8/8,97,42.0%,57,115.2,60,33.3%,78,5.4%,70,23.1%,81,4.8%,27,6.5%,,0.0%,,0.0%
