Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,NOP,L,103,113,31,16,9,1,7/10,0/0,2/4,54,15.7%,70,145.5,41,5.6%,34,18.2%,61,71.4%,65,9.1%,69,23.1%,63,1.7%,86,2.9%
04/10/22,@,DAL,L,120,130,29,12,10,0,6/11,0/0,0/0,49,16.4%,41,109.1,,0.0%,55,9.5%,75,50.0%,79,14.3%,70,24.0%,56,1.7%,67,1.6%
04/07/22,@,MIN,L,121,127,31,15,17,3,7/11,0/0,1/2,57,18.1%,55,125.0,67,13.6%,37,15.4%,57,71.4%,52,7.7%,95,38.7%,87,4.5%,,0.0%
04/05/22,@,DEN,W,116,97,23,14,8,3,5/7,0/0,4/8,85,25.5%,58,127.3,86,23.1%,20,23.1%,,100.0%,,0.0%,76,25.9%,,0.0%,,0.0%
04/01/22,vs.,POR,W,130,111,23,13,6,3,6/10,0/0,1/1,55,17.6%,60,130.0,68,14.3%,,0.0%,59,66.7%,36,4.8%,64,21.7%,64,2.1%,,0.0%
03/30/22,vs.,MEM,L,111,112,34,9,7,5,4/6,0/0,1/2,28,12.9%,58,128.6,85,21.7%,50,11.1%,51,75.0%,49,7.1%,31,12.9%,,0.0%,,0.0%
03/28/22,@,HOU,W,123,120,27,17,13,0,8/10,0/0,1/2,26,12.5%,79,154.5,,0.0%,,0.0%,69,62.5%,89,17.9%,69,23.5%,76,3.2%,65,1.5%
03/26/22,@,NOP,W,107,103,30,12,11,3,6/10,0/0,0/0,59,18.6%,50,120.0,71,15.0%,37,15.4%,94,16.7%,82,14.7%,53,18.8%,90,5.1%,,0.0%
03/23/22,@,POR,W,133,96,24,16,9,1,8/13,0/0,0/0,82,24.2%,54,123.1,37,5.6%,25,20.7%,75,50.0%,98,27.3%,26,11.5%,100,12.0%,69,1.7%
03/20/22,@,GSW,W,110,108,26,7,14,2,2/7,0/0,3/6,41,15.2%,15,70.0,58,11.1%,,0.0%,,100.0%,96,22.9%,50,17.9%,61,2.0%,,0.0%
03/18/22,vs.,NOP,L,91,124,27,7,8,3,3/7,0/0,1/3,48,16.4%,23,87.5,84,21.4%,53,10.0%,89,33.3%,59,9.1%,55,19.2%,,0.0%,,0.0%
03/16/22,vs.,OKC,W,122,120,29,15,14,1,7/10,0/0,1/1,51,16.9%,74,150.0,40,6.2%,16,25.0%,87,42.9%,79,14.3%,95,38.1%,62,2.0%,64,1.4%
03/14/22,vs.,MIN,L,139,149,29,21,4,1,9/12,0/0,3/4,52,17.1%,74,150.0,32,4.0%,60,8.0%,59,66.7%,56,8.3%,16,8.3%,90,5.2%,,0.0%
03/11/22,vs.,UTA,W,104,102,29,15,11,1,6/11,0/0,3/6,76,22.4%,40,107.1,40,6.2%,25,20.0%,44,83.3%,84,15.4%,47,17.1%,79,3.4%,,0.0%
03/09/22,vs.,TOR,L,104,119,34,11,12,2,5/8,0/0,1/1,38,14.7%,67,137.5,53,9.5%,14,27.3%,87,40.0%,82,14.7%,69,23.3%,54,1.6%,,0.0%
03/07/22,vs.,LAL,W,117,110,25,18,8,4,6/10,0/0,6/8,88,26.7%,58,128.6,85,22.2%,63,6.5%,75,50.0%,93,21.1%,27,12.0%,,0.0%,,0.0%
03/05/22,@,CHA,L,117,123,30,11,5,3,4/8,0/0,3/5,54,17.4%,42,110.0,65,13.0%,19,24.0%,,100.0%,26,2.9%,28,12.5%,77,3.2%,63,1.4%
03/03/22,vs.,SAC,L,112,115,33,16,6,4,8/14,0/0,0/0,44,15.6%,45,114.3,71,15.4%,,0.0%,41,87.5%,44,6.1%,32,13.3%,53,1.5%,81,2.5%
02/28/22,@,MEM,L,105,118,32,16,10,4,8/11,0/0,0/2,54,17.5%,61,133.3,76,17.4%,23,21.4%,51,75.0%,63,10.0%,60,20.7%,53,1.5%,81,2.5%
02/25/22,@,WAS,W,157,153,41,28,11,8,12/15,0/0,4/8,75,22.1%,73,147.4,90,25.8%,65,4.8%,75,50.0%,92,20.0%,38,14.7%,66,2.3%,,0.0%
02/16/22,@,OKC,W,114,106,31,20,17,5,10/14,0/0,0/1,75,22.1%,70,142.9,88,25.0%,32,17.6%,75,50.0%,86,16.2%,80,27.5%,70,2.7%,,0.0%
02/14/22,@,CHI,L,109,120,30,13,9,4,6/9,0/0,1/2,51,16.9%,60,130.0,78,18.2%,32,17.4%,44,83.3%,30,3.6%,92,35.0%,,0.0%,,0.0%
02/12/22,@,NOP,W,124,114,29,7,11,2,3/7,0/0,1/2,28,12.7%,23,87.5,45,7.7%,,0.0%,59,66.7%,89,17.9%,53,18.8%,96,6.8%,88,3.2%
02/11/22,@,ATL,W,136,121,27,9,5,3,3/6,0/0,3/4,49,16.4%,44,112.5,54,9.7%,14,27.3%,,100.0%,,0.0%,41,15.6%,89,5.0%,66,1.5%
02/09/22,@,CLE,L,92,105,29,6,11,2,3/5,0/0,0/0,28,12.9%,50,120.0,61,11.8%,3,44.4%,59,66.7%,63,10.0%,76,25.9%,91,5.4%,85,2.9%
02/04/22,vs.,HOU,W,131,106,33,21,10,3,9/15,0/0,3/4,77,22.7%,54,123.5,58,10.7%,50,11.4%,59,66.7%,52,7.7%,65,22.2%,87,4.5%,61,1.3%
02/01/22,vs.,GSW,L,120,124,12,7,5,1,3/4,0/0,1/2,56,17.9%,68,140.0,54,10.0%,25,20.0%,,100.0%,90,18.2%,79,27.3%,87,4.5%,91,3.6%
01/28/22,vs.,CHI,W,131,122,32,21,11,4,9/12,0/0,3/5,54,17.4%,74,150.0,68,13.8%,,0.0%,50,77.8%,98,26.1%,32,13.3%,55,1.6%,,0.0%
01/26/22,vs.,MEM,L,110,118,33,18,7,5,8/8,0/0,2/4,37,14.5%,90,180.0,84,20.8%,,0.0%,89,37.5%,77,13.3%,26,11.5%,93,5.9%,82,2.6%
01/25/22,@,HOU,W,134,104,21,18,9,3,9/13,0/0,0/0,89,27.2%,68,138.5,73,15.8%,60,8.0%,59,66.7%,84,15.4%,89,33.3%,88,4.8%,,0.0%
01/23/22,vs.,PHI,L,109,115,39,25,10,2,11/16,0/0,3/4,59,18.4%,68,138.9,45,7.4%,63,6.2%,57,72.7%,73,12.1%,47,17.1%,90,5.1%,,0.0%
01/21/22,vs.,BKN,L,102,117,36,15,11,1,6/12,0/0,3/5,34,14.0%,40,107.1,34,4.5%,,0.0%,44,83.3%,70,11.4%,42,15.8%,82,3.8%,,0.0%
01/19/22,vs.,OKC,W,118,96,26,13,8,4,6/9,0/0,1/2,49,16.7%,60,130.0,73,16.7%,55,9.5%,44,83.3%,72,12.0%,52,18.5%,97,7.3%,68,1.6%
01/17/22,vs.,PHX,L,107,121,30,23,14,4,9/12,0/0,5/7,86,25.7%,79,153.3,80,19.0%,33,17.1%,74,55.6%,95,22.2%,72,25.0%,76,3.1%,,0.0%
01/14/22,vs.,CLE,L,109,114,33,0,12,2,0/4,0/0,0/0,8,7.9%,1,0.0,43,7.1%,33,16.7%,,,26,2.8%,86,30.6%,87,4.4%,82,2.6%
01/12/22,vs.,HOU,L,124,128,31,13,6,3,4/5,0/0,5/7,26,12.5%,84,162.5,61,11.5%,24,21.1%,,100.0%,59,8.8%,31,13.0%,79,3.4%,82,2.6%
01/10/22,@,NYK,L,96,111,24,12,10,3,6/12,0/0,0/1,85,25.4%,27,100.0,88,25.0%,25,20.7%,59,66.7%,96,23.3%,31,13.0%,85,4.3%,,0.0%
01/09/22,@,BKN,L,119,121,36,11,12,3,5/10,0/0,1/3,35,14.1%,27,100.0,62,12.0%,59,8.3%,70,60.0%,88,17.1%,32,13.2%,72,2.8%,91,3.5%
01/07/22,@,PHI,L,100,119,30,17,6,1,7/12,0/0,3/4,44,15.7%,53,121.4,35,5.0%,,0.0%,,100.0%,44,6.1%,31,13.0%,59,1.8%,64,1.4%
01/05/22,@,BOS,W,99,97,35,8,14,1,4/7,0/0,0/0,15,10.0%,45,114.3,31,3.6%,43,13.3%,75,50.0%,44,6.2%,92,34.3%,53,1.5%,62,1.3%
01/04/22,@,TOR,L,104,129,23,19,12,4,9/13,0/0,1/5,91,28.4%,57,126.7,92,28.6%,48,12.1%,74,55.6%,84,15.4%,92,34.8%,,0.0%,,0.0%
01/01/22,@,DET,L,116,117,36,15,12,5,6/11,0/0,3/6,72,21.4%,40,107.1,84,20.8%,10,30.8%,,100.0%,73,12.5%,52,18.4%,52,1.4%,57,1.1%
12/31/21,@,MEM,L,105,118,24,15,7,1,7/12,0/0,1/4,61,18.9%,40,107.1,40,6.2%,,0.0%,42,85.7%,77,13.3%,20,10.0%,80,3.5%,,0.0%
12/27/21,vs.,UTA,L,104,110,27,10,13,5,5/11,0/0,0/2,81,23.8%,21,83.3,90,26.3%,43,13.3%,70,60.0%,76,12.9%,80,27.6%,,0.0%,68,1.6%
12/26/21,vs.,DET,W,144,109,15,14,4,2,7/8,0/0,0/0,81,23.7%,88,175.0,71,15.4%,8,33.3%,42,85.7%,97,25.0%,28,12.5%,,0.0%,,0.0%
12/23/21,@,LAL,W,138,110,21,8,3,2,4/8,0/0,0/0,46,16.0%,27,100.0,68,14.3%,,0.0%,51,75.0%,62,9.5%,8,4.5%,,0.0%,,0.0%
12/20/21,@,LAC,W,116,92,29,17,11,5,8/13,0/0,1/3,58,18.3%,53,121.4,80,20.0%,43,13.3%,41,87.5%,76,12.8%,53,18.8%,77,3.3%,92,3.7%
12/19/21,@,SAC,L,114,121,34,4,8,3,2/10,0/0,0/0,44,15.6%,7,40.0,58,10.7%,59,8.3%,75,50.0%,79,14.3%,22,10.3%,74,3.0%,61,1.3%
12/17/21,@,UTA,W,128,126,33,14,5,3,7/12,0/0,0/0,44,15.6%,47,116.7,54,9.7%,59,8.3%,57,71.4%,61,9.4%,12,6.7%,71,2.8%,61,1.3%
12/15/21,vs.,CHA,L,115,131,25,9,4,0,4/7,0/0,1/1,16,10.2%,58,128.6,,0.0%,,0.0%,51,75.0%,54,8.0%,40,15.4%,,0.0%,72,1.9%
12/12/21,vs.,NOP,W,112,97,34,24,12,3,10/12,0/0,4/9,74,21.8%,74,150.0,62,12.0%,19,23.5%,41,90.0%,97,25.0%,32,13.2%,73,2.9%,61,1.3%
