Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/26/22,@,GSW,L,110,120,30,10,2,4,3/10,0/2,4/6,70,24.6%,27,76.9,74,26.7%,,0.0%,73,33.3%,,0.0%,39,6.9%,,0.0%,,0.0%
05/24/22,vs.,GSW,W,119,109,34,15,5,5,5/12,1/2,4/5,62,22.9%,53,107.1,61,21.7%,,0.0%,84,20.0%,68,3.3%,69,12.9%,79,1.4%,,0.0%
05/22/22,vs.,GSW,L,100,109,37,20,5,3,7/12,3/6,3/4,43,19.6%,82,142.9,50,17.6%,57,6.9%,52,57.1%,66,3.1%,65,12.1%,,0.0%,,0.0%
05/20/22,@,GSW,L,117,126,36,31,7,5,11/19,5/7,4/6,86,28.8%,84,147.6,73,26.3%,51,8.9%,54,54.5%,,0.0%,97,26.9%,,0.0%,,0.0%
05/18/22,@,GSW,L,87,112,32,14,4,4,6/16,0/5,2/4,85,28.8%,28,77.8,69,25.0%,63,4.8%,90,0.0%,65,2.9%,61,11.5%,,0.0%,55,1.4%
05/15/22,@,PHX,W,123,90,28,24,6,1,11/19,2/4,0/0,91,30.5%,72,126.3,18,6.2%,,0.0%,82,27.3%,95,12.0%,54,10.0%,,0.0%,60,1.7%
05/12/22,vs.,PHX,W,113,86,35,18,1,2,6/14,0/3,6/6,57,21.7%,52,105.9,20,7.7%,,0.0%,54,50.0%,,0.0%,17,3.2%,,0.0%,89,3.9%
05/10/22,@,PHX,L,80,110,35,21,7,2,9/17,0/1,3/6,95,35.0%,51,105.0,38,14.3%,29,16.3%,89,11.1%,,0.0%,96,25.9%,,0.0%,56,1.4%
05/08/22,vs.,PHX,W,111,101,38,18,4,4,7/17,1/3,3/4,77,26.5%,43,94.7,45,16.7%,50,9.3%,69,42.9%,64,2.9%,49,8.8%,,0.0%,,0.0%
05/06/22,vs.,PHX,W,103,94,36,28,4,5,10/21,1/5,7/7,89,30.0%,62,116.7,73,26.3%,64,4.2%,41,70.0%,,0.0%,62,11.8%,,0.0%,,0.0%
05/04/22,@,PHX,L,109,129,28,9,5,2,3/11,1/2,2/2,70,25.0%,23,75.0,38,14.3%,20,19.4%,73,33.3%,71,3.7%,92,22.2%,,0.0%,58,1.6%
05/02/22,@,PHX,L,114,121,31,13,4,3,6/16,0/1,1/1,77,26.4%,30,81.3,38,14.3%,62,5.4%,90,0.0%,86,6.5%,34,6.2%,,0.0%,56,1.4%
04/28/22,@,UTA,W,98,96,38,24,3,2,9/17,2/4,4/6,74,25.3%,64,120.0,36,13.3%,,0.0%,67,44.4%,,0.0%,46,8.3%,,0.0%,76,2.7%
04/25/22,vs.,UTA,W,102,77,37,24,5,4,9/20,1/7,5/5,90,30.4%,54,109.1,54,19.0%,64,4.2%,84,22.2%,83,5.7%,50,9.1%,,0.0%,53,1.3%
04/23/22,@,UTA,L,99,100,35,23,5,3,7/18,2/5,7/8,89,30.1%,55,109.5,38,14.3%,,0.0%,87,14.3%,68,3.3%,58,10.8%,,0.0%,,0.0%
04/21/22,@,UTA,W,126,118,35,31,1,5,12/22,0/4,7/7,98,38.2%,75,129.2,67,23.8%,66,3.6%,90,0.0%,,0.0%,26,5.0%,,0.0%,,0.0%
04/18/22,vs.,UTA,W,110,104,42,41,8,5,15/25,6/10,5/7,97,36.4%,83,146.4,67,23.8%,,0.0%,88,13.3%,,0.0%,88,18.6%,,0.0%,73,2.5%
04/16/22,vs.,UTA,L,93,99,41,24,7,5,9/24,1/3,5/6,96,35.4%,41,92.3,85,31.2%,57,6.9%,73,33.3%,79,5.0%,68,12.8%,,0.0%,,0.0%
04/10/22,vs.,SAS,W,130,120,25,18,6,5,7/13,3/7,1/2,76,25.9%,70,128.6,82,31.2%,62,6.7%,37,71.4%,,0.0%,92,20.7%,,0.0%,,0.0%
04/08/22,vs.,POR,W,128,78,22,9,3,2,2/6,1/3,4/4,36,18.1%,55,112.5,33,11.8%,,0.0%,52,50.0%,90,7.1%,46,8.7%,,0.0%,,0.0%
04/06/22,@,DET,W,131,113,35,24,6,3,9/15,1/2,5/6,61,22.7%,80,141.2,30,11.1%,,0.0%,72,33.3%,78,4.2%,68,12.8%,,0.0%,55,1.3%
04/03/22,@,MIL,W,118,112,36,15,3,1,5/12,3/6,2/2,27,16.2%,58,115.4,14,4.5%,57,8.0%,31,80.0%,,0.0%,38,7.3%,,0.0%,53,1.3%
04/01/22,@,WAS,L,103,135,32,21,5,2,9/13,1/3,2/2,54,21.3%,90,161.5,37,13.3%,61,6.9%,88,11.1%,,0.0%,89,19.2%,,0.0%,58,1.5%
03/30/22,@,CLE,W,120,112,39,18,5,6,8/14,1/3,1/3,46,19.9%,62,120.0,62,22.2%,65,5.7%,71,37.5%,85,5.4%,52,9.7%,,0.0%,,0.0%
