Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/10/22,vs.,ATL,L,114,130,40,41,1,3,14/26,4/11,9/11,96,34.3%,73,132.3,36,13.0%,,0.0%,66,42.9%,,0.0%,16,2.9%,,0.0%,50,1.2%
04/08/22,@,TOR,L,115,117,37,8,6,3,3/9,0/2,2/4,53,21.1%,23,72.7,27,10.0%,7,28.6%,89,0.0%,74,3.6%,61,11.4%,,0.0%,,0.0%
04/05/22,@,BKN,L,105,118,41,30,6,2,12/23,4/10,2/3,60,22.6%,72,130.4,24,8.7%,55,8.5%,68,41.7%,64,2.0%,68,12.8%,81,1.3%,47,1.0%
04/03/22,vs.,MIN,L,132,139,36,31,2,5,12/18,4/8,3/6,60,22.5%,90,163.2,59,20.8%,49,10.0%,49,58.3%,,0.0%,39,7.7%,,0.0%,,0.0%
04/01/22,vs.,SAC,L,117,122,40,33,8,1,9/24,6/14,9/9,80,27.1%,61,117.9,13,3.6%,,0.0%,51,55.6%,65,2.3%,95,23.3%,,0.0%,48,1.0%
03/30/22,vs.,SAC,L,118,121,37,32,2,2,11/25,6/14,4/5,79,26.9%,61,118.5,22,8.0%,68,4.0%,37,72.7%,,0.0%,27,5.6%,,0.0%,,0.0%
03/28/22,vs.,SAS,L,120,123,40,30,4,4,10/24,6/15,4/4,81,27.3%,58,115.4,49,17.4%,59,7.4%,47,60.0%,64,2.2%,36,7.1%,79,1.1%,,0.0%
03/26/22,@,POR,W,115,98,32,25,6,2,9/17,6/11,1/2,69,24.3%,79,138.9,30,11.1%,44,11.4%,33,77.8%,76,3.8%,73,13.9%,85,1.6%,56,1.4%
03/25/22,@,POR,W,125,106,28,23,3,0,9/16,5/10,0/0,62,23.0%,82,143.8,,0.0%,,0.0%,66,44.4%,,0.0%,59,11.1%,,0.0%,,0.0%
03/23/22,@,DAL,L,91,110,32,8,4,2,3/11,0/4,2/2,54,21.3%,19,66.7,29,10.5%,18,20.7%,,100.0%,,0.0%,73,14.3%,87,1.7%,,0.0%
03/21/22,vs.,WAS,W,115,97,32,17,6,5,7/14,3/7,0/1,56,21.6%,64,121.4,59,20.8%,,0.0%,49,57.1%,,0.0%,81,16.7%,86,1.6%,59,1.5%
03/20/22,vs.,MEM,L,98,122,27,8,3,1,3/13,0/2,2/3,62,23.0%,15,57.1,17,5.9%,,0.0%,72,33.3%,,0.0%,50,9.4%,,0.0%,,0.0%
03/18/22,vs.,IND,L,118,121,37,20,5,6,6/15,1/5,7/7,77,26.2%,53,111.1,60,21.4%,52,9.1%,72,33.3%,74,3.6%,47,9.1%,80,1.2%,,0.0%
03/16/22,vs.,PHX,L,112,129,36,22,2,3,9/15,4/6,0/0,57,22.0%,83,146.7,38,13.6%,14,22.2%,51,55.6%,,0.0%,31,6.1%,,0.0%,51,1.2%
03/13/22,@,NOP,L,105,130,27,17,2,4,6/12,2/5,3/3,78,26.6%,72,130.8,81,30.8%,13,23.5%,38,66.7%,81,4.8%,18,3.6%,,0.0%,60,1.6%
03/11/22,vs.,DAL,L,100,113,27,11,1,6,5/11,0/2,1/2,76,25.8%,37,91.7,83,33.3%,63,6.5%,84,20.0%,77,4.0%,0,0.0%,,0.0%,85,3.3%
03/09/22,vs.,LAL,W,139,130,38,32,3,3,13/21,4/7,2/2,71,24.7%,82,145.5,32,11.5%,55,8.5%,78,30.8%,,0.0%,43,8.1%,80,1.3%,,0.0%
03/07/22,@,MIA,L,106,123,31,20,1,3,8/16,4/10,0/0,69,24.2%,67,125.0,50,17.6%,,0.0%,52,50.0%,,0.0%,20,4.0%,,0.0%,,0.0%
03/06/22,vs.,MEM,W,123,112,35,24,8,4,8/17,2/7,6/9,83,27.9%,56,114.3,51,18.2%,55,8.3%,80,25.0%,95,9.7%,69,13.2%,,0.0%,,0.0%
03/04/22,@,DEN,L,101,116,32,18,5,7,7/14,2/6,2/4,71,25.0%,55,112.5,93,41.2%,65,5.6%,37,71.4%,72,3.3%,47,8.8%,84,1.5%,,0.0%
03/02/22,vs.,UTA,L,127,132,47,27,2,4,11/16,4/9,1/1,39,18.8%,92,168.8,37,13.3%,19,20.5%,65,45.5%,,0.0%,27,5.4%,80,1.2%,47,1.0%
03/01/22,vs.,LAC,L,100,113,28,10,2,0,5/14,0/5,0/0,41,18.9%,22,71.4,,0.0%,,0.0%,47,60.0%,72,3.3%,17,3.3%,85,1.6%,,0.0%
