Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/12/22,vs.,MIA,L,90,99,43,11,4,9,4/9,3/7,0/0,23,18.5%,65,122.2,69,34.6%,15,23.5%,65,25.0%,,0.0%,26,7.5%,,0.0%,37,1.1%
05/10/22,@,MIA,L,85,120,37,14,6,4,5/13,2/6,2/3,44,24.7%,47,107.7,26,21.1%,19,21.1%,86,0.0%,65,2.8%,41,9.7%,,0.0%,50,1.3%
05/08/22,vs.,MIA,W,116,108,41,31,7,9,8/18,6/10,9/10,86,36.4%,77,134.8,86,40.9%,22,18.8%,53,37.5%,75,3.7%,74,16.2%,,0.0%,40,1.1%
05/06/22,vs.,MIA,W,99,79,38,17,8,6,4/11,1/7,8/8,75,33.3%,57,113.3,40,26.1%,4,29.2%,33,50.0%,76,3.8%,77,17.5%,84,1.5%,,0.0%
05/04/22,@,MIA,L,103,119,41,20,4,9,6/15,1/5,7/7,58,29.7%,54,111.1,59,31.0%,41,11.8%,86,0.0%,64,2.6%,38,9.4%,78,1.4%,,0.0%
05/02/22,@,MIA,L,92,106,35,16,9,5,5/13,2/7,4/4,62,30.1%,46,106.7,41,26.3%,16,22.7%,73,20.0%,71,3.2%,83,20.5%,,0.0%,,0.0%
04/28/22,@,TOR,W,132,97,42,22,6,15,7/12,2/5,6/6,54,28.1%,84,146.7,90,44.1%,40,12.0%,78,14.3%,,0.0%,46,10.9%,,0.0%,,0.0%
04/25/22,vs.,TOR,L,88,103,40,15,2,7,4/11,2/6,5/6,45,25.0%,47,107.1,57,30.4%,16,23.3%,33,50.0%,,0.0%,18,5.9%,78,1.4%,41,1.2%
04/23/22,@,TOR,L,102,110,42,22,5,9,5/17,2/8,10/11,71,32.1%,37,100.0,83,39.1%,34,13.6%,49,40.0%,63,2.6%,24,7.1%,97,3.5%,37,1.1%
04/20/22,@,TOR,W,104,101,38,19,6,10,7/13,2/4,3/5,64,30.7%,71,126.7,94,47.6%,38,13.0%,86,0.0%,92,8.3%,49,11.4%,,0.0%,,0.0%
04/18/22,vs.,TOR,W,112,97,41,14,6,6,3/9,1/4,7/8,43,24.1%,60,116.7,31,23.1%,8,25.0%,86,0.0%,72,3.4%,33,8.5%,92,2.5%,92,3.6%
04/16/22,vs.,TOR,W,131,111,40,22,5,14,6/17,4/7,6/7,65,31.0%,51,110.0,92,45.2%,78,3.7%,54,33.3%,87,5.3%,38,9.4%,78,1.4%,41,1.1%
04/09/22,vs.,IND,W,133,120,39,22,4,14,7/16,2/9,6/6,73,30.6%,58,115.8,82,42.4%,26,17.5%,21,71.4%,,0.0%,65,13.3%,,0.0%,37,1.1%
04/07/22,@,TOR,L,114,119,39,13,4,15,3/12,1/4,6/6,66,29.3%,32,92.9,93,51.7%,47,12.5%,52,33.3%,,0.0%,18,4.8%,,0.0%,,0.0%
04/05/22,@,IND,W,131,122,40,11,2,14,4/10,2/7,1/2,33,21.7%,35,100.0,73,37.8%,37,15.0%,32,50.0%,,0.0%,21,5.4%,,0.0%,67,2.2%
04/03/22,@,CLE,W,112,108,41,21,10,10,4/12,2/6,11/12,60,27.9%,59,116.7,76,40.0%,37,15.1%,65,25.0%,97,10.3%,72,14.7%,,0.0%,,0.0%
04/02/22,vs.,CHA,W,144,114,31,12,8,13,4/10,2/6,2/2,64,28.8%,51,109.1,79,40.6%,11,23.8%,19,75.0%,96,9.5%,80,17.2%,,0.0%,52,1.4%
03/31/22,@,DET,L,94,102,38,18,9,7,4/15,2/9,8/9,79,32.2%,35,100.0,59,31.8%,48,12.2%,85,0.0%,,0.0%,89,20.6%,82,1.4%,76,2.6%
03/29/22,vs.,MIL,L,116,118,37,32,5,9,9/17,4/10,10/12,82,33.3%,85,145.5,76,39.1%,70,7.4%,52,33.3%,,0.0%,64,13.2%,78,1.3%,,0.0%
03/27/22,@,PHX,L,104,114,39,14,7,9,2/11,2/5,8/8,43,23.9%,32,93.3,72,37.5%,62,9.3%,85,0.0%,58,2.3%,75,15.6%,,0.0%,39,1.1%
03/25/22,@,LAC,W,122,97,30,25,14,7,6/12,4/8,9/9,74,31.1%,94,166.7,67,35.0%,38,14.6%,52,33.3%,77,4.0%,99,33.3%,88,1.8%,81,3.0%
03/23/22,@,LAL,W,126,121,37,24,7,7,7/18,1/6,9/10,79,32.3%,56,114.3,38,25.0%,52,11.3%,62,28.6%,68,3.1%,57,11.8%,,0.0%,44,1.2%
03/20/22,vs.,TOR,L,88,93,38,17,9,8,5/12,0/4,7/10,87,35.5%,35,100.0,85,44.4%,13,22.2%,85,0.0%,,0.0%,71,14.6%,,0.0%,76,2.6%
03/18/22,vs.,DAL,W,111,101,42,24,7,12,6/14,3/8,9/10,76,31.5%,71,126.3,87,46.2%,69,7.5%,76,16.7%,,0.0%,68,13.9%,79,1.4%,71,2.4%
03/16/22,@,CLE,W,118,114,42,21,2,11,5/12,1/6,10/12,67,29.3%,67,123.5,60,33.3%,34,15.7%,47,40.0%,,0.0%,22,5.6%,,0.0%,69,2.3%
03/14/22,vs.,DEN,L,110,114,39,24,9,11,6/11,1/4,11/12,57,27.2%,87,150.0,76,39.3%,33,16.0%,76,16.7%,,0.0%,95,25.0%,80,1.4%,,0.0%
03/13/22,@,ORL,W,116,114,44,26,6,6,5/19,3/11,13/15,82,33.2%,35,100.0,38,25.0%,61,9.5%,72,20.0%,56,2.1%,60,12.5%,,0.0%,82,3.2%
03/10/22,vs.,BKN,L,100,129,29,11,6,5,3/17,3/7,2/2,71,30.4%,12,61.1,68,35.7%,29,16.7%,52,33.3%,60,2.6%,78,16.7%,,0.0%,74,2.5%
03/07/22,vs.,CHI,W,121,106,38,16,8,14,5/15,1/5,5/6,72,30.6%,28,88.9,90,50.0%,54,10.9%,72,20.0%,62,2.7%,81,17.5%,,0.0%,,0.0%
03/04/22,vs.,CLE,W,125,119,36,25,3,11,6/10,2/4,11/12,76,31.8%,91,156.3,89,47.8%,46,12.8%,52,33.3%,,0.0%,12,3.2%,,0.0%,51,1.4%
03/02/22,vs.,NYK,W,123,108,35,25,9,9,8/13,2/6,7/9,79,32.4%,86,147.1,82,42.9%,47,12.5%,81,12.5%,,0.0%,87,20.0%,,0.0%,,0.0%
02/27/22,@,NYK,W,125,109,39,28,10,16,8/14,3/7,9/9,77,31.8%,91,155.6,99,61.5%,55,10.7%,65,25.0%,,0.0%,81,17.5%,,0.0%,97,5.7%
02/25/22,@,MIN,W,133,102,35,27,8,12,7/12,5/7,8/9,58,27.5%,97,180.0,89,48.0%,63,9.1%,62,28.6%,71,3.3%,85,18.9%,,0.0%,,0.0%
02/02/22,@,SAC,L,101,112,37,4,7,12,2/11,0/5,0/0,64,28.7%,6,36.4,82,42.9%,9,26.1%,85,0.0%,,0.0%,85,18.9%,78,1.3%,,0.0%
