Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/15/22,vs.,ATL,L,101,107,35,11,3,2,4/4,0/0,3/4,28,10.4%,88,183.3,51,8.3%,21,26.7%,56,75.0%,37,3.6%,11,5.9%,60,1.5%,,0.0%
03/06/22,vs.,TOR,W,104,96,10,6,2,0,3/4,0/0,0/0,17,10.4%,74,150.0,,0.0%,,0.0%,,100.0%,,0.0%,32,13.3%,97,7.4%,,0.0%
03/04/22,@,PHI,L,119,125,35,20,7,0,9/11,0/0,2/3,16,10.3%,85,166.7,,0.0%,,0.0%,41,88.9%,31,3.7%,61,20.8%,56,1.6%,61,1.3%
03/02/22,vs.,CHA,L,98,119,33,18,11,0,7/9,0/0,4/5,26,12.3%,84,163.6,,0.0%,48,11.8%,,100.0%,29,3.3%,94,37.0%,55,1.6%,86,2.9%
02/28/22,vs.,MIN,L,122,127,34,21,8,1,9/10,0/0,3/4,38,14.6%,88,175.0,40,6.2%,15,26.1%,41,88.9%,52,7.7%,68,23.1%,56,1.6%,,0.0%
02/26/22,vs.,WAS,W,92,86,34,18,14,0,7/8,0/0,4/4,17,10.4%,90,180.0,,0.0%,46,12.5%,42,85.7%,71,11.8%,83,29.4%,,0.0%,93,3.9%
02/24/22,@,DET,L,103,106,33,11,8,0,5/9,0/0,1/2,24,12.0%,42,110.0,,0.0%,50,11.1%,46,80.0%,42,5.9%,42,15.8%,87,4.5%,62,1.3%
02/15/22,@,ATL,L,116,124,33,14,7,4,6/8,0/0,2/2,38,14.7%,80,155.6,68,14.3%,14,27.3%,,100.0%,68,11.1%,48,17.4%,57,1.7%,,0.0%
02/12/22,@,PHI,L,93,103,33,13,5,1,5/9,0/0,3/3,36,14.3%,60,130.0,37,5.6%,53,10.0%,70,60.0%,47,6.7%,28,12.5%,56,1.6%,,0.0%
02/11/22,@,IND,W,120,113,34,22,14,1,8/12,0/0,6/6,67,20.3%,73,146.7,34,4.5%,62,6.7%,89,37.5%,94,21.4%,65,22.2%,53,1.5%,62,1.4%
02/09/22,vs.,SAS,W,105,92,32,15,13,1,7/11,0/0,1/1,30,13.2%,66,136.4,34,4.5%,52,10.5%,42,85.7%,85,16.0%,60,20.5%,51,1.4%,63,1.4%
02/06/22,vs.,IND,W,98,85,31,15,17,0,5/12,0/1,5/9,75,22.2%,26,93.8,,0.0%,46,12.5%,46,80.0%,92,19.4%,81,28.1%,80,3.6%,,0.0%
02/04/22,@,CHA,W,102,101,34,29,22,2,12/20,0/0,5/7,89,27.2%,57,126.1,68,14.3%,65,4.7%,73,58.3%,98,28.2%,83,28.9%,,0.0%,,0.0%
02/02/22,@,HOU,L,104,115,23,11,6,2,5/7,0/0,1/4,72,21.4%,53,122.2,61,11.8%,28,19.0%,70,60.0%,92,20.0%,20,10.0%,67,2.4%,,0.0%
01/31/22,vs.,NOP,W,93,90,34,16,8,1,7/12,0/0,2/2,43,15.4%,54,123.1,36,5.3%,,0.0%,42,85.7%,47,6.7%,49,17.6%,76,3.2%,,0.0%
01/30/22,@,DET,L,105,115,35,15,9,3,4/11,0/1,7/8,73,21.6%,40,107.1,65,13.0%,63,6.2%,93,25.0%,59,9.1%,32,13.2%,70,2.7%,,0.0%
01/26/22,vs.,MIL,W,115,99,33,10,10,1,4/9,0/0,2/2,25,12.2%,27,100.0,33,4.3%,,0.0%,51,75.0%,68,11.1%,62,21.4%,,0.0%,62,1.4%
01/22/22,vs.,OKC,W,94,87,34,14,13,3,6/9,0/0,2/6,34,13.9%,47,116.7,67,13.6%,57,8.7%,,100.0%,88,17.2%,40,15.4%,74,3.0%,,0.0%
01/19/22,@,CHI,L,104,117,36,6,10,3,2/5,0/0,2/2,31,13.5%,27,100.0,58,10.7%,6,38.1%,,100.0%,79,14.3%,44,16.7%,53,1.5%,61,1.3%
01/17/22,vs.,BKN,W,114,107,33,14,10,2,6/6,0/0,2/2,14,9.6%,92,200.0,50,9.1%,40,14.3%,59,66.7%,68,11.1%,64,21.9%,76,3.2%,,0.0%
01/15/22,@,OKC,W,107,102,33,13,13,1,5/9,0/0,3/8,57,18.1%,27,100.0,32,4.0%,37,15.4%,,100.0%,92,19.4%,60,20.6%,,0.0%,,0.0%
01/14/22,@,SAS,W,114,109,32,17,16,1,7/11,0/0,3/5,62,19.2%,61,130.8,39,5.9%,40,14.3%,87,42.9%,58,8.6%,93,35.1%,,0.0%,63,1.4%
01/12/22,@,UTA,W,111,91,30,12,7,2,5/7,0/0,2/2,54,17.5%,74,150.0,50,8.7%,6,36.4%,46,80.0%,,0.0%,50,17.9%,57,1.7%,,0.0%
01/10/22,@,SAC,W,109,108,30,18,17,1,8/14,0/1,2/2,61,18.8%,50,120.0,36,5.3%,,0.0%,69,62.5%,92,20.0%,72,25.0%,75,3.1%,65,1.4%
01/09/22,@,GSW,L,82,96,30,12,7,1,5/7,0/0,2/4,45,15.9%,61,133.3,42,6.7%,25,20.0%,70,60.0%,56,8.3%,28,12.5%,77,3.2%,,0.0%
01/07/22,@,POR,W,114,101,33,13,13,1,5/6,0/0,3/4,32,13.6%,84,162.5,32,4.0%,24,21.1%,87,40.0%,85,16.0%,63,21.6%,,0.0%,85,2.9%
01/04/22,vs.,MEM,L,106,110,34,22,12,2,11/14,0/0,0/0,34,14.0%,80,157.1,58,11.1%,,0.0%,46,81.8%,59,9.1%,72,25.0%,84,4.1%,62,1.3%
01/02/22,vs.,IND,W,108,104,32,18,11,2,6/12,0/1,6/8,65,20.0%,50,120.0,54,10.0%,43,13.3%,,100.0%,56,8.3%,54,18.9%,88,4.6%,62,1.3%
