Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,vs.,GSW,L,90,103,44,34,7,3,12/23,5/11,5/6,93,28.5%,66,130.8,69,13.6%,24,17.5%,66,66.7%,64,2.6%,63,12.0%,,0.0%,52,1.0%
06/13/22,@,GSW,L,94,104,44,18,9,4,5/18,0/5,8/10,94,29.7%,28,81.8,82,19.0%,24,17.5%,94,20.0%,92,7.3%,75,14.6%,,0.0%,53,1.0%
06/10/22,vs.,GSW,L,97,107,40,21,6,2,9/19,2/6,1/2,73,21.9%,50,110.5,49,9.1%,45,10.3%,78,55.6%,85,5.4%,52,10.0%,,0.0%,55,1.1%
06/08/22,vs.,GSW,W,116,100,39,26,9,5,9/16,4/8,4/5,74,22.0%,72,136.8,83,19.2%,46,9.8%,66,66.7%,95,8.1%,81,16.2%,77,1.4%,,0.0%
06/05/22,@,GSW,L,88,107,28,17,6,3,5/17,3/9,4/5,96,31.0%,37,94.4,90,25.0%,45,10.3%,54,80.0%,,0.0%,88,18.8%,,0.0%,,0.0%
06/02/22,@,GSW,W,120,108,38,24,7,5,10/23,2/8,2/2,98,33.1%,38,100.0,84,20.0%,34,14.0%,86,40.0%,87,5.9%,70,13.5%,79,1.5%,78,2.3%
05/29/22,@,MIA,W,100,96,44,24,6,6,8/15,1/5,7/8,83,25.0%,63,126.3,90,24.0%,27,16.3%,88,37.5%,62,2.4%,34,6.5%,,0.0%,,0.0%
05/27/22,vs.,MIA,L,103,111,41,20,6,5,6/13,1/3,7/9,88,25.6%,55,117.6,92,26.3%,23,17.8%,90,33.3%,87,5.9%,60,11.4%,,0.0%,89,3.4%
05/25/22,@,MIA,W,93,80,40,25,4,1,10/19,5/9,0/1,82,24.7%,67,131.6,30,4.5%,18,20.0%,65,70.0%,,0.0%,40,7.7%,74,1.2%,60,1.2%
05/23/22,vs.,MIA,W,102,82,29,12,7,2,5/20,1/6,1/2,98,33.3%,17,57.1,68,13.3%,62,4.5%,86,40.0%,89,6.5%,68,13.2%,,0.0%,,0.0%
05/21/22,vs.,MIA,L,103,109,42,40,9,1,14/20,3/9,9/12,96,31.0%,85,160.0,43,7.1%,14,24.6%,77,57.1%,89,6.5%,80,15.9%,75,1.2%,54,1.1%
05/19/22,@,MIA,W,127,102,33,24,8,3,9/17,4/7,2/2,86,25.4%,68,133.3,73,15.0%,59,5.7%,66,66.7%,93,7.7%,82,16.7%,,0.0%,,0.0%
05/17/22,@,MIA,L,107,118,43,24,10,3,7/17,4/8,6/10,83,25.0%,49,109.1,65,12.0%,51,8.3%,85,42.9%,83,5.1%,89,19.4%,,0.0%,53,1.0%
05/15/22,vs.,MIL,W,109,81,37,19,8,0,8/16,2/5,1/4,64,19.3%,51,111.8,,0.0%,38,12.5%,59,75.0%,64,2.6%,85,17.5%,,0.0%,79,2.4%
