Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,vs.,GSW,L,90,103,40,13,3,7,6/18,1/4,0/0,83,26.4%,20,72.2,89,26.9%,14,20.8%,49,83.3%,,0.0%,19,6.5%,69,1.3%,87,3.3%
06/13/22,@,GSW,L,94,104,44,27,10,4,10/20,5/9,2/6,85,27.3%,56,117.4,80,21.1%,29,15.1%,78,50.0%,,0.0%,91,23.3%,,0.0%,,0.0%
06/10/22,vs.,GSW,L,97,107,43,23,11,6,8/23,4/8,3/5,92,31.2%,30,92.0,86,25.0%,18,19.0%,69,62.5%,78,6.4%,68,16.0%,91,3.4%,48,1.0%
06/08/22,vs.,GSW,W,116,100,41,26,6,9,9/23,3/9,5/6,93,31.6%,35,100.0,93,31.0%,60,6.7%,76,55.6%,51,2.9%,58,14.3%,,0.0%,51,1.1%
06/05/22,@,GSW,L,88,107,34,28,6,3,8/19,6/9,6/8,96,32.9%,59,121.7,95,33.3%,28,15.4%,69,62.5%,48,2.6%,63,14.7%,,0.0%,61,1.3%
06/02/22,@,GSW,W,120,108,42,12,5,13,3/17,1/5,5/7,91,30.6%,13,60.0,98,37.1%,59,7.3%,61,66.7%,,0.0%,23,7.7%,,0.0%,54,1.1%
05/29/22,@,MIA,W,100,96,46,26,10,6,9/21,4/7,4/5,79,24.5%,51,113.0,85,24.0%,55,8.0%,61,66.7%,64,4.3%,62,14.6%,84,2.3%,47,1.0%
05/27/22,vs.,MIA,L,103,111,45,30,9,4,9/12,4/7,8/8,73,22.7%,94,187.5,74,18.2%,5,31.1%,76,55.6%,49,2.6%,89,22.9%,73,1.4%,72,2.0%
05/25/22,@,MIA,W,93,80,44,22,12,9,7/20,2/8,6/8,97,34.4%,30,91.7,98,36.0%,24,16.1%,59,71.4%,72,5.6%,70,16.7%,,0.0%,,0.0%
05/23/22,vs.,MIA,W,102,82,34,31,8,5,8/16,1/7,14/16,97,34.7%,72,134.8,94,31.2%,44,11.5%,69,62.5%,59,3.4%,43,10.9%,89,2.9%,,0.0%
05/21/22,vs.,MIA,L,103,109,41,10,6,4,3/14,1/7,3/4,79,24.4%,15,66.7,69,16.0%,6,27.3%,61,66.7%,57,3.3%,52,12.8%,,0.0%,,0.0%
05/19/22,@,MIA,W,127,102,32,27,5,5,8/13,4/6,7/7,87,28.4%,89,168.8,92,29.4%,26,15.8%,69,62.5%,,0.0%,70,16.7%,,0.0%,65,1.5%
05/17/22,@,MIA,L,107,118,44,29,8,6,10/21,2/9,7/9,94,31.9%,54,116.0,85,24.0%,13,21.5%,78,50.0%,49,2.6%,74,17.5%,67,1.1%,92,3.9%
05/15/22,vs.,MIL,W,109,81,37,23,6,8,7/14,5/9,4/5,88,29.4%,77,143.8,99,40.0%,6,28.0%,75,57.1%,46,2.4%,47,11.6%,71,1.3%,,0.0%
05/13/22,@,MIL,W,108,95,43,46,9,4,17/32,7/15,5/7,99,38.3%,73,135.3,78,20.0%,45,11.1%,86,47.1%,,0.0%,77,18.4%,67,1.2%,,0.0%
05/11/22,vs.,MIL,L,107,110,42,34,6,4,12/29,2/11,8/9,100,38.8%,45,103.0,72,17.4%,65,3.0%,78,50.0%,51,2.9%,43,11.1%,68,1.2%,57,1.2%
05/09/22,@,MIL,W,116,108,42,30,13,5,11/24,3/10,5/6,95,32.6%,53,115.4,76,18.5%,59,6.9%,94,27.3%,73,5.7%,91,23.4%,,0.0%,,0.0%
05/07/22,@,MIL,L,101,103,41,10,1,3,4/19,0/6,2/3,72,22.3%,10,50.0,64,13.6%,37,13.3%,,100.0%,,0.0%,8,2.0%,97,4.4%,48,1.0%
05/03/22,vs.,MIL,W,109,86,43,29,3,8,10/20,5/10,4/5,89,29.7%,70,131.8,93,29.6%,30,14.8%,71,60.0%,49,2.7%,18,6.5%,74,1.4%,87,3.3%
05/01/22,vs.,MIL,L,89,101,40,21,6,6,6/18,4/9,5/8,87,28.2%,34,95.5,95,33.3%,44,11.3%,78,50.0%,65,4.4%,30,8.7%,,0.0%,73,2.1%
04/25/22,@,BKN,W,116,112,36,29,3,5,9/16,4/6,7/8,92,30.8%,78,145.0,80,20.8%,11,22.6%,86,44.4%,,0.0%,20,6.9%,,0.0%,,0.0%
04/23/22,@,BKN,W,109,103,45,39,5,6,13/29,4/13,9/10,99,38.7%,56,118.2,85,24.0%,24,16.0%,61,69.2%,69,4.9%,31,8.8%,,0.0%,99,6.2%
04/20/22,vs.,BKN,W,114,107,41,19,6,10,5/16,2/5,7/8,89,29.4%,33,95.0,97,34.5%,44,11.3%,71,60.0%,57,3.2%,31,8.8%,72,1.4%,,0.0%
04/17/22,vs.,BKN,W,115,114,45,31,4,8,9/18,3/7,10/12,90,29.7%,67,129.2,88,25.8%,26,15.9%,91,33.3%,46,2.4%,31,8.8%,87,2.6%,46,0.9%
04/10/22,@,MEM,W,139,110,26,31,9,3,11/14,6/8,3/3,92,29.0%,97,206.7,67,14.3%,8,27.8%,66,63.6%,,0.0%,87,22.2%,,0.0%,64,1.6%
04/06/22,@,CHI,W,117,94,30,16,10,8,5/18,1/8,5/7,98,34.7%,23,80.0,95,32.0%,52,8.0%,84,40.0%,,0.0%,98,32.3%,78,1.8%,81,2.8%
04/03/22,vs.,WAS,W,144,102,29,22,6,7,9/17,1/5,3/6,98,35.5%,54,115.8,92,26.9%,48,9.1%,71,55.6%,92,10.5%,72,17.4%,79,1.9%,85,3.2%
04/01/22,vs.,IND,W,128,123,37,31,6,6,10/24,3/9,8/10,98,35.5%,47,106.9,92,27.3%,62,3.3%,72,50.0%,79,6.7%,53,12.9%,69,1.4%,51,1.2%
03/30/22,vs.,MIA,L,98,106,40,23,5,6,9/17,0/5,5/6,84,24.4%,60,121.1,97,35.3%,21,18.2%,43,88.9%,48,2.4%,17,5.4%,,0.0%,74,2.2%
03/27/22,vs.,MIN,W,134,112,34,33,5,6,12/21,5/11,4/4,96,33.1%,80,150.0,85,22.2%,41,11.3%,91,25.0%,,0.0%,67,16.1%,76,1.7%,54,1.2%
03/23/22,vs.,UTA,W,125,97,29,26,3,3,9/15,5/8,3/3,93,29.6%,87,162.5,73,16.7%,37,12.5%,51,77.8%,,0.0%,37,9.7%,78,1.8%,,0.0%
03/21/22,@,OKC,W,132,123,39,36,7,6,11/19,5/11,9/9,94,31.2%,85,156.5,85,22.2%,43,10.9%,91,27.3%,,0.0%,68,16.7%,67,1.2%,74,2.3%
03/20/22,@,DEN,W,124,104,32,30,6,7,11/16,6/9,2/2,97,33.8%,93,176.5,93,29.2%,13,22.7%,66,63.6%,,0.0%,58,14.3%,,0.0%,62,1.5%
03/18/22,@,SAC,W,126,97,34,32,5,4,12/16,7/10,1/1,76,21.9%,95,200.0,70,15.4%,37,12.5%,59,66.7%,,0.0%,47,11.8%,,0.0%,,0.0%
