Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/29/22,vs.,BOS,L,96,100,48,35,9,1,13/24,1/4,8/11,82,25.9%,63,125.0,29,4.2%,65,3.6%,92,30.8%,44,2.0%,58,14.3%,,0.0%,46,0.9%
05/27/22,@,BOS,W,111,103,46,47,9,8,16/29,4/8,11/11,96,33.0%,76,142.4,99,40.0%,66,2.9%,78,50.0%,82,7.5%,72,17.1%,70,1.3%,92,3.9%
05/25/22,vs.,BOS,L,80,93,40,13,6,4,4/18,1/5,4/4,72,22.6%,15,65.0,77,19.0%,,0.0%,78,50.0%,74,5.8%,20,6.9%,77,1.5%,74,2.2%
05/23/22,@,BOS,L,82,102,27,6,7,1,3/14,0/2,0/0,75,23.0%,10,42.9,61,12.5%,59,6.9%,61,66.7%,82,7.3%,46,11.5%,,0.0%,,0.0%
05/21/22,@,BOS,W,109,103,20,8,3,2,3/8,0/0,2/2,54,17.4%,35,100.0,57,11.1%,,0.0%,61,66.7%,,0.0%,77,18.8%,,0.0%,94,4.3%
05/19/22,vs.,BOS,L,102,127,33,29,6,3,11/18,1/3,6/8,96,33.3%,74,138.1,81,21.4%,40,12.5%,94,27.3%,98,16.7%,10,3.7%,,0.0%,64,1.4%
05/17/22,vs.,BOS,W,118,107,41,41,9,5,12/19,0/2,17/18,93,31.8%,78,146.4,78,20.0%,61,6.6%,91,33.3%,97,15.2%,40,10.5%,94,4.1%,93,4.2%
05/12/22,@,PHI,W,99,90,43,32,8,4,13/29,2/6,4/6,96,34.4%,45,103.2,69,16.0%,61,6.1%,92,30.8%,69,5.0%,52,12.8%,86,2.5%,50,1.0%
05/10/22,vs.,PHI,W,120,85,35,23,9,6,9/15,2/4,3/4,78,24.0%,77,143.8,82,22.2%,46,10.8%,76,55.6%,92,10.7%,72,17.1%,,0.0%,62,1.3%
05/08/22,@,PHI,L,108,116,42,40,3,6,13/20,2/6,12/13,91,29.8%,83,153.8,90,27.3%,65,3.6%,92,30.8%,,0.0%,46,11.5%,89,2.9%,73,2.1%
05/06/22,@,PHI,L,79,99,38,33,9,2,12/22,1/5,8/10,95,32.7%,66,126.9,70,16.7%,57,7.5%,88,41.7%,71,5.3%,93,24.1%,,0.0%,79,2.5%
05/04/22,vs.,PHI,W,119,103,37,22,6,11,8/15,1/3,5/6,88,28.9%,59,122.2,100,45.8%,54,8.3%,90,37.5%,90,10.0%,33,9.1%,,0.0%,58,1.2%
05/02/22,vs.,PHI,W,106,92,30,15,9,3,5/16,1/4,4/4,88,28.8%,24,83.3,70,16.7%,49,9.5%,96,20.0%,72,5.6%,98,31.8%,,0.0%,82,2.7%
04/24/22,@,ATL,W,110,86,36,36,10,4,12/21,1/2,11/12,94,32.1%,74,138.5,84,23.5%,,0.0%,91,33.3%,81,7.1%,83,20.7%,79,1.7%,97,4.9%
04/22/22,@,ATL,L,110,111,41,20,10,8,8/20,1/5,3/3,83,26.3%,33,95.2,93,30.8%,56,7.8%,90,37.5%,87,8.9%,75,17.6%,73,1.4%,72,2.1%
04/19/22,vs.,ATL,W,115,105,39,45,5,5,15/25,4/7,11/11,98,34.8%,85,155.2,91,27.8%,,0.0%,88,40.0%,,0.0%,54,13.2%,,0.0%,78,2.4%
04/17/22,vs.,ATL,W,115,91,33,21,6,4,9/15,1/2,2/7,85,27.1%,62,123.5,77,19.0%,26,15.8%,61,66.7%,63,4.0%,58,14.3%,,0.0%,94,4.3%
04/08/22,vs.,ATL,W,113,109,37,20,4,1,5/10,0/2,10/12,85,25.0%,69,133.3,27,4.3%,16,21.1%,93,20.0%,59,3.6%,29,8.3%,,0.0%,56,1.3%
04/05/22,vs.,CHA,W,144,115,36,27,5,8,9/15,2/4,7/8,91,28.9%,80,150.0,92,28.6%,37,12.5%,92,22.2%,,0.0%,72,17.2%,,0.0%,76,2.4%
04/02/22,@,CHI,W,127,109,35,22,7,6,7/11,2/2,6/7,83,24.3%,85,157.1,84,21.4%,41,11.4%,83,42.9%,88,9.1%,67,16.1%,,0.0%,59,1.4%
03/30/22,@,BOS,W,106,98,37,24,3,2,9/17,0/3,6/8,82,23.8%,58,120.0,51,10.0%,45,10.0%,59,66.7%,54,3.1%,16,5.1%,,0.0%,52,1.2%
03/28/22,vs.,SAC,W,123,100,34,27,5,7,10/14,3/5,4/4,87,26.0%,93,180.0,92,26.9%,28,15.8%,72,50.0%,65,4.3%,58,14.3%,,0.0%,,0.0%
03/26/22,vs.,BKN,L,95,110,25,7,6,4,2/9,0/3,3/4,77,22.0%,19,70.0,92,28.6%,53,7.7%,95,0.0%,90,10.0%,87,22.2%,81,2.1%,65,1.7%
03/25/22,vs.,NYK,L,103,111,37,30,7,7,11/16,1/1,7/8,97,33.8%,86,157.9,98,38.9%,27,16.0%,91,27.3%,93,11.5%,43,11.1%,70,1.4%,57,1.4%
03/23/22,vs.,GSW,L,104,118,41,20,5,3,7/15,2/2,4/5,53,17.2%,56,117.6,61,12.5%,,0.0%,,100.0%,70,5.1%,40,10.3%,,0.0%,75,2.3%
03/21/22,@,PHI,L,106,113,35,24,5,6,8/15,0/3,8/8,91,28.6%,69,133.3,95,33.3%,60,5.0%,72,50.0%,55,3.2%,49,12.5%,,0.0%,60,1.4%
