Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
11/14/21,@,OKC,W,120,96,14,3,3,1,1/2,1/2,0/0,5,6.5%,79,150.0,39,7.1%,,0.0%,,100.0%,,0.0%,74,15.0%,,0.0%,,0.0%
11/12/21,@,NOP,W,120,112,37,24,2,0,9/12,6/8,0/0,12,8.9%,95,200.0,,0.0%,,0.0%,,100.0%,,0.0%,32,6.5%,,0.0%,77,2.4%
11/10/21,@,ORL,W,123,90,26,9,3,0,3/5,3/4,0/0,4,5.6%,93,180.0,,0.0%,,0.0%,,100.0%,,0.0%,57,11.1%,,0.0%,,0.0%
11/08/21,@,CHI,L,95,118,34,9,4,2,3/6,3/5,0/0,10,8.2%,79,150.0,51,10.0%,26,15.4%,,100.0%,,0.0%,56,10.8%,,0.0%,55,1.3%
11/07/21,@,TOR,W,116,103,32,11,4,2,4/8,3/7,0/0,15,9.7%,74,137.5,46,8.7%,,0.0%,,100.0%,73,4.0%,46,9.1%,,0.0%,,0.0%
11/05/21,@,DET,W,96,90,33,7,5,2,3/6,1/4,0/0,10,8.2%,56,116.7,44,8.3%,,0.0%,61,66.7%,,0.0%,63,12.5%,,0.0%,,0.0%
11/03/21,vs.,ATL,W,117,108,34,18,6,0,6/10,6/8,0/0,22,11.4%,93,180.0,,0.0%,13,22.2%,,100.0%,,0.0%,87,19.4%,80,1.5%,79,2.5%
10/31/21,vs.,DET,W,117,91,26,12,4,1,5/9,2/4,0/0,47,16.0%,70,133.3,28,4.5%,37,11.8%,50,80.0%,,0.0%,75,15.4%,,0.0%,,0.0%
10/29/21,vs.,IND,W,105,98,31,9,2,1,3/9,1/6,2/2,50,16.7%,32,90.0,32,5.3%,10,25.0%,,100.0%,,0.0%,32,6.5%,,0.0%,,0.0%
10/27/21,vs.,MIA,L,93,106,34,15,3,0,5/15,5/11,0/0,62,18.8%,36,100.0,,0.0%,52,7.4%,,100.0%,,0.0%,41,8.1%,78,1.4%,59,1.4%
10/25/21,vs.,WAS,W,104,90,30,11,8,2,3/12,3/11,2/2,61,18.5%,29,84.6,44,8.3%,52,7.4%,,100.0%,64,2.9%,87,19.4%,,0.0%,,0.0%
10/24/21,vs.,CHA,L,95,111,28,7,4,0,3/6,1/3,0/0,12,9.0%,56,116.7,,0.0%,20,18.2%,,100.0%,68,3.3%,57,11.1%,,0.0%,66,1.6%
10/22/21,@,PHI,W,114,109,33,14,5,1,5/14,3/10,1/2,71,20.8%,36,100.0,26,4.2%,10,25.0%,,100.0%,67,3.2%,62,12.1%,,0.0%,56,1.3%
10/19/21,@,MIL,L,104,127,31,9,2,2,3/8,3/4,0/0,40,14.8%,53,112.5,44,8.3%,15,21.1%,,100.0%,,0.0%,24,5.0%,,0.0%,,0.0%
