Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/12/22,vs.,MIA,L,90,99,44,20,12,2,7/24,2/8,4/4,93,29.3%,21,76.9,48,7.4%,58,7.3%,86,42.9%,60,8.3%,62,20.5%,56,1.2%,,0.0%
05/10/22,@,MIA,L,85,120,33,17,5,2,7/12,0/1,3/3,85,23.5%,60,130.8,72,15.4%,45,12.9%,93,14.3%,34,3.1%,26,10.7%,,0.0%,72,1.5%
05/08/22,vs.,MIA,W,116,108,38,24,11,2,7/13,1/3,9/13,88,25.3%,57,126.3,53,8.7%,33,19.0%,50,85.7%,60,8.3%,72,24.3%,57,1.3%,,0.0%
05/06/22,vs.,MIA,W,99,79,36,18,11,1,5/12,0/0,8/10,91,27.5%,44,112.5,41,5.6%,30,20.5%,87,40.0%,38,3.8%,71,23.7%,60,1.5%,69,1.4%
04/28/22,@,TOR,W,132,97,36,33,10,1,12/18,0/4,9/10,91,27.7%,70,143.5,39,5.0%,60,4.9%,64,66.7%,77,12.0%,43,15.0%,85,4.2%,85,2.7%
04/25/22,vs.,TOR,L,88,103,40,20,11,4,7/15,0/4,6/6,86,23.5%,50,117.6,80,19.0%,30,20.0%,50,85.7%,32,2.7%,86,30.3%,,0.0%,,0.0%
04/23/22,@,TOR,L,102,110,39,21,8,3,7/16,0/1,7/9,92,28.2%,41,105.0,70,14.3%,29,20.8%,61,71.4%,47,5.4%,30,11.9%,,0.0%,,0.0%
04/20/22,@,TOR,W,104,101,44,33,13,2,12/20,3/8,6/9,95,31.8%,66,137.5,57,10.0%,28,21.4%,77,50.0%,35,3.2%,73,25.0%,56,1.3%,,0.0%
04/18/22,vs.,TOR,W,112,97,37,31,11,0,9/16,1/2,12/14,94,29.5%,67,140.9,,0.0%,36,17.4%,64,66.7%,56,7.1%,63,20.9%,,0.0%,,0.0%
04/16/22,vs.,TOR,W,131,111,37,19,15,4,5/15,0/2,9/11,90,26.3%,27,95.0,72,14.8%,,0.0%,74,60.0%,78,12.5%,89,33.3%,59,1.5%,,0.0%
04/09/22,vs.,IND,W,133,120,37,40,20,4,14/17,2/2,10/14,92,29.3%,85,166.7,71,15.4%,28,19.6%,50,78.6%,90,18.5%,97,41.9%,51,1.4%,78,2.3%
04/07/22,@,TOR,L,114,119,37,30,10,2,10/22,0/4,10/12,99,39.3%,43,111.1,53,9.5%,33,16.9%,59,70.0%,,0.0%,77,26.3%,51,1.4%,62,1.3%
04/05/22,@,IND,W,131,122,39,45,13,2,18/30,2/3,7/10,98,37.5%,61,132.4,50,9.1%,56,9.1%,74,55.6%,46,6.5%,77,26.2%,50,1.2%,,0.0%
04/03/22,@,CLE,W,112,108,38,44,17,3,12/26,3/6,17/20,99,39.9%,57,125.7,80,20.0%,59,8.5%,59,66.7%,68,11.1%,87,31.6%,95,6.8%,57,1.1%
