Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/26/22,@,MIA,L,94,97,26,7,2,0,3/8,0/3,1/1,47,14.3%,25,87.5,,0.0%,46,12.5%,64,66.7%,40,4.2%,8,4.0%,,0.0%,,0.0%
04/24/22,vs.,MIA,L,86,110,22,11,2,1,4/8,2/4,1/2,87,24.4%,53,122.2,59,11.1%,30,20.0%,56,75.0%,,0.0%,15,7.4%,68,2.0%,,0.0%
04/22/22,vs.,MIA,W,111,110,24,6,5,2,2/6,1/1,1/1,42,13.0%,27,100.0,68,13.3%,,0.0%,,100.0%,,0.0%,51,17.4%,,0.0%,,0.0%
04/19/22,@,MIA,L,105,115,29,13,10,2,6/11,0/1,1/3,71,18.6%,42,108.3,56,9.5%,40,15.4%,64,66.7%,36,3.4%,95,38.1%,,0.0%,69,1.4%
04/17/22,@,MIA,L,91,115,21,10,4,1,4/6,1/2,1/3,39,12.2%,68,142.9,51,8.3%,,0.0%,,100.0%,,0.0%,57,19.0%,,0.0%,80,2.2%
03/11/22,vs.,LAC,W,112,106,23,9,3,1,3/8,0/3,3/3,44,15.7%,27,100.0,36,5.3%,,0.0%,,100.0%,44,6.2%,17,8.7%,66,2.3%,,0.0%
03/09/22,@,MIL,L,115,124,19,2,5,0,0/9,0/5,2/2,91,28.6%,5,20.0,,0.0%,33,16.7%,,,,0.0%,54,19.0%,,0.0%,,0.0%
03/07/22,@,DET,L,110,113,32,17,11,2,7/13,2/5,1/2,59,18.5%,53,121.4,57,10.5%,40,14.8%,,100.0%,42,5.9%,71,24.1%,,0.0%,,0.0%
03/04/22,@,WAS,W,117,114,25,9,6,1,4/9,0/3,1/2,46,16.0%,24,90.0,43,7.1%,,0.0%,,100.0%,,0.0%,84,30.0%,67,2.4%,73,1.9%
02/11/22,vs.,SAS,L,121,136,21,4,3,1,2/8,0/3,0/0,60,18.6%,8,50.0,37,5.6%,24,21.1%,,100.0%,59,9.1%,10,5.9%,,0.0%,,0.0%
02/08/22,vs.,IND,W,133,112,21,20,3,1,9/14,2/4,0/0,68,20.4%,70,142.9,40,6.2%,,0.0%,,100.0%,,0.0%,14,7.4%,63,2.1%,,0.0%
