Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/28/22,vs.,PHX,L,109,115,27,10,8,4,5/7,0/1,0/0,59,16.7%,68,142.9,84,21.1%,48,11.8%,74,60.0%,72,11.1%,99,50.0%,,0.0%,78,2.0%
04/26/22,@,PHX,L,97,112,32,17,14,3,7/11,0/1,3/3,66,17.8%,67,141.7,85,21.4%,57,7.7%,86,42.9%,88,16.7%,91,34.6%,,0.0%,68,1.4%
04/24/22,vs.,PHX,W,118,103,33,26,15,4,9/15,1/1,7/11,92,28.4%,59,130.0,81,20.0%,61,4.8%,85,44.4%,93,19.2%,87,31.0%,,0.0%,,0.0%
04/22/22,vs.,PHX,L,111,114,26,6,11,1,1/5,0/0,4/4,68,18.0%,24,85.7,41,5.6%,11,36.4%,,100.0%,97,22.7%,72,24.0%,68,2.0%,74,1.6%
04/19/22,@,PHX,W,125,114,25,10,13,3,4/9,0/2,2/2,79,21.2%,27,100.0,70,14.3%,18,28.6%,56,75.0%,81,13.0%,95,38.5%,,0.0%,72,1.5%
04/17/22,@,PHX,L,99,110,31,18,25,3,7/21,0/1,4/6,94,30.0%,21,78.3,81,20.0%,61,4.2%,86,42.9%,100,32.5%,99,47.6%,,0.0%,,0.0%
04/15/22,@,LAC,W,105,101,24,8,9,0,3/9,0/2,2/4,72,19.0%,19,72.7,,0.0%,53,9.1%,64,66.7%,86,15.4%,34,13.0%,,0.0%,,0.0%
04/13/22,vs.,SAS,W,113,103,36,22,14,3,9/14,0/1,4/8,86,23.8%,53,122.2,63,12.0%,40,15.4%,64,66.7%,70,10.3%,76,25.6%,75,2.7%,66,1.2%
04/09/22,@,MEM,L,114,141,6,8,1,0,3/3,0/0,2/2,99,40.9%,92,200.0,,0.0%,3,44.4%,,100.0%,,0.0%,89,33.3%,,0.0%,,0.0%
04/07/22,vs.,POR,W,127,94,22,14,8,2,5/11,0/0,4/4,93,30.0%,40,107.7,66,13.3%,43,13.3%,87,40.0%,79,14.3%,89,33.3%,,0.0%,,0.0%
04/03/22,@,LAC,L,100,119,22,8,9,1,4/6,0/0,0/1,32,13.6%,61,133.3,48,8.3%,14,26.7%,75,50.0%,68,11.1%,89,33.3%,,0.0%,,0.0%
04/01/22,@,LAL,W,114,111,38,17,12,6,6/10,1/2,4/5,52,17.1%,70,141.7,85,22.2%,62,6.9%,75,50.0%,29,3.3%,88,32.3%,52,1.4%,58,1.2%
03/30/22,@,POR,W,117,107,35,19,11,4,8/11,0/2,3/4,64,19.6%,81,158.3,73,16.7%,16,25.8%,69,62.5%,79,14.3%,56,20.0%,,0.0%,97,5.1%
03/27/22,vs.,LAL,W,116,108,37,19,12,3,7/13,0/0,5/6,67,20.3%,57,126.7,58,10.7%,46,12.5%,57,71.4%,46,6.5%,72,25.0%,53,1.5%,60,1.3%
03/26/22,vs.,SAS,L,103,107,29,18,11,6,7/12,1/1,3/5,91,28.1%,58,128.6,96,35.3%,33,16.7%,73,57.1%,86,16.7%,41,15.6%,55,1.6%,,0.0%
03/24/22,vs.,CHI,W,126,109,34,16,19,2,5/12,0/4,6/6,84,25.0%,40,106.7,48,8.3%,16,25.6%,70,60.0%,66,10.3%,99,48.3%,57,1.7%,61,1.3%
03/21/22,@,CHA,L,103,106,29,24,18,5,11/18,1/2,1/1,94,30.3%,61,133.3,93,29.4%,53,10.0%,86,45.5%,92,20.0%,99,48.0%,82,3.8%,66,1.5%
03/20/22,@,ATL,W,117,112,33,26,12,4,10/16,1/2,5/6,86,25.7%,72,144.4,84,21.1%,53,10.3%,75,50.0%,77,13.3%,66,22.6%,,0.0%,61,1.3%
03/18/22,@,SAS,W,124,91,21,16,12,2,7/11,1/1,1/2,80,23.5%,61,133.3,66,13.3%,57,8.7%,57,71.4%,39,5.3%,95,38.5%,,0.0%,,0.0%
03/15/22,vs.,PHX,L,115,131,30,17,12,3,8/14,1/4,0/0,72,21.2%,53,121.4,62,12.5%,28,19.4%,51,75.0%,67,10.7%,84,30.0%,55,1.6%,63,1.4%
03/13/22,vs.,HOU,W,130,105,27,32,9,3,12/18,1/3,7/7,94,31.2%,79,152.4,80,20.0%,65,5.0%,73,58.3%,89,17.4%,50,18.2%,64,2.1%,67,1.6%
03/11/22,vs.,CHA,L,120,142,25,10,8,1,4/12,0/1,2/2,78,23.0%,18,76.9,39,5.9%,40,14.3%,51,75.0%,31,3.8%,94,36.8%,,0.0%,68,1.6%
03/09/22,vs.,ORL,L,102,108,34,30,15,3,11/19,0/1,8/8,87,26.3%,66,136.4,67,13.6%,65,4.9%,57,72.7%,73,12.1%,89,33.3%,80,3.5%,81,2.6%
03/08/22,@,MEM,L,111,132,21,10,2,1,4/10,0/1,2/4,88,26.6%,21,83.3,50,9.1%,36,16.0%,,100.0%,,0.0%,35,14.3%,,0.0%,,0.0%
03/06/22,@,DEN,L,130,138,30,19,14,2,9/16,1/3,0/0,81,23.9%,49,118.8,54,10.0%,29,18.8%,41,88.9%,82,14.8%,76,25.9%,,0.0%,,0.0%
03/04/22,vs.,UTA,W,124,90,16,4,6,1,2/5,0/2,0/0,68,20.5%,18,80.0,40,6.2%,6,37.5%,75,50.0%,56,8.3%,72,25.0%,,0.0%,,0.0%
03/02/22,vs.,SAC,W,125,95,31,17,14,2,7/13,1/1,2/2,65,19.7%,53,121.4,43,7.1%,40,14.3%,42,85.7%,,0.0%,94,37.1%,54,1.6%,,0.0%
02/27/22,@,LAL,W,123,95,28,19,10,2,7/10,1/2,4/7,71,21.1%,73,146.2,54,10.0%,21,22.2%,,100.0%,,0.0%,89,33.3%,,0.0%,88,3.1%
02/25/22,@,PHX,W,117,102,33,18,17,0,7/16,0/3,4/6,74,21.7%,27,94.7,,0.0%,50,11.1%,42,85.7%,70,11.4%,97,41.4%,,0.0%,,0.0%
02/17/22,vs.,DAL,L,118,125,34,16,18,4,8/13,0/2,0/0,49,16.5%,54,123.1,71,15.4%,,0.0%,75,50.0%,73,12.1%,96,40.0%,,0.0%,60,1.3%
02/15/22,vs.,MEM,L,109,121,27,19,4,1,7/11,1/4,4/4,82,24.1%,73,146.2,40,6.2%,23,21.4%,57,71.4%,52,7.7%,11,6.2%,74,3.0%,,0.0%
02/14/22,vs.,TOR,W,120,90,29,18,9,4,6/9,0/1,6/6,88,26.8%,74,150.0,70,14.8%,25,20.0%,59,66.7%,56,8.3%,43,16.2%,76,3.2%,,0.0%
02/12/22,vs.,SAS,L,114,124,32,17,12,2,7/11,1/2,2/3,43,15.5%,70,141.7,53,9.5%,57,8.7%,57,71.4%,27,2.9%,95,37.9%,54,1.5%,,0.0%
02/10/22,vs.,MIA,L,97,112,33,16,9,3,6/8,0/1,4/4,48,16.2%,82,160.0,67,13.6%,19,24.0%,59,66.7%,44,6.2%,71,24.1%,53,1.5%,,0.0%
02/08/22,vs.,HOU,W,110,97,24,13,8,3,5/7,0/1,3/3,76,22.4%,84,162.5,84,21.4%,6,38.5%,70,60.0%,34,4.3%,61,20.8%,66,2.3%,,0.0%
02/06/22,@,HOU,W,120,107,27,18,5,3,5/10,1/1,7/10,87,26.3%,58,128.6,80,20.0%,45,12.9%,46,80.0%,34,4.3%,40,15.4%,60,1.9%,69,1.7%
02/04/22,@,DEN,W,113,105,32,18,7,4,8/13,1/3,1/2,75,22.1%,58,128.6,73,16.7%,43,13.3%,51,75.0%,34,4.3%,72,25.0%,,0.0%,,0.0%
02/01/22,@,DET,W,111,101,29,13,13,2,4/9,0/1,5/6,78,22.9%,41,108.3,68,14.3%,16,25.0%,75,50.0%,85,15.6%,72,25.0%,60,1.9%,64,1.4%
01/31/22,@,CLE,L,90,93,31,16,9,4,7/13,0/3,2/2,87,26.1%,45,114.3,87,23.5%,33,17.1%,87,42.9%,93,20.7%,23,10.7%,80,3.5%,,0.0%
01/24/22,vs.,IND,W,117,113,30,16,12,6,6/11,0/0,4/5,85,25.4%,54,123.1,91,27.3%,33,16.7%,89,33.3%,88,17.2%,50,18.2%,55,1.6%,,0.0%
01/20/22,@,NYK,W,102,91,33,18,10,2,8/11,1/4,1/2,59,18.4%,74,150.0,50,8.7%,19,24.0%,41,87.5%,33,4.2%,71,24.2%,75,3.1%,65,1.5%
01/17/22,@,BOS,L,92,104,33,22,14,4,9/17,2/6,2/2,87,26.4%,53,122.2,84,21.1%,37,15.4%,50,77.8%,44,6.1%,92,34.4%,,0.0%,,0.0%
01/15/22,@,BKN,L,105,120,30,13,5,2,6/12,0/1,1/2,69,20.8%,27,100.0,54,10.0%,61,7.4%,75,50.0%,71,11.5%,14,7.7%,,0.0%,,0.0%
01/13/22,vs.,LAC,W,113,89,32,18,16,0,7/12,2/3,2/2,55,17.6%,68,138.5,,0.0%,33,16.7%,42,85.7%,44,6.1%,97,42.4%,,0.0%,,0.0%
01/11/22,vs.,MIN,W,128,125,28,13,12,5,3/7,0/0,7/9,77,22.5%,49,118.2,90,26.3%,16,25.0%,,100.0%,73,12.5%,80,27.6%,,0.0%,,0.0%
01/09/22,@,TOR,L,101,105,34,20,17,1,7/12,1/3,5/6,75,22.2%,61,133.3,40,6.2%,29,18.8%,57,71.4%,47,6.7%,98,45.5%,56,1.6%,63,1.4%
01/06/22,vs.,GSW,W,101,96,32,8,10,4,2/6,0/2,4/4,57,18.0%,27,100.0,78,18.2%,11,29.6%,75,50.0%,46,6.5%,69,23.5%,79,3.4%,62,1.3%
01/04/22,vs.,PHX,L,110,123,35,25,16,2,10/18,0/2,5/6,83,24.7%,49,119.0,57,10.5%,43,14.0%,59,70.0%,65,10.3%,87,31.2%,,0.0%,,0.0%
01/03/22,vs.,UTA,L,104,115,30,25,9,2,9/18,3/7,4/4,92,28.8%,55,125.0,62,12.5%,55,9.5%,86,44.4%,68,10.8%,55,19.2%,,0.0%,,0.0%
12/28/21,vs.,CLE,W,108,104,30,15,10,2,4/11,1/2,6/8,89,27.3%,27,100.0,66,13.3%,21,22.2%,,100.0%,82,14.8%,33,13.5%,57,1.7%,,0.0%
12/21/21,vs.,POR,W,111,97,31,10,16,1,4/10,0/2,2/2,61,18.9%,25,90.9,34,4.8%,36,16.0%,75,50.0%,86,16.7%,93,35.7%,60,1.9%,,0.0%
12/17/21,vs.,MIL,W,116,112,40,24,7,3,11/15,0/0,2/3,75,22.1%,74,150.0,62,12.0%,15,26.3%,69,63.6%,52,7.7%,23,11.1%,69,2.5%,58,1.2%
12/15/21,@,OKC,W,113,110,34,19,16,0,8/10,1/1,2/2,51,16.9%,88,172.7,,0.0%,10,30.8%,75,50.0%,95,22.2%,77,26.3%,54,1.5%,82,2.6%
12/12/21,@,SAS,L,97,112,32,17,12,4,7/15,1/3,2/3,83,24.7%,40,106.3,85,22.2%,25,20.5%,57,71.4%,83,15.0%,70,24.0%,55,1.6%,,0.0%
12/10/21,vs.,DET,W,109,93,27,17,11,3,7/12,0/0,3/4,77,22.7%,53,121.4,71,15.0%,43,13.3%,57,71.4%,82,14.8%,56,19.4%,,0.0%,,0.0%
12/08/21,vs.,DEN,L,114,120,39,27,11,3,12/21,1/2,2/3,87,26.1%,54,122.7,62,12.0%,45,13.0%,73,58.3%,83,15.2%,32,13.3%,86,4.3%,,0.0%
12/05/21,@,HOU,L,108,118,32,17,10,3,7/11,0/1,3/6,74,21.7%,53,121.4,73,15.8%,62,6.7%,87,42.9%,70,11.4%,55,19.2%,91,5.4%,65,1.4%
12/03/21,@,DAL,W,107,91,25,14,11,3,5/7,0/2,4/7,79,23.1%,68,140.0,86,23.1%,19,24.0%,46,80.0%,56,8.3%,89,33.3%,,0.0%,72,1.9%
12/01/21,vs.,DAL,L,107,139,25,6,5,1,1/8,0/4,4/4,72,21.4%,11,60.0,42,6.7%,33,16.7%,,100.0%,30,3.6%,89,33.3%,,0.0%,71,1.8%
11/29/21,@,LAC,W,123,104,32,39,15,3,15/24,7/8,2/2,94,30.7%,80,156.0,73,16.7%,65,4.3%,70,60.0%,93,20.6%,84,30.0%,,0.0%,83,2.7%
11/27/21,@,UTA,L,105,127,22,12,12,2,6/11,0/4,0/0,80,23.5%,41,109.1,78,18.2%,32,17.4%,44,83.3%,54,8.0%,99,50.0%,70,2.6%,,0.0%
11/26/21,@,UTA,W,98,97,29,11,10,1,5/10,0/3,1/3,54,17.4%,27,100.0,42,6.7%,33,16.7%,70,60.0%,44,6.1%,76,25.8%,59,1.8%,,0.0%
