Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/08/22,@,BOS,L,100,116,0,0,0,0,0/0,0/0,0/0,,0.0%,,,,,,,,,,,,,,,,0.0%
05/24/22,@,DAL,L,109,119,22,17,8,1,5/11,1/3,6/8,97,34.4%,46,113.3,49,7.7%,45,12.9%,54,80.0%,,0.0%,79,27.3%,,0.0%,,0.0%
05/11/22,@,MEM,L,95,134,12,5,1,1,2/6,0/2,1/2,95,30.4%,18,71.4,70,14.3%,48,11.8%,93,0.0%,,0.0%,0,0.0%,,0.0%,,0.0%
05/09/22,vs.,MEM,W,101,98,5,0,1,1,0/0,0/0,0/0,3,3.6%,0,,88,25.0%,,0.0%,,,,0.0%,39,14.3%,97,7.7%,,0.0%
05/07/22,vs.,MEM,W,142,112,13,8,2,1,4/5,0/1,0/0,89,25.8%,79,160.0,59,11.1%,3,50.0%,56,75.0%,72,11.1%,16,8.3%,,0.0%,,0.0%
05/03/22,@,MEM,L,101,106,14,9,5,0,3/7,0/0,3/3,82,21.9%,44,112.5,,0.0%,,0.0%,64,66.7%,53,6.7%,66,22.2%,,0.0%,,0.0%
05/01/22,@,MEM,W,117,116,15,6,6,1,2/3,0/0,2/2,40,12.8%,72,150.0,51,8.3%,30,20.0%,77,50.0%,53,6.7%,86,30.8%,,0.0%,83,2.6%
04/27/22,vs.,DEN,W,102,98,5,4,0,0,2/4,0/0,0/0,88,25.0%,27,100.0,,0.0%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
04/24/22,@,DEN,L,121,126,11,9,0,0,3/4,0/1,3/5,53,15.5%,72,150.0,,0.0%,,0.0%,,100.0%,,0.0%,0,0.0%,,0.0%,,0.0%
04/10/22,@,NOP,W,128,107,25,12,5,2,5/8,1/2,1/2,55,17.6%,61,133.3,50,9.1%,52,10.5%,70,60.0%,,0.0%,47,17.2%,,0.0%,72,1.9%
04/09/22,@,SAS,W,100,94,22,18,4,2,6/8,2/2,4/4,69,20.7%,90,180.0,80,20.0%,52,10.5%,44,83.3%,44,6.2%,8,4.3%,,0.0%,95,4.3%
04/07/22,vs.,LAL,W,128,112,8,6,4,0,2/4,0/0,2/2,84,25.0%,50,120.0,,0.0%,25,20.0%,,100.0%,86,16.7%,99,50.0%,93,5.9%,,0.0%
04/03/22,@,SAC,W,109,90,31,17,5,4,6/10,2/2,3/6,71,21.1%,61,130.8,73,16.7%,61,7.4%,44,83.3%,39,5.3%,23,10.7%,59,1.8%,67,1.6%
