Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/16/22,@,BOS,W,103,90,18,15,3,2,5/12,3/8,2/2,87,29.1%,61,115.4,69,25.0%,,0.0%,50,60.0%,75,4.3%,58,11.1%,,0.0%,,0.0%
06/13/22,vs.,BOS,W,104,94,14,11,0,0,3/7,2/5,3/3,85,28.3%,78,137.5,,0.0%,41,11.8%,73,33.3%,,0.0%,0,0.0%,,0.0%,,0.0%
06/10/22,@,BOS,W,107,97,21,14,1,1,6/13,2/7,0/0,70,25.0%,53,107.7,23,9.1%,54,7.7%,54,50.0%,,0.0%,22,4.0%,90,2.4%,64,1.9%
06/08/22,@,BOS,L,100,116,22,10,1,3,4/7,1/3,1/2,59,22.4%,68,125.0,60,21.4%,24,18.2%,82,25.0%,,0.0%,24,4.8%,,0.0%,,0.0%
06/05/22,vs.,BOS,W,107,88,12,11,2,3,4/9,3/5,0/0,97,36.2%,66,122.2,87,33.3%,48,9.5%,54,50.0%,,0.0%,85,18.2%,,0.0%,85,3.4%
06/02/22,vs.,BOS,L,108,120,25,9,2,2,2/6,1/4,4/4,61,22.7%,58,112.5,44,15.4%,6,32.0%,54,50.0%,,0.0%,46,8.3%,,0.0%,,0.0%
05/26/22,vs.,DAL,W,120,110,27,14,6,6,5/7,1/3,3/3,54,21.4%,86,155.6,82,30.0%,52,8.3%,69,40.0%,,0.0%,93,22.7%,,0.0%,87,3.6%
05/24/22,@,DAL,L,109,119,29,14,0,4,5/10,2/5,2/2,53,21.3%,72,127.3,52,18.2%,54,7.7%,69,40.0%,,0.0%,0,0.0%,85,1.8%,,0.0%
05/22/22,@,DAL,W,109,100,28,10,5,1,2/4,2/4,4/4,15,12.5%,90,166.7,16,5.6%,9,26.7%,,100.0%,71,3.7%,85,18.2%,,0.0%,85,3.3%
05/20/22,vs.,DAL,W,126,117,29,23,1,5,7/10,2/4,7/7,70,25.0%,93,176.9,61,21.7%,24,18.2%,52,57.1%,,0.0%,20,3.8%,,0.0%,81,3.0%
05/18/22,vs.,DAL,W,112,87,26,19,2,3,8/12,1/4,2/2,82,27.3%,83,146.2,50,17.6%,59,6.7%,88,12.5%,77,4.8%,18,3.4%,,0.0%,62,1.8%
05/13/22,vs.,MEM,W,110,96,24,12,3,2,4/15,2/11,2/3,82,27.3%,23,75.0,38,14.3%,43,11.1%,54,50.0%,,0.0%,53,9.7%,86,1.9%,,0.0%
05/11/22,@,MEM,L,95,134,20,3,1,3,1/6,1/3,0/0,74,25.6%,14,50.0,75,27.3%,3,36.4%,,100.0%,,0.0%,20,3.8%,85,1.8%,71,2.3%
05/09/22,vs.,MEM,W,101,98,32,14,6,5,4/12,0/3,6/6,77,26.6%,41,93.3,81,29.4%,20,19.5%,54,50.0%,62,2.5%,72,13.9%,,0.0%,,0.0%
05/07/22,vs.,MEM,W,142,112,31,27,4,2,11/17,3/5,2/2,81,27.2%,84,150.0,21,8.3%,44,10.8%,67,45.5%,,0.0%,56,10.3%,,0.0%,,0.0%
05/03/22,@,MEM,L,101,106,33,20,3,5,8/16,1/6,3/3,67,24.1%,62,117.6,64,22.7%,35,14.6%,54,50.0%,61,2.4%,28,5.3%,,0.0%,,0.0%
05/01/22,@,MEM,W,117,116,38,29,8,9,11/19,5/10,2/2,81,27.2%,82,145.0,92,36.0%,29,16.3%,40,72.7%,83,5.7%,51,9.5%,91,2.6%,,0.0%
04/27/22,vs.,DEN,W,102,98,26,8,1,4,3/10,1/4,1/1,69,24.5%,29,80.0,69,25.0%,54,7.7%,90,0.0%,,0.0%,22,4.2%,,0.0%,63,1.9%
04/24/22,@,DEN,L,121,126,39,11,2,9,3/10,1/5,4/4,52,21.2%,40,91.7,77,28.1%,32,15.4%,90,0.0%,82,5.6%,0,0.0%,,0.0%,84,3.3%
04/21/22,@,DEN,W,118,113,34,27,3,3,9/13,3/5,6/9,68,24.3%,91,168.8,38,14.3%,27,16.7%,53,55.6%,,0.0%,58,11.1%,82,1.6%,54,1.4%
04/18/22,vs.,DEN,W,126,106,32,29,4,8,10/15,5/9,4/4,90,30.1%,95,181.3,93,38.1%,47,9.8%,80,30.0%,,0.0%,65,12.1%,81,1.6%,79,2.9%
