Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
03/20/22,@,IND,L,98,129,30,26,3,4,11/13,3/5,1/1,59,22.3%,96,200.0,73,26.7%,35,13.8%,65,45.5%,,0.0%,71,13.6%,,0.0%,83,3.1%
03/18/22,@,BKN,L,123,128,40,25,5,6,9/18,3/8,4/5,66,23.7%,73,131.6,53,18.8%,54,8.9%,72,33.3%,67,2.7%,89,20.0%,,0.0%,48,1.1%
03/16/22,@,NYK,L,98,128,28,17,5,3,6/15,2/6,3/4,82,27.8%,50,106.3,50,17.6%,44,11.4%,38,66.7%,,0.0%,84,17.2%,,0.0%,,0.0%
03/14/22,@,ATL,L,113,122,38,31,7,4,11/21,4/7,5/7,71,24.7%,76,134.8,46,16.7%,68,4.3%,51,54.5%,67,2.6%,56,10.3%,,0.0%,,0.0%
03/12/22,vs.,WAS,W,127,118,36,44,8,6,15/21,6/9,8/8,94,33.1%,96,191.3,65,23.1%,46,10.9%,84,20.0%,,0.0%,95,23.5%,,0.0%,94,4.8%
03/09/22,@,UTA,L,85,123,26,5,6,3,2/11,0/6,1/2,68,24.1%,10,41.7,79,30.0%,60,7.1%,52,50.0%,93,8.3%,85,17.6%,,0.0%,64,1.7%
03/07/22,@,MIN,L,81,124,28,6,5,4,2/12,1/6,1/2,64,23.2%,11,46.2,81,30.8%,41,12.1%,52,50.0%,,0.0%,73,13.9%,,0.0%,57,1.4%
03/02/22,@,PHX,L,90,120,23,10,4,4,2/9,1/5,5/7,85,28.6%,30,83.3,76,28.6%,22,18.8%,,100.0%,,0.0%,92,21.1%,,0.0%,87,3.6%
02/27/22,vs.,DEN,L,92,124,31,10,6,4,5/12,0/5,0/0,56,21.6%,30,83.3,62,22.2%,22,18.8%,68,40.0%,68,2.9%,89,20.0%,,0.0%,78,2.7%
02/24/22,vs.,GSW,L,95,132,25,12,5,4,5/10,0/4,2/2,70,24.6%,52,109.1,73,26.7%,19,20.0%,68,40.0%,,0.0%,93,21.7%,,0.0%,62,1.6%
02/16/22,@,MEM,W,123,119,37,22,7,6,7/12,3/6,5/7,66,23.8%,83,146.7,60,21.4%,32,15.0%,79,28.6%,89,6.5%,57,10.5%,,0.0%,50,1.2%
02/14/22,@,MIL,W,122,107,36,27,7,5,10/16,5/9,2/2,47,20.2%,89,158.8,61,21.7%,29,15.8%,38,70.0%,65,2.2%,79,15.8%,94,2.7%,48,1.1%
02/12/22,vs.,NYK,W,112,103,37,23,1,2,7/12,3/6,6/8,57,22.0%,87,153.3,24,9.1%,14,22.2%,49,57.1%,,0.0%,15,2.6%,,0.0%,,0.0%
02/06/22,@,HOU,W,120,107,36,13,7,4,4/8,1/3,4/4,27,12.5%,68,130.0,74,16.7%,,0.0%,,100.0%,69,3.4%,75,15.2%,,0.0%,91,3.8%
01/31/22,@,CLE,L,90,93,37,10,10,3,2/9,1/5,5/6,56,17.5%,28,83.3,67,14.3%,31,13.8%,,100.0%,60,2.5%,97,27.3%,,0.0%,77,2.4%
01/29/22,vs.,BOS,L,97,107,35,10,13,2,4/9,1/4,1/3,46,15.8%,36,100.0,50,9.5%,12,24.0%,54,75.0%,62,2.8%,99,35.5%,,0.0%,91,3.8%
