Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
05/15/22,@,BOS,L,81,109,41,21,5,8,9/20,0/5,3/4,48,26.6%,35,95.5,79,38.1%,76,4.0%,44,44.4%,60,2.0%,35,9.1%,,0.0%,65,2.1%
05/13/22,vs.,BOS,L,95,108,42,17,2,4,7/17,3/10,0/0,31,20.4%,37,100.0,15,15.4%,73,5.3%,62,28.6%,,0.0%,14,4.4%,91,2.4%,86,3.2%
05/11/22,@,BOS,W,110,107,41,24,8,8,9/24,4/7,2/2,61,30.1%,35,96.0,54,29.6%,68,6.8%,54,33.3%,61,2.2%,87,21.2%,94,2.8%,36,1.0%
05/09/22,vs.,BOS,L,108,116,41,16,7,9,5/22,1/6,5/5,63,30.6%,13,66.7,69,34.6%,68,6.7%,73,20.0%,78,3.9%,70,15.2%,,0.0%,83,3.1%
05/07/22,vs.,BOS,W,103,101,43,25,7,3,11/30,3/10,0/0,60,30.0%,23,83.3,11,12.0%,52,9.5%,32,54.5%,60,1.9%,51,11.8%,75,1.1%,80,2.9%
05/03/22,@,BOS,L,86,109,40,19,4,7,7/19,1/5,4/4,79,34.4%,32,90.5,53,29.2%,47,10.9%,86,0.0%,75,3.6%,19,6.1%,,0.0%,73,2.5%
05/01/22,@,BOS,W,101,89,36,25,9,5,8/20,3/5,6/6,63,30.6%,50,108.7,41,26.3%,64,7.7%,53,37.5%,84,5.1%,74,16.2%,,0.0%,90,3.5%
04/27/22,vs.,CHI,W,116,100,36,10,5,9,4/13,1/6,1/2,56,28.6%,17,71.4,56,30.0%,8,25.0%,65,25.0%,69,3.0%,44,10.5%,,0.0%,,0.0%
04/24/22,@,CHI,W,119,95,37,26,2,7,10/21,5/8,1/2,59,29.9%,68,123.8,36,25.0%,62,8.2%,49,40.0%,,0.0%,16,5.4%,,0.0%,45,1.2%
04/22/22,@,CHI,W,111,81,30,16,6,6,7/13,1/4,1/2,59,29.8%,58,114.3,45,27.3%,47,10.8%,78,14.3%,80,4.2%,73,16.1%,89,2.0%,61,1.6%
