Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
02/16/22,@,MEM,W,123,119,34,32,8,4,12/17,1/2,7/10,87,26.3%,79,152.4,76,17.4%,65,4.9%,73,58.3%,86,16.7%,12,6.5%,53,1.5%,61,1.3%
02/14/22,@,MIL,W,122,107,30,23,16,4,7/16,2/2,7/8,92,29.2%,46,115.0,73,16.7%,43,13.3%,57,71.4%,73,12.5%,95,38.7%,,0.0%,61,1.3%
02/12/22,vs.,NYK,W,112,103,33,12,20,6,5/10,0/0,2/2,80,23.3%,41,109.1,92,28.6%,12,28.6%,70,60.0%,79,13.8%,97,42.4%,,0.0%,,0.0%
02/09/22,vs.,LAL,W,107,105,33,19,12,3,8/11,0/0,3/5,59,18.5%,73,146.2,68,14.3%,40,14.8%,51,75.0%,44,6.2%,99,47.6%,,0.0%,,0.0%
02/08/22,vs.,ORL,L,95,113,34,14,11,4,4/16,0/3,6/8,90,28.0%,15,70.0,80,19.0%,57,8.7%,75,50.0%,73,12.5%,60,20.7%,75,3.1%,59,1.2%
02/05/22,vs.,MIL,L,108,137,25,11,10,3,5/6,0/0,1/3,52,17.0%,80,157.1,86,23.1%,10,31.6%,46,80.0%,67,10.7%,89,33.3%,82,3.8%,,0.0%
02/04/22,vs.,OKC,L,93,96,33,14,16,2,6/19,0/0,2/3,89,27.4%,15,70.0,54,10.0%,43,13.3%,75,50.0%,85,15.9%,62,21.4%,,0.0%,80,2.4%
02/02/22,@,LAL,L,94,99,36,16,13,4,7/15,2/3,0/3,68,20.5%,27,100.0,80,20.0%,33,16.7%,42,85.7%,68,10.9%,60,20.6%,55,1.6%,58,1.1%
01/31/22,@,OKC,L,81,98,31,14,9,1,7/12,0/0,0/0,69,20.6%,47,116.7,45,7.7%,37,15.4%,87,42.9%,71,11.8%,50,17.9%,58,1.8%,68,1.6%
01/30/22,@,CHI,L,116,130,26,11,4,1,3/5,1/1,4/6,72,21.4%,67,137.5,36,5.3%,8,33.3%,89,33.3%,36,4.8%,39,15.0%,,0.0%,,0.0%
01/28/22,@,HOU,W,125,110,33,25,13,0,8/11,0/0,9/11,91,28.1%,80,156.3,,0.0%,12,29.3%,89,37.5%,33,4.2%,95,37.9%,55,1.6%,63,1.4%
01/26/22,vs.,DAL,L,112,132,31,18,8,3,7/11,0/1,4/7,83,24.6%,58,128.6,73,16.7%,46,12.5%,87,42.9%,51,7.4%,62,21.4%,,0.0%,67,1.5%
01/25/22,vs.,MIN,L,107,109,32,20,14,4,8/18,0/0,4/6,88,26.5%,27,95.2,88,25.0%,65,4.7%,69,62.5%,91,19.0%,38,14.8%,,0.0%,59,1.2%
01/23/22,@,TOR,W,114,105,31,11,11,2,5/9,0/1,1/5,70,20.9%,27,100.0,50,8.7%,16,25.8%,94,20.0%,79,14.3%,52,18.4%,73,2.9%,62,1.4%
01/21/22,@,BOS,W,109,105,38,29,17,6,9/16,1/1,10/13,96,32.7%,68,138.1,91,27.3%,29,18.9%,74,55.6%,92,19.4%,80,27.8%,53,1.5%,59,1.2%
01/19/22,@,MIA,L,92,104,28,18,14,2,6/10,0/0,6/8,83,24.6%,58,128.6,68,14.3%,46,12.5%,89,33.3%,96,24.1%,78,26.9%,61,2.0%,67,1.5%
01/17/22,@,ORL,W,98,88,36,21,22,2,10/21,0/3,1/2,94,30.4%,27,100.0,57,10.5%,19,23.5%,75,50.0%,65,10.3%,95,37.2%,72,2.9%,96,4.8%
01/15/22,@,WAS,W,115,110,31,23,14,2,9/15,0/1,5/10,93,29.9%,46,115.0,54,10.0%,29,18.6%,50,77.8%,72,12.0%,88,32.4%,,0.0%,84,2.8%
01/13/22,@,DEN,L,108,140,25,10,8,6,4/9,0/3,2/3,82,24.2%,27,100.0,96,35.3%,25,20.7%,51,75.0%,46,6.5%,78,26.7%,65,2.2%,69,1.7%
01/10/22,vs.,BKN,W,114,108,33,14,8,3,4/13,0/2,6/8,87,26.4%,20,82.4,68,14.3%,53,10.3%,75,50.0%,46,6.5%,47,17.1%,,0.0%,62,1.4%
01/09/22,vs.,SAC,W,103,88,38,14,16,9,6/12,1/2,1/3,81,23.8%,40,107.7,98,39.1%,16,25.0%,44,83.3%,58,8.6%,84,29.5%,51,1.3%,79,2.4%
01/07/22,vs.,CLE,L,101,114,31,14,12,4,5/17,2/2,2/4,92,28.8%,16,73.7,85,22.2%,55,9.5%,46,80.0%,70,11.4%,70,24.0%,58,1.7%,84,2.7%
01/05/22,vs.,MIA,L,109,115,33,14,13,1,5/7,0/2,4/6,36,14.2%,68,140.0,37,5.6%,52,10.5%,46,80.0%,44,6.1%,92,34.4%,54,1.5%,87,3.0%
01/03/22,vs.,ATL,W,136,131,26,21,12,5,8/18,0/2,5/7,98,37.1%,27,100.0,87,23.8%,59,8.2%,93,25.0%,93,20.8%,83,29.2%,,0.0%,66,1.5%
12/21/21,@,NOP,L,97,111,33,17,5,4,6/10,0/0,5/8,82,24.2%,61,130.8,87,23.5%,29,18.8%,59,66.7%,,0.0%,50,17.9%,56,1.7%,87,3.0%
12/19/21,@,MEM,W,105,100,34,9,11,1,4/10,0/1,1/2,79,23.3%,20,81.8,34,4.8%,4,41.2%,51,75.0%,54,8.0%,65,22.2%,,0.0%,,0.0%
12/17/21,vs.,CHA,W,125,116,15,10,4,2,5/8,0/1,0/0,86,25.8%,55,125.0,78,18.2%,,0.0%,87,40.0%,52,7.7%,39,15.0%,,0.0%,,0.0%
12/15/21,vs.,MEM,L,103,113,31,16,12,2,5/11,0/1,6/8,72,21.2%,45,114.3,58,11.1%,28,19.4%,,100.0%,28,3.1%,83,29.0%,,0.0%,84,2.7%
12/14/21,vs.,PHX,L,107,111,39,17,13,5,7/11,0/1,3/5,49,16.5%,61,130.8,85,21.7%,62,6.9%,73,57.1%,63,9.8%,79,27.3%,,0.0%,58,1.1%
12/12/21,vs.,MIN,L,111,116,21,8,7,1,3/6,0/0,2/2,70,21.0%,45,114.3,54,10.0%,6,38.1%,59,66.7%,71,11.8%,72,25.0%,64,2.1%,74,2.0%
12/08/21,@,GSW,L,94,104,28,12,13,6,5/14,0/1,2/3,96,33.1%,18,80.0,98,42.9%,20,23.3%,70,60.0%,68,11.1%,92,34.5%,,0.0%,,0.0%
12/06/21,vs.,LAC,L,90,102,30,31,5,1,12/19,1/2,6/10,99,38.5%,66,134.8,54,10.0%,46,12.8%,75,50.0%,,0.0%,56,20.0%,59,1.8%,,0.0%
12/04/21,vs.,BOS,L,117,145,20,18,5,1,6/9,0/1,6/7,81,23.9%,84,163.6,54,10.0%,55,9.5%,59,66.7%,63,10.0%,72,25.0%,68,2.5%,78,2.3%
12/02/21,vs.,SAS,L,83,114,23,10,7,1,3/8,0/0,4/4,65,20.0%,27,100.0,48,8.3%,29,18.2%,,100.0%,29,3.3%,48,17.4%,,0.0%,,0.0%
11/30/21,vs.,DET,W,110,92,27,13,8,5,5/8,0/0,3/5,78,23.0%,49,118.2,90,26.3%,40,14.3%,70,60.0%,79,13.8%,38,14.8%,61,2.0%,68,1.6%
11/29/21,@,UTA,L,107,129,27,24,10,1,9/13,1/1,5/7,78,23.0%,74,150.0,50,9.1%,,0.0%,74,55.6%,88,17.2%,70,23.8%,,0.0%,,0.0%
11/26/21,@,GSW,L,103,118,24,17,4,3,6/10,0/2,5/8,82,24.1%,53,121.4,86,23.1%,61,7.1%,44,83.3%,30,3.6%,44,16.7%,,0.0%,70,1.7%
11/24/21,@,SAC,L,121,125,32,28,17,5,12/17,0/2,4/5,83,24.3%,80,155.6,87,23.8%,52,10.8%,59,66.7%,67,10.7%,99,46.4%,,0.0%,61,1.3%
11/23/21,vs.,DEN,W,119,100,24,6,7,3,2/6,0/0,2/2,55,17.6%,22,85.7,65,13.0%,24,21.1%,,100.0%,68,11.1%,61,20.8%,66,2.3%,72,1.9%
11/20/21,vs.,PHI,W,118,111,23,11,11,3,5/6,1/1,0/0,32,13.5%,91,183.3,77,17.6%,37,15.4%,46,80.0%,40,5.6%,96,40.0%,67,2.4%,94,4.2%
11/17/21,vs.,CHI,W,112,107,23,18,12,1,8/13,0/0,2/2,80,23.6%,58,128.6,45,7.7%,37,15.4%,41,87.5%,98,27.3%,72,25.0%,66,2.3%,71,1.8%
11/15/21,vs.,TOR,W,118,113,18,5,14,0,2/4,0/0,1/1,7,7.5%,55,125.0,,0.0%,,0.0%,,100.0%,44,6.2%,100,54.2%,,0.0%,,0.0%
11/14/21,@,DEN,L,95,124,21,4,6,1,2/5,0/2,0/0,39,14.8%,18,80.0,43,7.1%,10,30.8%,,100.0%,,0.0%,81,28.6%,,0.0%,,0.0%
11/12/21,@,HOU,W,104,92,29,12,9,2,1/3,0/0,10/10,49,16.7%,74,150.0,71,15.4%,15,26.1%,,100.0%,51,7.3%,35,14.3%,58,1.8%,95,4.3%
11/10/21,@,PHX,L,109,119,19,8,6,3,4/7,0/0,0/0,75,22.1%,45,114.3,84,21.4%,10,31.6%,,100.0%,39,5.3%,83,29.4%,,0.0%,,0.0%
11/09/21,@,LAC,L,109,117,27,15,13,6,6/9,1/1,2/2,73,21.6%,74,150.0,88,25.0%,36,16.0%,44,83.3%,37,5.0%,99,47.8%,,0.0%,70,1.7%
11/06/21,vs.,LAL,W,105,90,22,15,17,1,6/6,0/0,3/5,38,14.7%,92,187.5,42,6.7%,19,23.5%,59,66.7%,52,7.7%,99,46.7%,64,2.2%,97,5.2%
11/05/21,vs.,IND,W,110,106,23,10,9,3,4/8,0/1,2/2,61,19.0%,43,111.1,77,17.6%,52,10.5%,,100.0%,62,9.5%,92,35.0%,,0.0%,93,4.0%
11/03/21,@,CLE,L,104,107,28,6,9,2,3/7,0/0,0/1,37,14.4%,22,85.7,54,10.0%,24,21.1%,89,33.3%,83,15.2%,56,20.0%,,0.0%,66,1.5%
