Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/29/22,vs.,MEM,L,106,114,41,18,10,4,6/19,0/3,6/9,90,26.4%,21,78.3,70,14.3%,55,8.3%,,100.0%,32,2.6%,65,21.6%,56,1.3%,64,1.1%
04/26/22,@,MEM,L,109,111,35,28,12,1,7/15,5/7,9/9,93,29.3%,71,147.4,41,5.6%,18,29.2%,61,71.4%,34,3.1%,68,22.5%,73,2.6%,92,3.7%
04/23/22,vs.,MEM,W,119,118,42,33,14,3,8/17,3/5,14/17,94,30.3%,61,132.0,63,12.0%,30,20.0%,74,62.5%,51,6.2%,87,31.6%,55,1.2%,,0.0%
04/21/22,vs.,MEM,L,95,104,33,8,5,1,3/4,0/1,2/2,35,11.5%,79,160.0,41,5.6%,6,47.1%,64,66.7%,33,2.9%,16,8.3%,98,7.8%,,0.0%
04/19/22,@,MEM,L,96,124,28,15,11,1,4/7,0/1,7/8,88,25.4%,65,136.4,45,6.7%,15,31.2%,92,25.0%,60,8.3%,93,36.4%,82,3.5%,,0.0%
04/16/22,@,MEM,W,130,117,43,29,13,3,11/18,2/5,5/5,69,18.3%,77,152.6,57,9.7%,39,15.8%,53,81.8%,70,10.3%,66,22.0%,55,1.1%,,0.0%
04/12/22,vs.,LAC,W,109,104,24,11,5,3,3/11,0/2,5/6,97,34.5%,22,78.6,93,30.0%,29,21.1%,88,33.3%,72,11.1%,9,4.8%,,0.0%,91,3.6%
04/07/22,vs.,SAS,W,127,121,33,21,13,3,7/18,4/7,3/5,82,24.1%,39,105.0,67,13.6%,53,10.0%,,100.0%,68,10.8%,86,31.0%,,0.0%,,0.0%
04/05/22,vs.,WAS,L,114,132,35,26,10,4,10/24,2/8,4/5,94,31.1%,27,100.0,76,17.4%,,0.0%,75,50.0%,55,8.1%,71,24.1%,71,2.8%,,0.0%
04/03/22,@,HOU,W,139,132,35,28,11,4,12/16,1/3,3/5,77,22.6%,80,155.6,73,16.0%,36,16.2%,51,75.0%,52,7.7%,86,31.0%,,0.0%,59,1.2%
04/01/22,@,DEN,W,136,130,31,32,9,0,11/18,4/7,6/6,91,28.1%,79,152.4,,0.0%,40,14.6%,69,63.6%,51,7.4%,84,30.0%,79,3.4%,63,1.4%
