Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
06/14/21,vs.,UTA,W,118,104,34,31,7,3,9/19,3/7,10/13,94,34.9%,63,124.0,77,18.8%,54,7.5%,74,44.4%,77,6.1%,64,15.6%,83,1.7%,80,2.6%
06/12/21,vs.,UTA,W,132,106,38,34,12,5,14/24,1/6,5/5,96,36.4%,70,130.8,79,19.2%,57,6.8%,94,14.3%,82,7.1%,90,25.0%,77,1.4%,79,2.5%
06/10/21,@,UTA,L,111,117,39,21,4,5,8/17,2/4,3/4,80,26.7%,46,110.5,84,21.7%,39,13.0%,82,37.5%,72,5.4%,10,3.8%,,0.0%,77,2.3%
06/08/21,@,UTA,L,109,112,36,23,7,3,9/19,1/4,4/4,78,25.7%,50,115.0,75,17.6%,,0.0%,74,44.4%,88,8.1%,44,11.8%,,0.0%,60,1.3%
06/06/21,vs.,DAL,W,126,111,42,28,10,9,10/15,1/3,7/7,70,22.5%,84,155.6,99,34.6%,,0.0%,78,40.0%,53,2.6%,87,22.5%,72,1.1%,95,4.4%
06/04/21,@,DAL,W,104,97,42,45,6,3,18/25,5/9,4/4,91,31.5%,91,173.1,80,20.0%,34,14.3%,81,38.9%,77,6.2%,31,8.9%,,0.0%,76,2.2%
06/02/21,vs.,DAL,L,100,105,42,20,5,5,7/19,1/7,5/6,85,29.5%,32,95.2,87,22.7%,16,19.2%,53,71.4%,52,2.5%,22,7.1%,90,2.5%,53,1.1%
05/30/21,@,DAL,W,106,81,35,29,10,3,11/15,2/3,5/6,79,26.3%,87,161.1,75,17.6%,31,15.0%,74,45.5%,93,10.7%,44,11.6%,92,2.9%,80,2.6%
05/28/21,@,DAL,W,118,108,42,36,8,3,13/17,3/5,7/7,74,24.1%,92,180.0,58,11.1%,33,14.6%,59,61.5%,84,7.4%,54,13.6%,89,2.4%,55,1.2%
05/25/21,vs.,DAL,L,121,127,41,41,6,4,14/21,4/7,9/10,85,29.5%,89,164.0,74,17.4%,53,7.7%,76,42.9%,77,6.2%,41,11.1%,,0.0%,76,2.3%
05/22/21,vs.,DAL,L,103,113,41,26,10,5,9/22,1/6,7/9,90,30.5%,32,100.0,84,21.7%,,0.0%,74,44.4%,70,4.9%,85,22.2%,,0.0%,96,4.6%
05/13/21,@,CHA,W,113,90,31,16,3,9,5/9,2/4,4/5,87,27.0%,78,145.5,98,40.9%,23,18.2%,47,80.0%,,0.0%,36,9.7%,,0.0%,66,1.6%
05/11/21,@,TOR,W,115,96,30,20,7,5,6/10,0/1,8/8,77,23.2%,84,153.8,94,31.2%,59,6.2%,93,16.7%,,0.0%,87,22.6%,,0.0%,85,2.9%
05/09/21,vs.,NYK,L,100,106,36,29,4,3,9/26,4/9,7/7,98,35.0%,34,100.0,76,17.6%,64,3.6%,50,77.8%,,0.0%,40,10.5%,,0.0%,55,1.2%
05/06/21,vs.,LAL,W,118,94,30,15,8,6,4/9,2/6,5/6,92,29.5%,60,125.0,91,27.3%,12,25.6%,90,25.0%,79,6.2%,82,20.6%,77,1.8%,,0.0%
05/04/21,vs.,TOR,W,105,100,33,13,3,5,3/6,1/2,6/6,63,19.6%,77,144.4,80,20.0%,15,22.2%,58,66.7%,,0.0%,25,7.7%,,0.0%,,0.0%
05/01/21,vs.,DEN,L,104,110,30,16,5,6,7/12,2/3,0/0,75,22.6%,67,133.3,97,37.5%,58,7.1%,68,57.1%,79,6.2%,47,12.0%,,0.0%,,0.0%
04/18/21,vs.,MIN,W,124,105,23,15,11,8,6/11,2/6,1/1,94,30.6%,71,136.4,97,38.1%,23,18.2%,70,50.0%,,0.0%,99,36.7%,83,2.2%,,0.0%
04/09/21,vs.,HOU,W,126,109,33,31,5,8,11/20,3/6,6/7,100,40.3%,71,134.8,94,30.8%,57,7.4%,85,36.4%,,0.0%,53,13.3%,,0.0%,63,1.5%
04/08/21,vs.,PHX,W,113,103,38,26,5,5,10/20,3/7,3/3,96,32.7%,60,123.8,83,20.8%,21,19.6%,66,60.0%,59,3.3%,42,11.1%,,0.0%,,0.0%
04/06/21,vs.,POR,W,133,116,36,28,12,7,10/18,1/4,7/8,91,29.0%,67,133.3,88,25.0%,63,4.3%,83,40.0%,59,3.4%,95,28.2%,,0.0%,,0.0%
04/04/21,vs.,LAL,W,104,86,34,19,10,8,8/15,2/2,1/1,83,25.3%,63,126.7,94,30.8%,48,10.3%,85,37.5%,96,13.3%,68,16.7%,,0.0%,81,2.6%
04/01/21,vs.,DEN,L,94,101,39,24,12,4,10/22,2/4,2/2,95,31.3%,45,104.3,87,23.5%,56,7.7%,92,20.0%,97,14.6%,64,15.6%,,0.0%,79,2.4%
03/30/21,vs.,ORL,L,96,103,35,28,5,5,10/20,2/4,6/6,93,30.2%,63,127.3,93,29.4%,41,12.2%,66,60.0%,54,2.8%,30,8.6%,,0.0%,55,1.2%
03/29/21,vs.,MIL,W,129,105,36,23,9,8,10/21,0/6,3/4,97,33.5%,34,100.0,88,25.0%,48,10.2%,94,10.0%,95,12.1%,79,20.0%,,0.0%,76,2.3%
03/27/21,vs.,PHI,W,122,112,34,28,4,4,9/16,1/4,9/11,94,30.4%,67,133.3,77,18.2%,63,4.4%,86,33.3%,,0.0%,49,12.5%,,0.0%,93,4.1%
03/24/21,@,SAS,W,134,101,30,23,7,3,8/11,2/2,5/5,71,21.3%,92,176.9,59,12.0%,58,6.9%,90,25.0%,67,4.3%,88,23.1%,,0.0%,99,7.4%
03/22/21,vs.,ATL,W,119,110,33,25,7,5,8/14,3/4,6/6,92,29.2%,85,156.3,88,25.0%,46,10.5%,85,37.5%,,0.0%,74,18.2%,89,3.0%,63,1.5%
03/20/21,vs.,CHA,W,125,98,31,17,3,4,6/13,0/4,5/5,79,23.9%,51,113.3,72,16.0%,,0.0%,86,33.3%,67,4.3%,22,7.1%,,0.0%,98,6.0%
03/17/21,@,DAL,L,89,105,37,20,7,7,9/21,1/4,1/4,96,32.1%,29,87.0,95,33.3%,56,7.7%,69,55.6%,74,5.4%,67,16.1%,,0.0%,79,2.5%
03/15/21,@,DAL,W,109,99,40,22,8,7,9/20,1/5,3/3,90,28.6%,45,104.8,88,25.0%,63,4.2%,86,33.3%,76,5.9%,71,17.1%,,0.0%,95,4.8%
03/14/21,@,NOP,L,115,135,29,23,5,2,9/13,2/4,3/3,67,20.4%,88,164.3,57,11.8%,58,6.9%,86,33.3%,58,3.2%,95,28.6%,,0.0%,84,2.8%
03/11/21,vs.,GSW,W,130,104,31,28,9,4,10/17,5/7,3/3,90,28.2%,84,155.6,80,19.0%,23,18.2%,83,40.0%,,0.0%,86,22.2%,,0.0%,92,3.8%
03/04/21,@,WAS,L,117,119,32,22,5,3,7/14,2/6,6/7,89,28.0%,66,129.4,71,15.8%,22,19.0%,82,42.9%,,0.0%,51,12.9%,,0.0%,,0.0%
02/28/21,@,MIL,L,100,105,37,25,9,3,10/21,2/6,3/4,91,28.9%,47,108.7,69,15.0%,,0.0%,94,10.0%,88,8.9%,45,11.8%,,0.0%,79,2.4%
02/26/21,@,MEM,W,119,99,35,30,9,7,8/13,3/5,11/11,94,30.6%,92,176.5,93,29.2%,23,18.2%,65,62.5%,,0.0%,87,22.5%,70,1.3%,,0.0%
02/25/21,@,MEM,L,94,122,32,17,5,7,6/14,1/5,4/5,94,30.9%,45,106.3,98,41.2%,34,14.3%,70,50.0%,56,3.0%,39,10.3%,,0.0%,,0.0%
02/23/21,vs.,WAS,W,135,116,34,32,7,4,13/20,3/7,3/6,92,29.5%,78,145.5,72,16.0%,63,4.3%,89,30.8%,60,3.6%,90,25.0%,,0.0%,56,1.3%
02/21/21,vs.,BKN,L,108,112,39,29,13,3,9/18,5/8,6/6,78,23.6%,73,138.1,59,12.5%,52,9.3%,58,66.7%,53,2.7%,90,24.4%,,0.0%,51,1.1%
02/19/21,vs.,UTA,W,116,112,38,29,5,4,10/24,0/4,9/10,99,37.2%,34,100.0,80,20.0%,59,6.2%,92,20.0%,73,5.3%,30,8.6%,70,1.4%,,0.0%
02/12/21,@,CHI,W,125,106,33,33,6,3,14/21,1/6,4/5,97,33.3%,77,143.5,71,15.8%,,0.0%,92,21.4%,,0.0%,77,18.8%,,0.0%,85,2.9%
02/10/21,@,MIN,W,119,112,37,36,8,5,13/25,5/6,5/7,99,37.6%,64,128.6,87,23.8%,30,15.6%,70,53.8%,63,3.8%,45,11.6%,70,1.3%,78,2.4%
02/07/21,vs.,SAC,L,110,113,35,20,10,2,9/21,0/2,2/4,89,27.6%,29,87.0,54,11.1%,54,8.5%,69,55.6%,51,2.1%,85,21.6%,,0.0%,,0.0%
02/05/21,vs.,BOS,L,115,119,37,28,11,5,8/19,0/5,12/14,99,37.0%,50,112.0,87,23.8%,48,10.0%,94,12.5%,57,3.1%,90,25.0%,,0.0%,55,1.2%
02/03/21,@,CLE,W,121,99,32,24,6,3,9/14,3/6,3/4,93,29.7%,79,150.0,59,12.5%,18,21.1%,69,55.6%,,0.0%,79,20.0%,,0.0%,64,1.6%
02/02/21,@,BKN,L,120,124,39,33,5,5,12/24,1/5,8/9,95,31.4%,54,117.9,77,17.9%,,0.0%,93,16.7%,51,2.3%,22,7.1%,88,2.8%,94,4.3%
01/31/21,@,NYK,W,129,115,34,28,4,3,8/15,1/3,11/11,95,31.6%,74,140.0,54,11.1%,63,4.7%,90,25.0%,,0.0%,57,14.3%,74,1.6%,62,1.5%
01/29/21,@,ORL,W,116,90,29,24,4,3,8/15,2/6,6/6,92,29.2%,75,141.2,69,15.0%,,0.0%,90,25.0%,,0.0%,48,12.1%,,0.0%,,0.0%
01/24/21,vs.,OKC,W,108,100,36,34,9,8,14/24,4/9,2/2,94,30.7%,71,136.0,97,36.4%,,0.0%,70,50.0%,,0.0%,83,21.1%,,0.0%,,0.0%
01/22/21,vs.,OKC,W,120,106,37,31,8,2,10/20,1/6,10/10,96,32.7%,60,124.0,44,8.3%,57,7.5%,89,30.0%,57,3.1%,87,22.6%,89,3.0%,91,3.7%
01/20/21,vs.,SAC,W,115,96,35,32,3,5,13/22,3/5,3/3,98,34.4%,74,139.1,93,29.4%,46,10.9%,94,15.4%,,0.0%,32,9.1%,,0.0%,99,7.5%
01/17/21,vs.,IND,W,129,96,31,15,6,5,7/12,1/2,0/0,70,21.0%,60,125.0,85,21.7%,58,6.9%,90,28.6%,61,3.7%,53,13.3%,,0.0%,,0.0%
01/15/21,@,SAC,W,138,100,28,27,4,6,10/15,1/3,6/6,95,31.7%,86,158.8,90,26.1%,62,5.0%,92,20.0%,,0.0%,57,14.3%,,0.0%,64,1.6%
01/13/21,vs.,NOP,W,111,106,39,28,6,9,8/18,2/4,10/11,99,37.3%,58,121.7,99,42.9%,58,7.1%,85,37.5%,59,3.3%,57,14.3%,,0.0%,82,2.7%
01/10/21,vs.,CHI,W,130,127,38,35,2,4,14/22,7/9,0/0,79,23.9%,86,159.1,80,19.0%,52,9.3%,64,64.3%,,0.0%,12,4.2%,,0.0%,88,3.3%
01/08/21,@,GSW,L,105,115,34,24,3,4,7/17,3/5,7/8,93,29.7%,51,114.3,80,19.0%,54,8.5%,82,42.9%,,0.0%,37,10.0%,,0.0%,80,2.5%
01/06/21,@,GSW,W,108,101,35,21,4,4,7/12,0/3,7/7,89,28.0%,74,140.0,92,28.6%,8,30.4%,90,28.6%,,0.0%,42,11.1%,75,1.6%,54,1.2%
01/05/21,vs.,SAS,L,113,116,37,30,3,10,13/22,1/3,3/3,97,34.0%,66,130.4,99,41.7%,,0.0%,92,23.1%,59,3.3%,9,2.4%,70,1.4%,80,2.6%
01/03/21,@,PHX,W,112,107,34,15,6,3,4/21,0/3,7/10,100,40.4%,15,57.7,71,15.8%,59,6.8%,95,0.0%,55,2.9%,57,14.3%,75,1.6%,59,1.4%
01/01/21,@,UTA,L,100,106,39,20,16,9,8/19,2/4,2/4,92,29.5%,34,95.2,99,50.0%,,0.0%,90,25.0%,90,9.3%,86,22.0%,95,4.2%,,0.0%
12/30/20,vs.,POR,W,128,105,30,28,3,7,9/16,3/4,7/8,91,28.9%,79,147.4,93,29.2%,,0.0%,81,44.4%,60,3.6%,11,3.7%,81,2.0%,94,4.2%
12/25/20,@,DEN,W,121,108,30,21,5,7,8/14,2/4,3/3,85,26.1%,74,140.0,98,38.9%,44,11.1%,65,62.5%,88,9.1%,42,11.1%,79,1.9%,97,5.8%
12/22/20,@,LAL,W,116,109,34,26,2,3,10/26,1/8,5/5,98,35.3%,33,92.9,64,13.6%,48,10.0%,70,50.0%,,0.0%,24,7.4%,,0.0%,78,2.4%
