Date,Home/Away,Opp,W/L,Team Pts,Opp Pts,MIN,PTS,REB,AST,FGM/A,3PM/A,FTM/A,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,TOV% Rank,TOV%,ASTD% Rank,ASTD%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,BLK% Rank,BLK%,STL% Rank,STL%
04/13/22,@,NOP,L,103,113,40,15,5,4,6/20,0/5,3/5,86,27.8%,18,68.2,70,16.7%,64,4.1%,96,16.7%,65,4.4%,33,9.1%,,0.0%,,0.0%
04/10/22,@,DAL,L,120,130,34,24,6,3,8/19,1/6,7/7,90,28.1%,48,109.1,65,13.6%,,0.0%,51,75.0%,,0.0%,43,11.1%,,0.0%,97,5.5%
04/07/22,@,MIN,L,121,127,34,20,6,5,7/15,2/6,4/7,83,24.1%,50,111.1,84,21.7%,59,5.3%,57,71.4%,57,3.4%,45,11.4%,69,1.4%,55,1.3%
04/05/22,@,DEN,W,116,97,34,20,8,3,8/15,2/7,2/3,70,20.4%,62,125.0,65,13.6%,56,6.5%,51,75.0%,,0.0%,78,19.0%,,0.0%,,0.0%
04/03/22,vs.,POR,W,113,92,37,28,2,2,9/20,6/12,4/6,83,24.1%,61,121.7,51,10.0%,60,4.8%,43,88.9%,,0.0%,15,4.9%,69,1.4%,,0.0%
04/01/22,vs.,POR,W,130,111,27,21,5,6,6/10,5/8,4/4,78,22.6%,92,175.0,88,24.0%,31,14.3%,,100.0%,66,4.5%,62,14.8%,,0.0%,,0.0%
03/30/22,vs.,MEM,L,111,112,38,23,7,4,9/21,2/8,3/4,94,30.4%,46,104.5,76,17.4%,51,8.3%,82,44.4%,79,6.7%,58,14.3%,,0.0%,55,1.3%
03/28/22,@,HOU,W,123,120,36,21,9,4,7/16,1/5,6/7,72,20.7%,50,110.5,67,13.8%,46,9.8%,57,71.4%,66,4.5%,65,15.6%,,0.0%,71,2.0%
03/26/22,@,NOP,W,107,103,35,21,8,1,9/17,1/5,2/2,70,20.3%,55,116.7,28,4.5%,58,5.7%,82,44.4%,69,5.0%,71,17.1%,90,2.9%,,0.0%
03/23/22,@,POR,W,133,96,28,26,4,1,8/14,5/8,5/6,66,19.6%,87,162.5,27,4.3%,33,13.8%,,100.0%,,0.0%,43,11.1%,75,1.6%,57,1.4%
03/20/22,@,GSW,W,110,108,34,14,7,5,5/15,2/9,2/3,73,21.0%,28,87.5,84,21.7%,,0.0%,67,60.0%,49,2.4%,42,10.8%,,0.0%,54,1.2%
03/18/22,vs.,NOP,L,91,124,28,11,5,4,4/11,2/7,1/1,77,22.1%,34,100.0,91,26.7%,30,14.8%,51,75.0%,,0.0%,74,17.9%,,0.0%,,0.0%
03/16/22,vs.,OKC,W,122,120,35,22,6,6,8/16,5/10,1/2,65,19.4%,67,129.4,85,22.2%,,0.0%,43,87.5%,,0.0%,46,11.5%,,0.0%,75,2.4%
03/14/22,vs.,MIN,L,139,149,37,34,8,4,13/21,5/9,3/4,74,21.3%,80,147.8,69,14.8%,,0.0%,51,76.9%,75,5.9%,87,22.2%,,0.0%,,0.0%
03/11/22,vs.,UTA,W,104,102,37,13,10,1,5/15,1/7,2/3,48,16.3%,25,81.3,27,4.3%,,0.0%,47,80.0%,,0.0%,75,17.9%,,0.0%,,0.0%
03/09/22,vs.,TOR,L,104,119,35,27,8,1,10/19,3/9,4/4,83,24.0%,66,128.6,31,5.0%,59,5.6%,42,90.0%,56,3.3%,80,20.0%,69,1.4%,,0.0%
03/07/22,vs.,LAL,W,117,110,32,13,6,2,5/13,1/5,2/3,62,18.8%,32,92.9,43,8.0%,33,13.8%,,100.0%,,0.0%,80,20.0%,,0.0%,,0.0%
03/05/22,@,CHA,L,117,123,37,33,8,2,14/24,4/10,1/2,84,24.7%,73,137.5,47,9.1%,48,9.1%,57,71.4%,82,7.3%,56,13.5%,,0.0%,,0.0%
03/03/22,vs.,SAC,L,112,115,16,2,1,1,1/6,0/3,0/2,81,23.6%,8,28.6,47,9.1%,39,11.8%,95,0.0%,,0.0%,23,7.1%,,0.0%,81,2.8%
02/28/22,@,MEM,L,105,118,30,10,8,0,4/15,1/7,1/2,68,20.0%,16,62.5,,0.0%,,0.0%,,100.0%,88,9.1%,74,17.9%,77,1.7%,82,2.9%
02/25/22,@,WAS,W,157,153,46,32,7,2,10/20,5/9,7/7,59,18.3%,74,139.1,31,5.0%,60,4.9%,42,90.0%,50,2.6%,56,13.5%,,0.0%,,0.0%
02/16/22,@,OKC,W,114,106,36,22,7,2,7/14,1/4,7/7,74,21.3%,73,137.5,43,8.0%,15,21.6%,57,71.4%,85,7.9%,19,6.0%,,0.0%,75,2.3%
02/14/22,@,CHI,L,109,120,31,13,3,2,4/12,0/2,5/5,75,21.7%,32,92.9,43,8.0%,56,6.7%,72,50.0%,60,3.7%,31,8.7%,,0.0%,60,1.4%
02/12/22,@,NOP,W,124,114,32,16,2,1,6/13,2/8,2/2,49,16.4%,62,123.1,26,4.0%,,0.0%,59,66.7%,,0.0%,18,5.9%,,0.0%,82,2.9%
02/11/22,@,ATL,W,136,121,33,26,5,4,8/13,6/8,4/4,58,18.0%,91,173.3,67,13.8%,,0.0%,43,87.5%,67,4.8%,38,10.0%,,0.0%,,0.0%
02/09/22,@,CLE,L,92,105,33,18,7,1,7/21,3/9,1/1,83,24.1%,27,85.7,33,5.6%,46,9.8%,44,85.7%,92,10.6%,25,7.4%,,0.0%,51,1.2%
02/04/22,vs.,HOU,W,131,106,34,28,7,1,11/17,3/6,3/3,72,20.9%,84,155.6,25,3.4%,39,12.1%,56,72.7%,92,10.7%,32,8.8%,,0.0%,78,2.5%
02/03/22,vs.,MIA,L,95,112,24,7,3,3,3/12,1/8,0/1,84,24.5%,14,58.3,84,21.4%,53,7.7%,,100.0%,,0.0%,77,18.8%,,0.0%,,0.0%
02/01/22,vs.,GSW,L,120,124,35,21,3,4,8/10,3/5,2/4,55,17.5%,92,175.0,69,14.8%,13,22.2%,43,87.5%,,0.0%,23,7.0%,,0.0%,,0.0%
01/30/22,@,PHX,L,110,115,39,16,8,4,6/16,2/8,2/2,52,16.8%,34,100.0,59,11.4%,,0.0%,59,66.7%,,0.0%,80,20.0%,,0.0%,,0.0%
01/28/22,vs.,CHI,W,131,122,40,23,8,2,8/15,4/7,3/3,42,15.2%,78,143.8,37,6.5%,,0.0%,43,87.5%,,0.0%,89,23.5%,,0.0%,,0.0%
01/26/22,vs.,MEM,L,110,118,36,18,3,3,7/16,4/9,0/0,59,18.2%,51,112.5,59,11.5%,56,6.5%,44,85.7%,,0.0%,37,9.7%,68,1.4%,75,2.4%
01/25/22,@,HOU,W,134,104,27,16,4,1,7/10,2/5,0/0,29,12.9%,86,160.0,26,3.8%,39,11.8%,44,85.7%,61,3.8%,37,9.7%,,0.0%,84,3.0%
